topic,review
Good lunch buffet,"First visit, here they served my favorite dish, cooked salmon, not bad, the soup next to the salmon dish was good too.
The poached crayfish and prawn on ice were okay, although I prefer the warm version, but the crab claw was nice.
The beef and short rib were above average. The scallop was good.
Some of the desserts were good too, except the chocolate cake too sweet, to avoid next time, but I liked the cheese cake.
Missed the steamed barramundi and the laksa, to note next time.
Tried 4 different types of bread, just so-so.
The sashimi section didn't look interesting, didn't bother to try.
Service was above average, used plate cleared promptly and ambience okay.
After discount paid SGD66 a good deal.
If they keep the salmon dish, I shall return."
Excellent Service,the staff is very attentive. and they also recommend cocktail if you don't know how to choose:) very nice!
Exceptional Lunch,Great ambiance and good food. Staff Bala is very accomodating and fast. I will recommend this place to my friends.
Fantastic Customer Service,"Great music, great atmosphere. Had an even greater experience being served by Jasmine. Her engaging customer service and helpful spirit is commendable and will definitely spur me on to make a trip here again!"
Great outdoor patio in a prime location,Large covered outdoor patio in a prime location on the corner of Scott and Orchard. Service was efficient and food pretty good too. I was here a Sunday evening and then it was pretty relaxed but I can imagine it gets much busier other times.
Breakfast,Stayed at Marriotts Tangs and this is the breakfast restaurant. A typical 5 star hotel spread with western and local options. Feels crowded as it’s a weekend and hotel is large. Ok service
Great location,"A great location for any meal. We went for a late breakfast/early lunch and sat outside and just ""watched the world go by"". Great for a relaxing meal, though a little pricey."
People watching,"Given it's location at the corner of Orchard Road, lots of people walking past this spot. Unfortunately, currently only outdoor seating (due to Covid) so can be a bit warm during a hot humid day. Happy hour Mon-Thu so some consolation there."
Perfect Weekend Brunch,"Opening strictly at 11am, my brunch companions and I were there 15 minutes earlier, being a weekend. Outdoor tables were the only ones available, so one could eat and watch the world go by at the same time.

Our meal started off with the Assorted Satay followed by the familiar Hainanese Chicken Rice for me. The meat on the skewers were chunky and juicy, but I did wish the compressed rice was larger. Overall, the food was tasty and well cooked, and with the Apple Juice to wash it down, it was a perfect combination of a wonderful weekend and excellent company."
Adios Crossroads Cafe,"I can’t say enough about Crossroads Cafe. It’s a perfect package wrap in one. Good location, lovely friendly staff, good variety of food, a place for families, friends, dates, solo and visitors to be dinning at! Unfortunately it’ll be the last month for us all as Crossroads Cafe will be closing permanently come 1st December to make way for retail. So with a heavy heart, I’ll be toasting out another iconic place in Singapore. So if you are here in Singapore, do make your way there for your last farewells."
Amazing Service and great promotions,"Ladies night promotion was amazing and totally worth the price! Service rendered was phenomenal. 1st time here and definitely will be back. Came by for only drinks & desserts and their service was efficient and attentive. Special mention to Nathan, Venki, Krishnan & Shida. Will definitely be back."
Great Service & Food,"The staff and managers are very friendly and helpful. They have made my friends and I feel so welcome and special.
In particular the manager, Mr. Nathan, the waiter and waitress, namely Venky, Krishnan, Sheeda and Praveen. A huge thank you to all of you for always making us feel so welcome.
I would also like to mention that the lobster (part of the sea food specials ) is really delicious!!
Thank you."
Great ambience,"We love the ambience, great variety of food too. Tried the fish and chips and delighted with the overall standards. Must try! Great service and will visit again!"
