topic,review
Dallas boat quay,Great food and great drinks. Jobel is the best very attentive five servive and very friendly I always go back here because if the service
Ladies of Boat Quay,Awesome service!! Friendly atmosphere that makes drinking and eating enjoyable. Best personal attention in Boat Wuay for locals and visitors.
"Staffs were my favourite part ;) it the whole part of my many Dallas Boat Quay visits, of course food is 👍","Staffs were my favourite part ;) always the best part of our many Dallas Boat Quay visits, their service is the best & of course food is 👍"
Great venue,"Rose was the friendliest waitress you could ask for! The food was delicious and surprisingly quick given the restaurant was busy. Drinks were cold and well priced, with the view over the river - a perfect backdrop. We even were treated to a birthday plate for one of our guest’s birthday. Highly recommend if you are lucky enough to get a spot."
Terrible service and unfriendly staffs,Really terrible service and unfriendly staffs. I reserve for outdoor but i was not informed earlier from restaurant either call or text outdoor is full. Staffs unwilling to arrange for us.
Great lunch,Had a nice lunch and a couple of beers here. Service was good and food to match. Will return next time I'm in Singapore.
Highly Recommended,All crew are friendly and helpful especially the chef/kitchen staff. Food was quite good and price is affordable.
Good service but a little over priced,"This busy bar gives a good view of the water and light show. The nachos are a meal in themselves so just ordering these between two would gave been enough. Popular with groups meeting Smal, bar snacks were the best orders."
Birthday Lunch,"Booked in for a birthday lunch for 8 on the Friday of the hectic F1 weekend. Great setup upstairs, excellent food and drinks, all great value. Easy process and friendly staff will do that every time we come back!"
Had a great time at here,Service and Food is perfect. Waitress is so considerate. She helps to adjust the aircon when it got too cold and even got me warm water to keep me warm. Will visit again!
Pleasant Sports Bar,"We ordered the Dallas Wings, Classic Wagyu Burger and the Buttermilk Fried Chicken, where all of them were good!"
Best burgers in Singapore,"Dallas has been dishing up really tasty food for years, and their burgers are the best - especially the lamb burger which is my favourite. Jason Pope runs a brilliant pub and restaurant, with friendly and attentive staff. Can’t wait to get back there on my next visit to Singapore!"
Consistent Wow,"Dallas Boat Quay consistently wow me with their service, dedication and responsiveness. Its a sure haven if you expect good food, reasonable price and consistent great yet prompt service."
Great taste,Lunch set meal is very nice in quality and quantity. Mexican food and hamburger are special. Dessert is also very good. Anyway drop in here then never regret….Thanks a lot
#boycottdallas,"Dallas was our go-to place for celebrations. My friends and I went for margaritas and nachos on July 20.

It was crowded, so they put us at a table with chairs on the edge of a curb. The chair fell off the ledge, I fell and hit my head on a ground lamp, it happened minutes after we had arrived, we were not even drunk. There was blood everywhere from the 3-cm gash in my head and i went to the ER in an ambulance. No apology. No checking in to see if i was okay. No followup. No humanity. We were the best of customers, but dallas has burned any goodwill it had with me and my friends. Owners should be ashamed of themselves. #boycottdallas"
Enjoyable Outing,"Very good food and good selection as usual, and the very friendly and attentive waitress despite what seemed to be fairly short handed situation, make the outing even better!"
Regular customer with a bad experience,"We had reservations and when we arrived I had to go up to the waitress named Gina and asked if we can sit ourselves since we can clearly see our name on the table. Without a word, she just gestured with her hand to go ahead, so we sat ourselves. Waiting for some time and no one visited our table so I got up and got our menus myself from the host stand. When we got our food, our steak was not cooked well enough. My husband ordered medium but received his steak raw with the meat inside bright red and soaked in blood so he only ate the ends. I ordered medium well but received it medium. I only ate and fed my 3 year old daughter the ends as well. Since we’ve visited this restaurant many times before we mentioned it to the manager towards the end. The only reason why I didn’t rate the service terrible is because the manager was nice enough to give us 10% off our bill and a complimentary brownie ice cream dessert. My family usually prefers Dallas over other restaurants but not sure we’ll be coming back anytime soon."
dinner,"ordered the set menu. food quality is decent but what stands out is the service. Restaurant was pretty busy and only three service staff.

I was using the paper serviette and one staff saw that. He put another paper serviette in the glass without me asking. Very attention to detail. Thanks so much."
Great location poor food,"Excellent location on Boat Quay. Menu great and good service. Food was just poor, it was bland with cold fries and over cooked fish"
Dallas Restaurant & Bar (Boat Quay),"The food here is incredibly delicious, and the cocktails are worth every dollar. However, service was a bit slow with 2 out of the 5 main’s we ordered being served around 10-15 minutes later than the rest of our’s, so just a heads up! Location is right in front of the river and we could get a clear view of The Fullerton Hotel from our table. Ambience was nice."
Hot steamy day,"... and chanced upon this place, where I saw it served Little Creatures pale ale. Ice cold and accompanied by the antipasto platter. 2 drinks, one a G&T, with an $80 S. bill. Terrific lunch in a very swanky place at a very reasonable cost. I'll gladly return for more!"
Great time,We always delighted when we go to Dallas Bar BQ. The staff are friendly and amazing. The food is outstanding.
Nice ambiance and very friendly staff,"We live in Singapore and like to go to Dallas for a drink or lunch. The cocktails are very good and they have our favorite beer ""Stella"". Also the food is very delicious. I like the staff there because they are very friendly!"
Excellent food and ambience,"For the quality of food and their portion, the pricing is surprisingly reasonable. We had nachos, prime rib steak and the Dallas platter and drinks of course. Service level is fine too. Will go back one day, definitely!"
One of the best,"I have been in Singapore for around 3 months. Dallas in my opinion is one of the best Restaurants in the city. The good food is complimented the best staff and outstanding service. Special thanks to Irving, who always makes sure everyone visiting is very happy with the food and the experience.
Cheers"
Great Food and nice ambience!!,"I had a business lunch with my colleagues. The set lunch is really a worth especially the way they handle beef is really tender and juicy. All my colleagues like it so much. Very enjoyable moment we had!!!

The only set-back is that they lack of man power. Only 1 or 2 waitress to attend to the customer. Took a while to get their attention to serve us."
"Good food, however not a good place for vegetarians","Usually, you have a 2 course menu with fries and a salad (optional with fish) which also can be eaten by vegetarians. As of now, you don't have any vegetarian 2 course menue, only with fish or meat. Which is a bit unfortunate."
Ok,Air conditioning was set too cold the food became cold and tasteless within minutes. Informed staff but it was brushed off.
Loved the Meat platter and one of the best Long Island ice tea in Singapore,"Dallas is a go to place for Meat Platter and drinks especially Long Island Ice Tea tried in many other restaurants but Dallas serves the best very liberal in portion. My family knows that for me DALLAS is go to place, anytime."
"Great service, sliders","Service is outstanding. Truly one of the best service in Singapore. We spent a little over $100, but was ushered to a third floor private dining area. The space smelled a bit musty but it felt quite bougie to be honest. Very quiet and perfect for a date. The portions are huge! My fiance didn't like his steak all too much though. The tacos were cold, I think from the guacamole - it would have been better if the temperature was warmer. The standout dish is 100% the pork sliders. It's honestly the only dish I recommend. The apple pie for desert was mediocre to be honest - I don't mind having a few bites but won't order again. Overall, I would not recommend ordering too much food, just a few drinks and sliders and you're good to go. I would come back just because the staff were so friendly. It was a good experience. PS Toilets are nice and clean too haha"
Infuriating,"This is infuriating. At 4.45pm, I requested to sit at the bar by myself when the tables were empty & they gave me the whole regulations thingy that it's not allowed. Without any resistance, I agreed to a table outside despite the hot weather. Next thing I knew, a white guy was allowed to sit at the bar when the place is packed at 5.45pm. When I asked the manager, he argued that the place was packed when I came and that now it's empty. I pointed to him that all the tables are packed now so who is he kidding? In all honesty, it's a Friday, even if you are not there, do you think 5.45pm would be empty and 4.45pm would be crowded? The guy even try to smoke me with eyes wide open in a packed place. I questioned him, why do you allow a white guy and not me, the Asian lady? He couldn't give me a proper answer."
Excellent service by Lou-,"Excellent service by Lou- food was great we ordered 2 sets of CNY 2-course menu (prime rib steak & dessert) + nachos . Overall a fantastic customer experience from the moment we walked in , we were warmly greeted . Highly recommended !!"
Great place,"Great service, wide western menu - just what I wanted for a Saturday lunchtime. The portions are big, the beer is cold, it’s a lovely setting - what more could you ask for ? Will be returning soon !"
Birthday Celebration,I had arranged for birthday dinner with my friends. Total 4 pax and bill was $580 which we had ordered 4 bottles of wine. Service is good.
One of my favourites,This is possibly the best eating restaurant in the boat quay area. the food is brilliant and the value beats many other places. Will continue to go back.
Very nice food and great staff!!,"I went for some drinks and food Sunday and the staff were great. Prices are reasonable and the burger and chicken parm were awesome, huge servings as well. I will be back again for sure. Much better trained staff than most bars I've been to in Singapore. Thanks for the fun day!!"
Great food at decent price !,"A great time in Dallas tonight. Great good , great waitress and great ambience. Sounded like a bar but the food is actually good for value. Especially miss Lou was exceptional! She was attentive and what impressed me was she can remember my order without even writing down! She served well and make sure we always have clean plate to eat on each course ..very patience and friendly. We have ordered the calamari which was excellent as the squid retina tender and crispiness outside are hard to do! So don’t miss to order this.. we miss the nacho as it runs out. We have the Dallas burger, Dallas steak, pork pull quesadillas and pork ribs . All good except the meat inside a little dry. The drink was reasonable price with house pour wine at $10 ! Lovely night and for sure to come back again!"
Excellent Burge and Beer combo for lumch,"Went in with a friend for their Wednesday Burger and Beer special for lunch. Basically they throw in free half-pint of draft beer for the price of their Burger on Wednesdays. The burger is excellent (big Angus patty, great bun) and very well put together. Had a hard time finishing it, as it comes with coleslaw and a bunch of fries.
Have been to Dallas Restaurant for dinner; used to love their Suntec location. Too bad it closed down.
They also have excellent calamari., and Boat quay location is great. Not very crowded these days in the post-COVID lockdown period. Highly recommended for good American food."
