topic,review
There's always Din Tai Tung for great meal in Singapore,First went to this one in the Paragon centre in 2006. It's was the only one in Singapore. Now there are many all over town. Same great quality food and always a go to place.
A different experience,"We went there for lunch today . A different experience where we did not have to wait too long even though we were a large group. A robot led us to our table .
The food was excellent . Loved the types of dumplings and vegetable varieties they had .
The service was fast.
Wish they had more chicken and shrimp combinations in the dumpling . The shrimp combinations were all with pork."
Not up to par with the others,"If this were the first time I had been to Din Tai Fung then I probably would've enjoyed the food. However, having been to a few locations in different countries I'd say this experience was possibly the weakest. While the food was alright, I certainly expect better - particularly with their signature Xiaolongbao. I'd prefer to go try another location than to go back to this one."
Always the first stop in Singapore,The standard remains excellent. The truffle Xiao Long Bao and prawn pancakes were stunning. Service was efficient. DTF has gone high tech now with robots and QR codes!
Usual DTF standard,"Cannot go wrong with DTF. The usual stuff there.

Enjoyed it.

One thing I would suggest is to improve air conditioning, lower the temperature by 1°C from whatever the ambience temp is set at, that would make it comfortable for diners. Maybe a cost cutting measure (cut energy bill).

Food, good.
Will go again."
Excellent,"Excellent food! They have become hi-tech. You place your order by scanning a QR Code, Vey cool! The beef soup, the peanut noodles, the xiao long bao, and the vegetables were all excellent. I love this place"
Fungtastic,"DTF is great and a must-visit for everyone and anyone who wants a decent bowl of noodles, dim sum or even classic egg fried rice. Absolutely delicious, left full and happy every time."
Excellent dim sum restaurant in Singapore,"Very good and tasty selection of dishes, including and especially dim sum. Sweet and sour soup is really great"
Din Tai Fung Paragon,Steam chicken pao was very good. So the custard pau. Red date glutinous rice was a bit strange but great in taste. Drunken chicken was awesome. Overall very good experience and so does the service.
Great food & nice atmosphere,"A tough to find huge sized Din Tai Fung in the basement of Paragon was a great choice for the family weekend lunch. The food never disappoints, but it was made special by “Joyce” who welcomed us at the entrance by suggesting variations of standard dishes. And her constant checking in, light banter & breadth of topics was such a refreshing experience in staid Singapore where clinical service dominates over human warmth & Joyce changed that expectation. To be fair she did a good sales job, but hey, why not, the experience was worth more than just a few dollars."
Boring but satisfying food,"Like Soup restaurant next door, the menu here hardly changes. Dishes are wholesome, a bit boring but quite satisfying. Prices are reasonable, and service is decent. No wonder people (including myself) keep coming back."
"Great food, not just the dumplings!","The food is great, they are very friendly including to children. Sometimes some dishes are sold out but I guess it can’t be helped that they are facing some shortages now."
delicious dumplings,service was a bit slow but overall it was very good. oh and also the noodles was very good. Every time we think of a place to eat and we can't decide what to eat I think din tai Fung. So that's why I will recommend it to you.
Delicious dumplings,"Service was a little slow but the dumplings were worth the wait.
Very much enjoyed the dumplings stuffed with mushrooms and finished with truffle oil. We had the spinach which was perfect. Only complaint was that the glass of water never arrived and the spinach came out after the dumplings were finished."
Very tasty steamed dumplings and great ambiance,"Please take note the restaurant is at basement One of the Paragon.

My relatives from Medan (Mother in law, Brother in law and Sister in law together with their children total 7 of us enjoyed our family gathering and Lunar New Year of the Rat lunch at this outlet.

We ordered various little dumping, spring rolls, fried tofu, fried port cutlet, fried rice with prawn, egg custard bun (sweet), noodles among others.

The outlet is clean and waitress and captains are friendly in their service. They have a basket with cover for you to put your handbag inside to avoid tea splitting. This outlet do serve YuSheng and the captain said all the auspicious words when putting the ingredients in the plate.

There are plenty of car park lots near basement two escalator go straight up to the restaurant.

Next time you are at Orchard Road, do go try the delicious food serve at this outlet."
5 star vist BEST RESTAURANT,I went back to this place after two years and the food did not disappoint at all we loved it so much i cant not explain its my favorite ever! Should be top of your list! Its a must see.
Love it,This brand never disappoints. As good as eating in Taiwan or China. I wish to have this chain in Mexico. Who knows? Maybe one day...
"Love this place! No airs or graces, just consistently great food","You just know what you're getting with DTF! Always tastes the same, always hot, always fast. This chain deserves to be success, they focus on all the right things! Service staff can sometimes be hard to get hold of, they charge for tap water, and you need to order a lot of food to fill yourself up, but we keep coming back so they're doing something right!"
Food never disappoints,"Had our first Yusheng of the year. the new Thai sauce for it was really good. Food took really long to be served. Overall it was a good experience, as always."
Food is always DELICIOUS. Setting Perfect.,"Food I can't say more- it's always according to its standard, QC is there, quality of food is there. Never a disappointment. Comparing this to Wisma Atria, the restaurant setting for this is much better than Wisma Atria for its ambience, rather quiet environment, and space. Wisma Atria's one is like a mini coffee shop with limited space so everyone has to squeeze together. My favorite branch to frequent DTF. Kudos to the team for professional service every time we go there."
Can not fault,This Din Tai Fung in Paragon is the most amazing dim sum I have ever eaten. I have never had a bad meal at the restaurant and can not fault this place. All staff are friendly and welcoming and I can’t recommend this place anymore.
Din Tai Fung,The xiao long bao is nice with various flavours. The la mian and fried rice are good too. The service is quite fast.
We love Din Tai Fung!,We love Din Tai Fung and enjoyed it frequently when we lived in Taiwan. The soup dumplings are the best. Not a huge fan of the cilantro now added to the chicken dumplings but the pork dumplings are still amazing. No tea served automatically at this one as in Taiwan which was a shame I thought but excellent food nonetheless.
Great service,"We was there in our holiday for visit and we stopped at this place for our food.Taste was really amazing,staffs was really professional and kind and helpful as well.We will definitely visit this place once again in near future.Thanks for the great food and the great services."
Consistently yummy xiao long bao!,"And professional, friendly staff to boot. Oftentimes not the norm when you see harried waitresses but they greeted diners with smiles... basically polite all round.

We like this outlet at Paragon for its quick turnover. Just avoid the normal meal hours and you'll never need to wait for a table. The famous xiao long bao is a must order and arrives piping hot. Poke that hole in each to let the hot steam out before wolfing them down to avoid scalding your mouth.

Their fried rice is lovely too to bulk up the meal and we like the chili/vinegar rendition of their wantons. You get a nice kick.

Ambiance is noisy and vibrant. Even great for a solo diner."
Unimpressed,"The quality of food here is not the same as other dinGB tai fung branches.

I've been to several DTF globally and this branch was very basic.

In addition to taste being basic, the server missed an item from my order.

This is an ok restaurant but a poor din tai fung.

Plz give this review a thumbs up"
Great food and very busy,"I went with a friend who lived here. Very busy and crowded restaurant where you have to wait to find a table.
Food is excellent, great choices of vegetables, soups, dumplings, noodles.
Famous restaurant with several places in Singapour. Mid-range prices.
Great spicy noodles
Highly recommended."
Lunch with friends,"Visited for lunch with friends, having heard wonderful things about their dim sum.
Wasnt disappointed at all. Had to wait about 20 min as we had a group of six. The food was excellent. Well presented and served quickly. Authentic dim sum at it's best. Recommend highly"
The best dumplings!,"Superb, silky dumplings and steamed buns! Their pork chop with fried rice was delicious. I have a nut allergy and our server kindly explained what was safe for me to eat. Great place for casual dining."
"Amazing food, aircon too cold",The food was very good. The Xiao Long Pao was great. It was on of the best fried rice I ever had. I wish I could give 5 stars but I cannot because the aircon was too cold for my wife and I.
Celebrating A birthday at din tai fung,the best restaurant ever ! if u havnt eaten there I feel bad for you. my favourite locations are paragon gwc and wisma
Fantastic,"We were jet-lagged, just looking for something quick and tasty. We ended up staying far longer than we planned, simply because the experience was so good. We chose it for the owners'confidence to have an open-plan kitchen and we were pleased we did. The food was delightful and the service outstanding. We thought it mot especially expensive and great value. We enjoyed our time there and will go back again without hesitation."
Worth the Experience,Worth the experience Really don't know if vegetarian with my indian food habbits would enjoy it. Dumplings weer just ok Prices are high
Will recommend to friends,Will recommend to friends just for experience. Food taste was actually ok. A little pricey but it's good to experience what the food is like so you can relate to people that actually recommends good food.🙂
