topic,review
Get the earl grey iced lemon tea!!,"Decided to try different stuff today so I ordered things that people are supposedly very impressed with:
(1). Steamed pork dumplings
(2). Fried rice with pork chop

Are these delicious? Yes, of course. But are they over the top? I’m afraid not. I have eaten steamed dumplings with better texture, better soup, better pork - in Singapore. I have eaten better fried rice (theirs is merely egg fried rice, is it really so fantastic??), better ingredients, better wok hei, even better pork chop.

What truly impressed me today surprisingly, was the earl grey iced lemon tea. Interesting fragrant tea used. And that huge ice cube was tea flavoured!!! And this is why I’m giving four and not three stars."
Good service,So far the food is consistent across the various outlets in Singapore. What impressed me of this outlet is the prompt & friendly service.
Great food,Really good especially for the price. You always know what to expect and their consistency is noticeable. Great dumplings for what you pay.
"Meets expectations for a typical DTF outlet, always here for XLB and Fried Rice","Well Din tai fung has always been a place that I will occasionally drop by once in a while. Tried both the DTF in Taiwan and Singapore and this is my personal take about what I would usually order when i visit any DTF outlets in SG:

1) I love their Seaweed Beancurd in a vinegar dressing as it is always the first dish that runs out whenever I drop by for dinner. Really good appetizer to kick start your meal here

2) Their Xiao long bao is definitely in my order list, as that is one of my checklist to clear whenever I visit DTF.

3) Their Fried Rice never fail to disappoint, will always order with the pork chop Though the portion of the pork chop varies time to time but the seasoning and taste is always the same for me

4) Their Prawn pancake is also something to order whenever you are here as well

Some personal tip for diners here:

- If you are ordering the Hot and Sour soup, and you want it to be spicier, you can just put the chilli oil that is given at your seat. It's basically the same chilli

- If you are a ginger lover, just be bold and ask for a bowl of Ginger, and that will save you some time to keep asking for the staff's help during peak hours.

Overall, if we are talking about the price that we are paying, it definitely falls within the mid-higher range for a Chinese dining experience. Food standards are decent, portion have been inconsistent but taste has been consistent."
😒,"Dingtaifeng, I don't know what to say. Drunken chicken dishes are getting smaller and smaller, but the price is getting more and more expensive, now even water ice water charges, you do not lack 0.5 yuan, is not used to this practice. In Japan and Hong Kong, I'm afraid it will be out of business. Everything tastes good, except the small steamed bun is particularly bad, the stuffing problem is very big, no wonder Michelin was picked the star. Business is really good, but many such stores, but also said to fall, I hope this can cherish the moment, cherish customers.鼎泰豐，要怎麼説呢。醉雞的盤子越來越小，價格倒是越來越貴，現在連白水冰水也要收費了，不缺你0.5元，就是看不慣這做法。在日本和香港，這麼做怕是會沒生意了。東西嗎味道都不錯，除了小籠包特別難吃，那個餡料問題很大，難怪米其林被摘星。生意確實很好，但很多這樣的店，也是説倒就倒了，希望這家可以珍惜當下，珍惜顧客。"
Taiwan vs singapore,"We live in taipei and there are a couple of differences:
- singapore has way more branches, food and service quality compromised
- the drunken chicken used are different, and much smaller
- pork fried rice also much smaller
- they charge for ice water here
- probably twice as expensive compared to taiwan"
For damplings lovers,"Din tai fung is a dumpling restaurant. The food is really good, and they have a really interesting diversity of dumplings, as main dish or as dessert. They even have Truffle dumplings !

The service quality is a little bit different than other occudental restaurants. I highly recommand this place."
Consistent quality,Back for another visit to DTF in Suntec. We arrived shortly after 12 and already there was a queue! But it wasn't as bad as other outlets and we didn't have to wait very long. Ordered from the usual selection of standard dumplings available on the menu. Great quality as always and efficient service.
Dumpling specialist,"They are a chain restaurant with speciality in different dumplings, fresh and good. Located in suntec mall, near many shops and hotels. They are fast and fresh."
Good fast food,This place was a little crowded. But the service was very quick. I had the pork chop and fried rice. It was really good. Quality fast food.
My favorite restaurant in singapore,"I really really enjoy the food served at DTF. Being a vegetarian is no hassle here, since they have good choices for vegetarians as well. This is a world famous Chinese restaurant and it never disappoints. Enjoy!"
Famous xiao long bao,Visited just after the lunchtime rush and got a table immediately. The service was quick and the pictures of each of the available dishes were helpful.
Good dumplings,"Recommended by local friends, we visited Din Tai Fung at Suntec City.

Lovely setting with the same menu anywhere else, their dumplings are so good that we are quite content with the foods we ordered.

The only problem was that we ordered more than we could eat and ended up overeating."
Constantly good,"Different location, same good quality food. Plus less no wait for a table! Was in the mood for a light dinner so ordered oriental salad and Xiao long bao. Hit the spot"
"Great Food, Great Service","Went there with a rather large group today, they served their food very quickly even during peak hours which impressed me! They were also very attentive in filling our cups with tea whenever they were finished. Had an enjoyable time there with my mates!"
"Great Food, Great Service, Great Ambience",Had a business lunch at DTF in Paragon. Waited about 15mins for our table. The receptionist was patient and always had SMILE on her. That is hardly to be seen nowadays in a busy restaurant. Our orders was served in time. Every tables were expecting fast service during lunch period. One of our dim sum order was served wrongly. The staff handled it well. We didn't wait too long for the right dish to be served. It is a great challenge to organize such a big and busy restaurant. Well done everyone.
Fantastic,Totally organized you don’t have to wait long and the food is outstanding this is my 5th time at this location always consistent
Great Basic Dim Sum,"This is a chain with a number of locations. It is perfect for an easy lunch or dinner without the pretense or fancy prices. Lots of great dim sum to choose from (watch them make it right in the window). We had shrimp and pork dumplings, fried won-tons and spicy noodles and it was a great meal at very reasonable prices. Two beers cost more than the food."
My favorite Din Tai Fung,This has always been my favorite from its original branch in Taiwan up to Singapore. The food is always consistent and I love it! Xiao Long Bao will always be my favorite 😋
"Frenetic, fun and fast food","Great buns, delicious dumplings, moreish fried rice, the tastiest Spring Rolls, so many snacks it's bewildering, and all at reasonable prices. A confusing ordering system to first time customers, you stand outside, take a pencil and order form and tick off your order from the menu boards. Then you hand it in and wait for your number to illuminate in the restaurant window. It took us about 10 minutes on a busy Sunday evening so we felt it was a reasonable wait in the shopping mall.

It's not a posh diner it's just a busy eating place. There are many Din Tai Fung restaurants in Singapore and around the world too. Don't be put off by that, it's all cooked fresh and not defrosted! Our bill name to £41 - no alcohol - and we ordered way too much food and handed two untouched courses to a family on an adjacent table."
Quick & Fresh,"Always a good sign when packed with locals. Easy to read menu, pencil in what you want and enjoy. Great fresh dumplings, excellent rice and good service. For a quick bite this is the place."
