topic,review
Farewell dinner,"We had our last date night before lockdown here, as it has always remained our favourite restaurant in Singapore.
My husband had the green curry red snapper, which was beautiful. I had the duck, which was ok. It was not one of the suggested top three, so I should have listened!
As always, the service and staff were delightful and the restaurant was full of people, like us, regulars, having their 'last supper'.
Wishing everyone at Ding Dong the best, stay safe and we will see you again soon."
Hong kong style of restaurant,The interior is made me feel I’m in Hong kong. There is lunch menu you can order as set. The food was delicious
Great choice!,"Wonderfully vibrant flavours, beautifully composed on the plate. A fantastic option for pan-south East Asian dining. And delightful staff. Love this place!"
Good food,We had a really good meal here and visited for a team lunch. Very nice Asian fusion food though not an extensive menu. The staff was very friendly. Really nice ambience + décor with plenty of old retro posters and its located at a convenient location at CBD. Take the downtown line and its just 2-3 mins away walk from Telok Ayer Station.
Ding Dong recommended by a friend and it didnt disappoint,"Whilst staying on business I was recommend this place by a friend, within 5 days I went back 3 times. Nino was a great host, along with the rest of the team. Service is excellent and friendly, food was very good. if your looking for a relaxed vibe, good food and service, which is also quite cool, then don't miss-out. Next time I am back in Singapore I will be here..."
Just another funky fusion restaurant,Starter portions are quite small and undeserving of the price. The ambience is of a modern funky restaurant and We found the food to be quite average. Don’t see ourselves returning.
good local eats,nice local eats here. nothing too fancy but you get to experience the legit local food here. willl definitely go back
"Cool place, yummy food.","Cool place, yummy food, good service, nice decoration, cocktails, good location.
We will go back soon!"
Funky tasty fun,"Lawyers know the best restaurants. Happy to be taken to Ding Dong with a couple of legal friends. How lucky was I. Duck is always a good choice. Duck dumplings, duck leg, washed down with a little Australia rose. The decor and energy of the place is so much fun. I especially love the Jane Fonda Barbarella."
Pleasant change.....,"I’m over the Hawker centre vibe in Singapore at this point and this restaurant has certainly been a breath of fresh air.
We had the roasted duck dumpling for entree; barramundi on Thai sweet and sour sauce and Angus short ribs. The dishes were aesthetically pleasing and our tastebuds definitely enjoyed them! No room for desert afterwards.....
The restaurant setting is vibrant and comfortable - not your typical, let’s cram as much tables and seats as possible.
I’m looking forward to the next visit to try the rest of the food offerings including sweets."
"Great food, drinks pricey","Very nice food, great flavours and presentation and portion size was just right. Not an extensive menu but the quality was very good."
Delicious food,Delicious food with interesting flavours. A bit expensive but was worth it! Nice atmosphere and attentive staff.
Incredible Asian Food!,I highly recommend Ding Dong. The food is outstanding and the place has a very nice vibe. Drinks were also really good. It's particularly good when you have visitors in town. They serve all the main asian dishes with a little twist.
"Good Vibe, Professional Service Staff & Awesome Food 👍","Very great service and delicious modern South East Asian cuisines. the pork char siew, Pan Roasted Barramundi with their homemade thai sweet chili sauce and durian Alaska was amazing. attentive staff, definitely worth a visit, would go Again!

Suggest to come with a small group of friend to taste more of Ding Dong menu."
Ding Dong,Absolutely loved the food and the service was amazing!! Definitely be coming back when I’m next in SG!!
Terrible food. Overpriced!,"Zero effort in food. Douse of sweet Thai chili sauce pick up from any
supermarket over a pan fried fish and charge $29++!!everything else just taste like sweet and sour sauce. The wagyu bun patty could have made of chicken meat and I won’t taste any difference"
You've gotta love 80s music!,"A funky restaurant with a good menu.
Standout was the tuna tataki for a starter.
The mains were tasty too (although could have been served a little hotter).
Wine was expensive - and don't forget the additional 17% added on top.
Oh, and yes, the background music was all 80s (fine by me!).

Price point for 2 starters and 2 mains (excluding the wine): SGD $120"
Amazingly tasty food,"My husband and I had lunch here and ordered a mixture of dishes from the hot starters. Everything single item was so delicious!!! The beef rendang cheek was great, and a particular favourite was the duck dumplings. Would highly recommend!"
Delicious flavours in quirky ambience!,"Recommended by our local expat expert, we headed to Ding Dong in a district that was not part of our normal location in Singapore. Very pleasantly surprised with the vibe in Amory St just at the back of Chinatown.

The Bali pork belly satay and Beef rendang in lotus buns were clear winners for us, sensatoinal flavours. Good wine and cocktail list, solid and reasonable prices for Singapore. Our staff were attentive, the atmosphere was fun, a little loud from the table next to us, but that happens.. great night out!"
Average,"Made a reservation for 2 adults and baby with phone number and email address for confirmation. When we arrived were told that the restaurant would have called and told us they didn’t have high chairs. But was international call, I said you could have emailed me. Signature cocktail advertised not available, we planned to order one of the dishes advertised for baby with veggies. Not available. The staff were nice, the food was average and very, very expensive vs the restaurant quality, atmosphere etc. at the Shoppes at Marina Bay where we have been dining. Overall not recommended."
Sensational food & stylish interior,"Had dinner here with my husband after recommendation by Lonely Planet. We did not book a table but I do recommend you do so, as we were lucky to walk in off the street.
In my opinion the food was very special indeed with wonderful flavours and stylishly presented. We ordered their signature dishes of Vietnamese coleslaw, blue swimmer chilli crab, then for mains red snapper curry and the duck dish. All four dishes were cooked to perfection and were delicious. Good portion size too. I would give my right arm for the recipes!!
The lovely Filipina waitress who served us, was charming, professional and very friendly.
There is a warm friendly ambiance in this restaurant, and I would not hesitate to return. Most of the other diners looked expat, but there were some locals here too.
This is quite an expensive restaurant. I seem to recall the beers cost around $18 each, but if you want Michelin quality food, come here."
"Ding Dong, lunch is served!","Introduced to this place by our buddies. We're told the food is more like Vietnamese but the food was really interesting, well presented and tasted great too (which is the most important.

The 4 of us tried the following items:
Salad, rendang wrapped with white steam buns (its like eating kong bak bao except the filling is beef cheek done rendang style), char siew with a barbecued pineapple, grilled fish fillet (with green curry gravy - by the side - we requested for it not be poured in onto the fish), charcoal you-tiao stuffed with otah fish paste, brocolini, yam ring with an egg in the middle, some brown rice. for desserts we tried the shared a durian cake and a chendol. We thought the salad was the most basic and resembled something vietnamese with plenty of vegetable, especially bean sprouts (tau-geh). The rest of the items were really good. The grilled pineapple and its sweetness enhanced the char siew so well. The green curry gravy was the other thing that made the crispy grilled fish fillet outstanding. The black color you-char-kueh with otah filling is something different from the ones that are stuffed with squid/prawn paste and deep fried that we eat at Chinese restaurants/zi-char places. Do note that portions are small so we had all these items to share like small and medium tapas plates.

It was a quiet Sat lunch and the place was not crowded at all. We get the feeling that the place will be very noisy and squeezy when its crowded. It has an interesting decor with plenty of old / dated posters. Finding a car park will be a challenge along Amoy Street (CBD) during meal times (and its parallel parking too). Take the downtown line and walk from Telok Ayer Station - its just 2-3 mins away. Overall, we think this place is worth second visit."
Food was great! Service friendly but a bit loose,"Can’t rave enough about the food. Every single entree and main was delicious. Crab cup entree (there were three of us so we had to fight over the fourth cup - pet hate), scallop noodles amazing, steamed buns yum. Curry to die for, broccolini perfectly cooked and great sauce. Wine list decent too and relatively affordable options (it is Singapore, after all).
Service was lagging, we had to ask twice for nearly everything. Food came before plates and drinks. They were friendly but didn’t pay attention to the actual service aspects."
Spicy and rich,"Food rather too spicy, : barrimundi tasted of spices not fish! Appeared very popular :
Vegetarian option best considered as a surprise!"
Superb eating,"This was my favorite restaurant over all 10 days in Singapore. Order the papaya salad, the beef cheek buns, and duck leg!"
