topic,review
"Super expensive prices, super small portions, average taste........","The 1st thing that shocked us were the very high end ""restaurant"" prices when we scanned through the menu. Considering this place is located in just a simple humble no frills HDB coffeeshop - with no expensive decor, no aircon , no expensive rentals.

The 2nd thing were the extremely small portions. We had 4 items for 3 pax, & the total portions would probably be just nice for one small eater. Imagine it cost $81 for this super expensive average taste meal, enough for just 1 small eater.

Yes, they gave 10% discount & no service charge ( not much service anyway) but it is still very expensive.

Food-wise is average. I had been on business trips in Spain for 10 years & loved Spanish food. Not bad here but not that great. And definitely not worth it too.

We were there between 6.30 - 8pm on a Saturday night. And there were only 3 tables of customers (about 2-3 pax each), including us.

Any wonder why?"
Fantastic food!,"We went on Thursday to Don Quijote for dinner. We were a party of 8 and we pre-ordered certain dishes we knew they need longer to cook (Paella for example and other meat dishes we wanted to try). I spent quite some time in Spain and I missed the food . So, I was pretty surprised to get such genuine, authentic taste ! This was by far the best Spanish restaurant I visited in Singapore since I moved here in 2014. My favorite dishes were the tapas : the bikini tapas, calamares fritos and callos (this one needs to be ordered in advance) , the meat dishes - especially charcoaled Angus Beef Rib, heavenly tender - and the Paella Negra - this dish to die for !!! Cava and Sangria accompanied and were the best !!! This place is highly recommended for everyone who genuinely appreciate authentic taste!"
Xmas meal from the best Spanish Restaurant,"A hidden gem in SG. Excellent food, efficient delivery service and great menu choices. Turkey were moist and delicious. Yummy paella and xmas ham. Best Spanish restaurant that serves quality food. Highly recommended and will definitely be back."
Tasty and passable Spanish food,"This Spanish eatery used to be in Dempsey, started operations in early August2020, here in a 7th Mile coffee shop, easy to find HDB parking spaces, we arrived without any reservation and sat opposite their stall, you order via QR code and can make payment straight away before food was served, food was quite tasty but the churros was a let down, food choices weren’t that interesting, however there is 10% discount and no 10% service charge, GST inclusive in prices."
Father’s Day,A family dinner. Our first since circuit breaker restrictions eased. Disappointing to be left with menus and have to attract attention to order (20 mins at least). However that was only fault with service. Dishes do appear randomly. So things which go together may arrive far apart. I guess that’s tapas! Food was delicious and we have been many times and would return for sure.
"Good service, some dishes good, some average","I can't comment on the premises themselves as it was a takeaway meal (due to the Covid-19 restrictions at the time).
The staff were quick & efficient with the order (although their on-line order system isn't great).
The food that arrived was a mixed bag with some tapas being good but the main dish, Paella, was a bit bland & average."
Always good,We had our last meal out before Singapore goes into semi lockdown and we decided to support our favourite Spanish restaurant. Don Quijote as usual delivered a decent meal which we thoroughly enjoyed. Hope to be back soon!
"Average Food, Long Waiting Time, Very Dated Decor","We decided to try out a new Spanish restaurant as the one we like is fully booked.

The moment I stepped into this restaurant, I do not like the ambience at all. Everything just seems dated and dull. The curtains (near the aircon) are extremely dirty. Even the dining tables look old. It just doesn’t look welcoming.

Food is average and it took us almost an hour to wait for our paella. It just doesn’t make sense.

This is our first time and will be our last. We will not return."
Sunday brunch with family - ok,"Went for Sunday brunch with the family. The price is good, $58++ for beer/wine and brunch buffet (menu). Food was actually nice and inside was nice too. Only issue is the restaurant is understaffed. The poor waiters (I saw 2 and one bar tender) were running around like little chickens unable to keep up with all the request. I think if you plan for a delay in response it’s not so bad. We ordered several items at once in preparation for that so it wasn’t too much of an issue. I would go back. Croquettes were yummy, garlic mushrooms delicious, our kids enjoyed the pasta with red sauce & meat, garlic shrimp were good too (tiny shrim), red wine was actually nice while the white was a bit to sweet for my taste. Overall a nice change in food from typical Asian/American fair in Singapore."
Food ok Service so so,"visited on a sunday and had their buffet tapas. the only option there actually on a sunday lunch.
the waitstaff attending to us looked abit in a daze, didnt key in our order which resulted in us waiting for 30mins, and rebuted us when he forgot our drinks order.

service recovery by another wait staff saved the day but still left a bitter experience.

would not return as there are better restaurants out there."
relaxed and quick,The food was very nice. Portions could have been a bit bigger especially for the cured meat. Personnel was friendly and attentive although one did not seem to understand english very well and did not seem to know the menu completely. Sangria (red wine) was a nice big jug and tasted good. in all a nice evening
Not my Best Spanish Food,Service was good. Server was helpful in recommending the good stuff. Enjoyed the barramundi very much! Spanish egg was a little too dry Shrimps were good The crabmeat scallop on shell was okay. A little too creamy. Would prefer baguette over buns Mushrooms were okay
"Decent food, very poor service","I went there with my wife on Saturday night with a reservation for 7.30 pm. After we walked in at 7.30, it took about 10 minutes for someone to pay attention to us and show us to our table. After we sat, we quickly chose to order a paella and some sangria. It was difficult to catch the attention of the waiters... When we finally caught the attention of one of them, he told us that there are no more paellas today. So we decided to order some tapas instead. In total we ordered 5 tapas. Every tapas came very slowly and it is only after 2 hours and a half that we got our order completed. During the whole time we saw other tables getting paellas...

The food was decent and the essence of Spanish was captured.

I would however not go back due to the very poor service we received.

Price wise, the restaurant is slightly expensive and it's not worth it considering the service."
Great dining experience,"Service was great and staff was friendly. Food was well over expectation, one of the best Spanish restaurant I visited."
Dinner,Had a really great time at dinner there with the family. The food was really awesome and service warm and very friendly.
Great food,"It’s our nth time eating there and every time it never disappoints. Food & service was great! Our all time favourite is the Seafood Valenciana Paella; gambas; and the beef cubes with blue cheese! OMG, the latter is really very nice! It melts in your mouth! Love it! Highly recommended."
