topic,review
Great Time,The ambiance was beautiful ambiance! The food was tasty and the staff working there was very friendly!
Good food with good view,Good food with scenic environment. Special thanks to the servers and chefs. The food and service was excellent! Thank you and we will Definitely visit again.
Will be back again…,"Great food, excellent service, super views….what more can you ask for? Music on request !!! Manager plays sings on our requests. Wow"
Food poisoning! Beware!,"We just ate there and are having severe food poisoning. We ordered the fresh crab stack and it tasted really fishy and the burrata was bland and still frozen. We also ordered the prawn capellini and it came out not hot at all, pasta was dry which was a bummer as well.

Would recommend not eating there for safety reasons - we also saw mice crawling around the restaurant (in the plant area near the stage). Otherwise the view, live band and service are worth a short visit with a drink but nothing else."
Perfect location for a perfect evening,"Good food, and lively music in a scenic environment. The singer and guitarist are simply amazing, and made the evening more lively. Special thanks to the servers and chefs. The food and service was excellent! Thank you and we will Definitely visit again."
Thank you for the service Paolo and Ananya :),"Really appreciated the warm service from both Paolo and Ananya. Paolo was sweet and charismatic. Ananya was very knowledgeable and well spoken. The drinks were lots of fun. It unfortunately poured heavily before coming, and we missed the sunset. Have to come back for it and the service :)"
Great ambiance,The view was amazing and well worth it! Anya was a great server! The food was just okay and the drinks were pretty but didn’t taste great . The view alone is worth it though .
Wonderful Boxing Day 😄👍,"Our family have a wonderful Boxing Day at DUSK! The food is splendid! And the service is perfect! Especially this male staff, JJ, he is very polite, helpful and smart!

He knows exactly what we really wantand he helped us efficiently!
1) the food he recommended is good!
2) the wine he recommended is good!
3) the cocktail he recommended is good!
4) the desert he recommended is good!

We indeed enjoy our Wonderful Boxing Day at Dusk!

Thank you JJ!
Thank you Dusk!"
Annual team dinner at Dusk,"We held our annual team get together at Dusk last Friday. They were the only restaurant that did not charge us a hefty/non-refundable booking fee (as seems the norm with most Sg restaurants in Dec). They were very accommodating of our requests and the hospitality was impeccable. Clarissa from Dusk was managing our group and she is amazing. Very attentive, friendly, and accommodating. As for the dinner, it was amazing. The food tasted good and our orders were served smoothly. The desserts particularly were amazing and humongous. I'd recommend getting 1 for 2 people unless you're getting the tart. The ambience, live music, amazing staff and Clarissa made our evening worth every penny spent and more. The drinks were super fun and tasty as well. Light bulb cocktail was the highlight for our group, I think we drank a billion of them. I highly recommend this place for a team dinner or a romantic evening with your significant other. 10/10 100%"
Lovely view and Great Service,"Me and my husband had a lovely dinner ay DUSK. We enjoyed the food, great service n the magnificent view. Big shout to Paulo for all the support."
