topic,review
"A great variety and spacious, comfortable seating arrangements","This place gets better each time we visit. Our 3rd trip to SIN in 6 months.
The food outlets are very clean, quick and love the authentic flavours they each bring.

Recommend the oyster and egg, carrot and egg, freshly smoked satay sticks with yummy peanut. sauce

The seating is comfortable and tables are large and spacious"
Weird changes…,"Food, drinks and service are great! But after renovation the cooling breeze from the sea is blocked by a hedge and it is terribly hot. The smoking area for this huge capacity of this Hawker is a ridiculous place of 2x2 m far outside the center. Real diversity is different, for sure."
Thai stall near ATM is terrible,Doesn't taste like Thai food at all. Unit is close to ATM area. Not authentic as the cook doesn't seem to be Thai.
Good food at decent price,"Located on the East Coast , a hawker Center in reality. Good local food at decent prices. It’s open air and there’s no aircon. As it’s by the beach , one hopes for a nice Breeze to go along with the food .

If dietary is not a restriction , try the pigs trotters prepare with ginger and vinegar and the ‘spare parts’ . Goes well with rice ! They open around noon . The sugar cane water stalls goes well with the food and the heat . Alternatively , the satay is good too and they open for business slightly later.

Overall , wide selection . Decent prices . Car Park is not quite an issue . Nice location by the beach . Worth to go . But do note - it’s soon to be closed for renovation. Do check it out before heading there ."
Good hawker center for satay,"Good hawker center with awesome satay and sugarcane juice! If you are in ECP, try satay at Rahim Ayam Penyet Satay Istemewa! Highly recommend. Delicious. Also try the sugarcane juice in the nearby stall. It's huge portion as well."
The food is amazing and delicious.,The food is amazing and delicious. The satay is amazing and the coconut juice is very fresh. Perfect spot to hang out
Big hawker centre by the beach,"There is a good variety of stores there to enjoy/try local hawker dishes.
Some of the local favorites that you must have there will be satay, sambal stringray, cockles and clams, fried oyster egg, grilled chicken wings and grilled crabs. Enjoy them with a coconut or beer. While the place is not air-conditioned, it is not that hot there because of the sea breeze.
The stores there mostly only accept cash so do bring enough. There are also ATM machines available.
Before you leave, remember to look out for the elderly couple who sell roasted chestnuts by the entrance. It is very yummy!"
Best place to have satay,"It was the best place to have satay in Singapore. The view was straight to the beach so it was very nice to chill there. You can order from different counters with different kind of food and their special dish - satay. I ordered scallops, beef satay and coconut water. Everything was so fresh and tasted really good. Sauce was very good and I thought spicy sauce fit satay so well. Coconut water was not sweet but it tasted fresh. It felt really like summer!"
Nice Location,"We caught a taxi here one evening for dinner but weren't off to a great start when the taxi driver had no idea what we meant. He took us to East Coast Park Apartments! While Singapore is an english speaking country there are many Singaporeans who do not speak good english so be aware when you are visiting! I was looking forward to eating here but have to say was a little disappointed. It was very busy but it was a public holiday, I imagine it does get busy at other times though as its a lovely spot by the coast for families to enjoy. You may have to share a table & once you have that there are many food choices amongst the many hawkers. We were hoping for cheaper chilli crab (cheaper than restaraunt prices anyway) but alas it was still pricey for hawker food. That said we did enjoy the food we ordered & the tiger beer always goes down well! BTW you will need cash here. Also its a bit tricky to get a cab when leaving, we asked a local & he ordered us a Grab (similar to uber), cost was S$12. Nice spot down by the water to watch all the planes coming in!"
Came back a couple times,We were staying in the East Coast and so this place was sort of local. But soooooo good and soooo cheap - so we decided to come back again for more. First - look for a table and then go choose your food! That’s the system. It’s cash only but ATM is also available in the area. Lovely atmosphere!
Delectable Food.,"An open food court besides the bay, it's a very popular place for Singaporean-Malaysian food. Satay is the main fare but there are seafood, vegetables, purely Singaporean dishes. Sitting is under the open sky or under canopies around tables. There are many stalls selling halal as well as non-halal food. Food was delicious, varied and served fast and sure. Hygiene may be a bit wanting, prices reasonable.
There are arrangements for cycling, skating, boarding. One can see the planes landing into Changi airport."
Expensive and nothing special,"As a Singaporean hawker centre / food centre, the food variety is not bad, but the food is pretty expensive. The place gets warm when crowded and the tables can get quite dirty because many customers still don't know how to eat cleanly or clear their own tables after eating, and the cleaning staff is often not fast enough to clear the tables. If you sit too near the satay stalls, you leave the place smelling like satay even if you don't eat it. If you have no choice, this is the cheapest place to eat at, at ECP. If you have a choice, there are cheaper places to eat at. If you're near to Parkway Parade, the food at the food court there is about the same price, but you eat at air-conditioned comfort."
Store 44 - Good satay!!!,"Tried the satay at this store 44, both chicken and pork, really well done, sauce is good too! They also sell oyster omelette and carrot cake."
Seafood BBQ at East Coast Lagoon Food Centre,"I would like to recommend our locals n foreigners who r visiting Singapore to visit this store, Stingray, store no. 43. They have been selling for at least 25yrs.... The quality n the standard of every dish is fresh n delicious as before! they have different ways of cooking and sometimes they also carry seasonal seafood..... Come try and experience yourself!"
Best Place for Satay and Seafood!,The food at East Coast Lagoon Village is pretty much value for me. I would always visit Adimann Seafood & Satay Specialist for its savoury satay and bbq stingray. Find a table near the beach so that you can also enjoy the sea views while eating your meals!
Lunch,Duck rice Q happened to passby n saw this Q for lunch not bad actually quite strong nice food and watermelon juice in this hot weather
Dinner,"I love having dinner with family at East coast. Food was amazing and delicious. So many varieties etc the best satay , chili crab , gong gong , big cereal prawns and all types of fish. It is cheap and portion is reasonable. The best part is eating near seaside and it is windy. Chill and cosy great place to hang out."
More pricey but nice atmosphere,"Pros
+More selection than a lot of hawkers
+Lovely location by the ocean, nice sea air
+Plenty of toilets

Cons
+Harder to get to than more central hawkers
+More pricey than most hawkers
+The only real game changing con to this place are the intrusive sales touters trying to get you to buy food. I would prefer they let me make my own decision. I wanted to view all the food on offer before making a decision and they were pretty much all trying to rush me.
+Might be a bit touristy for some

Conclusion
========
Despite the cons I'd love to visit again, so cannot fault the marks for this place I enjoyed the food and location too much."
Foodie By The Beach,"A good place to enjoy lots of variety of nice local food. Suitable for both locals and overseas travellers.Price is reasonable generally.

Recommend to attire in light and thin sporty clothing. Surroundings can quite crowded and the air quality can make you feel sweaty when you can't enjoy enough Seabreeze at certain times.

Other than that, the place and facilties were well equipped and maintained. TOILETS are clean."
good food amazing service but pricey,Place has amazing food where you can vibe with your friends with over lunch/dinner. Perfect for any occasion! had my camp over there and the food they provide really delivers! mostly open at dinner time
Satay so Yummy,"They have an excellent Lamb satay, fried oyster and BBQ stingray which is all delicious. I love it and reasonable price"
Introducing a friend to local food,This was the first time in Singapore for my friend and so we chose here to give him this gastronomic baptism. Great selection to choose from with all the classics.
Yummtastic,"Should really bring your friends and eat here, which is by the shores! Really windy and relaxing to take a break here"
Local hawker culture,"This is a hawker centre in Singapore, renovated and one of the better looking one in Singapore. The all-in-one stop to enjoy the local hawker culture with all the street food on offer like the fried oysters, hokkien mee, satay, bbq stingray, just to name a few.

A must-visit for first time travelers to Singapore."
"Cold coconuts, hot satay, and spicy crab","I love this place, the stingray, the chili crab, the variety of satay and the lagoon. You go out to the beach and see the waves as you chew on some amazing lamb skewers, you watch the sand castles and the people fighting for a place to sit. The real Singapore can be tasted not in orchard but in the hawker centers."
"Great hawker food; lots of choice, inexpensive food and beer. Great satay.","Located by the beach this hawker has views out to sea, it is all outdoors but the table are covered. There are dozens of stalls offering all kinds of foods; the more popular ones have long queues, (I think the longest was at 'Song Kee Fried Oyster'). The popular satay stall avoids having long queues by taking your order and giving you a pager to come back for the food when it is ready. The wait wasn't long and both the chicken and beef satay were delicious."
a great selection of hawker fare at reasonable prices,"we often go there if we want a nearby selection of good affordable hawker food. firm favourites are the oyster omelette, various satays, bbq stingray"
Cheap and good!!,"Favorites there are the oyster omelette, satay and chicken wing! Must order when you visit. I like to get the tables facing the sea when I’m there as well."
Sweat in goodness tasty food,"Boyfriend only request is to visit same stall at our little beach food centre for seafood meal. Crab, stingray, veg, clam soup with chinese wine. All at sgd$75. Better taste than restaurant but you must accept the facts that there is no aircon. Presentation of food is as good. Oooh.... the clam soup is heaven."
Haron Satay,We been ordering chicken satay from Haron Satay for a few times. Always long wait. But lately the standard has dropped. The chicken satay were dry and tough. Hard to chew. More like meat jerky. Some of the chicken were only half the portion.
Truly worth the trip,"This was a complete revelation and truly wonderful. Slightly Venice Beach in that you can bikes, skates etc to enjoy this fabulous coast and jetty. The view of the three hundred or so ships anchored just off shore is spectacular as is the walk along the jetty. If you are a plane spotter this is just under the main landing path and there is a landing nearly every minute. To top it all there are nearly 120 hawker stalls in this centre with the most extraordinary food. We could hardly walk out the place we had eaten so much. We have been coming to Singapore for 20 years and had no idea this existed. This is truly an amazing place."
Hawker food with many choices,Great eating place to enjoy Singapore food near the seaside. Many choices as there is many stall opened but only at evening time. Few stall in the afternoon. Anyway you can try cheap food and beer here.
Lots of food stalls! The halal stall we frequented was not that fantastic!,"Went there over the weekends with friends! Lots of stall you can choose from! We ordered our food from a halal store, the food was only acceptable but not fantastic! The place is quite crowded over the weekends! The Satay was not bad! $0.70 per stick! Competition is tough among the various stalls! You can choose from any stalls! Btw the view is fantastic! That’s the best Prize for eating at this place!"
Hawker Food,"The place was quite crowded, but once a table was gotten, we could dig into relatively cheap beer and good food.

Our dishes were Black Pepper Crab, Chili Crab, Fried Rice, Sweet & Sour Chicken, and Satay Chicken Skewers(plenty of them).

The food was pretty darned good and the skewers were absolutely brilliant. While the black pepper crab appealed more than the chili Crab.

Overall a good place to visit for good food with friends."
OK lunch but few stalls open,"Went here on a Thursday lunchtime, following lengthy walk through park. Very few stalls were open and the place seemed deserted. I found a stall selling Nasi Goreng vegetarian, which seemed OK. Accompanied by a Tiger beer from another stall, this was good enough."
Sea food galore,"The place is crowded. Found a table inside. The selection of menu was quick. Will help if the stall owners can speak a bit of English. Ordered chilli crab, prawns, stingray fish, greens, fried rice & bun. Food was a bit sweet. No napkin/tissue given with food. Had to buy it from an old lady selling it.
The place could be more cleaner. It was sad by Singapore standards."
Amazing Food,"One of the best Hawker Centre that I have been too in Singapore. Amazing food selection and friendly, accomodating vendors. Had a small sized BBQ stingray, kangkung belacan and rice for $20! Amazing."
An Oldie But Goodie,This hawker centre has been in the area for more than 30 years now. I have always loved it for its proximity to the beach. You will find all the various local Singapore delicacies here. The must-try is the satay. Hiring bicycles is easy as well. You will be able to ride all the way to Marina Bay Sands.
Amazing food with reasonable prices,The food here is quite reasonably priced and the quality is beyond our expectations. It’s a must try absolutely. Will be back soon.
Lovely and hygienic food,"The food village is located adjacent to the east coast lagoon. Make the best out of the trip here by going a little early in the evening and enjoying at the beach, which is impeccably clean and dotted with ships. Then have great and decently priced grub at the food village. Go for local delicacies. Be sure to drop your trays in the bins before you leave. And then take an after dinner walk on the beautiful and clean east coast parkway right upto the jetty and back."
Busy out of town food stalls,We were recommended to go to this food centre by friends and it was a longish taxi ride from Orchard road. Lots of good food to be had here. It was very busy and buzzy but it was a Saturday night we went there. Only drawback was the 1 hour wait for chicken satay so we didn't bother with that this time. The food we did have was very good and very cheap too. Another drawback was the long wait and josttling for a taxi home. Apart from that it was good food.
Great evening,"We went with friends and loved the evening here. Luckily we went early and we managed to secure a table. The satay we ate was the best I’ve ever tasted. The food overall we ate was well prepared and tasty, the prices are good and it didn’t feel very touristy, which was nice. If you fancy an authentic night market this is a good place to go. Also very clean, no dogs allowed, which I like."
