topic,review
"2023 CNY Dinner Buffet @Edge (Pan Pacific, Singapore)","This is arguably one of the most glorious food spread across the variety of food offer from the various kitchens, featuring seafood on Ice, Japanese delights, mezze salad, cold cut platter, mains (poultry and seafood), local cuisines (heritage) delight. The Chinese New Year theme desserts were delightful to the eye and delectably delicious to the palate.

Adventurous food lovers with a deep, wide, ferocious appetite should come to the dinner buffet (the weekend edition)!

Thank you Steven (and Kerwin) for your hospitality. We enjoyed our dinner and our visitor from Taiwan was deeply impressed with the food galore and quality of service."
Delicious food,Family dinner Service crew Venga was very helpful and friendly Most important food is delicious. Will back again for dinning.
Good buffet lunch,"First visit, some of the prawns were pretty fresh.
The pan seared seabass fillet was above average.
The pork and beef not so okay, a bit tough.
The snow crab, tuna and salmon sashimi were just okay.
The nyonya laksa, turkey and pizza were good.

Friendly and helpful service from Mr Kenneth and Miss Crystal. After discount paid SGD70, really worth it, sometimes a 3-course set lunch also about this price but can only fill up half of my tummy."
Excellent Seafood Buffet,"This seafood buffet is located at the 5 star Pan Pacific Hotel.

It was one of several buffets that were recommended to me.

There were so many food stations with a great supply of various fresh seafood. Other stations include Japanese, Chinese, Pizza, Indian, Singapoean favourites including satay and the famous chili crab, desert bar and more.

Its certainly one of the best buffets I have visited for some time.

As a GHA Member I received a 25% discount off my bill :)"
Poor,Poor service Food lacklustre Lobster very cheap and tasteless Peking duck cheap and plastic Sushi was of poor qualitNot impressed
Amazing staff and wide selections of food,I would like to shout out to Shawn the staff who has served us quietly. He is super helpful and very attentive. My friend and I also enjoyed the food tonight. Well done the crew. Thank you 😊
Probably the best champagne brunch with the largest range of cuisines in Singapore,"Amazing range of cuisines from Italian station to Indian one to duck and laksa one, cheese and cold meats, desserts and chilli crab, roasts and pizza, you name it they have it.

Truly extensive range of foods that will keep you full and entertained!

Combine this with free flowing Tattinger chanpagne and you'll have a wonderful brucch in a very relaxed environment.

Highly recommended."
"Some great some not so, large selection","Bottomless champagne buffet, was expensive but they were very generous with the Tattinger champagne. Some of the food was great, the seafood bar being most popular. Dessert was a bit of a bit and miss though the laksa and roasted chicken was delicious. Probably wouldn’t do bottomless again as for an extra SGD90 per person it was expensive !"
Seafood not fresh,Seafood like the prawns and salmon sashimi lacks freshness. Staff are very attentive to needs but struggle with conversational English.
Excellent service by Matthew,Very attentive and polite service by Matthew. My family is very happy with the food and environment. Food quality was good. Would come again!
Food not worth the price.,"I went to the buffet to celebrate my anniversary, chillies crab is not fresh, lobster is over cook ,Indian cuisine is too salty,total unstatified with the food ,but happy that staff is attentive."
First Epic buffet after Covid!,"It was a great experience! Had a birthday celebration for our son’s birthday. Staff was wonderful & highly attentive despite full house. Table was cleared swiftly. Waiting staff included a fair Indian guy & Indian lady who was working hard to serve drinks & clearing table dutifully. They were enthusiastic with taking photos for families. What a lovely experience! Kudos also to Aidil, the cashier at the reception who was so polite & customer-centric!! He showed us to our table, first person we met at the Edge & last person to say goodbye to us. Remembered my name through my credit card! No one has done that before, was impressed :) apart from this, food was great & every station was manned by happy staff! Laksa station was manned by a nice old uncle who cautioned me of the spice level of the Laksa. Many tables were celebrating Father’s Day or birthday. It was a lovely experience & this is what dining out means to us..something that we truly missed during the pandemic. Keep up the 5-star experience!!!"
Epic champagne brunch and wonderful service,"Love to come to the Edge and enjoy a wonderful champagne brunch with epic service from Joyce who is ever smiling and Aaron, both pf whome ensured that our glasses were topped up!

Always brilliant to come to The Edge at the Pan Pac and enjoy their wonderful brunch with long time executive chef Michele Greggio who along with his fantastic team always look after my guests and me.

This is really the USP of The Edge with all kinds of cultures and foods which you could pick and choose and have made for you. It really gives them, ahem, an edge....

Recommended!"
Compliment for staff at Edge,I would like to compliment Ms. Cheong Beng hwee and the staff at the restaurant. She has served us well with her attentiveness to our needs. Appreciate it. Thank you. From 2 satisfied customers.
Disappointing,"We paid $900 plus for 9 adults and one kid to celebrate my dad’s birthday. Overall, We feel the service and quality of food has dropped tremendously.
The spread of cooked food and desert have reduced.
The guy manning the laksa stall is still very friendly and attentive.
The server for our table was very quick to clear our table each time we finished our food. Very hardworking staff.
The oyster counter staff are very hardworking. The fresh sushi counter server deserves to be sacked. He was very condescending to the customers and has the poorest service attitude. Looks like an angry and unhappy chap at work. My bro in law went to place his order for more salmon and he slapped only three pieces on his plate angrily. We complained to the manager on duty and he quarreled with his manager. Definitely has authority issues. When I was ordering mine, I asked for an assorted of tuna, salmon and squid and he exclaimed, “what assorted?!” He really spoils the day.
I guessed we complained and later another server came to attend to us and he is very attentive and served my dad the cake we brought promptly."
Best service from crew!,Had a great business lunch. Seafood were fresh! The spread was alit more than in 2021. We were served well by staff IVY TAN. Will come back again! Thank you!
Good Champange Breakfast for GHA Club members,"Good Champagne Breakfast for GHA Club members, private dining area for Club members, personalise services."
Great experience from the staff,"I'd like to commend on one of their wait staff namely Asha who served my mum and I ( we were sitting at table 33) during our recent buffet lunch at Edge on 13 April 2022. She showed extreme attention to details to our drinks and ensure our coffee and tea were replenished timely.
Our cutleries were also changed during different courses for the entire meal.
Even though the restaurants were swarmed with a lot of patrons, she still carries herself professionally and I felt her sincerity throughout the entire lunch.
Seafood were fresh and the varieties are sufficient for lunch.
Would definitely recommend and return for future visits"
Best Sunday brunch and best staff,"Always love coming back to the Edge for Sunday brunch . They have the most extensive spread, longest brunch period, and most friendly and helpful staff, especially Janice, who has an infectious happy vibe."
Lunch,Great ambience. Was having lunch with friends. Good buffet spread and the restaurant is spacious. Would like to compliment server Ms Aishah and the manager Crystal for their excellent service.
Lunch gathering,"Friendly staff , Crystal and Aishah , food very nice , variety ok , ~~~~~ environment very chill……..(^_^)v^_^^ _ ^(o^^o)(^○^):-D(*^_^*)"
Great Service & delicious food,Good ambience and the staff Kenneth was very friendly and helpful. The seafood was so fresh and elevated the entire buffet experience. Will definitely came back again.
Edge dinner,"Great dining experience at the edge!! Wide buffet spread. Atmosphere is great, very spacial environment. Special thanks to Sonia for clearing our table fast and the entire restaurant team! Highly recommended"
Stay and feast,"My gf and I had dinner at Edge and we were attended by Sonia. Her service was extremely good and proactive with changing of plates and refilling of hot tea. She even noticed that we were having extra sashimi and quickly added extra soy sauce for us.

This is by far the best service I had for buffet in Singapore. Usually I would need to prompt the service crew to clear the plates etc. But with Sonia, we never needed to!

Extremely impressed with the service. Food were good as well except that certain items as stated on the menu online were not available such as the seafood chowder soup"
Amazing service & spread at Pan Pac Edge (sat lunch),"The service by Sonia was exceptional! We throughly enjoyed the spread at Pan Pacific Edge (Saturday brunch). the durian dessert, chilli crab mantou, cream pasta, char siew and seafood were great :-) The ambience was great too"
Mom birthday dinner at EDGE PAN PACIFIC SINGAPORE,"Many varieties of food, from japanese to chinese to western to local food. Very nice ambience. We are being served by Sonia. She is very good, attentive and help us to clear our table on point and refill our water promptly.,It's my mom bday and she wishes her happy birthday too. My mom likes her. Find her friendly too. Overall it's a good experience dining here. Good job Sonia :)"
Birthday Dinner @ Edge,"Relatively good variety of food selection. Food is good, area is clean and the service level this round was much better than my visit last year! Thank you very much to Sonia for such wonder service! It was a great dinner experience."
Best service @Edge,We had a great dinner for my little girl’s birthday. It was so greatful due to the best service and foods. Especially we got very kind service by Sonia! She was so kind and good. Very impressive! Thank you!
Bad service from staff,"Had a breakfast and I waited at the counter to be served for over 5 minutes which was fine as they might have been busy. When the staff came back, he didn’t say a single word and just stared at me and flicked his head up indicating what I wanted. Not a single word uttered and totally unapologetic about not being at his station. Staff name is Wen Long"
Well done Sonia,"Very enjoyable dinner for my family made possible by a very warm and very attentive Sonia, who ensured my family’s needs were attended to at all time. Well done Sonia!"
One of the best buffet in town!,"Celebrated my husband’s birthday at Edge. The spread of food was wide and seafood was fresh. Ivy Tan who attended to our table was nice and friendly, she made the birthday celebration memorable. Thank you."
Fantastic as always at The Edge,"Love staying and dining at Pan Pacific. Was good before Covid and am glad it still is!

Thank you Janice and Jeremy for taking care of us at Table 91! All staff including the chefs were warm and hospitable. Janice, especially, would always stop by for a friendly chat.

Keep it up, Pan Pac! Hope to stay at Pan Pacific Singapore again soon."
Would come back for another,"booked a last minute lunch over at the edge, and was more than impressed by the service of the staff, the food as well. we were greeted at the entrance by Crystal, and she showed us to our table and was extremely helpful. she showed us the various kinds of cuisines and offered her recommendations. also, Lisa assisted us with regards to anything we needed at our table. Both their service exceeded our expectations and were always efficient in any requests we had. Food was fresh and packed with flavours — you would go back for multiple rounds. I would definitely return again, not only for the widespread variety of food, but also for the outstanding service provided!!!!!!!"
Awesome buffet spread with great customer service,Visited Edge with my family together with a toodler. Crystal and her team are very attentive and proactive. Thank you for the awesome service provided. Hope to visit soon!
Buffet dinner @Edge,Outstanding hospitality by the restaurant staffs especially Venga who went an extra mile focussing on the guests comfort and expectations. Hats off to him and five stars . The pan pacific has never failed to perform more than expectations… always glowing .
Worse 2nd return visit.,"my booking was at 6.30pm today with my relative. We decided to come back for our 2nd time dining and have our pre-CNY dinner at the Edge restaurant since we thought our first experience has given us a good impression of the place and we were fine with the price stated when i made the reservation via phone. when we went to the restaurant we were seated at a table just for 2 and no good view in sight. we went to take our food and ate them. found that some of the food spread were cold, some were dry, hard and some were just ok. they even told us that it was supposed to be a chinese new year menu and we didn't see anything special at all.

the fruits felt not fresh at all even down to the deserts. we felt very disappointed in Edge given all it's good reviews and were shocked. it was to us not an enjoyable experience at all

we ended up having diarrhea and my relative had very bad one."
Food was superb!,"We went there for our company Christmas lunch (buffet), the place is nice. Food selections are nice and well prepared. Staff are polite and accommodating. I love the pork section😁...and the durian dessert was so delicious!"
The Edge..My Favourite Restaurant!!♥️,"Repeat visits to The Edge restaurant at Pan Pacific Singapore..
Not a complain about the taste n the freshness of the spreads, especially when being served by smiling n happy staffs..
Seafood hot n cold dishes n their Japanese selections were my go to...n many more choices.
Love the selections of desserts especially the 'durian in a cup',just like eating the real fruit, the best I've had so far...
Kudos to restaurant manager Mr Suresh n the 2 friendly staffs, Rose n Janice who attended our table, for fast services n very attentive to our requests..
Beautiful atmosphere n very clean restaurant..
Can't wait to make my next reservation at my favourite restaurant, The Edge...."
Beware: Not all items on the menu are available,"Had Sunday brunch at the Edge on 19 December 2021. Was very surprised that not all items on the menu are available. Examples would be the duck rillette, xiao long pau etc. The reason given by the chef was the lack of stock. This was my first time coming across this situation as i would think that all the food in the menu should be made available as per advertised.

Service experience was a mixed bag too, definitely below that of the other Pan Pacific restaurants; Keyaki and Hai Tien Lo. There was no recognition of elite status as well."
good experience,"food was exquisite 👌🏻 , seats and queues were safely distanced, extremely fast table service also."
Festive Lunch,"The food was good, lots of choices. Ambiance is also nice. The crew were very attentive and friendly specially Janice. We’ll definitely go back! 👍🏻⭐️👍🏻⭐️👍🏻⭐️👍🏻⭐️👍🏻⭐️"
Perfect dining experience!,Food variety and quality is awesome! Love the ambiance and the excellent service by Ivy completes the whole dining experience! 5 star experience!
"Celebrated 50th Birthday at the Edge, Pan Pacific","Haven't been dinning out for a long while so decided to head down to the Edge to celebrate my 50th birthday dinner with my kids.

Certainly miss the buffet there! Crustaceans were fresh, good amount of varieties of food and serving size is still as generous. I thought, due to the covid situation, there would be a lot of changes, but Edge proofed us wrong. We are very impressed. Tables were separated at a good distance, restaurant is not crazily crowded, all staff has masks on and diners are all lining in an orderly manner to order their food. The service was great, staff were friendly, and I was presented a lovely cake to bring home (I'm a member of the PPP dinning programme) Prior to reaching home, I received a text from the PPP team, thanking me for visiting the restaurant tonight. I was deeply touched.

It was a very pleasant dinner, I couldn't have asked for more. Thank you Edge, Pan Pacific, you and your team has made a very memorable evening for us.

Very well done."
