topic,review
Welcome restaurant,Friendly staffs serve with team work 👍 Clean and quiet ambiance within the private room provided which is good for bonding between the family members !
Below standard,Food quality is below average. Our hawker food tastes better. Very limited selection. Food does not get replenished. Very disappointed!!
simple yet satisfying lunch buffet,"really happy to know that Element has resumed their buffet. i used to be a regular as the spread and quality suit me and my family's taste, especially the desserts. staff is always friendly and attentive."
Ok buffet but have rooms for improvement,"I revisited this hotel cafe recently for my buffet dinner. It has been about 8 years since I last dined here and it's just reopened not too long ago.

The cafe was nice, cosy and bright.

The food spread was mainly International, with a spread of Western, Asian and local themed food and overall they were ok (some hits and some misses) though the variety of food is lesser as compared to the other restaurants within the same price range (to be fair comparison).

Some of the delicious food of the night included the chilli crabs (but on the sweet side and not spicy enough), honey pork ribs, curry mutton, bak kut teh soup, cod fish, ee fu noodles, rojak and nonya kuehs/pastries etc. The meat dishes were flavourful.

Do note that there were no oysters but only mussels, clams and prawns unlike other restaurants on same pricing that included oysters, crab legs and even lobsters! (see my earlier review for those restaurants)

Although there were sashimi and sushi maki (but very few varieties), they were not fresh and were very hard (either they got from suppliers or may not prepare them long time ago). And the egg omelette and stir fried vegetables were disappointing, bland and too watery. The stir fried king prawns were not that fresh too and even before eating them, their heads fell off ""automatically"".

Coffee, tea, orange juice, coke, ice cream and fresh cut fruits were inclusive in the buffet. However, during our visit, the coffee machines were having problems as the milk dispenser was faulty, instead of liquid milk, it displaced a whole chunk of cream! And the coke was too diluted too!

As part of the reopening promotion, they now offer 2 glasses of free beer to every diner but for non beer drinker, including children, kids and senior citizens, this promotion was not irrelevant to them and nothing was offered as a replacement. In fact, there were quite a number of these groups of people on the evening I visited. I do know of hotels that practise ""replacing"" the beer with juices or other softdrinks or some with desserts etc.

On the service side, staff were friendly, helpful and generally efficient, i.e. clearing used plates. But the manager or supervisor (in coat), an Indian gentleman. When we arrived at the cafe at 6pm, we were ushered to our table but was told that the buffet would start at 6.30pm but the website when making reservation stated 6.00pm. When we told him that, he said no and told us 6.30pm. But after about 2mins later, he came back and told us we could now take the food as the buffet had started. And throughout our dinning, I noticed a few ""miscommunication"" between staff and manager, that resulted certain tables received the beer, some didn't or sending the wrong quantity etc.

And by around 9.30pm and even before the buffet closed, staff were seemed taking and packing food from the buffet counters, of whom some were seen eating around the bar tables, others elsewhere. There were still diners around taking food!

Overall, my dinning experience was near satisfactory but it has many rooms for better improvement.

Considering on the limited spread of dishes and their quality, the services and basing on the price charged, the buffet was not that worthwhile and on the steepside. In fact, we were a little letdown as our last visit then was much better (even with lobsters then among many other better food).

As mentioned earlier, I could go to another better hotel cafe for better and more varieties of food at the same price (or even cheaper since they have online and senior citizen discounts) and so in the near distant future, will not revisit again, possibly 8 years later? LOL.

#foodgasm #food #buffet #foodporn #instafood #foodism #foodie #instabuffet #foodporn #foodpic #foodaholic #foodlover #foodstagram #instagramfood #foodielife #foodiegram #foodforfoodies #foodgram #igfoodies #foodblogger #foodpornography #foodiesofinstagram #buffetdinner #dinner #foodpics #instadinner #foodphotography #foodgasm #foodphoto #gastronomía #elementcafe #amarahotel #amarahotelsingapore"
Birthday celebration with bestfriend,Superb excellent customer service we got from Jessy & Wendy.. Drinks & foods are applying to our taste & everything..
Poor service and food quality,The service quality is poor and food quality is average. The price is high and portion small. One item took a long time to serve when other diners have finished their food.
Great service at Element Restaurant,"Came Amara hotel for a staycation, if there is anything that impressed me, it is the customer service from Mr Jeffrey Goh at the Element Restaurant during our breakfast.

His customer service is great and attentive to guests in the restaurant. As I went with my parents, when he realised the coffee served is not hot enough for them, immediately replaced another cup of hot coffee for them. The restaurant is only minimally staff, great job Jeffrey! Thank you for your great service!"
"Staff Top-Notch, Food Average","The staff are pleasant but the food is expensive and sadly not too good. When we requested for slightly altered menu types, this sadly couldn’t be produced."
Amara Hotel Buffet @ The Element,"Went for the Lunar New Year dinner buffet (2/2/22), terrible food served. Food serve not hot and fish got very strong fishy smell, laksa noodles not cook enough and the abalone that came with it so rubbery. Nothing was cooked on the spot, foods served were taken out from the food warmer and they are charging $99+++ for that kind of quality. Very disappointed dinning experience. This will be the first and last time I am dining there."
Excellent Service,"The food is adequate, but the service is what drew my attention to this restaurant. The waitress was nothing but pleasant and provided excellent service to me and my friends from the moment I stepped into this restaurant. She was not just friendly, but also very clear, attentive, and knowledgeable.
I am very impressed, and I hope they continue to do so."
Not worth the price,"The quality of the food was unfortunately not worth the price (about $100 nett per pax). Most of the cooked food are too salty to our taste. Not many food suitable for small kids. Yu Sheng & Dessert were good though. By the way, there is no toilet to use within the restaurant so we had to go inside the shopping mall to use. Plus we got wet by the rain as there is no shelter between the mall and restaurant. So good luck to you if you happen to go there on rainy day or often need to go washroom."
Not as good as remembered,"This was a favourite of my mom, and we used to eat here every once every few months. With the covid situation, we had not visited for a while.

Brought the missus here for high tea and, sadly, it was not as good as I remembered. The Quintessential set looked okay but, tastewise, there was not much of a wow factor. We liked the curry sheperd’s pie, and the carrot cake was good with the excellent chilli. However, the otah toast, the mini burgers and the various nonya kueh were ordinary.

The set came with a pot of TWG tea, but there was only a teabag for the pot. The tea arrived weak, and with each addition of hot water, it became weaker. The missus jokingly mentioned that we should have brought our own teabags.

The staff were still friendly and efficient, especially the longer serving ones.

Due to Covid measures, you cannot enter through the main hotel entrance, but instead have to walk around to the entrance on Tras street. This should have been communicated when the hotel called to confirm our reservation. Instead, we had to trudge through a torrential downpour to get to the tea."
Excellent Food and Service,"Sometimes, it is not really the food the makes you come back to the place but the service provided by the staff... from the main entrance, they will provide you with warmth welcome til you get assisted to your designated seats. All staff are really nice and kind.
Now., the food.. i would say worth the amount we paid. Very festive and the taste is really good.
Each plate has its own distinct taste and plated very nicely.
I will definitely come back here again and again."
"Excellent food, fantastic service",Went with family for high tea. Food is delicious and service is really good and friendly. Special commendation to Eileen. Highly recommended!
Terrible seafood buffet,Wenthere on our last night in singapore - seafood was poorly handled and obviously old / defrosted - crab was inedible. Extremely expensive buffet with poor choices and quality - look anywhere else. Price was way over the top for what was offered.
Great for gatherings,"Had CNY reunion dinner here. Good experience from reserving (thanks Tia) to having food here. Affordable too. Pleasant surprise for festive food like yu sheng (thank Yvonne for saying the cny auspicious words), sausage rice.
- Seafood- We had the snow crabs, lobster claws - were good + fresh, we added it to the local lakes too and it taste great. Oysters could be better.
- Cooked food - Roast beef leg was good (not dry), had chilli crab with fried buns too, liked the laksa and the
- Desserts - liked the special cempadak torches pudding + mini chocolate sponge cake
- Service - staff were super friendly, greeted us at entering, cleared plates fast and also reminded us about where to get special/signature food"
Seafood that tastes as fresh water.,"One night I only ordered sushi a la carte, that was good. The second night I tried the special seafood buffet. Lobster even the shell was rubbery, the meat had hrd bits in it and did not taste like seafood at all. The Peking duck, the pancake was rubbery, the duck not crispy at all and the hoy sin sauce watery. The oysters were splendid. The shrimps were overcooked and again watery. Pity for a menu of mor than 60 hing king dollars. I talked to the chef and he just raised his shoulders. Apparently he couldn't care less."
"limited but adequate, sashimi was a disappointment","decent buffet here. selection is limited compared to other but adequate. creme brule has a surprising element cempedak! very good. hainanese chicken rice was awesome too. but i am disappointed with sushi station. sashimi is very important bcse its my favorite but the meat cut was filmsy and the station looks empty, chef seems like not engaged. much improvement needed"
Christmas Dinner Buffet,"Helen Kuo's, Margaret Choong's service is excellent, food is great, my in-laws and my wife loved the food, what else can I say 🤷‍♂️"
So so,"Buffet consist of chinese, western, japanese, korean. Abit of all. Enjoyed har kaw, fried tonkatsu, assorted tempura, beef stew, prawn, some desserts.
Seafood was not very fresh, sushi was not as good.
$60 per pax. It was an okay meal. Probably will not return unless there is a promotion."
A very satisfying diner buffet,"We are happy to choose Element@Amara for our early Christmas celebration. It was a satisfying experience considering the seafood buffet, roasted beef, risotto and desserts they serve. i like the taste of laksa and chilli crab as well. The creme brulee is also perfect. I would understand that it may seem a limited choice to some but for me that taste fills it all. It also feels welcoming that Sharon added to that warmth service they provide. For group gatherings like what we had, we are very well assisted. Other staff are also attentive on clearing up our plates and filling our glasses with water. The laksa/roasted beef station would even gently ask you what you would prefer. Service is at point and i dont expect this to a busy Singapore. Thanks so much Sharon and The rest of Element... All the best to your service team"
Good for group corporate lunches,The unique setting of Element is that their design allows certain level of privacy when you have team lunches. I find the food quite fresh and staff very friendly.
Buffet at Element - Amara Hotel,Variety is very very limited. Slow on refilling water and hardly replenish food. Service is very lousy. Very disappointed. Not worth at all to go. Will not visit again.
One of the worst dining experience I’ve ever had,"My family and I recently came to dine at Element for lunch as it was recommended by my colleague. I was told that it was one of the best buffet experiences he has ever had.

When I got there, I was warmly greeted by a waiter and service was fast and efficient, which was a good impression left by the staff named Aloysius.

However, throughout the lunch period as it got more packed and the restaurant was almost full, I noticed that more manpower is needed to ease the burden of the staff working there.

What infuriated me and ruined my dining experience was when I saw a female waitress/manager, walking from the front of the restaurant all the way to the bar area and chatting with another staff while neglecting diners and helping others.

I also saw that the staff wearing aprons had a logo that says “Team Amara” nothing demonstrated during my dining experience showed that the female staff was part of a team.. certainly wouldn’t want her on mine."
Terrible first impression!,"Wanted to dine in Element Restaurant as to try their buffet spread. Decided to make a call as to make a reservation and was shocked and disappointed just by the phone service!

Lady who picked up the phone call was monotone and had extreme lack of sincerity. Also had to clarify if it was Element Restaurant that I was calling as there was mere silence when phone was picked up. Conversation was short and informal. No apologies or other alternatives were given when a one word answer was responded. ‘Full’.

Overall terrible first impression. Don’t think I’d be trying this this restaurant anytime soon."
