topic,review
Rude waiters,"The staff was extremely rude at our visit. Even though we had queued for 20 minutes, we simply walked out. Have ordered in before via delivery, so we know their food is good, but I will not stand for rudeness."
Wasn’t blown away,"Came here for brunch and it was alright. Coffee wasn’t up our alley, milk texturing is not silky. The food wasn’t bad but it is typical cafe food. Also gotta leave 45 mins after your last dish is served."
Simple quick food and nice coffee,Simple quick food and nice coffee Had breakfast here- eggs were delicious and served quickly. Some of the staff extremely friendly and very accommodating with children.
Late brunch,"Went in for a late brunch with my friend. Their coffee is full bodied and strong the way I like it. Breakfast items has all the usual with bacon, eggs sausages. The unsual is this portion I ordered with is a shakshouka. Essentially Greek cheese with poached eggs and semi sweet. Interesting to me. Others in the lunch menu also have local flavors like Rendang. I would have gotten that if not for the fact it is the first meal of the day and it might be too much. Social distancing measures in place. Sanitizers in place."
Brunch place near botanic gardens,Very conveniently located near botanic gardens. I had brunch before the circuit breaker some time in the afternoon. Generous portions for the brunch set. Give it a try if u are near botanic gardens. The sausage in the brunch set is good
Lunch,"Got recommended this charming place and visited before the start of circuit breaker. The atmosphere was nice and calming, a great place to visit after a walk at Botanic Gardens which is nearby. I ordered the Wagyu Beef Cheek Rendang which was a great dish with succulent beef and flavourful rice. There was also a side of keropok which is was a tasty addition to the meal. Would love to visit again."
Hearty brunch,"Vistited this place before the start of circuit breaker; nice atmosphere with very good food! I ordered the Breakfast Works and the scrambled eggs were to die for; amazing creamy eggs and overall hearty dish. The atmosphere was nice and elegant, a great place to visit with friends and family and only a short walk from Botanic Gardens MRT.
Would love to visit again soon!"
good coffee,"i went there for breakfast as serene centre is more crowded at lunchtime. the coffee was nice and strong, the way I like it. for sure I will go back for coffee!"
Pleasant dining experience,"Visited Elixir Boutique for the first time and I must say that I really love the place. The staff was friendly and the ambience was nice. More importantly, the food turned out great! I ordered The Breakfast Works and my friend ordered the creme brulee! We finished the meal with 2 cups of coffee with latte art on it. Lovely place."
Great ambience & food,"Ordered the Smoked Shimeiji Mushroom &Ricotta at Elixir Boutique Roasters. The food came in a generous portion and service was prompt. The dish itself was very rich, creamy and substantial. Would definitely recommend it and come back again myself :)"
Excellent food and friendly staff,"Tried The Breakfast Works, which is made up of a safe yet wide variety of premium ingredients that is hard to disappoint. The scrambled eggs particularly exceeded my expectations, as they were soft and fluffy. Despite visiting during a peak brunch hour on a saturday morning, service was great and the food arrived without delays."
A little bit of everything,"2 weeks ago, I visited Elixir Boutique Roasters and their breakfast platter is just amazing. The scrambled eggs are textbook level, soft and just a little runny. The brioche tastes slightly sweet, and is toasted to that optimal spot where it's crispy on the outside but soft on the inside. The veggies taste fresh, and salt from the meats amplifies that freshness. The whole dish is a brilliant bland of all tastes and colors, a great way to energize your day.

The temperature of the vanilla latte I ordered is well-handled that I was able to sip it as soon as it came to me.

The setting of the place is great too, it receives just enough sunlight to make you feel refreshed without becoming too hot.
If you decide to visit the Botanic Gardens in the morning, be sure to check this place out!

p.s. the platter is big enough to feed 2 adults; so, if you are only there for breakfast, order with caution"
Elixir boutique roasters,"Good food and good ambience, enjoyed the truffle eggs prosciutto and the hot chocolate! Really nice place to chill at"
Great options for vegetarian dishes!,"I ordered the Grilled Halloumi, Truffle Fries and Cold Brew Iced Tea (the seasonal was a black tea with something citrusy?). Portions were good for a filling brunch session, and tea was superb =) Our photos definitely don't do the food justice!
Atmosphere was chill enough to have a pleasant conversation. Overall would recommend for anyone looking to spend a nice morning/afternoon unwinding with a good cuppa."
Brunch Idea,"Surprisingly good food! Ordered the Wagyu Beef cheek rendang today at ELIXIR. It was well-cooked and you can just taste the flavourful rendang. The blue rice was also super tasty(As an ethnic Chinese, I don't use this lightly)!"
Chill Place,"A place with amazing ambiance, chill vibes and good food. The service was excellent and the staff was warm and friendly. I would totally recommend coming here for a quick meal or even to study while enjoying a cup of coffee. I tried the Duck Cassoulet and it tastes absolutely amazing, I would totally recommend if you want a light meal."
Great food,My partner and I had a hearty breakfast this morning. We ordered the Truffle Eggs Prosciutto and Breakfast Works which seem to be popular choices among customers. The food was appetising and filling. There was also a generous portion of eggs (I love eggs!!!). Would love to be back to try their Brûlée French Toast :-)
"Calming Ambience, Savoury Food","If you're looking for a scenic, quiet spot to take the edge off after a hectic week, Elixir is the place to be.

A friend and I ordered The Breakfast Works and Truffle Eggs Prosciutto and was pleasantly surprised how well the truffle oil was mixed in with the eggs. The scent of truffle oil came right through once we sliced into the toast. Both dishes lean towards savoury and are value for money, we almost couldn't finish as the portions were very generous. Coffee here is great too, the caffeine doesn't come on too strong and the coffee art is beautiful. Service is quick and the staff are responsive. If you're lucky, you may even come across some furry friends as some patrons may bring their pets.

A wonderful lunch spot overall!"
