topic,review
Great service and delicious durian penyet!,"I visited Ellenborough Market Cafe for the first time after many years, and was not disappointed. It was Chinese New Year season, and my son and I enjoyed the traditional tossing of the raw fish with condiments (""yu sheng""). The raw salmon slices were fresh and generous, and the dish was delicious. I also had fried sea bass and Singapore laksa, and enjoyed these dishes. The Straits Chinese or Peranakan desserts and mix of cookies and cakes were a delight. However, what impressed me greatly was the attentive and courteous service delivered by Suresh, a young waiter who looked after us. He was thoughtful and prompt in attending to our various requests, and most courteous. The durian penyet dessert was as I remembered it - a chilled delight!"
Pleasant Dining Experience,Went on 15 Jan to have lunch there. There is a good variety of the buffet food. I especially like the durian pengat and laksa. The manager on that day (Darren) was very patient and ensured that our requests were met. The service staff was also very prompt in clearing our plates and getting our tea and coffee. Overall it was a pleasant experience for my family.
BAD!,"Terrible experience. The food were so bad! Only the laksa and durian dessert can survive! How could you even charged so expensive with such standard! No beverage options were available except coffee, tea or tap water with SGD78++/pax. Ridiculous! The lady fingers with chilly sauce were raw and uncooked. The babi ponteh was hard as rock. Fresh seafood options were just merely passed. Please look into this matter or else don't even think of calling yourself The Peranakan Classics Buffet. All your peranakan food were not even up to standard and huge disappointment on a new year day. The service were terrible and every service crew look like zombies walking around the restaurant with negative body posture including the restaurant managers. No thank you for this bad experience."
Excellent Staff Service,"A salute to all staff of Ellenborough Market Cafe! You've been helpful, courteous and efficient in all ways. Thank you for making our luncheon a great one especially when we are hosting foreign guests."
Place to serve local people's delicacies,"Went there for lunch with office colleagues, they have a wide spread of buffet but only catering to the taste of local people.
There were no vegetarian items in the menu. Upon request the staff prepared some Vegetarian fried rice and noodles but the raste was just OK.
Dessert spread was ok with local delicacies and some pastries."
"Nice Food, Great Service","One of the most value for money buffets in town, which offers an unparalleled durian penyet. Special mention to Mr Jega for his hospitable care and service especially towards kiddos."
Great selection and service,"We were surprised by the spread that was offered. While not many seafood options, the buffet spread of dim sum, laksa, rojak and other local delights were delicious. A lot of dessert options too! The green tea creme brûlée and durian pengat are must-try’s.

Service was attentive and good. Jega took really good care of us during our time there. Thank you!"
A tragic place for a vegetarian,"The buffet was extensive with a good variety of dishes and salads however being a vegetarian I found it a terrible place to be. Though the chef prepared some noodles and fried rice for us however it just didn't suit our palette. The dessert section was good and that is what I survived on. The dessert variety was good and they were pretty decent.
Not good for business meetings due to a large number of people talking to each other. It's good for a family get-together. Lots of seating and ample space."
Truly a depressing affair,"We’ve loved our earlier visits. Parents love the Peranakan food and the quality was high. Now, it’s really sad that the otah was not good, the soups were salty and probably the worse part was the durian Pengat had morphed into dodol texture. Previously the pengat was an experience second only to eating the real fruit. I know it’s now paradox instead of swisshotel but ellenborough surely you can do better."
dinner,"went there for dinner using voucher. the food quality really dropped a lot nothing stands out anymore. almost like hawker food standard but paying restaurant prices even with voucher. please eat your food and ask yourselves if nice or not??

service is terrible. water glasses not refilled automatically. soiled cutleries and plates not changed promptly. food is slow. they only had around 5 big tables and they cannot even cope well.

the next issue is they even set a chipped porcelain soup spoon on the table. obviously somebody dropped the spoon and chipped it at the side and they simply wash and reuse it until pointed it out yesterday. its obvious they didn't check the cutlery before doing the table setting.

showed the waitress the spoon and she was apologetic and replaced the spoon.

as such, please don't waste your time there anymore even if there is discount or voucher. well I guess it was 'decent' in the past but not that 'decent' enough for me to warrant a repeat visit over the years until only yesterday and this is the standard now.

definitely won't be coming back. there are better Peranakan restaurants elsewhere. goodbye and good luck!"
All-rounder goodness,"After reading the reviews, I was worried that the food would be bad; to a pleasant surprise, it is one of the best buffets I've had or at least this March lunch menu! Everything tasted decent except for the wanton, seafood is fresh, and portions they serve are reasonable (due to COVID buffets still get served to your table). Drunken clams and durian pengat are the best. Would totally consider coming back again!"
Ellenborough Market Cafe,Reservation with Ms Suhaila was a breeze. The manager/supervisor Mr Harry and his team serve very well during the meal. Keep it up! ~ MR SOH
Restaurant's standard affected by Covid?,"Made reservation for my family lunch at the restaurant on the first of CNY because this was one of our favourite for CNY buffet lunch almost every year except for 2020 and 2021 becos of Covid. However this year, the experience was totally disappointing. We can understand the serving arrangements because of Covid safe distancing measures, but the small portioning, low quality and slow serving certainly made the whole experience a far cry from pre-Covid! How can a restaurant's standard dropped so much, not to mention value for money. Avoid this restaurant for the time being unless you want to get the following experience:
1. Small quantity- one or two pieces of food per order.
2. Low quality - Chinese wax meat rice that was dry without any meat, sea cucumber that you have to find in the small bowl because it it one tiny strip, cereal prawn using frozen de-shell prawn that we can find in supermarket. Even the famous durian pengat, why add gula melaka and coconut milk into it to spoil the authentic taste.
3. Slow serving - I don't think it was done on purpose so that people cannot eat more. But I can't help to think of the productivity when people keep reordering because of the small portion and created more orders for the kitchen staff to prepare that resulted to slow serving. Not to mention about all the paper used for the orders, each table easily used at least 5 pieces though we try to consolidate the orders.

To sum it up, the restaurant is ""sick"" with Covid. Avoid till it fully recover to their pre-covid status."
Horrible lunch!,"Had lunch on the 1st day of CNY. Food was horrible even their once famous durian dessert! Their seared tuna was just unedible as it tasted as if it was kept in the fridge for days! Most dishes were pathetic and we paid almost $100 per person. Agreed with earlier review, food at hawker centre would be better! Coffee tasted wierd too. What happened to this restaurant?! Will never return. What a disastrous experience! Many service staffs walking around to clear dishes but it took a while for it o be served!"
Avoid This Restaurant,"We went on eve of CNY eve for the ala carte dinner buffet at $98++ per pax. Many items on the order list does not represent what is eventually being served. Quality of food is poor.
Examples:
1. Fish Maw soup is actually salted corn flour water with flakes of egg whites. No taste except salt, NO fish maw.
2. Dish with sea cucumber has NO sea cucumber. Instead, has pieces of tough meat.
3. Chinese wax meat rice has only hard rice in soya sauce with NO sausage, NO meat at all. Rice is hard, maybe overnight frozen rice reheat in microwave.
4. Chinese black pepper beef with celery is tough and dry like beef jerky. NO celery also, just tough meat Cannot be eaten. We return untouched. Again overnight food reheat in microwave??
5. Grill beef and prawn western style is again tough and dry.
6. Rojak has only 2 pieces of cucumber and the rest is fried you tiao ( fried dough fritters)
7. Rock lobster with Chilli Sauce has 2 big slipper lobster HEAD with NO meat. Definitely NOT ROCK Lobster
8. Red Garoupa with preserved vegetable is Deep fried Fish with nothing else, definitely NO preserved vegetable.
The list goes on.....

There are many other restaurants in the market at this price point and it is sad that food in this restaurant has deteriorated to this level. This could explain why there were only 4 other table of diners apart from ours.

WE felt short changed. Hawker center serves better food and definitely not at the price this restaurant charges."
A la carte buffet,"Had a business dinner here. The buffet has changed to a la carte buffet due to covid. You order the items and they are served. They are single serving so order more if you need. Local and international items. Good ones include durian dessert, satay and lobster laksa. Bad ones include the beef steak

Ok service"
Buffer disaster,"Booked a table for the family to celebrate NYE dinner. Buffet selection was unimaginative, quality of the food was below standard even tasteless, the bbq meat/ steak was tough and no flavour. For $88 this was one of the worst buffets I’ve had and didn’t feel we got the value for money."
Nice Ambience,Excellent Customer Service by Ms Agnes & Mr Peter Yong ONLY. They were very efficient & polite. Food was average & not as much varieties as before. But Laska was really good.
Dismal Food & Service,"When I think quality buffet, Ellenborough comes to mind. But my recent hi-tea experience was terrible, both in service and food.

Long story short. Provided feedback that service was slow because we waited close to 20 mins from the time we placed our food order to the time food was served, and the curt reply from the staff was ""We are busy"". I think there's a more hospitable reply than the one provided.

Food standard has deteriorated. I can make better prawn paste chicken using my air fryer. I think that tells a lot about the hotel standard.

As an Accor Plus member, the quality of the restaurants do influence my decision when it comes to renewal."
Feeling disappointed as buffet not as good as before,"The spread during lunch really shrunk coz was not as much varieties as before. Several dishes are on the high side of saltiness(eg:laksa,Babi pongteh and Rendang Chicken etc). Only the fried pork and Thai pork collar and Belgium chocolate ice cream is nice.Staffs are friendly but not as attentive as expected.Complimentary 2 hour parking is nice.But I will not foresee going back again in the near future.Abit disappointed as I went there to celebrate my 10th Wedding Anniversary."
Palatable & Delectable Peranakan Classic,"I was being invited & introduced to this restaurant back in 2019 for their Peranakan classics and was drawn to it, ... .... Ok, it was a Buffet style back then, which means I could keep refilling my plate with the palatable & delectable Peranakan dishes & desserts!

I would say today's lunch, the Culinary team and their EC, has managed the desired flavours, savouriness and sweetness with consistency and my friends and I enjoyed our orders. I had their Kueh Pie Tee, Ngoh Hiang, Nyonya Rojak, Ikan Tempra, Chap Chye, Assorted Nyonya Kueh, Charcoal Salted Egg Cream Puff and Chendol. Something New; Nyonya Bue Pea Bubur Cha Cha, I don't recall seeing this back then or maybe because too many rounds of the mains.

However, I would wish to see and/or may I suggest to have a bit more Peranakan food items instead. Alternatively, feature 2 or 3 Peranakan items bi-weekly / monthly. With the EC's culinary expertise & skills, well versed in ingredients and definitely the creativity, am very sure his team and himself would be able to bring back those memorable relish soulful Peranakan classics that was served in the restaurant before!"
