topic,review
Dinner,"Dinner with family for CNY. It was a bit confusing prior to the visit as a la carte menu wasn’t available which was different to what was advertised. However, the staff were very accommodating and able to change one of the dishes on the set menu. Excellent food and would definitely go back!"
Wonderful,Excellent meal. I love their dim sum brunch. Great value and lots of choice. Visited over LNY and whilst busy they left enough gaps between reservations and tables to feel personalised.
The service 🤦🏻‍♀️,"Food is nice, location is good...but the service is so terrible that it ruins the whole experience. We waited for ages for our drinks, every time we ordered water they would forget it, the poor waitress did not speak a word of English (and i feel for her, but how are we supposed to interact with her?)
It's sad because we had been at empress before and it has never been this bad"
Excellent choice for upscale dumplings.,If you want to try upscale dumplings and very tasty gyozas this is the place for you. I tried their impossible gyoza and it was delicious. Will return when in Singapore.
Thank you for the good food and great service!,"We were impressed by Timothy's service! He did the food ordering, cutting of our duck, serving our dishes, clearing our plates, photo taking and close our bill. Best part was we didnt have to wait too long at any one point of time."
The restaurant has aged badly,"The restaurant is apparently not well maintained. There are badly stained rugs and a chair that leaks (yes, water was literally gushing from the chair, as though someone was wringing a wet towel, when my spouse sat on it! ). We ordered the $63 per person set lunch, only the soup was good, the rest of the food just tasted of MSG."
Nice venue and good food,"Rave reviews amongst my friends. The spicy tofu came in a hotpot. So tasty! Good to have it with rice. The peking duck skin is crispy . Half duck is about 10 to 12 pieces of skin . The meat is used for the fried rice. Option of noodles.

Overall we enjoyed the atmosphere and friendly service"
Not for real dim sum foodie,"The atmosphere was wonderful, it's a great place to have cocktails and relax, catch up with friends over a nice evening / weekend. However, the food quality was absolutely terrible. The triple roast platter, was cold; the roast crackling pork had such a rubbery texture, it tasted awful. The spare rib was so overcooked that it was impossible to bite / slice off. Congee was tasteless, pickled cucumber was a joke that it shouldn't even be on the menu. We ordered almost everything on the menu and sadly, nothing deserved any recommendation."
Perfect except the service,"Empress, Asian Civilisations Museum: Farewell dinner for with our darling @ and thank you for dinner (you sure grabbed the bill fast before I could!) Chinoiserie Empress is so beautiful, elegant and stately. You’ll love bathing in the lush soft glow of the lights and the tastefully curated furniture. A panorama of the twinkling lights and the Singapore river soothes your eyes. Then there’s the impressive food to match all the good styling and view. It’s vegan and vegetarian friendly, the impossible versions taste like meat. Were opted for all 6 appetisers - the award-winning pan-fried Impossible gyoza (thumbs-up the best), crispy eggplant with mushroom floss (love the play of textures and the eggplant was soft and played with crunches), crispy beancurd ‘Peking duck’ (my least fav), deep-fried salmon skin, tofu and salted egg sauce (my 3rd fav, the fried tofu was so juicily soft yet fried so perfectly), Sichuan steamed dumplings, crispy cod ‘Bi Feng Tang’ style (bit-sized cod morsels that are perfectly fried and so tasty) and stir-fried king prawn for fun (gravy was perfect, the noodles silky and the wok hey sauce so smokingly wow). It was all in all a perfect setting, perfect food but marred by bad servicing. Once seated, they left you to your own devices. I had to scout hard for service. It was happy hour and they didn’t seem keen to keep up the service. Our waitress also didn’t know that the appetisers had vegetarian options. I pointed it out to her in the menu. She also got the dish names wrong. Service was good enough for cafe, let alone a swanky spot of this ilk. Thankfully, we had great company for the evening. #eatstylishtravelstylish"
Great vegetarian options!,"Great location and service. A surprising number of fabulous vegetarian dishes to complement the meat dishes. Finally, a modern Chinese restaurant that caters for vegetarians AND meat eaters.Well done! I'll be back for sure."
MUST VISIT FOR VEGANS and NON VEGANS!,I really enjoy the hospitality and the food and setting. I feel we need more of such concepts in Singapore
"Great food, great service",Spent my 1st wedding anniversary over at empress. Crusine here was awesome and surprisingly filling. Staff Eunice service was prompted and delicated.
Overrated,"Staff refused to let us dine indoor even when there were plenty of tables indoors. When we finished dining at the outdoor area, the indoor tables were still empty. Food was so so, for the exorbitant prices charged ($200 for 4), I had expected better quality. Dim sum were disappointing, fried brinjal normal, gongbao chicken was lousy. It is like the hits and misses mentioned by other reviewers. Pork ribs is ok, only good ones were fried rice and mapo tofu. Extremely overrated restaurant"
A Delightful Time Always,"This is my third time back here with my wife and this time our young son; we had our ROM dinner right here and so it's really special to us. Delighted to have an evening served by friendly staff with very special fusion cuisine, and a sweet little dessert to commemorate our anniversary. Thank you!"
Horrible food!,"Pathetic food and the staff was in a hurry,they served the main course before the appetisers! Don’t waste your time And money"
Very Nice Restaurant,"This restaurant is beautifully decorated along ethnic themes and yet manages to be cozy and welcoming. There is nothing subtle about the cooking. Strong, bold flavors front and centre. Not the place for the culinary purist or the faint of heart. The delicious food and innovative recipes mitigate the rather brusque and cold service."
The Empress impresses!,"Beautiful ambiance, good service, matched with quality Asian cuisine. Their lunch and dinner menus are great. My friends and colleagues are always impressed when I bring them here. It’s a gem"
Wonderful wonderful evening!,"Visited with my parents and had a wonderful time. The restaurant was in a beautiful setting, lovely interiors. The food was outstanding, service was also tops! Felt very well looked after. Tip: come early, see the sun setting, get a table indoors but at the end of the restaurant so you can also enjoy the outdoors!"
Great quality authentic Chinese Restaurant,Great view and ambience. Nice place to enjoy sunset by the river. Surprisingly super authentic Chinese food. Awesome peking duck!
Highly recommended,Great place at the water front. Nice to sit outside. Stylish to sit inside. A bit more posh. Lovely food. Big portions. Not too expensive.
Awesome vegetarian food,"We had vegetarian set dinner. The food is simply awesome. My parents are amazed by how they can make the vegetarian food to be so flavourful. There’s countless of wow every time we tried the dish that served. I must say, food is really good, and good service too! We would definitely go again!"
"Great food, ambience, and service","Visited with my sister. I am vegan and she is vegetarian, and there are ample options which are not just decent but really good dishes in and of themselves. I'm willing to say that Empress is one of, if not the best, special occasion restaurant in Singapore if you eat plant-based. Aside from the excellent food, the ambience is also fantastic.

Also want to mention the excellent service - we were seated on the far side of the restaurant from the entrance and were served by one male and one female server (pity we didn't get their names). They timed the courses perfectly and we never had to ask for anything (e.g. water refills, etc.) throughout the 2 hour meal. I had indicated that we had made the reservation to celebrate a birthday, and at the end of the meal they brought over a cake, took a picture (polaroid) for us, and presented us with the developed polaroid in a 'happy birthday' card. Genuinely top-notch service, super impressed."
Great Dim Sum brunch!,"Great Dim Sum brunch! We always enjoy the brunch selection here, especially the plant based selection. Service good also. We will be back, thank you"
Lunch set not as good as before,I think they might have recently changed their menu. Soup was on par. However the current mains were lacklustre. Desert I think they removed some items. Probably won’t visit again as there are other better choices at this price range.
