topic,review
Dining with a private room,"We booked a private room for a meeting for 7 pax. The room was great and private for conversations, and the food was AMAZING. One of my friends is a Japanese who is very particular about quality of her food and she loves what was served that day. The location was also good for us as it’s located in bugis near most of our offices and not far from MRT station."
Family dinner,Good service with good price. Best Japanese restaurant at bugis. Will come back and visit here again
"Excellent food, ok price and great service","Excellent food, great service. From the moment we arrived the staff were surprising us with Japanese delights. We especially recommend the Otoro👌"
Great experience. Will be back!,Delicious and fresh Japanese cuisine. Service was excellent. Will visit again. Tips: try the Fugu Mirin Boshi - can’t stop ordering more. The warm sake was lovely too.
Best Sushi restaurant!!!,"Best Sushi in Singapore!! Beautiful restaurant. The food is amazing, great menu. Everyone was warm and welcoming. Very helpful and informative on the menu. I had the privilege to meet the owner. He was very kind to customers and the staff. Highly recommend."
Fantastic Sushi & Sake in Singapore,"Great spot right in the core of the city !! The service and quality of the food was on point. And if you like great sake, this is the spot for you ! Ensushi could rival any sushi spot in Las Vegas"
Absolutely amazing! Great sushi and fantastic drinks!,"We couldn’t recommend a better place to go in the city! We walked from our hotel as its very centrally located and tried a little of everything!

We heavily recommend trying several appetizers as they are great portions and have fantastic - different variations on traditional dishes (salmon hamachi carpaccio was especially good) and then plenty of sushi, sashimi and don style.
Recommend the sashimi as the bang for buck is much higher!"
Japanese dinner,A place with good fresh Japanese food for a very reasonable price. The beef slice was my favourite and my wife enjoyed the food a lot to the point she ordered more after we finished our first orders. Will definitely come back again in the future.
Great food and service,"Food and ambience of the place was great, with attentive staff whose service was great. Was a great dining experience with good food."
A Delightful Dining Experience,"I had a really nice time celebration with big group at En Sushi. It was not only the food so delightful to everyone’s liking, but also the ambience which give tranquil and relaxing mood to everyone, with the very welcoming restaurant staff’s hospitality and passion in making customers happy. The function room in the restaurant provided privacy, spaciousness, and comforting for all of us. Many of us started the dining with cooling and soothing Cold Honey Yuzu drinks, Spicy Salmon Belly, Hotate Menkai Aburi and a few Chef’s recommended Uramaki. We continued our sumptuous meal with delicacies of En Sashimi, Salmon Takaki with Uni, a few sushi and hand rolls, Donburi, Hot Food, and many kinds of Yaki, with my favouite of which was the fabulous Hamachi Kama Yaki with both Yellow Tail Head and Collar hot plate. The delicacies of Ika Shio and Ika Terriyaki (grilled squid with salt/sweet) were also the items impressive. We wrapped up our scrumptious dinner course with delectably and uniquely invented Mochi ice-creams in variety of flavours. Overall, it was an awe-inspiring dining experience for both adults and children. I highly recommend this restaurant for any get-together for good food in nice atmosphere."
It was very tasty.,"I went to this place with friends and family for my birthday and it was good. I didn't really like the sashimi other than salmon, but that's probably just me."
"Quiet, peaceful restaurant with good sushi","Chirashi Don was very fresh, Salmon and unagi rolls were yummy. Grilled ika was slightly under-grilled and needed a bit more salt. Green tea was diluted and you get a tea bag in your cup..."
Food is fresh and flavourful! Great ambience too! Definitely visiting again,"Very delicious food and great ambience! They have private rooms that are good for cosy gatherings and also for business meetings.

only had a photo:) was too indulged in the good setting and food. Sashimi is fresh, grilled Salmon is cooked to perfection, don, yaki was good. The waitress recommended a good bottle of Sake to go with the food. In all, highly recommend! Will surely visit again."
Awesome Sushi in Town!,Really fresh sushi served and prompt service! Portion given was reasonable and is of value for money.
Great sushi in Singapore,"I was looking for an affordable, well rated sushi place, and I found it. It’s slightly on the high side of affordable but totally worth it. I got a salmon roll, spicy tuna hand roll, otoro sushi piece, and salmon belly appetizer. All fantastic! Would highly recommend."
En Sushi,The sushis were amazing. Really one of the best ones I have tasted. Highly recommend sushi from there.
Quality Japanese food with affordable prices!,First time here and overall it’s a great experience! The sashimi were fresh and beef steak is a must-order :)
Great Sushi,"We came in on a whim, and I am glad that we did. This is a great little spot and the Sushi was fantastic. Our group tried a bunch of different rolls and they were all great."
Korea & Malaysia families,"Foods are really amazing, lovely environment, great services from all the service crews and chef. Thank you for such a wonderful experience"
"High quality, very tasty",Best miso soup I ever had. Sashimi was also very tasty. Good selection of sake. Sake was a little expensive. Service staff was very polite.
Great place for delicious food for celebrations,"Great food, really recommend the maki roll and steak. Great place with a nice vibe. Had a nice birthday celebration too, staff are very friendly and even came together to sing a birthday song for us. :)"
5 stars !,Very polite staff with tasty food ! Highly recommend the chirashi don and curry speghetti! the mentaiko maki was superb
Mr,Nice ambience! Delicious food! The service was very good. And the location of the restaurant is very accessible from the town area.
Dinner at EN Sushi,Fresh ingredients with good service Restaurant is cosy and comfortable. They provide private dining rooms as well. Great for friends and family!
Amazing food!!,Beautiful restaurant with attentive staff. Wonderful yellowtail sushi and an amazing honey drink!! Would definitely recommend for a romantic dining experience!
En sushi,Awesome food and service from the staff Recommended Good ambiance Will will visit next time to try other food
En Sushi,"Delicious sushi, terrific service. Will definitely come back again with family and friends - a real gem"
Left without eating - terrible staff and service!,"My partner and I read the reviews and were looking forward to dinner here. On arrival the restaurant was very cold and we asked for some warm water whilst we were reading the menu. We were told they only served bottled water - and ""didn't have"" tap water. Clearly the restaurant has water!

We were about to order a lot of food and would have had a few beers as well, but the unwillingness to simply serve us a glass of warm water whilst reading the menu (and to help us warm up!) plus the surly / ""cannot"" attitude from the staff meant we left and took our money elsewhere. Singapore is a hot, sweaty place and people need lots of water! I don't understand restaurants who refuse to serve tap water. It's wasteful and not environmentally friendly to use bottled water and it wasn't like we were there and not going to spend a lot of money. Take your custom elsewhere where you'll be welcomed and receive better service."
Incredible place in a great part of town,En Sushi was incredible! We went 3 times during our recent trip to Singapore. The freshness was incredible. Highly recommend!
Great,"Great choice of food. Amazing environment. Fresh sashimi. Friendly staff, quick response and very attentive"
Amazing food !,"Food was excellent and service even more ! I truly recommend that restaurant, the chef has more than 27 years experience and you can fill it in his dishes !! We’ll come back for sure !"
