topic,review
Very nice service and yummy dishes.,"There are several menu.
Very nice service
I’m first time here and order these menus.

- Chef Joel’s mee kia 2.0: very delicious. Truffle smell. Recommended.
- Chicken satay: delicious
- Crispy fish maw salad: OK
- Another one, forget this menu!!!

I think… have to order Chef’s recommended menus be better"
Lunch Gathering,"This was my 3 visits to the restaurant if I were to include a takeaway trip too. The place is small and cosy. Food wise, we ordered 3 dishes to share. The fish Maw soup, Crispy Hor Fun & Prawn Paste wings (6 mid wings). The speed of serving was kind of slow, its not only to us, but the other 2 tables of 10 & 6 pax were worst. If the fish maw soup can be less salty, that can be great. Portion of the food was just nice for 2 pax sharing. Staffs were attentive & helpful. Visited the place using Klook promotion, Value of $60 for $54."
Delicious,"The restaurant said the chef put Thai taste into the food. As a Thai, at first I doubted what is such Thai taste, but after the food come, I can confirm that it does really taste authentic Thai. Aroi Mak! (Very Delicious!)

Price is, however, on the high side, but it should be expect under this economic climate. Overall still a very satisfied meal."
Instagramable restaurant,"1st time visit, ordered the signature cabbage, xo fish soup pork coller and ngo hiong. A little over price. The staff not observant and talking at the front counter."
great food and service,fusion local/chinese dishes that are not too fanciful yet maintain great taste. recommended to go in a group so as to be able to enjoy bigger variery
ENJOY EATING HOUSE AND BAR @JLN BESAR,"Overall food are good, the fried hofan is special. nice place to have lunch or dinner for gathering with friends and family,"
Cute little retro restaurant with excellent food (limited choices).,"Chanced upon this place by chance. It’s a small restaurant inside a retro hotel (Kam Leng hotel), with a retro ambiencec menu and cutlery (except the utensils).

Food choices are limited but superb in quality!! We loved the XO fish soup, prawn cakes (that sauce is to die for!), seafood fried rice (generous with seafood!), yam paste. Almond desser had some egg white inside which is nice, but we felt the texture wasn’t grainy enough - in other words too “diluted”.

Took many photos here haha.

Need to make a reservation as tables are few (due to space constraint), and they only allow you to sit for max 1.5 hours."
Good but expensive,"Food is good. But it is expensive. I ordered pork jowl, tee kar mee hoon, and fish soup. The soup is little not enough for 2 pax"
very happy experience at Enjoy,"we tried set menu for 2 to try different varieties and it turned up to be very good to our pleasant surprise at such nondescript place located in Jalan Besar.
the chilli crab paste with prawn is really worth a try. the chendol dessert is refreshing and nice to have to complete the meal. the lemongrass hot drink is not diluted but pretty strong taste!"
Excellent Food & service!,"We had the Chili prawns , Chicken satay & seafood fried rice.
Chili prawns were a nice twist to the famous local chili crabs.
Chicken satay was awesome with the peanut sauce.
Fried rice was fragrant with the WokHey, portion was quite small thou.
Overall an excellent experience."
Not bad!,"The taste of food is generally good, but it is quite pricey considering the portion. Chili prawn & XO fish soup is good, chicken stay is just so-so."
"Good food, even better service plus happening vibes!","Brought friends to try out the food and the vintage setting. All loved the cooking and the ambience!
And special thanks to the service crew who were ever so willing to respond to our requests including lending me an umbrella when it was pouring after our dinner!"
Amazing food,I had the set for 2. Managed to sample all the signature dishes and each was of high quality. Value for money. It's a must try!
Never been so good!,Food and service are fantastic. love the decoration of the restaurant although too small area thus can be noisy especially fully occupied
Delicious Modern Zichar,"We ordered some of their signature dishes like the Singapore Style Chilli Prawns (must order the mantou!), Chef Joel’s XO White Fish Soup, Ugly Cabbage in Fish Sauce, Chef Joel’s Mee Kia, Chendol Panna Cotta and Teochew Orh Ni (love the texture and sweetness just nice). Even though it just the 2 of us, we finished all the food! This shows how delicious they are; perhaps our 3 negative comments are that the chendol is a little too sweet and the aircon wind is too strong, hence turning the food cold pretty fast and lastly, the price is slightly on the high side, but we get quality food!"
GOOD,The food is so good!! There are many things to choose from and every single one that i ordered was amazing. Would strongly rec the ugly vegetable and the pork slices.
