topic,review
"Great service, average food","Service was great, very friendly waiters who make sure you're comfortable and are very attentive. Food is very average however - soup was tasteless while thenDiavola was incredibly salty. Doesn't taste very authentic either and seems more like a localised version of Italian cuisine."
Love the food + warm service!,"We loved the food here. Authentic Italian fare - almost similar to what we had in Italy. Service staff were very attentive, ensuring that we were comfortable, and asked about how the food was. One of the staff (we forgot his name) also explained to us the special dishes of the day, and we could feel the sincerity.

Our glasses were also almost never empty as they ensured to fill our glasses regularly. We'll be back!"
Good but could be better,"Mostly it's about food - last time it was excellent and now it's average. Okay for cafe level, not enough for a fancy restaurant."
Weekend Dinner,"The service was good and so was the food, I am a vegetarian and there were few vegetarian options available. A few more additions to vegetarian menus is required."
"Great service, good food","Celebrated my husband's birthday. The food was above average, and the service was great.The ambience was nice although the tables were too close together. Otherwise a good experience."
"Fantastic Service, Fantastic Food",The staff has to be commended for their impeccable service. Came here to celebrate my girlfriend's birthday and it went way better than I had envisioned. The food was delicious and well balanced.
Awesome dining experience at etna,My friends and I enjoyed our dinner thoroughly at Etna recently. The food was excellent and the service was unsurpassed! The service staff were highly attentive and were always happy to recommend the food to their diners.
Always amazing,We go there quite often. The Burrata is our must-have. Followed by the Lobster Ravioli! Service staff also very attentive and friendly.
Must try ! Food is excellent,Very good food and very good service ! Prices are reasonable. Only constructive feedback is the restaurant design is too old fashion and is not up to the food quality level. 👍🏻 for the chef and the service staff
Some staff disappoint,"We have been going to Etna’s for over 7 years and seen many changes in staff. It has always been one of our favourite locals. Consistantly good food and often a different wine recommendation to try. Last night the food was good and the recommendation for wine was great. Our server who we recognised was as always gracious and helpful. However I was dismayed that a number of staff did not wear their masks correctly. One continually just under his nose even after I had asked him to wear it properly. Also kitchen staff preparing food with their mask under their chin. We actually raised it with the hostess who told us dismissively that the chef needs to smell the food.

Etna staff - you can do better than this!"
Yummylicious food with great ambience.,My visit to Etna didn't dissapoint me with excellent choice of food recommended by Miss Sharleen. A MUST try dishes are the lobster ravioli and grilled octopus. Loving the warm service and ambience. Thank you Miss Sharleen for being patience with us. Will definitely visit again with more friends.
"Amazing Food, Perfect Ambiance","Not my first time visiting Etna but this place deserved to be recognised. I cannot say enough of its amazing selections of food - fresh and delightful. Always brings me back to the streets of Italy. Perfect ambience!

The staff is also attentive and extends great service. Especially Sharleen who never fails to pop a smile in her eyes (mask on of course) and recommends the best wines to pair with the food I ordered.

Can't wait to be back for their house specials.
Grazie mille Etna!"
Italian food at its best,"We went there for food and drinks and it was great. Food is fresh and the taste is pretty much authentic. Pasta is al dente as it should be and the pizza is just right, thin dough and has a nice taste of Italian herbs. The fish was amazing, rightly balanced. Not too much seasoning or garlic.
Service friendly and helpful. We will come again. As many times before we were not disappointed"
Great Italian option in the east,Amazing food and hospitality. Not your cheapest outfit but quality more than made up. The team was totally awesome making the visit memorable!
Love the food and also the ambient ! The service is good!,I truly enjoy the food here. Good portion that can satisfy my taste bud. The service is good with the staff being attentive and friendly. A good place to catch up with friends or family. Good range of food for selection.
"Good food, mediocre service","Firstly, the food is good, and I’d recommend the Grilled octopus, which remained moist while retaining a fresh flavour. The Chef special of Bread crumbed sea bass was also good, though portions were smallish.

The service both in front and kitchen leaves a lot to be desired. Polite but in-attentive, they took over 90 mins to finish serving the 6 entrees we ordered. It wasn’t really about the crowd, as three other tables (total of 12 people) had already left by time we got our last dish. It was as if they served the first 3 dishes ( in first 30 mins) …. Then dropped the receipt until we asked…

When we enquired about the delay, they simply said the dishes were being cooked in groups instead of in order…I.e. all the fish were cooked together…. All the lamb together…all the pasta together!?!? I’m not sure how Ramsey, Ferria or Pierre-White would have reacted to this answer.

First time there, never going back, despite the food."
Fantastic Set lunch,"Our 2 kids joined us for the set lunch at Etna Siglap
- the friendly and helpful staff upon noticing our 2 kids offered to switch dessert of the day (coffee pudding) to chocolate ice cream for the kids

They also accommodated our kids request for pizza vs calzone. When the kids could not finish the pizza, this was packed for them to take home."
Nice but super expensive food,"Ambience, service, & food are superb However I'm appalled by the price. For my mains I only got 6 ravioli and it cost ard $36 and I ate it within 5min."
The best you can get,"Celebrating my friend’s birthday there, we met the best ever floor manager who is so customer-centric. She took our order and recommended to increase variety and trim the portion. She even suggested we cancel one item along the way as she observed we would not be able to finish. She came to chat with us often and of gave my friend a birthday treat of gelato. What a delightful and joyous evening."
Not an expererience as it used to be,"Was waiting and being ignore by the waiters. Aircon wasn't working. Had to ask for the bread basket while other tables were offered. This used to be my favourite place and I had always enjoyed the dining experience. unfortunately it isnt the same anymore. Forget fine dining, it was below average in terms of customer service and food"
"Disappointing visit. Extremely average food, poor hospitality","We came here for a birthday celebration. Called in advance letting the staff know as well, they said ok no problem. We weren’t expecting over the top service, but every other restaurant I’ve been to for a birthday meal the staff will always either wish you a happy birthday, give you dessert, or both. So I thought the least Etna could do was to wish my sister a happy birthday knowing it was her birthday celebration. Birthday or not, the staff serving us definitely weren’t the warmest bunch.

Food was very mediocre. The cacio e Pepe is slightly below average. Not sure why I’ve seen reviews saying it’s the best authentic Italian food in town. Have been to Italy and have had authentic Italian food several times in my life and this place definitely falls short.

Still, my main concern is the neglectful hospitality. If you’re coming here after work with family for a quick 30 min eat with no expectation but to eat some pasta, maybe it’s not the worst. That said, it doesn’t taste delicious enough to justify a >$25 price tag for one pasta dish."
Pleasant dinner experience,Food is delicious and authentic. My son enjoyed the bread and the Umbricella pizza is amazing. Ambient is nice. Owner is very friendly. Price is reasonable.
First class from every point of view,"An unpretentious restaurant, but with very high quality food and excellent service. The staff were very knowledgeable."
Birthday dinner at ETNA,Had a pleasant experience. Food was excellent. Authentic Italian food as always at Etna. Will definitely dine here again.
Not the Etna I knew anymore,"Recent experience wasn’t the Etna I knew anymore. Hubby found oxtail stew special to be very tough and on top of that, found a piece of foil (looks like seasoning packaging) inside the stew when eating it. Gave this feedback to manager. He came back to say he has given feedback on how it can be cooked better. I told him what’s unacceptable is a piece of foil cooked inside the dish. He said sorry laughingly and started to walk away. I thought he was dismissive and avoidant, and asked him if he’s expecting us to pay for that carne special. He laughed and asked if we wanted dessert, we ordered a tiramisu. When he brought the bill he said he gave us a 20pc discount on the bill (when that wasn’t the case) and the tiramisu. We acknowledged the gesture and paid. When we got home and checked the bill details, the manager only gave the 20pc discount only on the oxtail stew, so we still paid for it! Well I guess we could hv checked the bill details at the restaurant, but given the manager’s dismissive and avoidant attitude towards service recovery, it wouldn’t hv mattered. Foil packaging (seasoning pack?) cooked inside stew, made to pay for it albeit with 20pc discount only on that dish, poor service recovery, not a good dining experience - and not the Etna of before anymore"
Best Authentic Italian,"This has been our second visit to Etna. Both times have been fantastic service, supreme food, and wonderfully simple atmosphere. Nothing is overdone for the sake of dramatics or pretentiousness."
Excellent Italian fare in a casual setting,"With the recent easing of tighter dining regulations, it seemed to be a good opportunity for my small group of dinner buddies to resume our regular get-together. We got to Etna early and, as the first group there, were allowed to choose our table - a nice one next to the window. Our host explained the daily specials, some of which were very tempting. The menu (which was accessed online via a QR code) was very diverse, and a table-sharing option seemed the best way to try as many of the dishes as possible. We eventually went with a couple of pasta dishes (topped with sea urchin and crab, respectively), grilled octopus on a bed of polenta, and a salami (very strong) pizza, before finishing with both a tiramisu and a chocolate dessert. Overall, a very satisfying experience fuelled by good food and a good atmosphere."
Authentic Italian,Authentic Italian food. Excellent service. Would recommend for sure . Vegetarian options available.. hidden treasure
Quintessential cosy Italian restaurant,Cosy nice Italian restaurant in a calm neighbourhood. Recommended for people who are fond of warm freshly baked breads and wines. Reasonable priced fancy restaurants. Ideal for romantic dates.
Gem in the east,"Nice food, massive portions, pleasant ambience. Friendly staff. Tasty wine. Recommended. Definitely worth a visit!"
Best Italian food in town,"Ambience, food and service was excellent. It felt really nice trying authentic Italian food with rich flavours!"
Great food and service,"Late night date night after the kids were asleep. Great service, lovely atmosphere and delicious pizzas!"
Amazing authentic Italian food!,"Wonderful experience - food was very authentic and delicious, yet with their own little differences - added with a cosy ambience and friendly staff. Big thumbs up!"
"Tasty Italian food and friendly, competent service.",Lovely service and the food was good and authentic. Definitely try the tiramisu with the pistachio paste - absolutely gorgeous. Staff were so helpful and nothing was too much trouble. Etna has a real community vibe to it. Loved it and we will be back.
"Great food, Great Value for Money","I have been going to Etna for a few times and I can confidently say that the food is consistently good. Etna is a mid-priced restaurant in a very cozy part of Upper East Coast Road. It is my go to Italian place in the East - no other restaurant comes close.The pasta is outstanding and I had tried quite a few - all were delicious. Service was always prompt and courteous. On the day that we went, they had a special - the Cotoletta ala Milanese. This is breaded veal and it was super tender and fried just right - comes close to the very good ones I have in Milan. Etna will remain my favourite Italian dig on the East for some time to come."
Great dining experience,We went for a family lunch outing at our neighborhood Etna at East Coast. Nice service. Waiter explained the day's specials very well and food turned out to be as good.
Perfect Little Local,"Our favourite BYO Italian restaurant in Singapore. The specials menu changes all the time and always has some absolute gems. Whether you are after something fancy for a special occasion or just a pizza and a quick pasta mid-week with a cheeky bottle of wine, Etna in East Coast is our pick."
