topic,review
Early Lunch with amazing food,"The food here was absolutely amazing. The starter, main, and desserts + steak were all cooked to perfection, with the specialty sauces being a highlight as well. The cuts of beef chosen were also juicy and tender, and paired eith the salt and onion — tasted devine :)

the cheesecake was also a great finishing dessert and the hint of sourness in the passionfruit sauce really gave a great contrast to its flavour.

bonus: GREAT LOCATION 5 minutes walk from botanic gardens mrt station"
Weekday Brunch,"Cosy atmosphere and extremely close to Botanic Gardens MRT. Ordered pan-seared salmon rice bowl, deep fried Camembert and a classic New York cheesecake. The deep fried Camembert was really mindblowingly good and I really enjoyed eating this 3 dishes brunch here! :) New York cheesecake was pretty good too :D"
Weekend Brunch,"A steakhouse with perfect vibes for a weekend brunch

The restaurant is located conveniently near Botanic Gardens MRT, and is definitely a place where you can enjoy good food and have a nice chat!

Had the Deep Fried Camembert for appetisers, and had the Creme Brûlée French Toast with Fried Chicken as one of our mains.

The Wagyu Denver steak with Broccolini on the side was our other main, and it was definitely the star of the show. The steak was seasoned well, with the charred flavour prominent with every bite.

Would definitely recommend visiting if you’re looking for somewhere to have a relaxing, and appetising meal"
Great weekend brunch!,"Enjoyed the food at FBG, which is a short walk from Botanic Gardens MRT station. The Wagyu Denver Steak was very well seasoned and a perfect medium rare. The fried camembert with truffle honey is a must try! We also tried the grilled broccolini, Creme brûlée French toast, and cheesecake, all of which were very good! Had an extremely enjoyable brunch."
Amazing food and service,"Came here to try their wagyu beef and it was really good. Had their Denver wagyu which was grilled to a perfect medium rare. Each bite was like having an umami bomb go off in your mouth. What was amazing was that the accompaniments of sea salt and roasted garlic drew out a new depth of flavour.

My partner had their 'breakfast fry up' and also really enjoyed their meal. We really liked the mushrooms on that dish as it really brought the dish together.

We shared their luxurious 'classic new York cheesecake' for dessert. It was generously topped w a strawberry compote that brought in a citrus element in the cake.

Had a good time here and would recommend this place to anyone walking near the botanics garden area."
Enjoyed our weekend brunch!,"We enjoyed our delicious weekend brunch at FBG! The location was only a stones throw away from Botanic Gardens MRT, making it a convenient location to have a lovely catch-up over a meal with friends or family.

For beverages we had the vanilla latte and peppermint tea, which were both fragrant and refreshing.

The Deep Fried Camembert, served with picked jalapeño and truffled honey was a lovely appetiser.

For mains we had the Breakfast Fry Up, which was generous with the ingredients which all tasted amazing. We really loved how the eggs and mushrooms complemented each other.

The Waygu Denver Steak and Broccolini was astounding, and paired each other well with a delicious grilled flavour. Would highly recommend their grilled food items!!

Last but not least, the Classic New York Cheesecake was the perfect end for this lovely meal, the creaminess of the cheesecake was balanced with the sweet wild strawberry compote and zesty passionfruit sauce.

Would highly recommend this place, the staff are friendly and the food is really good!"
Amazing Service and Food,"The Wagyu Denver was super tender (: Love the semi crust on the outside and the succulent meat in the inside! The size of the steak was just nice and it semi melts in your mouth. Would have preferred it even more if there were more sides (e.g. potato or salad) as part of the dish as well

Broccoli was grilled very nicely and I love the chilli and anchovy sauce that goes together with it! It has a tinge of lemon and salt with it!

Location was super easy to navigate! Just a few mins away from Botanics Garden and i will defo head there again"
Affordable and delicious!,"FBS is located just a few minutes walk away from Botanic Gardens station. If you are looking for a steakhouse to have some quality steaks then this is the place to go. Just watching the chefs grill the steaks in the kitchen was such a delight to watch and the meats are all cooked precisely to your liking, rested before they are cut and served to you.

I enjoyed all the food but the Denver (wagyu steak) deserves a special shout out. Cooked rare, the steak was bursting with juices, soft and tender. Accompanied with a small pinch of salt and some cloves of perfectly grilled garlic, this was a perfect combination. 

All in wall, this was a very delightful experience and I definitely will be back to try more steaks from FBS' menu. "
Amazing steak and location!,"Visited Fat Belly near Botanic Gardens MRT and was pleasantly surprised by their food! I really loved their Denver wagyu steak - perfectly grilled with the right amount of juiciness and smokiness. Their sides were extremely tasty and provided a great balance to the steak. Huge shoutout to the Deep Fried Camembert which went really well with the honey truffle sauce! We also had New York Cheesecake for dessert which was the perfect finish for the meal.

We'll definitely be back for their steak and sides even though it is on the pricier side. MUST TRY!"
Delicious steakhouse,"Visited FBG for the first time and it was such an enjoyable experience. The restaurant is a short 5 min walk from Botanic Gardens mrt. We had deep fried camembert, denver wagyu steak, grilled brocolini and new york cheesecake. I really loved the camembert and would definitely come back for more! The staff were friendly too! It's on the pricier side but worth it!!"
Delicious food and helpful staff,Visited FBG (near Botanic Gardens mrt) for the first time and enjoyed my experience there. The firmness and juiciness of the wagyu steak I had was amazing! The staff was also very friendly and ready to check with us what we needed. We enjoyed the cheesecake too!
Amazing steakhouse with friendly staff,"Visited the Serene Centre branch and I really enjoyed the steaks we had. The starters, sides, and desserts were really yummy too! Had a great experience here!"
Very good,"Went for lunch. Nice foods, and the staff was very sweet in giving recommendations on what to eat and the food was just perfect. I'll be back as soon as possible!"
Classy and chill steakhouse,"Had lunch here and really enjoyed the fried camembert starters and wagyu denver!

the jalapeños and truffle honey paired amazingly well with the cheese, and the wagyu steak was simple and savoury

we also tried the mushroom toast and new york cheesecake got to see the chefs preparing our food infront of us which made for a nice exp"
Lunch @ FBG serene centre,"Had lunch at this steakhouse near Botanic Gardens MRT, would highly recommend it!
Tried the Denver steak from their charcoal grill, mushroom on sourdough, the fried Camembert, grilled broccolini and the cheesecake for dessert. The steak was cooked very nicely and the sides were also delicious! Also since they prepare the steaks in view of the customers, we could see how professional the chefs were when preparing our dishes.

The service was excellent and the atmosphere of the place was great, would definitely come back to try more of their dishes!"
Amazing Sunday Brunch,"Had Sunday brunch at FBG and their food is just so tasty! The steak was just done perfect and had the right amount of smokiness and juiciness to go along.
Other than the steak, their fried camembert is also a must try!
Great location near Botanics Gardens and the service was just so friendly!"
Nice Smokey Wagyu Steak,"After reading some good reviews of this steakhouse, decided to come over on a late sunday morning to try it out (Partially to avoid the crowd too as it got really packed towards lunch hours).

Any how, ordered a few dishes to share together with my friend. Food tastes better when shared right? Got the Denver Wagyu Steak, Deep Fried Camembert, Grilled Broccolini, Breakfast Fry Up and a dessert.

Highlight of the day is definitely the wagyu steak! Cooked to a nice medium rare, and buttery smooth texture. Came with a nice smokey char as it was grilled over a charcoal grill, which added an extra depth of flavour to the already brilliant steak. The other dishes were no slouch either and could make an impact on their own.

Definitely would come back again to try the other items on the menu!"
"Awesome steak, service, and location!","I had a wonderful meal at Fat Belly again! I brought a friend along this time and we were treated to some amazing food. The price is definitely on the higher side, but it was well worth it.

The star of the show was absolutely the Denver Wagyu Steak. The Smokey taste from the charcoal grill was evident which I love so much. The meat was so juicy and tender.

We also had other food that were just as good, especially those that got the Smokey grill treatment. Honorable mentions are the Deep Fried Camembert, Breakfast Fry Up, Grilled Broccoli and Classic New York Cheese Cake.

The staff were extremely friendly and the restaurant location is conveniently located just next to the Botanic Garden.

I would definitely come back again!"
Yummy meal at FBG!,"The restaurant is located in a quiet corner of Serene Centre near the Botanics Gardens. Ambience was nice and peaceful as well. We had the fried camembert, denver and deckle steak, creamed kale, grilled brocollini and their house baked cheesecake. Very pleasantly surprised by their food as the steak were cooked to just the right tenderness and juiciness. The vegetable sides were also yummy, they provided a great balance to the steak which were heavier on the palate. The cheesecake was a great end to the meal and the strawberry compote + passionfruit syrup was a great match as well.

Would definitely want to visit Fat Belly again and recommend everyone to give it a try!"
a humble steakhouse located at botanic gardens!,"fat belly is a steakhouse located at botanic gardens, situated at a quiet yet cozy spot! it was my first time visiting fat belly and it truly did not disappoint! had the fried camembert, denver steak, deckle steak, creamed kale, grilled brocollini as well as their house baked cheesecake!

all the dishes were executed really well and my personal favourites were the denver steak and the creamed kale! the denver steak had the perfect amount of fattiness and was cooked really well! was expecting the creamed kale to be heavy on the palate, but it was such a nice balance of flavour (the white wine cream was delicious!!!) house baked cheesecake was also really yummy especially with the wild strawberries compote!

the service at fat belly was also amazing so would strongly recommend all to give it a try! i will be back!"
One of the best steakhouses I’ve been to,"Tucked away hidden gem of Bukit Timah, found this small steakhouse by the side of Serene Centre. Decor looks new, open-style bar concept. Food was amazing! Each cut was served at the perfect level of doneness, with a superb crust on the steak while maintaining a flavourful and juicy interior. Could see them flame grilling from the seats too. Many sides to pair with, went with the cream kale which was a good contrast and pairing with the mains, and the broccolini which had a refreshing zest to it. Will definitely return to try more varieties they have to offer!"
Favourite Steakhouse in Singapore<3,"The Full-blood Wagyu MS 9+ Denver and Jack's Creek F1 Wagyu Deckle were mindblowing — the Denver melted in my mouth while the Deckle was extremely tender and a perfect medium-rare. Halfway through the meal, I felt like I needed a side and ordered the creamed kale, which many have raved about. It was velvety smooth and extremely flavourful! Ended my meal with a classic cheesecake.

Tucked in Serene Centre at Botanic Gardens, it was accessible and quiet, perfect for a date night. Thank you Fat Belly for such a memorable night, I'll be back!"
great steak and appetizer!!,"I came here with my partner for a Tuesday night dinner and we had such an amazing time — delightful service, classy ambience, succulent steaks, and innovative sides. I absolutely love the Fried Camembert, a starter which features croquettes of oozy camembert goodness accompanied by pickled jalapeños and truffle honey. We treated ourselves to a 2GR Full-Blood Wagyu Denver and a Jack’s Creek F1 Wagyu Deckle for steaks. The steaks had a glossy sheen of marbling and were melt-in-your-mouth tender. We also ordered the Creamed Kale, which is a refreshing play on the classic creamed spinach, and rounded our meal off with an indulgent House Baked Cheesecake. Fat Belly is definitely a must-visit for steak lovers and I can’t wait to return for another lovely meal."
Juicy steaks and yummy cakes,"Fried Camembert was enjoyable. The pickled jalapenos and truffle honey really made it a more-ish kinda dish. While the steaks hit the spot and were (thankfully) not overcooked, a big shoutout has to go to the dessert I tried. I was taken aback by just how good the cheesecake was. The tart wild strawberry compote is to die for.

All in all, love the food, ambience and service (staff were attentive and efficient). Will definitely be back for more."
Steak Goodness,"Fat Belly serves up a classy, no-frills, and communal dining experience with succulent steaks and unique appetisers. I ordered the 2GR Full-Blood Wagyu Denver and Jack’s Creek F1 Deckle, with two sides of Grilled Broccolini with a chilli & anchovy emulsion and Creamed Kale with white wine cream. I was amazed by the masterful simplicity of their dishes; the steaks were served with a sprinkle of salt and a roasted clove of garlic — that was really all it needed to be perfect. The creamy earthiness of the garlic was a vessel for the juiciness of the steak, and the salt helped to lift the buttery richness of each bite. The sides were also prepared with refreshing, tangy, and bitter flavours that complemented the umami of the steak. Overall, it was a 10/10 experience and Fat Belly is now decidedly one of my top go-to restaurants for steak in Singapore."
buttery steak + wonderful service,"great dining experience at FBG w yums food and really pleasant servers :,)

ordered the denver wagyu + some sides and dessert. I actually don't usually eat beef cuz of gamey taste but the reviews are really right!! FBG is such a game-changer. the steak was almost buttery and my knife rly cut right through. fried camembert was also lovely w a nice contrast w pickled jalapeños and truffle honey (tho I wish the jalapeños had a bit more of a spicer kick/more tart!)

highly recc!!! plus point: v near botanic gardens so no need to do navigation 101 legit 5 min walk ~"
Really great steaks!!,"Came here for the first time to try their steak. We got the full blood wagyu Denver and a wagyu deckle which both came with a full head of roasted garlic. Really loved the deckle as it was really tender. Both steaks were really good and I really like adding the roasted garlic on the meat. Also got the creamed kale, broccolini and the fried Camembert. The creamed kale was really good and not jelak at all. The broccolini was okay and the fried Camembert was actually really delicious with the pickled jalapeños. Also got the cheese cake and the 1 for 1 Aperol Spritz which was quite strong. Overall solid food!"
Excellent Steak and ambience,"Finally decided to hit up this steakhouse after walking by a few times and it definitely did not disappoint. To start, we had the Fried Camembert which went really well with the truffle honey sauce provided at the side. For mains, we had the medium well Wagyu Deckle and Denver steak which was really tender. To go with mains, we had a well seasoned Grilled Broccolini and comforting bowl of Creamed Kale (my personal favorite). For dessert, I had the house baked cheesecake which I highly recommend. Overall, I would say the food and ambience of the place was good, and the staff were very efficient!"
Absolutely worthy of regular visits if you love steak!,"Heard raving reviews about Fat Belly from some friends and decided to give it a try since I was in the area of Botanic Gardens. Located in Serene Center which is just a short walk away from Botanic Gardens MRT Station, Fat Belly provided an absolutely immaculate ambience for a dinner with loved ones. Ordered a Fried Camembert as a starter, and the Truffle Honey sauce was the perfect complementary dip to go with! Both the Full-Blood Wagyu (Denver) and Jack's Creek Wagyu (Deckle) were absolutely amazing too and both steak were also served with salt and garlic on the side. To top off the entire dinner experience, I ordered both the Grilled Brocollini and Creamed Kale in White Wine Sauce to balance between meat and greens.

All in all, I enjoyed the quality of food served at Fat Belly. What elevated the dining experience was the professionalism and friendliness of the Fat Belly staff too. Kudos to them for creating a great dinner environment!"
Amazing dining experience!,"Had a delightful dining experience at Fat Belly. For starters, my partner and I had the Fried Camembert. Truffle, fried cheese and spicy jalapenos, you can't go wrong with this combination. For our mains we each had wagyu steaks which were rich and tender. Our sides were grilled broccolini and creamed kale. Both were unique and delicious. We ended off the night with a slice of house baked cheesecake with a strawberry compote. It was sweet and tangy at the same time and super well-balanced. Overall, the food here is simply delectable. It was also near the botanic gardens which would make for the best way to end off a date night. 10/10 would come back!"
Steak steak steak,"Lovely steakhouse located near Botanic Gardens MRT. Enjoyed the chill ambience of the restaurant. Staff were polite and friendly. Sat at the bar and had the opportunity to watch the chefs at work.

Had the Denver and Deckle Wagyu steak together with Cream Kale and Chili Broccolini. Steak was cooked nicely medium rare and served with a tasty clove of garlic, which was delicious when eaten together. Particularly enjoyed the cream kale as well.

Overall a pleasant experience."
Amazing steakhouse at Botanic Gardens,"Was looking for a steakhouse near me and I chanced upon FBG. Had the denver and deckle steak there, where they were served with salt and charred garlic. The steaks were served medium rare and it was indeed medium rare (unlike other steakhouses I've been to)! We also ordered some sides to go with the steaks, being the creamed kale and the grilled broccolini. I would recommend the broccolini as it was served with a tangier sauce which helped balance out the ""heavier"" steaks. It's location is also very accessible, being a 5min walk from Botanic Gardens. Would highly recommend it for any date nights, or a hearty dinner out with friends and family!"
Nice Steakhouse @ Botanics,"Saw quite a few good reviews for FBG at Botanics and went to try it out myself! Tried the Denver and Deckle Steaks and they did not disappoint! Really like the Deckle, it was a beautiful cut and quite tender. The Cream Kale and Brocollini were also nice sides to pair with the dish as well."
Good,Nice steakhouse at Botanic Gardens. Had decker and Denver steaks and they were amazing! Cream kale and broccoli were made perfectly as well. Ended with cheesecake and it was great. Nice steakhouse at Botanic Gardens. Had decker and Denver steaks and they were amazing! Cream kale and broccoli were made perfectly as well. Ended with cheesecake and it was great.
"No frills…just great steaks, starters, sides and desserts.","What is there to like about Fat Belly? For one, everyone is friendly and knowledgeable about the cuisine they serve. And the food is spectacular. By this I meant the steaks, the sauces, the starters and even the desserts. For starters we had ceasar salad, fried Camembert and toasted sourdough. For desserts we had tiramisu and vegan chocolate mousse. And the steaks were cooked to perfection. This is a basic looking unpretentious restaurant but dining in here was a delight that hubby and and I will definitely have to make this a mainstay. Fortunately we live so close to to it."
Decent steakhouse with good ambience,"Nice place for steak near Botanic Gardens MRT! Got the Full-blood Wagyu MS 6/7 Denver and the Jack’s Creek Wagyu MS 4/5 Deckle, both were lovely. The fried camembert is also a must-order and the house baked cheesecake is very balanced and not overly rich despite having it after wagyu. Worth the visit!"
pleasant dinner experience 🍓,"visited Fat Belly at Botanic Gardens on Monday 5 September, and it was moderately crowded but still the ambience was intimate enough for my friend and I to enjoy a lovely catch-up over dinner :) the music choice was really to my liking too, all my favourite songs from 2019.

i’m still thinking about their truffle honey! paired with their fried camembert and pickled jalapeños, this was really the perfect starter with which to whet our appetites for the dinner ahead of us. second-time here at their Botanic Gardens location, and the steak is as good as i remember it :) also really enjoyed their house baked cheesecake! the creaminess and texture was on point, and as someone who usually doesn’t like graham cracker-based cheesecakes, i liked this one."
Perfect date night,"Had a great time here because of the good food, service and cosy environment. Got the Denver wagyu steak and loved how it’s slightly charred on the outside but pink and marbled on the inside. It’s served with salt and garlic on the side so I can switch things up along the way.

Highly recommend getting some sides like the creamed kale to pair with the steak. Kale came with generous sauce that I ate together with some of the steak and it was yumsss."
juicy beef with delicious sides,"First time at this steakhouse and we had the Denver wagyu steak which was real tender and juicy, those who prefer fatty cuts would enjoy. Alongside creamed kale which was an amazing complement to the steak. We ended on a sweet note with a strawberry cheesecake although the strawberry compote was a tad too sour. Everything else was splendid!"
Great Steak,"Heard great things about their wagyu steak, which didn't disappoint but I was especially impressed by their sides. The fried camembert with truffle honey was a great mix of sweet and salty to kick off our meal.

If you're looking to get veg, I would recommend getting the creamed kale to pair with your main. Had the house baked cheesecake to finish and I would honestly come back just for this dessert!"
Quite expensive,The steaks are good but they are no where the quality of Morton’s or cut when you do a price comparison . The starters are nothing special .
Fantastic food and service!,"Fantastic food and service! The fried camembert was strange yet endearing to taste. Never tried something like that before but it was interesting on the taste buds. The broccolini and cream kale were both pretty nice, and if u hate veggies, these are veggies i actually didnt mind eating much. Of course, we cannot forget the steaks, fantastic denver and deckle wagyu steaks, amazing with the salt (kosher salt i think?) and juicy. Ended off the meal with a cheesecake, which was lovely. Recommended for a night out :)"
Amazing experience!,"The service was amazing by the waiters, and the ambience was wonderful. the Fried camembert and sauce were a very interesting combination and went well together. The wagyu steaks were juicy and succulent, and paired well with the garlic and salt. The broccoli and kale complemented the sauces brilliantly and were wonderful side dishes with the steaks. The cheesecake was a sweet finisher for this wonderful course. I would definitely recommend coming here!"
Great food great ambience,"An awesome dining experience and service with top tier quality food Had such a pleasant plethora of steaks and sides, best steaks I've had in a while, hands down. Don't be shunned away by the ""lesser known cuts"" because this very phrase may just blow you away! Loved everything we ordered ❤️
in picture:
Fried Camembert Cheese
Grilled Broccolini
Cream Kale
2 Gr Full-Blood Wagyu MS 6/7 Denver
Jack's Creek F1 Wagyu MS 4/5 Deckle
Housebaked Cheesecake"
Full of flavour and juices,Ate here with my date and thoroughly enjoyed the experience. Everything was full of flavours and the ambience was classy and wonderful. Had high expectations and it really did not disappoint. Their wagyu steaks are a must try and the creamed kale and fried camembert are highly recommended as well!
