topic,review
Fairytail Bar,"An amazing halal rooftop restaurant with views. Great atmosphere and it can be a romantic spot for couples. Great music, excellent food and amazing service."
Great customer service with good food,Amazing place with good customer service. Food is good too. The view from the rooftop is nice as well. Must try their mock tails
Birthday celebration,The environment is wonderful and the service is tip top. Would recommend other to come especially when you have a special celebrations.
Great Atmosphere,The outdoor seating has great atmosphere with romantic lighting and unique architecture and views. Great food and drinks as well.
Fun time with friends,Food was great and service was awesome :) The food was delicious and we had a great time hanging out at the outdoor dining space. Picture perfect place :)
Simply awesome and 'magical'. Live up to the name 'Fairytail'.💝,"A must try. You'll never know what you missed. The embience, food and definitely the staff. My first visit but of course will not be the last. We'll be back soon."
Birthday/Anniversary,The restaurant is so awesome! Having the most beautiful view and very welcoming services by the staffs. Will definitely come again.
Birthday dinner,The staff were really nice and provided many complimentary drinks and even a birthday brownie :) The food was really good and the view was also really nice :)
Amazing date,restaurant was very compliment with my request! Was able to surprise my friend for his birthday and the restaurant had amazing food
Family Gathering,The food was amazing. And the place is cozy and less crowded. Will definitely come again once again.
Fairytale Bar,"Fantastic Ambience, food is delicious and unique variety of drinks! The drinks is inspired by fairytales hence the name and the desserts is spectacular"
Dinner,"Food and service was excellent. If you’re looking for a Halal dining experience on top a roof bar setting overlooking the city’s skyline, then this is definitely the place you should head to"
Good French & Italian Food!,"Very good food, drinks and ambience. Our 2nd time here and the experience got even better. Will definitely come here again!"
Birthday suprise,"I love the service by the restaurant, everyone was very friendly and joyful. The food was also nice, my highlight is definitely the crab cake, its was a very lovely birthday dinner i had with my partner"
Birthday dinner:),It was amazing! The food was great and the service is outstanding! Both of the FOH staff was friendly and have done their best(they deserve a higher pay 😉) We had our dinner on 6/11😬
Yuck,"We must have been there on an off night for the chef. The food here did not meet the expectation or the previous visitor ratings. The food itself was bland and undercooked. The side vegetables were cold as ice. Could not even finish my meal. The place was boiling, seemed the AC unit was not functional. Just an overall very bad experience both with the food and the ambiance."
Date dinner,"Mocktails, the rooftop view. Steak is tender. And deserts. Nice ambience. Good vibes. Recommended. Definitely will come again. If there's birthday celebrations, here's the place. Thanks to the staff and crew. Very accommodating"
thank you,"Customer service is outstanding. Appreciate how welcoming and generous they were. Overall, would definitely recommend ALL to come."
