topic,review
Very yummy food,"Such a lovely place serving Mediterranean food. Ordered the set lunch - my choice was artichoke hummus, smoked aubergine, spiced fish and grilled lamb. Absolutely yummy !"
Amazing Girls Night Out,"The ambiance was great! The moment you enter the restaurant, it gives you a very nice and romantic vibe.

The staff was super courteous and friendly. They are extremely attentive and always ask if you need anything. They are also very happy to ask for your food and service feedback.

Food-wise, super! We love the food, it was fresh, cooked to perfection, and looks very pretty. They taste awesome as well.

Overall, amazing experience and will defo go back again."
Average,"Came here for my husbands birthday. Food was average and some dishes were unavailable. Cocktails were interesting on paper, but not particularly exciting to drink. My husband had one which tasted like a lemon cold remedy with a creamy topping which curdled and looked like cottage cheese. When this was pointed out to the waiter we were told that it was normal. Ambience was ‘club/bar vibe’…not somewhere you’d go for a special meal sadly."
Very tasty food and great service,"Came here as a family of 4 for an early dinner and was not disappointed. We got the last 2 steak tartare's of the day (which was a bit of a worry since we booked at 5:30pm!) and ordered some other plates. Not a single morsel of food was left. It was probably a bit more expensive that I had anticipated but the quality of the food was fantastic.
Our waiter was fantastic too. It was his first day and you would have never have guessed it."
Dinner with friends,"Food was very delicious and well prepared! Service on the other side was less good - the team was not very attentive, forgot items we ordered and we always had to wave with our hands as no one really checked in our table, even though the restaurant was not really full. They were nice when we asked for something."
Excellent set lunch menu,"Food is delicious, service excellent and personable and ambience comfortable. The set lunch is great value for money."
Brunch fun!!,"Third time at this fantastic place Loved the set brunch menu...mango cocktail was perfectly matched Awesome vibe here, relaxed and fun Best staff eva!!"
Ok. But definitely overpriced...,Central location. We did not have a reservation but managed to get a table anyway. Staff were friendly. Food was ok but shockingly overpriced. $25 for a very small amount of wine was way too expensive even for Singapore context...
Poor Management,Management should look into their table booking process. Completely ruined our special occasion evening with family. Very poor experience.
Great ambience but very little food,"Good ambience, yellow lights and very good looking set up but the extremely disappointing to see the menu… particularly for vegetarians. Also, out of a very limited menu… few things were not available. So it was just about compulsion and not choice. Also, the portion sizes are terribly small that you start to feel cheated when you compare to the price. We had to go to another place for dinner. Not recommended if want to grab a bit.. definitely not for vegetarians. Get a drink.. may be."
Experience in Fat Prince,"Hi Fat Prince Team,

I have been to Fat Prince may times and used to enjoy the lunch set in the affordable price. For an occasion I have invited three of my friends (only two can make it on the day) and found food was not upto that par. Falafel was very hard and had a different smell on the day. Have informed the staff as well and hope he has given the feedback.

Still, I find Fat Prince is a very good place to eat and enjoyed my previous times there."
DELICIOUS AND EXCELLENT SERVICE,The food are delicious and all the service crew service are excellent in what they are doing to service us!
"Great ambience, good food - marred by careless impersonal service","Fat Prince Valentine's Day special offering looked very intriguing. I was looking forward to a romantic evening and an enjoyable dining experience with my date.

When we arrived, the waitstaff immediately poured us two glasses of cold water from an amphora, which was a nice touch. I would later found out this was added to the bill without any kind of notification or option, but the price wasn't unreasonable, and they did keep the glasses filled all night, so not a big deal.

We decided to kick off our evening with two glasses of champagne. A waitress took our order, and we settled in to the delightful ambiance. Presently, another waiter asked if we were ready to order the food component of the dinner, so we made our choices from the set menu.

Here's where things started to go off the rails. Our glasses of champagne still had not arrived when the first food items were delivered. This was a bit irritating, as we'd hoped to enjoy a nice glass of bubbles before our meal. We decided to sit and wait until the drinks arrived. After another five minutes or so, the glasses of champagne arrived ... along with two other cocktails(!) The cocktails were part of the set menu, but for some reason the waitstaff decided to serve all the drinks at once?! So now our idea of having two chill glasses of champagne before dinner had become a crowded table of drinks and the first course of the food. This put pressure on us to get through the champagne. A fumble, early on. I don't understand why the waitstaff didn't foresee this - or at least could have asked us what we'd like to do?

The starters were excellent. For the mains we both ordered the wagyu steak, and I noted we weren't asked at any point as how we'd like our steaks done. Perhaps the chef mandates the way the steak will be prepared, and in any case, I was happy with the (rare) doneness. So I'm happy to let that one slide. Unfortunately, despite being well-cooked, the steak was over-salted, which made finishing it difficult. To give credit where credit is due, the mashed potato was gorgeous - probably my favourite item of the night.

The dessert was extremely rich, and neither my date and I were able to finish it. This probably speaks to personal taste more than anything, as I don't eat a lot of sweets.

We decided to try a couple more of the cocktails, and duly ordered. After 30 mins they still hadn't arrived. We left, in dampened spirits - and not really feeling like we'd been looked after at all. What a pity."
Wonderful dining experience again!,"We had a great CNY experience at the Fat Prince. Friendly, informative staff who are both professional yet make the whole dining experience fun & memorable. The food is just amazing. I am vegan & there is lots to choose from. The cocktails are equally as fabulous & there is a varied wine list to choose from. Can not wait to go again. Thank you to all the staff for another fun night !"
Average food and poor service,The restaurant doesn’t seem to be very well run. Poor service and staff can’t help explain the food choices and quantities. Cocktails are sweet and average.
Sophisticated Middle Eastern Cuisine,Fat prince never fail to impress. Bought my friends here for holiday for dinner and the food served were spectacular. Not only that the environment was relaxing and vibrant. Fat prince is one of those restaurant that caters to all occasions.
Vibes and the lamb was great!,"We went there as a date night, ordered the 36 hours smoked lamb, was superb! And the ambiance was romantic and fun. Great service! Just that the drunk customer next table was a bit too loud but understandable."
Okay food,"I had made a reservation at this restaurant which we had heard a lot about. The place was bustling and it gave us a good feeling. We were escorted to our table, where we ordered (everything) from the menu sans drinks. The food took a bit of time in arriving, but we managed to keep ourselves entertained. Menu is simple and the portion sizes are quite okay from an individual serving point of view. The pita was nice and so were some of the items we ordered. The presentation of the food was nice. The lamb tartare was a bit too sour. Cauliflower could have been cooked a bit longer to make it flavorful, mint dipping sauce was nice. The chef special chicken pita was nice and crispy. I guess the overall flavours were not really to our liking."
Bring back the old menu,"the updated menu it very over priced, service was very slow. Great atmosphere but with the current menu and its pricing I ll not be returning"
Terrible New Menu,"Dinner for 4 people, the service was terrible had to ask for water and drinks many times during the meal. The new menu is just aweful, i have been going to fat prince on and off for over 5 years and the old menu of small turkish wraps was great, good value and the food tasted delicious, the new menu will see you only being able to order the LAMB PORTERHOUSE ($22 per 100g) at 1.2kg peice..... thats $264!!!!! or the PIT SMOKED PORK RIBEYE ($31 per 100g) at only 600g a portion ($186). They did not allow you to order a smaller amount of meat so left us having to only have one main to share between the 4 of us. it was not worth the money at all. We ordered the Pork Ribeye and this came with only 6 pitas and was barely enough for the four of us as a main after 5 small dishes.

My advise to the chef is to change the menu back as this menu only works for large groups where you can share these super expensive mains.

i would not recommend this restaurant."
Never Again,"Came here on a recommendation! NEVER AGAIN. Food was atrocious, the ribs were just fat, hardly any meat. We ordered several dishes from the starter menu, had to ask on numerous occasions to remind them that dishes were missing, I actually ended up eating alone as my colleagues had finished there’s. Selection poor, service also poor. Couldn’t get out quick enough and ended up ordering a takeaway at the end of our evening.

Can safely say I will never attend again."
Fabulous night out,"It's been a while since we ate at The Fat Prince, and it didn't disappoint. The menu has changed a litte and it was super easy to order food to share for our party of 4. The service was faultless and friendly. Will definitely be back."
All expectations met,"From the moment we arrived the service was exceptional. Then we ordered extensively from the menu, not one bad dish from crab to meat. Complimented by very good cocktails. Cool music that sets off the place. Highly recommended."
Good food but small quantity,"The food portions were very small, though they were of good quality. For 2 ladies, our total bill came up to $110 but we had to grab a bite again somewhere else. Service was OK but slightly pushy, frequently asking if we wanted to order more and clearing our plates the moment we finished. The winning point is the ambience, it was a very pretty restaurant."
Excellent service and ambience,The staffs are nice and professional. They treat their customers really well. The ambience is good and cozy with good food. :)
Good food !,"Ordered set lunch and Good food nice ambience , service is good too! Overall 4+ stars !! Will go back again !"
Great food and staff,"Super friendly staff , efficient service and amazing food!
Fairly quiet, good ambiance; not too loud. Amazing cocktail selection and revisited mezze!"
Bad experience,only allowed to sit outside. Lamb price is per 100g. But unable to customize the total weight we want is a cons. The waiter told us the weight is 800g. which is too expensive. One of the famous dish also not available during my reservation for birthday celebration with my gf.
Hippy Restaurant that serve Great Food!,"I really enjoy my time in Fat Prince. Staff are friendly, food is great and ambience amazing. Great for celebrating friends birthday and doing gathering. Even the parking is easily available across the road."
Highly recommended,"The manager was very considerate, the crew were friendly. I love the ambiance, the food esp the cauliflower. Overall, iam satisfied with their services and food."
Great dining experience!,"Scrumptious meal, especially the artichoke hummus and lamb poterhouse!
Good ambience with great service experience from Russell! Thank you for your attentiveness and friendly service!"
Excellent food loved it!!,We went there during lunch and all the kebabs we tried were excellent and flavorful and the service by Hazman was also top quality. Even the wines were reasonably priced as as add-on with the lunch menu. Will go back again soon. Keep up the good work guys.
Fat bill & thin food,"There is something wrong with the understanding of Middle eastern cuisine served here. If the idea is to have cold cuts as Adana kebab, then the cuisine has to be renamed as fusion middle eastern or similar.
The portion size of the starters are bite sized. Baba ganoush is served before the bread, so you sit and wait for the dish to turn cold until the bread comes. Pita bread is called Pede here. Medium
Sized prawns are charged as tiger prawns for $25. Overly priced for what you get. The menu is limited, if you are hungry you have to order 80-90% of the menu because the portion size wouldn’t suffice for the price u pay.
Turning a coffee shop to a restaurant is a good idea. What is more important is to get the facts and cuisne and variety right."
"Great Place for Brunch, Wonderful Atmosphere With Brilliant Service","We came for the set menu and drinks package, and absolutely loved everything about this place. The service was by far the best I've had in a long time, everyone was very attentive and relaxed. FAUZI Z our waiter was amazing and efficient. The food was just enough for us, they didn't mind holding our mains while we rested for a while! I think the mains were the best part, beautiful with loads of flavor. We've been wanting to come for a while so I'm glad we did, it was really busy which was so nice to see. we also spoke with the Lady manager (German/Australian) Who was happy to take us through the evening menu and share information about the Chef, these things will keep me coming back!"
Food was good. Service needs to be worked on.,"Food was substantial. However, service genuinely needs to be worked on. It looks like the staff don’t communicate with one another on what is and not available. Additionally, there are a few that are not well-knowledgable on the menu. When asked for recommendations they were unable to answer simple questions on portion size and more. The saving grace was that one staff member (was unable to get her name- but she was a blonde lady) was friendly and helpful."
"Great place for drinks, flatbreads and hummus","The place was packed on a Thursday night and overall we enjoyed the sharing plates of flatbread, hummus (not commonly found in Singapore) and various meats. The cocktails were also interesting - one with squid ink and stays true to the Mediterranean vibe. Not sure if it's because it's busy but it was really hard to get the service staff's attention. Place was also a little too dark to take any pictures!"
Food is very average and expect to pay way over the top!,"Visited the restaurant for a midweek dinner. Restaurant has nice decor and the staff is very attentive and provide good service.

However, the food is not as desirable as I expected. Average at best. Prices of main courses are by 100g, so can be misleading to some. We paid in excess of $250 for 2 people and to be honest I don’t think we ordered much. Do your research before visiting. At best a 5/10 restaurant."
👍,"The ambience was good , service was fantastic , and not to forget the cocktails was out of the world"
Great service!,"I used this restaurant to celebrate my friend’s birthday who has allergy to few foods.

So I requested for dietary restrictions menu and birthday cake in advance.

Their custmer service was great.
I just exchanged few emails and they understood everything I want.

My friend and I could spent a great time by thier kind and friendly assist.
Thank you so much!"
