topic,review
Quality food!,"Quality food. Prices are on the expensive side but considering the location that is okay. All the veggies looked very fresh, service was great."
Excellent service but average food,"Went with high expectation but the food failed to meet that expectation. Only falafel was good and rest of the food items were pretty average but the price is reasonable. Young man who was manning the counter, taking the order and serving the customers was exceptional. He was very pleasant, humble and polite who kept the place running. I would go again just for his service and excellent approach in managing so many customers single handedly."
Would not recommend the place,"We ordered 3 dishes and all of them scored very low in terms of taste, quality, presentation and authenticity. What made things worst is the attitude of the owner who did not care when we talked to him about it. NOT the place to go."
one of my new favorite places in SG now! wonderful first time experience!,"I was joining my friends that night and I glad that I came!
It was a half empty place at the beginning and got full in a while! believe me its tricky to fine seats nowadays. I met a lot of friends over there as well! Everybody came for food!

We tried a a lot of veg dishes and a few bottles of wine! Well< frankly speaking I was trying all the cocktails menu !

Food was delicious. We like the wine too.

cocktails, well, i like the spicy old fashion! Still something to improve over there but again -we came for food.

service. They were extremely helpful with a smile on! but I dont remember them talking at all . But its okay - result was pleasant! Just last thing to mention - slow down at fast clearing tables! Especially If you dont ask first!

other then that - carry on the great Job!"
Middle Eastern Eats,"It took me awhile to locate this eatery amongst the many along Nankin Row but I was glad I found it. Only outdoors tables are available and food and drinks menus are found after scanning a QR code placed on the tables.

The cuisine is Middle Eastern, so expect items such as Falafel, Pitas and Hummus. I started my meal with the Hummus and Pita Bread (4 pieces of bread and a generous portion of Hummus) whilst waiting for my dinner companion. The Hummus is absolutely fragrant and tasty and made for a great appetiser. For mains, I chose the Koshari (Egypt’s national dish and a widely popular street food consisting of rice, lentils, macaroni, tomato sauce, etc.), served in a large bowl. Once again, I cannot fault the taste, but it could be a little spicy for some.

Service was prompt and fuss-free, and I would return again."
Middle Eastern Healthy Vegetarian ❤️💪🏽,"Amazing vegetarian dishes: Labna Cheese, Fava Beens, Hummus, Tabbouleh, Babaghanoush, Baked(not fried:) Falafel, Baked Eggplant, fresh Pita Bread, Baked Lasagna, Baked Mossaka, Koshari, Lentil soup..

And homemade drinks: Hibiscus, Tamarind, Enaab.

Coctails: Baklava Old Fashioned, Masada Old Fashioned, The Taj 90', Spicy Gimlet

made by Ibrahim@fillapita.co

..with a grate music, lovely spot for tasty dinner and amazing drinks :)"
Decent pita and nice spicy falafel,We shared the 3 person shared meal along with mashed potatoes. The falafel is spicy and nice and while the mashed potatoes were thick and tasty. Would definitely come back
Delicious vegetarian food,"Perfectly cooked and full of flavor, it was delicious. We shared everything for a very fair price. Plus the staff is attentive and caring. Will come back for sure."
"Normal food, little bit ovepriced","I was a little bit disappointed, when came to place - so many perfect reviews , but food just normal , nothing special, portion so small and price so high not enough vegetables in pitta"
Vegetarian Middle Eastern Restaurant,This might be the only Vegetarian Middle Eastern Restaurant we have been to but we're not disappointed. The food is amazing its a new take on Traditional middle eastern food. The food is light yet fullfilling even my kids loved it. If you want to enjoy something different definitely try this place it's a healthier alternative.
Overpriced,"I went to Fill a Pita with a couple of friends for lunch. I had a single platter which contains 5 small dishes such as hummus, falafel, pita bread, beans and garlic sauce. The guys were clearly not ready for our orders as they served only 3 of these dishes (not because they were busy as the restaurant was empty). We had to wait for the other half of the platter for about 20 minutes. The staff seemed to be totally OK with it. The flavours were good but I left the place hungry and I think it was very overpriced. I can get a nice main course in a restaurant for the price I paid there. We are not going back."
.,"Loved the place, the food is delicious, the service is quick and the staff are very friendly. Thouroughly recommend."
"Amazing food, try Koshari and Falafel","Simply magnificent First time I try the Koshari, what a dish! I recommend having it spicy The falafel was very tasty and distinguished too Highly recommended"
Falafel Pita was delicious,The Falafel Pita was really delicious. The texture was crunchy and the pita was nice and hot. The chilli sauce is a must if you like spicy food.
Amazing!!,"Great food & service - thank you so much!! The lentil soup, falafel and bread are amazing, one of the best lunch spots in the CBD definitely check this out"
Best Hummus & Pita in Singapore,I wasn’t really hungry but wanted a snack when I was in between meetings. I had the hummus and pita bread and it was so delicious. I will be back for sure.
Delicious food!,The food was so delicious. I loved their falafels and Labna cheese mixed pita. There was a very interesting balance of flavors.
Best labna in town,Fill a pita is one of my favoite restaurants in Singapore. The food is tasty and light and the staff are super friendly!
