topic,review
Great Food. Romantic Evening,"Enjoy ourselves thoroughly. Every serving is perfect. It was particularly quiet for a week day before Christmas Sunday. Well, no complain."
Great dining experience,Amicable ambience at a historical site. Attentive and stylish services with value good food. Great choices of drink too
Executive lunch was amazing!,"The lunch was great. Immediately when we enter the restaurant, we were brought to our tables and served with smiles from the servicing staffs. The wait for food was reasonable, food quality is good and the price is reasonable as well!"
VGL,very good lunch will visit again great location and special in singapore. recommend to all that like good food ambience and service
Great food and location,Food is great so is the service. Only minor thing is there’s a private function right next to the main dining hall and it affected the ambiance.
Wonderful dining experience,"Had a wonderful dining experience with my girlfriend at Flutes on a Friday night. I loved the aithentic taste and freshness of the food. I especially enjoy the wagyu beef which was tender. I also appreciate the ambience of the restaurant which elegant yet simple. Nested within the Museum of Singapore also adds a nostalgic yet romantic feel to the restaurant. The service by the staff was excellent and they were very attentive and patient. In summary, we had memorable dining experience and lovely evening at Flutes."
Nice food nice restaurant,"Good dining experience. We went for the executive set lunch, the food were delicious especially for the laksa noodles and the beef were nicely cook. Definitely will return. The service was fantastic as well."
Food was below expectation,"My guests had the beef cheek which was tender but a bit bland. The fish was dry and the vegetables where actually sour really not a good combination. The entrees mushroom soup was standard affair the frog legs, interesting but the combination really works. The dessert choc mud cake and mango mousse was okay. Overall, it was pretty average for >$200 lunch for 3 with no drinks. Servings were small, it was not value for money. Just a pleasant ambiance to catch uo with friends,"
Nice environment with good food and service,Service was prompt and good. Food is excellent and value for money. The staff was also very attentive and ensured we have a good experience during the session. Thank you!
Highly memorable experience,"I've always enjoyed my dining experience at Flutes with only one comment - small serves. But was I wrong for the Christmas dinner. They hit it right in all aspects - menu, taste, portion (service and ambience have always been good). It was also value for $ at $128 (early bird special). The seafood - prawn salad, lobster ravioli, fish were done beautifully - light and not overwhelmed with dressing and sauces that would mask their natural tastes. As for the beef wellington, it was done medium and the pastry was light."
Great food and superb ambience,"This is my second visit. Enjoyed my last visit, so i decided to bring a close friend for lunch. We had the barramundi fillet which was delicious especially with the lemon sauce. Great ambience for conversation. Service was attentive."
Excellent,Really lovely food and great value. Thanks to the team for a lovely evening. We will definitely return.
