topic,review
Food Capital CNY Buffet !,"Went to Food Capital for CNY Louhei lunch with business partners. Buffet was awesome. Good spread! The Laksa was Terrific! I had two servings, also convinced the non laksa eaters to try. And they love it! Thanks to the service crew at Food Capital@Hotel Grand Copthorne Waterfront. Cheers!"
Warm service with excellent food,"food is nice!! I love the oyster and Thai chili sauce,what is beyond my expectation is the warm service from Mr.Ibrahim he’s so nice and helpful!!
Thank you very much will come again"
Food is ok only,The buffet has variety and i like the different food choices. Food is of average standard for the high price. The indian food is not as nice the previous time when i ate there. The naan has more moisture and lamb biryani is not as tasty.
Good lunch,"First visit, ordered the buffet lunch. The pan seared seabass was above average. The signature laksa was good and the Chilean scallop was good too. The Australian beef rib eye was just average,a bit tough, luckily the portion was small to minimize wastage. Some of the tempura prawns were pretty good, very fresh.
Service staff cleared the used plates promptly.
Ambience okay and good customer service.
Members get 30% off, a good deal."
Food Capital Buffet dinner,"Friendly staff, wide spread of food - Chinese, Japanese, Indian, Western, etc. Must try Laksa with hum, roast pork, roast duck, roast beef & Chendol. Don’t forget to Join the Ala Carte rewards for 10% rebates."
Great Dining experience,"1st time visiting the place. Great food, great environment & services. Will visit the restaurant again."
Good service,"Service crew are all very attentive & prompt, thumbs up to the team. Variety of food not much but is nice, seafood fresh esp prawn & crab. A Cosy place to dine in with friends & family."
Food at Food Capital Grand Copthorne Waterfront,"Although there wasn't much variety, I must say the food tasted great. My family enjoyed the crab and prawns which were very fresh. There was chocolate fondue and bingsu."
"Not the same level of food spread, quality and service as before!","It's weekend and so we decided we revisit this cafe for the buffet lunch that we last visited in November 2020.

The cafe is cosy, bright and spacious and as it is located at the side of Singapore River, facing Robertson Quay, the view and scenery is nice. And I will dwell too much in this aspect since my last review covered it.

The cafe was quite crowded since it's the school vacation!

The food spread was International, with a good spread of Western, Asian and local themed food and overall they were satisfactory.

Good Points:

Some of the delicious food included the curry fish head (fragrant and tasty), creamy spaghetti, steak, herbal chicken soup (lightly herbal flavoured), tempura items, seafood platter (fresh) and of course the pastries and bingsu ice cream!

Coffee, tea, ice cream and fresh cut fruits (but very limited) are inclusive in the buffet too.

Bad Points/Areas for improvement:

The roast pork was quite nice too, very crispy on the outer skin and juicy of the meat but it was too salty. The laksa was by right one of the popular items here but I found it ordinary and not as flavourful as it should be.

Although they served grilled salmon and fresh salmon and tuna, they did not offer sushi maki. Usually most restaurants will offer at least 2~3 types of sushi maki besides the fresh salmon.

The curry fish head was very nice and so it was one of the fast moving items and if you come late, they would be gone. And also the chefs did not replenish it but replaced with prawns! (of course with the same curry gravy) Usually they should prepare sufficient amount of fish heads to meet the needs.

And also the funny thing was that, braised ducks were hung at the food counter but diners were told that they were not to be served but for dinner? Strange, then don't hang there!

Overall, service staff were ok, i.e. clearing used plates but they were mostly part-timers like students and were not responsive even when we thanked them for clearing the plates. No expression on their faces too. And also the chefs were always MIA at the food counter, especially the noodles counter. So you would have to wait a while for the chef to come out from the kitchen or from another food counter to comeover. Probably on the day of our visit, there was a shortage of chef?

Value for money? Hmm, not really as we were paying like $54 per pax (after 30% discount given for M-membership or online bookings), and the food spread/variety and service level did not quite meet that ""amount"". In fact, for the past few weeks, we have been to several buffets and were paying much lesser and yet with much better quality/spread of food. In fact, we were a little disappointed on this visit as it was so much better back in 2020. (you can also checkout my earlier review here too)

While the dinning experience was ok, we would need more valid reasons to convince us to revisit again as we have better options to choose from in the coming weeks! So do stay tune!

#foodgasm #food #buffet #foodporn #instafood #foodism #foodie #instabuffet #foodporn #foodpic #foodaholic #foodlover #foodstagram #instagramfood #foodielife #foodiegram #foodforfoodies #foodgram #igfoodies #foodpornshare #foodblogger #foodiesofinstagram #lunch #foodpics #instalunch #foodgasm #dine #foodphoto #foodphotography #buffetfeast"
Review for Food Capital,$82++ per pax but food varieties too little and don't taste good. This is buffet for adults and kids so it doesn't make sense there is only lime ice cream... I rather pay another $6 to go for the buffet at The Line @ Shangri-La or the buffet at Orchard Hotel which costs $88++...
