topic,review
Visit this place for a refreshing feel and good experience.,"You will like the experience.

I was with a group of 13 for CNY lunch at the restaurant and was pleasantly surprised by the clean and neat environment, good food and staff that consistently attended to us. I must re-visit. Of course, the standard of service is not to be compared with top brand name hotels. But definitely, nothing short of feeling good and satisfied after the meal. If you seat near the glass wall, you may even like the river views outside."
NUS Corporate Workshop Dinner,"Thank you Mr Daniel Yuen, Mr Mohan, Margarita and Team at Four Points Eatery for the wonderful service we had this evening for our 40 over guests. Food is great and everyone enjoyed thoroughly. Special thanks to Mr Alexander Goh and Mr Daniel Chua too for the impeccable care and attention given to the CIL-ANCORS group. I am truly appreciative and grateful!"
Service Review.,"Great service and food from the Eatery at 4 points by Sheraton. Excellent variety of food and drinks selection from the menu. The staff are also friendly friendly and helpful. Enjoyed the outgoing charisma from Seri, Minhui and the team."
Eatery,"There is one lady name Seri and she really good attending and manage guest even in rush hours.

Really appreciate her helps during my stay here in the hotel. Kudos to the hotel management as well and hope can see her soon during my next visit

Enjoy and have good time staying here and yaa the eatery rocks ! Especially Seri

Thanks again

Gonna be back soon Otter !!"
Eatery,"excellent services by none other than your staff - seri. Never disappoint us every time we eat there. Food is good , tall tale ale is excellent"
Best service ever!,Meow Gek Is the best! Going the extra mile for my business visitors with his dietary needs! She serves out of menu food as the guest is not well.
Meow Gek was the best,"Fantastic service by Meow Gek at the restaurant. She was very helpful, and polite. Going out of her way to serve the guests and customers."
Nice foods and good service from staff,The foods were nice and quantity is more than sufficient for 4 pax. The service staff Mr Min is supper attentive and friendly. We have a wonderful dining experience.
Four point by Sheraton Riverside mookata,"Nice place to dine beside riverside. All the staffs here are very honest, friendly and helpful. The server Min hui is so helpful and always bring a smile. Must to visit for the nice ambience."
The Mookata was amazing,Al fresco dining by the river during dinner was great. The food and ambience was good for great night out.
Great experience at Four Points Eatery!,Came here due to a Fave deal for mookata. Excellent ambience by the riverfront and quality sourced food. Great service by staff!
Amazing service and experience,"I am currently staying at the four points by Sheraton riverview. Its been an amazing experience and the hospitality extended by everyone right from the check in staff, the restaurant staff, concierge is exemplary. A special mention of Mr. Mohan from the restaurant who goes out of his way to make the guests feel at home and ensures that the best service is rendered. Great hotel, great staff !"
The Eatery by Four Points,"It is a fairly good restaurant. The only drawback for me, was they almost didn’t change their food offerings while we were there for 14 days. But generally a good restaurant."
Delayed stay over,I was stayed here for just a few hours after flight delays. The room was spotless. The restaurant had great food and friendly staff who were very accommodating after the buffet had long finished.
Another great stay in Singapore,"My fourth stay here. Great property, friendly staff, delightful service..
Particularly enjoy the breakfast buffet, the outdoor seating with a view of the river. Mr Ganapathy and the team do a great job in checking up on guests and make sure that you are well taken care off."
Mookata + Four Points at Sheraton Hotel Stay Promo,"Promo mentioned a night’s stay with complimentary Mookata platter with Thai milk tea. Didn’t expect much since it is complimentary but when the platter came, our jaws dropped. It was HUGE and even came with oysters and 2 king prawns. The staff and service was top notch as well. They really outdid themselves. We’ll be coming again for sure!!"
Visit at eatery,Excellent meal with super service from rachael. She made us feel very comfortable and it felt like home we will definitely be back. From kenbowles
Mookata by the river,Excellent service! Very proactive in making you feel relax and comfortable. Clean and comfortable dining area with good view.
Mookata dinner by the river.,Great service staffs. Nice view. Pleasant experience. Enough car park lots. Tasty food. Would recommend. Thank you.
Eatery,Thank you to Your staff Seri for treating us like VIP. Well done. And food is prepared customised as per order.
Eatery,Both the presentation of food and the taste is exceptional. Service is good as well. Friendly and approachable staff!
Dinner date with the missus,Nice quiet and happy to try the food Wife like the ambience and also it's been a while since we came back here
Great environment. Nice food and staff,Took a quick stroll around in the rain and found this gem of a place. Felt very relaxed here. Solid experience. Would definitely recommend.
Food,Fries was warm and crispy served fresh. Coffee was great as well. Staff was friendly and really attentive. Would recommend having your meals here
Four Points Riverview Singapore,"One of the best service team in the Bonvoy hotels that I’d stayed in last 10yr. Super courteous and very helpful staffs. Special thanks to Mr. Saran, Mr Ganapathi, Auntie Meow Gek from the eatery, Ms Cindy front office manager, the uncle at the concierge and the best brew team (miss their names) everyone that makes my stay so welcoming. Well done team and will always be back to the hotel when I’m in Singapore both for work and family vacation.

Regards,
Sherman Chong"
Great service,Excellent service during breakfast. Saravanan made our breakfast experience even better. Thanks to the excellent staff.
Eatery restauant,Meow Gek at the restaurant is extremely helpful to take good care of us in the breakfast lounge. She wears a nice smile all the time and being attentive to help us with drinks during the rush hour in the morning.
Great service by Meow Gek from the restaurant,Great service by Meow Gek from the restaurant Great service by Meow Gek from the restaurant Great service by Meow Gek from the restaurant
Excellent service!,"Every staff we have interacted with were efficient, helpful and friendly. They anticipate what their guests need and offer assistance. Even when they are busy we never have to follow up on any requests, which is usually the case at restaurants!"
Eatery,"Seri from the restaurant team at Four Points Eatery is amazing! We are foreigners staying in Singapore for quite a long time, and she has given us outstanding service everyday. We usually have special requests for our food and she always makes sure we get our food exactly the way we requested. Seri goes above and beyond to make her customers happy and most importantly she always has a smile on her face. I recommend Seri and the restaurant team here 100%."
Dinner,Thank you Seri for a nice birthday cake on my Birth month. Good service provider. Experience & Knowledgeable in service.
Birthday month,Special thanks to Seri for her exceptional service during my visits to four points. She was very helpful and attentive. Even going out of her way to
The BEST breakfast buffet service!,"We always look forward to staying in any asian hotels. Four Points Sheraton in Riverview, Singapore did not disappoint. Customer service is EXCELLENT. From the time of check in and in the dining room. Sathia and the rest of the staff are friendly and efficient and serves the best buffet breakfast in town."
Late lunch at Four Points,Great food. Always back for the mee goreng and char kway teow with generous portions of seafood. Nice ambience with a good view of the Singapore River.
Big and spacious restaurant with wide variety of food choice!!!,"Staff Kit was very friendly, efficient and helpful, answered all my queries fast and accurate. Love to have such staff around."
Four Points Eatery,"Good place to eate especially if you're on a business trip. Food served quick, delicious, and extremely friendly staff. Would definitely eat here again."
PSA: Check price before ordering,"We went to Four Points Eatery for 𝐀𝐡 𝐏𝐮𝐢 𝐙𝐢 𝐂𝐡𝐚𝐫 𝐁𝐮𝐟𝐟𝐞𝐭, last advertised on Facebook as S$49 nett (in March 2022). It's actually now S$58++, and I wished the staff could have informed us when we decided to order this."
"Think 5 star Mookata, hawker price!","My friends and I are simply blown away during yesterday's dinner at Eatery. We were served by a bubbly supervisor, a dynamic and bubbly few days old junior staff and a first day joiner! So sorry that we were busy eating and didn't ask for your names!

Supervisor (gentlemen in glasses):
• Dynamic and friendly
• Robust and helpful

Few days senior girl:
• She was an uproar!
• Lively and had a great sense of humour
• Great potential with customer handling

First day new joiner chap:
• Humble and hardworking
• Efficient and meticulous

The entire team made our dining experience ever so enjoyable. Come on lets face it. The team did an amazing job and especially considering how ""experience"" they are. This is a classic example of service from the heart. The product changes all the time. But when you are genuine and sincere in what you do, it doesnt matter if you're in the job 1 day or even 10 years. The difference is obvious!"
High quality service,"Food is real good, but the high point is the service. Mohan and Hana do a really great job, they are very attentive, polite and do everything to make you have a pleasant meal. Really enjoyed my time there."
Excelent service,Thank you all the team. The ambience and hospitality was extremely good. It is a really pleasure to meet you during the breakfast. Special thank to Mr Mohan for your help during my long week ...... Arnaud
So damn suck！,"Really terrible
88 for 1 pax
but it was a nightmare
I think the Maximum value just 18 for one person"
Overcooked Rock Lobster,"For a hotel, one would have thought Chef could control degree of cooking. Top overcooked. Spoiled the highlight of this signature dish"
Delightful Zi Char buffet,"The dishes were served hot and fresh, we enjoyed our ala carte buffet and most likely to come back again. The curry fish head was a hit among us, it has good amount of spices and meat to it. It was definitely value for $$ as I gotten the Chope’s bday deal $28 per pax. Side note; their drinks are overpriced! So do check before ordering $7++ for cola"
Depressing atmosphere and teribble food,The food was served very slow although there were only few customers. This is one of the worst Zir Char I have been eaten. Some of the food is cold when serving to us. The sambal vege is spicy. NOt recommended.
Standard drop,"Compared to previous times, the items on the menu has become lesser. They don't even have fresh juices which is quite disappointing. Some of the staff are friendly.

Saw their ala carte buffet zi char - not worth it. Around $50+ per pax, minimum 2 pax and those dishes like curry fish head, herbal prawn can only order 1 serving. The other cheaper one like eggs and vegetables are unlimited. Not worth in my opinion. I saw that they have mookata as well."
Rock Lobster laksa,Everything on the menu is rather overpriced( it is housed within a hotel afterall) . But the rock lobster laksa is rather worth its price of sgd23. Came in 3 halves . Large amount of thick rice vermicelli. Not too oily. Good tasting sambal chilli at the side
Feedback For The Service,This is my 5th visits Staycation at Four Point By Sheraton.I have dine at the Eatery Restaurant.My favourite dish is Laksa.The Staff by the name Mr Farid is very Pleasant to serve us.He is very Good and attentive for the order foods.He serve us with a pleasant smile and we are very happy the Service.His teamates Mr Mohan also very please to served us.We are very happy with the foods and enviroments.I will strongly recommend to give a credit to noth of them.
Bad food and service,"Asked for vegetarian noodles and all I get is tough noodles with black sauce. Barely anything in it. They could put some vegetables. Service is very very slow, unbelievably poor. The coffee already turned cold the food never came. We followed up with 3 crews but still no food. We found out later on that they seemed to mix up the orders. Please avoid eating here."
During my staycation here,"During my staycation here, ate dinner and breakfast at this restaurant. The food is average, and not what I expected for a hotel restaurant standard.
Perhaps the western selections would have tasted better.
Honestly, believe the nearby Tiong Bahru Food Centre would have better food selections and tasted much better.
Felt really disappointed, as I did not feel that it was value-for-money at all."
"Great Staff, Great Service",Had our dinner here today. The food was above average but the whole experience were made great because of Mr Mohan! He was attentive to our needs and always tries his best to delight us :)
Service very terrible,"Worst place I have been so far ... no cutlery no water no service despite being seated for 30 mins .. no body bother to come to u for service .. mookata came and no cutlery, no soup, no chilli, no butter .. it’s a horrible experience."
Disappointing 1st visit - far cry from the Chope ads!,"Purchased a Chope deal during Chope Birthday 2020 campaign for a 1 for 1 Seafood Madness Set at Four Points Eatery.

1 for 1 Seafood Madness SET at $44.73 nett.
Indulge in “luxurious seafood”:
Fresh prawns
Mussels
Flower clams
SNOW CRAB CLAWS
Corn or live CRAB

We were informed by the waitress when we asked abt the missing crab that chef ran out of crab and he had replaced it with snow crab but this is what we were served!
Does it look equivalent to the crab as described in the deal? Or anywhere near to what’s being featured in the Chope ads?
We were offered juices and plain rice by the apologetic waitress as a service recovery.

Four Points Eatery should not be branded as a Marriott as they clearly can’t live up to the Marriott brand standard.

And I were never step foot into Four Point Eatery ever."
Food was mediocre but service was superb,"Went there to try the lobster laksa which unfortunately wasn't available that day, so I got the seafood aglio olio instead. Didn't wait too long for the food to be served. However I found the pasta to not be spicy enough for me and feedback to the staff to check with the chef if the chilli was added in. Kitchen refired and served the pasta quickly. The food was not the best I've had but the service made it worthwhile to return again. Service was superb from when I step foot into the restaurant till when I left. Might possibly be due to the lack of crowd when I'm there as I was there at about 6pm before the dinner crowd comes in."
Wait and wait,"Seat and Waited for 45 min to get the first dish. Waited for another 30 minutes for the next round. I dun quite understand, the dishes are in small portion, not freshly cooked and microwaved, why do we have to wait for so long? How do I know they are microwave? The small porcelain bowls are hot but the food in the bowl is warmed. We spent 2 plus hours and did not manage to finish the second round."
Worse experience ever,"I arrived at the eatery around 8pm for dinner. The service was very slow even though the restaurant was empty with only a few customer. When I finally got a table, to my horror most of the items on the menu were not available and it was only 8pm. Almost half of the menu were not available to order. The excuse the staff gave was that there was a crowd before but the eatery only closes at 10pm, there shouldn’t be a problem making the menu available. When questioned, staff was unable to answer my queries. Shouldn’t they anticipate for dinner crowd as well? When my order finally went through, it took 1 hour to come. This is the worse experience I have. I DO NOT recommend eatery by Fourpoints Sheraton"
Worst place to visit,"My first time here with family for bday dinner celebration ""ala cart zi char buffet"" but we had the worse experience ever. 7pm was our reservation but we were rejected from going in due to too many customers from either walk in/ too many reservations at one go.
We waited till 730pm thn we can get in and already seen many angry customers as well. Complaining of waiting time too long, food was too long as well. Waited for 1hr 10mins for the food.
Service was alright but i guess kitchen side must have short of manpower or so.
Worst experience ever."
"Good service, terrible food","Service staff were polite. Had the seafood madness set. Crab was very far from fresh, could hardly eat it. Prawns were seared till they were dry. Not worth even after the chope deal"
Food and service could be better,"Food was below average, service by the staff was poor and slow. One of the staff gave attitude and was not service oriented."
