topic,review
Friendly staff good food and coffee will visit again when I free and will introduce to my other friends to this store,Such a good restaurant I visited in 2023 friendly staff good food and all the staff at there able to explain to me nicely and clearly
Great food and ambiance,Yummy food and great service overall. All the ingredients taste fresh and the staff were incredibly helpful with our requests.
Good experience!,Delicious food and goood services! Such a perfect experience here. 服務熱情、餐點美味 推薦大家有機會一定要來嚐嚐！ Don’t miss here if you come!
Saturday Nite,"Nire,Gani,Girlie Great ambient and fully appreciate their hospitality. Very friendly staff.🙂🙂😁😁 Really enjoy my drink as well.👍"
great food and service,"ambience was great! a good place to have brunch with family and friends. Service was amazing, staff were very kind and welcoming. Food was delicious, definitely satisfied my cravings!"
Perfection,All the food were well served on time staff are very friendly and have a chill environment will definitely visit again
"Brunch with added French flair, especially the Galettes (buckwheat crepes).",Wonderful brunch spot! Wanted somewhere new around Amoy St area & loved it all. 1st funky interior plus outside seating. Coffee was brilliant (both fully leaded & decaf).
Delicious food and good service,"Nice ambience, came for the galette and it was excellent! Great service and beautiful latte art by Eve, recommended"
"Good food, good service","Delicious food, warm ambience and friendly staff, loved the cheese recommendations from Eve, will definitely come back again"
Great euro style cafe,"Nice place, different from majority of Asian restaurants. Serves cool salty galettes and sweet crepes. Good service, recommended"
"Great service , friendly staff and good food 👍🏽","Kudos to Gani and Niresan for the attentive and friendly service , good coffee too and to the chef for the best crepes 😋 Thoroughly enjoyed the ambiance as well."
Dinner with friends,"Super amazing service by Kevin and Ida! Really attentive to our needs and Kevin went above and beyond with serving us complimentary tea w chocolates ◡̈ Enjoyed the ambience here and the presentation of food was great! Wonderful place for friends and family to gather and have a time of catch up, especially during the festive season."
Ambiance was cool and service warm food was good. Found the location was surrounded by many cool restaurants and bars wi,Warm service cool ambiance food was good and was surrounded by many good restaurants and bars will visit again with greens
10/10,It’s a great experience. Nice ambience! The service crew - Eve is extremely nice and make great recommendations! 10/10 will definitely come again
Best Galletes in Singapore,"Attended by Eve, friendly staffs with 5 star service, cozy environment and they serve the best Galletes in Singapore!"
Nice ambience at French Fold Telok Ayer,Had a lovely and relaxing time at French Fold Telok Ayer. The ambience here is nice. The staff are also friendly. Loved the pretty pics on our cafe latte and matcha latte prepared by Barista Eve. The service staff here are also friendly and helpful. Will definitely come back here again.
Great Service and Great Food,"Greeted with welcoming and friendly gestures the moment i step foot into the restuarant. Service was excellent and food was amazing. Their crepes are a must try. Shoutout to Nyrey, Gani, Girlie for their amazing service. Will definitely grab more friends and come again."
Great visit,Amazing service and lovely food! We had a great time at this quaint little place with crepes and yummy ice cream!
"Friendly staff, excellent food","Excellent experience, friendly and accommodating staff - Brian - was great! Loved the tea and atmosphere and the BOP ice cream. Thank you for a lovely time!"
Fave Crepes,My all time favourite White Chocolate Speculoos crepe . It never goes wrong with their ice cream from Birds of Paradise . Both Chocolate and white chrysanthemum flavour is so good and goes well with the crepe . Big shout out to Eve and Antonia for the service . ❤️
"Come here only if you like gaulettes, otherwise limited menu","Stumbled into this place on a busy Friday evening along Telok Ayer. This place serves gaulettes which can be best described as savoury crepes. If you are not into gaulettes then this is not the place for you because the offerings on the menu are rather limited.

We ordered the sardine gaulettes with another order of organic cured ham and a bottle of French red.

The gaulettes were interesting but I am not a big fan. The ham was decent but unremarkable.

The service was very good - our server was very warm and friendly. The ambience is good for friends gathering or casual business.

Overall it is decent but I am a bit suspicious of so many 5 star ratings by reviewers that only did 1 review in their history. Are they genuine reviewers ? Who knows?"
Dine in,"Nice food, nice ambience and very cozy , good service and very clean. Thank you for the service 👍🏻👍🏻"
French fold Telok Ayer,The environment is nice and foods were delicious. I will definitely come again and would recommend friends to come here !!
Great place,"First time coming here, recommended by my friend. The environment is nice and foods were delicious. The bartender friendly and attentive. The place is crowded on Sunday afternoon but the service is fast. I will definitely come again and would recommend people to come here!!!"
Delicious,Excellence services. Nice environment.Recomended for chill and hangout.Food are delicious!!!Will come again and bring my family.
Friendly & Awesome,Friendly service with marvellous food & beverages selections. 1st try for the sesame latte. Nice and special. Coffee here is my all time favourite.
Great service and ambiance,Great service was great. Here have great ambiance for taking photo. The food was tasty as well. Will be back again
