topic,review
Memorable Wedding Banquet,"Our solemnisation and wedding banquet was successfully held at Fu Lin Men NSRCC. Initially we shortlisted this venue due to the awesome golf course view seen from the restaurant. We finally settled with this venue because the rapport and staff engagement was very pleasant.

From reserving the date to planning the menu to ad-hoc changes, everything was well accommodated without hassle. The manager of the restaurant, Mr Ruel, was very prompt in replying my messages and saw readily to every request that I've made. He also waived off the corkage charges and threw in a couple of freebies to boost up the overall dining experience.

The dishes prepared by the Chef was very delectable and received a lot of compliments. It was one of the best wedding cuisines we've had.

In summary: clean environment, fantastic scenery, seamless coordination, delicious food and awesome services. Kudos to Mr Ruel and his team for providing such a memorable experience. Heartfelt appreciation from us!

-- Ben & Oui"
A very cosy place to have your ROM,"If you're looking for a place to hold an intimate solemnization, this place is perfect. Not only is the staff very friendly, but the food is delicious. We tried the 88+ per pax menu and liked it. This place also has a minimum of 10 guests (1 table), so for those needing somewhere that can hold less than 50 pax, this is the place! The golf course outside the restaurant (NSRCC branch) is also a simple yet beautiful place to take some couple shots. Ruel who was in charge of communications with us is super friendly and will help you to make your special day go smoothly. Highly recommend! :)"
The BEST service we could ask for during our wedding banquet,"Due to a hiccup at our original banquet venue, my wife and I were scrambling to find a new banquet venue 1.5 months before our wedding day (19 Nov 2022). A friend of ours referred us to Ruel (the manager at NSRCC Fu Lin Men) and from the first moment we spoke to him until the end, he has been nothing but flexible, professional, and helpful in our dire time of need.

He was prompt in responding to our queries over WhatsApp, and expedited a lot of necessary preparations because of the short timeline. Throughout this intense period of preparation, Ruel always made sure that we were at ease and assured. On the actual day, he was on the ball in working with us and our coordinator in giving us updates to make sure everything was running on schedule.

Beyond the great atmosphere, very reasonable pricing, spacious venue and delicious food, it was Ruel's professionalism and his heart to help us as best as he could that makes this 5-star review an understatement of how good a place NSRCC Fu Lin Men was to us."
Luncheon,Held the company luncheon here and the staffs and manager were very friendly and helpful. Food was good and everyone enjoyed their time. Thanks for the great service!
Great place for wedding or ROM,"When I first came to NSRCC Fu Lin Men, I was in awe by the spectacular golf course surrounding it. It was beautiful and I knew that I wanted to have my wedding held here. In a short notice of less than 3 months, we consulted and discussed with Mr Ruel the manager. He was very helpful in the planning and met our requests well. During the event, he made sure everything went smoothly and was there to help out the couple and guests. Thank you Fu Lin Men and Mr Ruel for helping us plan and execute our wedding dinner well!!! Highly recommend this place for beautiful scenery and amazing service."
Unbelievably Wonderful Food and Service,"On 04-Nov-2022, celebrated our company’s 25th anniversary at Fu Lin Men NSRCC.
We choose NSRCC Fu Lin Men once again cause this restaurant left us unbelievably wonderful memory from the food to service.
Our CEO who travels widely and ate Chinese cuisine at many restaurants. He had nothing but praises for the Chef since his first dinner at the restaurant in April this year.
Our Australian team were so impressed with Chef that they put Chef into their wish list in Australia.
Chef was given a standing ovation when Chef served the first dish personally, Lobsters Salad. The team was very touched and happy to meet this Awesome Chef who dished out food that touched every heart.
I also like to express my appreciation to Restaurant Manager Ruel. Ruel had make this evening unforgettable for our team."
Fantastic location for private event,Booked the function room for an event for 50pax. Ruel has been most helpful and accommodating throughout the entire event. The food was great and my guest thoroughly enjoyed themselves.
Best Venue to have your Solemnization/ROM,"Thank you to Mr Ruel, from the Low Family

Our first visit to NSRCC Fu Lin Men was on the August 2022, we were warmly welcomed by Mr Ruel. We wanted to enquire on the ROM Solemnization lunch package that they offered.

Even though the restaurant was quite busy during lunch hour, Mr Ruel still entertained us and patiently explained the myriad of dishes that they offered, the service and packages that are included and helped assure us that he'll do whatever he could in his capacity to make this the best wedding we would have while still staying in budget. Mr Ruel offered us packages that best fitted within our budget as well as alternative dishes and special requested that we had.

We were then offered a discounted taste test 2 week later where my family enjoyed the scrumptious meal prepared by Mr Ruel and the team. Throughout the taste testing, we were able to give our opinions and changes on the dishes served. We thoroughly enjoyed our time there taste testing my dishes, and even dishes that are not available on the menu itself.

A few weeks later, we also had requested Halal, Vegan and Vegeterian menu. Mr Ruel and his team managed to help us with it while many restaurant had turned us away. I'm amazed by the service and afterthought that Mr Ruel and team had provided.

The arrangement of seatings and function room was amazing Mr Ruel and his team helped make the room look extremely well done and fitted our theme, yet we didn't even fork out a single cent for it. Seats were arranged by what I've planned and meal dietary restriction are marked by the color of handkerchief, amazing way to make it subtle. Mr Ruel also provided tips and tricks on how we could better improve the layout while also keeping in kind my requirement. Mr Ruel also came down on his off day upon my request to finalise the plan a day before the wedding. Such commitment towards customer is really commendable and I could see why Mr Ruel and his team has such high rating over many sites.

On the wedding day itself, everyone enjoyed themselves and praised the food many of my guest even said they would come back to the restaurant because the meal were perfect. Mr Ruel came numerous time to the function room to make sure everything was going smoothly and that the guest was happy. Mr Ruel even went out of his way to help me MCee the event when our MCee could not turn up as she was sick. We ended our day with a happy note.

Thank you Mr Ruel and the team. We appreciate and thank you for making our wedding day the best day of our life.

Low Family"
Solemnization Lunch Banquet,"The setup for the room was beyond expectations and the staff, especially the manager Ruel has been accommodative and patient! I noticed that Ruel took the initiative to take away the chair when I was having difficulties maneuvering around and he graciously accepted our request to emcee. The food was delicious and they took the effort to remember our requests for some of the dishes. Thank you to the NSRCC team for your quality service!"
Our special wedding banquet,"Mr Ruel & his team has given us their utmost professional experience in managing our wedding banquet. All our friends & relatives enjoyed their food, especially the seafood. They are so fresh.

Thank you so much for making our special day so amazing.
We are very pleased with everything.
- YJ & SH"
