topic,review
Horrible service,"Horrible service. Not waiters fault but owner who doesnt employ enough personnel.My burguer order got mixed up so had to wait for my plate whiel family was eating. Had to ask for coffee and tea three times after meal finished. Had dirty plates in our table for nearly 30 minutes. Not even apologized when I finally complained. Food is only reasonable. Given the bad service , Avoid the restaurant."
visit to gretl!,"i enjoyed my experience there. i’ve been there before too on multiple occasions with my family and i thoroughly enjoyed my time there all the times i’ve been there. the food as usual was great! value for money. piece of advice for anyone planning to visit any time soon, try the orange sauce with the fries they are the best thing ever !"
"Delicious food, delicious beer","Located just down the road from some of the big Orchard Road malls, this place is relatively easy to find. We had the Rabauke burger, chicken sausages and beer that I can't remember the name of, but when we ordered it was the first option that came up with the burger. The beer was quite sweet which I'm not used to, but it was delicious - as was the food. The restaurant itself has a nice atmosphere and the staff were great."
Very good,We have been there after a few months. It is much better than in the past. It was alwyas good but now staff seems to be more active and professional. Burgers are always very good. We love it.
Do not visit,"For the prices the quality of burger was not worthwhile. We ordered the sausages and it was much smaller portion as compared to their menu picture. Taste of fries were mediocre at best. The burger patty was dry. The waiter whom seated us was rude and unhelpful. The ambience was horrible, small tight places and a noisy environment. Will definitely not return."
Value for money burger meal,"I was surprise how generous on the option for a set meal. it comes with not one but 2 drinks. from the choice of bread to the sides, you may need sometime to decide to make up a set. friendly staff. recommend to reserve your seat. there is a better ambience inside the"
Burgers awful. Fries good. Beer cold. Prices RIDICULOUS.,"Burgers awful. Fries good. Beer cold. Prices RIDICULOUS.

That’s a very solid review, take to the bank. If you’re looking for a good burger, you’ll not find it here. We wondered if they’re even cooked on site, as there is no questioning how you want it prepped."
Excellent customer service and attention,"We stopped here for one quick cocktail on our last night in Singapore. I ordered a Negroni. When it came, it didn’t taste right. My husband took it back and asked if it could be remade. The chap came and spoke with me, and I explained it didn’t taste right, too much gin, not enough vermouth. He added vermouth and brought it back. It was worse!! But, he tried and I thanked him for his kindness. Five minutes later he returned with a brand new drink, much better tasting, at no extra charge, despite that I had drunk some of the original drink. He was so keen to ensure my experience was good, and I was very grateful for this. I didn’t get his name, but hopefully his team will know who he is. Thank you!"
Don’t bother,Don’t bother Overpriced burgers where everything is an extra. A stark contrast to the value for money and atmosphere in the parent chain in Germany
Wonderful experience,Delicious burgers! Superb beer. Excellent vibe and ambience. I felt like I was transported to Germany / Austria for a bit. They had various options for vegetarians. I highly recommend this place!!!
