topic,review
Delicous burgers and dessert; friendly staff,"Staff at Grub puts a smile on our faces! Burgers are delicious, including the Katsu burger. The burnt kaya cheese cake is excellent!"
"Great service with excellent follow up by Hostess Extraordinaire, Amanda Phan.","Visited Grub at Bishan Park 3 times prior to Covid 19 with the family. Decided to give it a try now that they had moved to Stevens Rd. I am not a burger and fries person and has always been wary of fish dishes due to few experiences with either overcooked or fishy taste outcomes. I ordered their Miso Glazed Salmon Soba and was very happy that it was done perfectly especially the Salmon skin. Crispy, a little crunchy and yummylicious. The wafu dressing went extremely well with the salmon and soba. The Grilled Chicken Pesto was nice too.
The restaurant followed up with an email to check on our dining experiences and Amanda Phan followed up with a note to thank me and asked that I drop her a note on my next visit so she can come by to say hello personally if she is on duty. This is a step above many establishments that may check on customers' dining experiences and stopped short after feedback was given. This speaks volume of the management new concept of customer engagement and ways to improve with a personal touch."
Nice cheeseburgers,"We arrived before noon for our early lunch. There was already an occupied table at the outdoor terrace seating area. We opted for indoor dining and had the entire indoor space for ourselves. As our visit was on a weekday, the restaurant was quiet, with only 2 additional occupied tables by the time we finished our lunch. Peaceful surrounding was pleasant. In comparison, Grub's previous outlet at Bishan-Ang Mo Kio Park was often crowded and noisy.

We ordered cheeseburgers which were served with 140g beef patties and generous portions of thick-cut potato chips. Beef patties were grilled to our preferences of doneness. Vinegar and mustard were available on request whereas sachets of chilli and tomato sauce were provided in a basket placed on each table. The meal was satisfying."
Worth the visit,"I rarely give 5 stars out of 5 stars. I am impressed by the food but more impressed by their service. In the mist of their peak period, they serve with a smile and very attentive. E.g i dropped a knife and I pick it up put on the table. One staff took the dirtied knife and another staff immediately replaced it. The yuzu mint taste weird but but the lychee earl grey is perfect match."
Review for GRUB,"My family like to dine at GRUB, for the ambience and food . We are sad that they will be leaving Bishan in January, and hope they will start somewhere again for the great food . Will miss the restaurant if it's to be closed."
Great time at Grub,"Food quality just as good as usual .
Except kitchen staff was in flexible to accommodate the change from garlic bread to just plain bread that came with the soup. As I am unable to eat raw garlic due to allergy. Other than that overall was good"
Disappointing dining experience,"The Har Cheong Chicken Waffle, Fish & Chips, Truffle Mushroom Soba and Grilled Chicken Pesto Pasta tasted like they had been pre-prepared to be reheated before being served.

The Har Cheong Chicken were overcooked while the fries and the waffle were not crispy.

The Truffle Mushroom Soba had a weired taste and the Grilled Chicken Pesto Pasta too oily.

The whole experience was a little hasty. The intention was to chill out over “dinner in a park”. Granted, we were late due to rain and unfavourable traffic condition. The table was kept for us although we were quick to be reminded they needed the table back by a certain time, which was less than an hour.

The area where we were seated was not appealing. Outside and beside where we were seated, there were prams, strollers etc. Understood that it is a kids friendly bistro, surely there is a way to do better.

It’s overhyped. It’s pricey. Hence, I expect a little more.

Forget about chilling and dining in a park given the time restrictions. I would think just drop by for a cuppa and small bites.

Won’t be back. Not even a cuppa.

Just my personal opinion."
Burnt cheesecake cravings!,"Burnt cheesecake, burger, and pasta are a must try! Highly recommended al fresco dining in Singapore! The place is very convenient too!"
Good food,Friendly and helpful service staff. The food was good portion and delicious. Slightly expensive but will visit again.
Sinful Mala Burger,"After a Saturday afternoon spent kayaking, we were spent and hungry. So we searched for good food options nearby and remembered about Grub. I had always wanted to visit it, so without any further delay, we made way to it. And reached just on time before it started pouring.

We got seated in the outdoor corner area, our preference for inhaling some fresh air inside ours .

Being the hungry lot, we soon ordered the following:
1. Mushroom Cheese Potato Croquettes: I loved the soffrito, better than the main dish .
2. Garlic Bruschetta: It was simple and plain as it should be.
3. Mala Xiang Guo Burger (Pork): Wow, I just loved it. The juiciness of the pork patty with mala flavor was delectable. However, I would suggest trying and reduce the oil content.
4. Mushroom Cheese & Rocket: It was plain and creamy at the same time, I could keep devouring if not for the calories.
5. Strawberry Yakult Soju: A good combo, the strawberry essence was of the right amount, allowing the other flavors to be distinct at the same time.

We finally finished with their signature Burque Burnt Cheesecake, which I felt was just ok (Have tasted better).

Overall we had a good filling brunch and ended up spending quite some time due to the heavy downpour."
Lunch by the Bishan Garden,"Awesome and blissful environment. Food experience is on average note; probably both of us are Chefs background. Cheese cake scored the top marks, unfortunately we didn't take photo. Definitely will visit again to try some of their winning dishes. Service was excellent and friendly."
Nice setting,"First time here for lunch with colleague. Ordered Har Cheong Kai burger, and crispy fish burger. Food was good but not wow. Enjoyed the rose gold latte. The Strawberry Yakult Soju was delicious but expensive at $10. Burnt cheesecake was $9 - also expensive, and I wouldn't say that great. What were important - we sat indoors, nice ambience, great greenery being situated in Bishan-AMK park, and most of all - AMANDA our server - she was cheery and welcoming, and if I own a F&B business, I would hire her! We spent $83 for 2 people - a tad much for lunch, but great for that important catch up. Definitely recommended!"
"Bishan Park,Grub","Service staff was attentive Quality of food is so-so Price is acceptable It was less crowded because we came at 5pm,Sat"
New and improved meat free dishes,"They removed 3 previous meat free dishes and replaced them with 3 more, this time with mushrooma- a soba, pasta and burger (burger is not vegan as the bun has french butter). We tried the pasta and soba. Oasta was tasty with a generous amount of mushrooms but it was not at all spicy even though it was promoted as such.The soba was well marinated and with a good range of accompanying ingredients except that it could do with more mushrooms. Overall, we found these new dishes better than the meat free ones they replaced, so well done!"
A weekend brunch.,Came for a weekend brunch. Arrive early and was able to get seats without reservation. In the middle of the Bishan park which is surrounded by lush greenery. Good place to have a relaxing weekend away from all the buzz. Place can get crowded during lunch. The service is good and the food were serve quite fast after ordering. Not particularly impressive but the food is tasty enough for me. After brunch can also enjoy a short stroll in the park. Will come back again if I am nearby.
An ideal place to chillax with the fam bam,"This place is a delight to head to with the family as it's cosy and its extensive menu caters for all the various tastebuds. I've tried alot on the menu so far and nothing has fallen short of my expectations. The price-point is, in my opinion, value for money and is almost always full during peak dining hours. Despite that, the wait staff are all very professional, polite, smiley and i really appreciate that. I was served by a nice girl whose name starts with a ""C"" (sorry I can't remember your name :( ) and she was super genuine and sweet to my kid and my parents the whole time. Thank you :)"
Great brunch venue,Great and friendly service and yummy food! Just that things gets a little slower as crowd builds up and drinks take a little longer than expected to be served. Overall still a great venue to chill and catch up with delicious food.
Relaxing cafe in a park,"This is a nice and quiet cafe within the garden setting of Bishan-AMK Park. To avoid the weekend crowds, we visited it during tea time on a weekday for a light meal and coffee/tea. With the surrounding landscaped greenery and the convenience of a nearby car park, Grub is a very relaxing venue to spend some time in.

My wife and I shared our orders of deep-fried chicken midwings, Mentaiko potato chips with Japanese mayo sauce and topped with nori seaweed, their signature Basque Burnt Cheesecake, coffee and tea. Although there is an air-conditioned dining area, we sat at the outdoor dining area.

As it rained outside, it was relaxing to enjoy our hot meal while listening to the rain pelting on the greenery.

Service was friendly and our orders were served promptly. An enjoyable afternoon well spent."
Nice place to chill,"Waffle chicken is yummy! First time visit leaves good impression. Environment n food, all good. Will come again!"
Gastronomic Grub!,"Nestled in the greenery of Bishan Park is this bistro that serves eclectic fusion nosh.
Smoked duck soba was light & healthy. Loved the crispy yet tender pan fried halibut with quinoa & mash. Calamari with salt & pepper is another winner.

Drink up the interesting concoctions - lychee ice tea & yuzu mint cooler were refreshing on a balmy day. Top it all up with coffee & burnt cheesecake which was a tad too sweet. All in, great food amidst a pretty setting!"
Nice food in rustic ambiance,"Went here for lunch last weekend whilst taking a nature walk in Bishan Ang Mo Kio Park. It’s midway through the park and is an ideal place to pause if your walking the whole park or following the circuit map.

The restaurant was full but the host said it could take 40 minutes to be seated. Took my mobile number and he called after about 20 minutes confirming my food was ready.

The truffle egg starter was excellent as was the spaghetti carbonara for mains. Plenty of room due to social distancing. Service was prompt and efficient. Nice rustic countryside feel to the restaurant which blends well with the park. A very nice place to stop for lunch - reasonably priced."
Lovely meal,"Many interesting dishes here such as satay chicken burger, mala meat burger... Ordered Soba salad, pasta bacon carbonara and waffle with prawn paste chicken. All were nice especially the waffle with chicken. Having dinner outdoor after a rainy evening in the park is so enjoyable."
Yummy!,"value for money. we ordered calamari, burgers, truffle fries and churros and waffle with vanilla ice cream. everything we ordered was tasty. will definitely coming back and recommend to my friends and family. 😉"
Good food,"We came on a Saturday for brunch and it was crowded. Had to wait an hour for our table. Ordered the burger, brunch plate and burnt cheesecake. All good! Drinks (iced coffee and yuzu) ok. Nice ambience and friendly staff. Area for improvement, - introduce vegan items on your menu please, cos there are none."
"Outstanding Service, Delicious Food","GRUB is a bistro located in Bishan-Ang Mo Kio Park, with air-conditioned indoor seats and al-fresco outdoor seats. Serves meat and fish from sustainable sources. Vegetarian options include mushroom cheese potato croquette, cauliflower and mushroom fritter, duo of dips with garlic bread, garlic bruschetta with tomatoes and olives, portobello burger, as well as mushroom, cheese, and rocket pasta. Kitchen staff can accommodate special requests to modify menu items such as removing meat products, as well as customise plant-based dishes if given a week's notice.

The service was outstanding - the staff patiently answered my queries on social media and attended to my requests, made friendly conversation with us, and offered insect repellent spray. Even more impressive than the service was the delicious food. I had the Truffle Mushroom Baked Eggs ($12) but removed the bacon bits and switched the garlic toast to a side salad for a vegetarian keto meal which was savoury and satisfying. My friend had the Har Cheong Fried Chicken Waffles with Sambal Mayo and Maple Syrup ($16) which he found unique and tasty. We also tried the Basque Burnt Cheesecake ($9) and Kaya Burnt Cheesecake ($9), which were recently ranked as number 1 in a blind taste test by The Straits Times. Indeed, the burnt cheesecakes were an amazing dessert. The burnt layer was firm and had a caramelised scorched taste, while the inner layer was creamy and rich. Overall, I had an amazing time enjoying a nice meal in a nature setting, and I was certainly not the only happy customer as it was full-house even during weekdays (do make a reservation online if you intend to make a visit!)."
Dining in the park,"Offer large varieties of food, a relaxing environment as it’s located in bishan park, however they limit diners to complete within certain time during busy hours. kaya burnt cheesecake is really good but price is steep."
Disappointing,"This place had quite a few good reviews. However, unfortunately found the mushroom burger just average, perhaps a bit below average. Patty was overdone and dry on the outside. And my matcha latte had this kryptonite green, which looked totally artificial, rather than the pale green standard. Customer service was okay."
Enjoy dining back at Grub,Great enjoyable dining experience. Always love their Cheese burger and 10 times better savouring it then via delivery.
Quality food but outdoor seating was not a good choice,"It was a Saturday nite dinner. The food and services were good. One main setback is the environment of outdoor seating. A lot of mosquitoes, my girl got badly stung (although restaurant provides insect repellent spray). Her feet was full of bites and swollen, went to doc and was given antibiotics and other meds. Shall not revisit."
Good customer service,"I booked 2 tables for 6-7 pax on sat morning for dinner at 8pm. The response was fast, confirmation from the email was amost instance. About 2 hrs before the dinner. A staff from the restuarant called again to confirm the final nos of ppl attending. The caller was very polite and professional. When we arrived at the place crowded with ppl. We saw only 2 tables was empty. Wondering really is for us. Soon the staff received us with a warmth welcome. I wanted to compliment the whole team for efforts & their excellent customer service."
"Great Ambience, Yummy Food, Awesome Hospitality",Always enjoy the yummy foods prepared and awesome service rendered by the staff @ GRUB (Bishan). Perfect ambience for a quaint little setup amidst the picturesque park setting!
