topic,review
Perfect place for good wines and pasta,We had a perfect night with high quality wine and an amazing pasta carbonara for a good price. Service by Azam and Shamil was very friendly and smooth!
Wonderful experience,"Had a wonderful dinner with the delicious food served by our lovely server, Zee, who was actively providing suggestions on our first visit. Especially loved the ambience of the whole restaurant as the seating was adequately spaced and nicely lit."
Excellent food and service!,Was served by Zee during dinner service and had a very pleasant dinner! Food was amazing too. Definitely worth coming to try!
First tim here,Service is good. Food is well prepared and nice looking. Nice ambience too. Zee is a very hardworking waitress which is very respectuful too
Yummy deserts & cocktails 😋,"Good Vibes, great service by Azam & Khairul 🥂 love the atmosphere— an open concept bar ✨will be back! 🥂🥂🥂🥂🥂🥂🥂🥂🥂🥂🥂🥂🥂🥂🥂🥂🥂"
Great Atmosphere,We would like to compliment Azam and Khairul for the great service. We had ordered the O’Connor Ribeye Beef Steak and the Duck Leg Confit and both were delicious. Really enjoyed the atmosphere and our dinner.
"Amazing experience, great servers",Food was great and the server (Z) was extremely prompt and friendly. The bottomless mimosas were well worth it and tasted great as well. We had an amazing time:))
Dinner on 19 Jan 23,Awesome service by service staff Zee! She was very attentive and went above and beyond to provide an awesome service experience. Keep up the awesome work! :)
Oyster Promo @ Ginett,"Great food. Oyster was fresh (albeit a little small, but cheap with the promo). Drinks were good, really liked the city rose I ordered. The burnt thyme infused into the drink created a unique aroma."
Buzzy place for Buzzy people,"Booked a table the day before, as this restaurant fills up very quickly. Most of the tables were full of young executives under the age of 35 meeting after a hard day at work . It's a lively location and it gets noisier as the wines flow. Regrettably the service was exceptionally slow , we waited an hour for our food. Other tables were also trying to secure the attention of the staff for service. They said they had made a mistake with our order, apologised and made amends at the end. The Cocoqulet de fermes roti de herbes ( Roast baby chicken) and mash was mouth wateringly delicicious, and the wine which I drank by the glass more than acceptable. Prices are quite reasonable. Unfortunately I am now part of the grey market and so given the time we had waited for the food once we finished eating we left. However for the younger eater, who likes great food then this is a definite place to meet and enjoy."
Wonderful dinner,"Went thr for my bf's bday, good service from Zee, it was so amazing. Food is fantastic! They provided us a free bday cake and a red wine as well! Definitely will come back next time 🥰"
Dinner at Ginette,"Been here more than half dozen times, service is always delightful . Khai and Azam were fabulous, couldn’t fault anything."
Food & Drinks!,"Been here a couple of times and have always loved the vibes and place. For the first time, I brought along a friend and we had wine by the bar counter. Khai and Azam were so friendly exchange pleasant banters. Overall a place I will patron back!"
Ginett,Love the experience& atmosphere! Khai & Azam were really amazing & attentive to our needs. The duck confit was delicious & so was our wine 😉 would totally visit again
Bartender very nice,"Was here the first time and ask for suggestions of drink from the bartender Azam, the drinks suggested was taste fabulous. Really recommend for you all."
Lunch drinks,"Food and drinks was awesome here. Zee was a great waitress , super hospitable and attentive. Please give her a raise please"
Group dinner,"We had our group dinner on a Thursday night. Our group of 25 pax was taken care of by Suraishi (I’m sorry if I mispelt your name!). She did such a great job handling the group’s requests and sending out food promptly.

The food was great but portions could be reduced for better enjoyment of the courses.

Ambience was great too, recommended for group dinners :)"
Love the red wines.,Great service from bartenders Azam and Khairul. Azam was all smiles throughout our time. Wines were not expensive and the ambience was very unpretentious.
Good services,It was awesome service to us Best regards and thank you Nur aisyah! Her service was amazing. Im really appreciate to her! And love her service🍷❤️ Every service was perfect too!!
Good service,Service wos pefect by Nur Aisyah🙏 Thank you so much!!! Will visit again for sure!!! See you again!!!
Birthday Celebration Dinner,"The food, environment and service are damn cozy! Meanwhile we also get the special birthday gifts from the restaurant!"
Nice dinner at Ginett,Food - the australian wagyu and profiteroles dessert were hits of the night. however one can give the pasta a miss. Service - amazing service by Zee
Mr Chan,Good food at a very reasonable price and good service provided by our server Zee who was very attentive. Good ambience.
Nice restaurant for Birthday celebration!,"First visit to Ginette restaurant with husband for my birthday celebration~

Overall foods are good with generous portion!
Free dessert was given for birthday celebration~

The environment is good and relaxing for events like birthday celebration or chill with friends during weekends!

We were served by Zee on that night who is friendly and served us well! The foods she recommended are truly nice!

We’ll definitely visit the restaurant again!"
"Good food, attitude and service","The staff, Zee service and attitude are superb! The food, environment etc also very nice! Would recommend to friend!"
👍🏻,"Food is great! Love the Bisque soup. Lovely and relax atmosphere. Our waitress, Zee, is really nice."
Birthday celebration,"FHENEZIA serve us very good, her service is very detail and easy tp understand. Really enjoy our celebration here, will come back again. 😊"
"Good ambience, food","Excellent food, good variety of wine list. Service crew, Vee took good care of us. Will be back for dinner again. Thank you"
