topic,review
One of the most scrumptious buffet breakfasts!!,"Upon our stay in the Royal Plaza on Beach Road Singapore, we had our breakfast at the Ginger Restaurant during our stay in November 2022 and January 2023 respectively. This was definitely one of the most scrumptious buffet breakfasts we have had in Singapore. There was a large variety of choices available- including Japanese (sushi also there too!!), western, Chinese dim-sums, noodle bar, salad, desserts, egg station, noodle station, Indian, and many more! Food quality was also really good- and we always look forward to having the buffet breakfast on our second morning of our stay. Service in general was on average- due to the large number of guests that stay in the hotel, waiting for a table outside in the queue can take a while as staff served members. The ambience of the restaurant was also acceptable and alright- but could be quite crowded in general. With the large variety of food served in the restaurant- this breakfast and hotel stay was definitely cost worthy. Hence, overall we had amazing experiences for both times in the Ginger restaurant for buffet breakfast in this hotel stay!"
Great Service!,"Went there with my co-workers for our Christmas Celebration. Ginger had a variety of food options ranging from sashimi to our local favourites! Coupled with great service from them (especially Aisha and Choon Lian!), it made our experience eating there an enjoyable one!

Will come again :)"
The best halal buffet in town,"Went to Ginger Cafe for Christmas lunch with my company colleagues. Was greeted by the staff (Aisha & Choon Lian) and they were very attentive, helpful and always came to us when we needed anything.

The food was delicious, especially the kuih lapis, prawn and shasimi.

We will definitely come back again!"
Great place,Went there for company Christmas lunch. The food variety is good. The service is speedy and friendly.
"If you are looking for Asian Cuisine, you could possibly try Ginger.","Was there with my mom for a meal gathering, and we had a wonderful time. The staffs were friendly and of course, on top of that, they were caring on that dining day. I wouldn't have forgotten the extra mile rendered by everyone there, including the chefs who shared with me, on the delights on that special day.

Be sure to make reservation earlier as the place is in demand for larger group gathering / dinner experience."
Birthday Dinner,"One of the best tasting buffet dinner I’ve had albeit the lack of options for dessert and cheese platter, but everything else tasted perfect and full of flavour. Thank you especially to Andri for making out dinner even more perfect with such class service and always tending promptly to our needs. Please give him our thanks"
Please maintain the standard. Make e price more attractive please.,"Went there w my family for the buffet breakfast at $35++ per person. Very good spread for its price. The chicken soup noodles is gd, the egg station is gd. The fruits n juices are top notch. The cooked food is also gd."
Dinner at ginger,Great food and excellent service by the staff Mr Andri… Nice atmosphere and affordable. …………………:…:.:::
"Great food, helpful staffs and awesome venue for celebrations.","Place was not just beautiful on its own, there were also wide variety of food to choose from. Staffs were very good in coordinating and efficient in handling queries during our reservation. Special thanks to Joe and Henry who made our group reservation easy and enjoyable. We had a pleasant luncheon at your restaurant."
Dinner @ Ginger buffet,"Lots of variety of yummy food, must try their durian dessert!!! The staff on ground are friendly and approachable as well (:"
Great Food and Service!,"The deco of the place was amazing and the ambience was relaxing. Food was great and staff was always ready to assist :) even when taking pics, staff asked if we needed assistance. Would definitely recommend and come again!"
Birthday Lunch,"We just had our Birthday lunch with our boy, friends and relatives at Ginger, all the staffs was very friendly, The manager Joe was helpful with my pre reservations and questions, he was very experienced in his works which impressed me, Aisha & Choon Lian was awesome that help me with the cake and billing, nd what is needed, tables and pax changes etc... The staff was also serious in their works and especially Henry, he helps us in our table seatings and also carpark passes, he was very humble and willing to help in very ways, a very potential staff at Ginger ! Awesome team and I'll be glad to let all my friends and relatives knows that this is the 1st choice of a buffet place that we will be considered next time . Good job team, well done !"
