topic,review
Golden Peony @ Conrad,"Impressed with quality of food and awesome service by the team especially Ms Vanessa Chong who not only attentive and also very professional, made many good recommendation and she goes through extra mile to meet our special requests!!"
golden peony,"jean chong was very attentive, excellent service from all staffs..nice food and calamisi drink goes well with avocado dessert."
golden peony,shirlene is very helpful and good service food is good birthday surprise definitely will come again.
Poor standard,"Had selected Amethyst set dinner at Golden Peony. Was very disappointed at the low standard. My wife had just started on the soup but the 3rd course of fish was already left at side table. This was removed to kitchen after a few minutes. Then while my wife was just starting on the prime rib, the Mian Sian (noodle soup,) was left at the side of the table. I asked the staff why the Mian sian was served when we had not finish the rib. The noodle soup would be cold by the time we finish the rib. Staff went to feedback to supervisor and the noodle was brought back to kitchen. We felt so pressured to finish our food. It was only about 8pm ! After my wife finished the rib, we had to wait 10 minutes but the noodles were not served. We had to ask the staff to serve the noodles. There was a column asking type of occasion when we made the reservation and we input it was our anniversary but not even a slice of cake to wish us a happy anniversary. Other restaurants provided a slice of cake wishing us happy anniversary. But seems Conrad didn't bother about such extra gesture to delight guests. Sad to see how low the standard is at Conrad nowadays."
Good Saturday lunch,"We had lunch at Golden Peony on a Saturday. We ordered jasmine tea, pork belly, vinegar pork knuckle, prawn dumplings, mushroom rolls, and sesame pancakes. We received a discount because we were staying at the Conrad. We were given several menus including a weekday dim sum menu. We wanted to order some of the items, but nothing on the menu was available on Saturday (we're sorry now that we saw the weekday menu)."
Home coming 👍🏻👍🏻,Another enjoyable dinner at this restaurant. Manager Shirlene made us feel “at home” when we dine in. Dishes recommended by her were delicious and her service has always been outstanding. Will always dine here any time. 👍🏻👍🏻 thank you Shirlene & her team.
Excellent Cantonese food,"Excellent Cantonese cuisine well prepared and presented. Been eating here with my family for 20 years and the dishes have been consistently good. The Peking duck is well made and the clear soups are very good. The avocado and ice cream is the best I have tasted. The Rediscovery Menu is excellent value for money. The staff are friendly and it feels like dining at home . Special thanks to Jane , Esther and Vanessa for always taking good care of us ."
Special occasion,"Brought my parents to Golden Peony for their wedding anniversary dinner and tried the rediscovery menu which I noticed some reviewers also had. Personal favourites will be the crispy noodles with lobster and the top up for beef short ribs. They also kindly arrange a platter of sweet potato filo pastry. Appreciate the service of Vanessa, Jean and Kai Wei."
My favorite place for set dinner,"My 9th visit, still picked the rediscovery set menu.
The duo magnificent was just okay but
The kami sakura chicken prawn soup,
The jade perch with preserved vegetable,
The crispy egg noodle half lobster and
The double -boiled almond cream were all good.
Added SGD10 for the lion prime rib and it was good, really worth it, great value for money.
Again, almost a perfect dinner.

Excellent service from Miss Vanessa and her team members. Truly a great place for dining."
Parents Wedding Anniversary & Dad’s Birthday,"A nice rediscovery 6-course set dinner. Decent taste and quality.
Service could have been better e.g tea flavor not out yet being poured, wrong orders, serving staff pour hot tea while I’m taking photo which could have almost scalded me. Maybe expect more for such setting of restaurant. Nevertheless give credit for preparing my dad a 寿桃bun for his birthday"
