topic,review
Private Dining experience at Grissini,"Had a truly spectacular evening with incredible ambiance in the private dining room. The team customized the setmenu to each persons requirements (veg and vegan) and the presentation of the food was remarkable. With outstanding service, Grissini is a must and I will certainly be back on my next trip!"
Perfect experience,10/10 experience. Very nice food and lots of surprises. Friendly staff and good location. Entertaining
Excellent even for walk-in date night,"Grissini restaurant was spectacular and just as good since our last visit before COVID-19. We had the 5-course omakase and thereafter Executive chef Kenny Huang shared his culinary experience from his years in Italy, which he expressed in the flavour and flair. The attention to details by the service crew was impeccable."
Excel all expectations.,Great meal. Outstanding sevice and presentation. Much better than my expectations! Full of good suprises until the end. Well done!
Good service goes a long way,The food was exquisite and the flavours covered a spectacular range. We were swept away by the lovely service too. The ambience was perfect for an intimate dinner with your loved ones. A must visit.
Wonderful food and attentive service,"This was my first experience at Grissini, and a first for omakase which proved to be a truly great experience.

My fiance and I could taste the attention to balance and details, and the service staff were truly attentive to provide the most wonderful dinner to end our day."
Great Birthday Dinner,"We had an awesome dinner last night. Service was impeccable by Selina and the young man (sorry, we didn't get your name), who looked after us so well, through the evening. Food was delicious, it was cooked with a lot of love. Chef was creative with each dish, adding little twists to surprise our taste buds while retaining the essence of each ingredient. Chef and his team was so kind to provide a cake to celebrate our 3 belated birthdays. We round up our dinner with a beautiful Krug champagne and a 100 pointer 1986 Lafitte Rothschild...Life is good, as we slowly edge away from Covid. Chef and team, thank you so much for a very memorable evening. We will be back...see ya."
Lunch at Grissini,"A fantastic experience!
We loved the total experiences
Highly recommend to all to visit this restaurant
We will be back"
Omakase Set Lunch,"Went on a Monday afternoon, the restaurant is pleasantly quiet and we really enjoy our lunch. Good is really good and we will definitely return again!"
"Good good, great team.","Steven, Selena and Jeff took great care, the menu was exceptional.
Kid friendly.
The team was more than welcoming for our parents anniversary, and had fun with the baby."
Great food and service,"We came during restaurant week to celebrate our anniversarym. The food quality was great and value for money. Five star service as well! The staff are all very professional.
Pleasant experience overall, will definitely come back again."
Omakase lunch,Good food. Excellent service. Overall very nice experience. We went for the Omakase lunch and it had a good balance . We will visit again
Very cosy and personalised dinner,"Well balanced and yet good mixture of interesting flavours for every course all the way from the appetiser to dessert. Very professional service rendered. The staff were all very friendly, and took time to describe every course to us. Great job to the Chef and his team!"
Love the experience,Delicate food and beautiful presentation. Great service and quiet environment with great view. Very enjoyable dinner with my best friend!
Delicious,Service is great and place is quiet and clean. Food is nice and delicious. Definitely will be back for more.
SG Restaurant Week,Enjoyed every course. The food was delicious and presented beautifully. Service was impeccable and warm! We will be back!!
A gastronomic experience!,Excellent food and service! Patrick was especially attentive and very knowledgeable in the dishes that were served.
Good food and service,"Dinner treat by my wife for my birthday. Our server Patrick was friendly and attentive. Thoroughly enjoyed our meal (7 course). Of all - we loved the risotto the most. Thought that the wagyu might be better with medium-rare rather than medium - will try again if we visit next time.

Very interesting combination of Italian and Japanese elements in the cooking. Will be visiting again."
Perfect anniversary lunch ❤,"Celebrated our wedding anniversary here, was pleasantly surprised by a beautiful desert to marl the occasion.

Had the omakase lunch and every dish was perfectly executed.

Selina's service was top notch! Thank you and we will be back!"
Great food and service,Visited the restaurant for our wedding anniversary and tried the omakase lunch menu. It was a fusion of Italian and Asian dishes. Loved the wagyu beef mains which is one of the most tender beef steak I have ever tasted. Both the waiters Steven and Selina were attentive and provided excellent service. Can’t wait to go back again to entry their other menu.
Grissini x Nespresso,A delectable and interesting blend of Italian and Japanese dishes by Chef Kenny and team - the main dish was a star! Also great to have Patrick with us - he was knowledgeable and engaging throughout. Grissini really does live up to it's ratings
Excellent foods and environment,Visited this restaurant on 23 Oct 21 for my wife birthday. The overall environment and foods are beyond expectation. Staffs are friendly and service is good. Strongly recommend this great restaurant to others
Restaurant week,All the foods were very beautiful and delicious. Especially Hamachi carpaccio and tiramis were giving kind of new surprise. Portion of each dishs were just nice even though there were many dishes in a course. And all the staffs were professional enough to answer any kinds of question. We really enjoyed our lunch here.
Grissini Italian Restaurant in Grand Copthorne Waterfront Hotel,"Great ambiance for lunch in Grissini restaurant. Thanks for hospitality service from Selina, Patrick and the teams. My sister and I enjoy the birthday celebration here with creativity and delicious foods present by Chef Kenny Huang with the teams. Will come back to explore new dishes here again."
Birthday dinner,Had a wonderful birthday dinner! The food was amazing and the service was so good too! I definitely will be back to try other creative dishes by Chef Kenny!!
"Immaculately thought out, impressive work of art and taste.","Omakase menu - 5 course
Chef kenny did a great job with the menu. I especially enjoyed the fish paired with ponzu sauce (it looks whimsical, top quality wild fish). The sauce wasn't overpoweringly salty & paired well with the flowers, absolutely a work of art & balance.

The yuzu sorbet - always a favourite with ladies. The sourness was balanced well with the jelly bits, and you could also taste the sweetness & fineness of the grapes.

The valronha chocolate tart looks ordinary, but tasted was a sensation to remember with a crackling aftertaste. A memorable night with Grissini."
Dinner @ Grissini,Superb food @Grissini during SG restaurant week! Great service staff who are attentive to details as well!
Fine dining.,Awesome dining experience. Food details and taste are amazing from Chef Kenny. Passionate service from Mr Patrick. Thank you guys.
Lunch at Grissini,Great food that we had at Grissini for SG Restuarant week. Love the incorporation of nespresso into some of the courses. Special mention to Selina and Ivy for the amazing service and knowledge of the food
Restaurant week,"Really enjoyed the Restaurant week menu. Very attentive staff, great service and food. Recommended:)"
Overall a wonderful gastronomic experience coupled with exceptional service,"We had the restaurant week set menu which was extremely worth it and delicious. Chef Kenny impressed with a carefully curated variety of textures and tastes in each and every dish. The service staff were friendly and attentive, and explained each dish well. Thank you Chef, Selina and crew for a memorable night."
Impeccable service and delicious food,"Had a really good experience with Grissini during their restaurant week. The food was great, romantic casual ambience and service was also top notch. Highly recommend a try!"
One of the best restaurant week experience!,"Had no expectations when I came here but boy was I blown away! The service to begin with was excellent. Special shout-out to Selina and Patrick who were very thoughtful and carefully explained every single dish to us.

The cuisine is Italian with a Japanese twist and I was made to understand they had only recently embarked on the Omakase concept in September, switching it up from their old ala carte menu.

Chef Kenny is the man behind the dishes which were well curated as a whole - the Hamachi Carpaccio came out top for me (the picture I posted don’t do it justice!) It was beautifully plated, well seasoned with good balance and had a melt in your mouth texture.

The restaurant week was a special tie up with Nespresso so Nespresso coffee was also carefully and tastefully infused into various dishes, with foie gras in the risotto dish, wagyu in the jus and tiramisu for dessert. I appreciated that the dishes had depth in the flavour but didn’t feel “too much” in any way.

I went for the okara as my main dish (see photo). It was very fresh, well cooked and complemented the choice of cauliflower purée and maitake mushrooms.

Overall the dinner experience was very enjoyable. Chef Kenny explained that the menu switches up regularly depending on what’s fresh in the market. Will definitely be coming back to try more clever creations!

Also special mention about the bread basket. I can’t remember the name but there was one bun in particular that was really good (bread basket came with a sourdough, grissini and a third, the third one was my favourite and best eaten warm!)"
Excellent food and service,"Flavours of the food were well-balanced and interesting. Food presentation was also very good. All in all, we were impressed with the food and enjoyed this omakase take (and Japanese twist) on Italian cuisine."
SG Restaurant Week,What a wonderful well-balanced meal. Love the flavours and subtle additions of Asian cuisine into the typical Italian dishes. I’ll be back :) excellent service too!
Omakase dinner @ Grissini,"Lovely dinner, great service. Chef’s Kenny’s innovative touch brought home many fond memories. Loved the Hiramasa Carpaccio and Tochigi Wagu. Thanks Selina and Patrick for the attentive and warm service."
Beautiful Meal,"Food was excellent. We went with the SG restaurant week menu. Very impressed! Great balance and great quality. Last but not least,
Patrick, Selina and Ivy provided great service thought out the meal which made the dining experience really enjoyable."
Omakase Italian Mama Mia,We went for dinner without knowing it’s SG Restaurant Week. The promotion for the dinner set at $128 was a good deal! Really value for money. My hubby took the $158 set and it’s was excellent. The chef Kenny Huang even came out to meet us!
Delicious Italian cuisine!,"The food was terrific and service (Selina, our waitress) was attentive and friendly. Pacing of food was great. Special mention to the coffee infused dishes i.e. wagyu filetto, foie gras risotto, and tiramisu"
Great food and even better service,"The foie gras risotto was amazing and other dish were generally nice too
Service was even better
Selena was super attentive and the way she explains the food is very professional (makes the food sound yummier"
Enjoyed the Restaurant Week menu,"Well-paced, interesting menu and flavours. P Amazing service from Selina who took time to explain each dish with us. Thank you to all the servers as well!"
Sg restaurant week 2021,"Attentive staff with great service; Selina gave us a good experience by explaining each dish and checking in regularly. Interesting menu, good quality food. All items were refreshing and used fresh ingredients. Absolutely for dill lovers. 4/5 recommend, because it’s a bit on the pricey side."
Grissini Omikase Lunch - Awesome!,"Me and my wife was at Grissini (Grand Copthorne Waterfront Hotel) for the Omikase Lunch. The food is exquisite and well prepared. And the service was top notch (thank you Patrick).
We will come back again, very soon.

PS: The view is beautiful, too."
Set lunch 88++,"Set lunch is affordable, filling and pretty good. Will come again for sure.

Highlights are the squid ink cracker,
Lobster with homemade pasta and the best one is the beef.
It’s able to get the Smokey flavors from herbs and spices which bring the flavors to a different level."
Grissini Set Lunch,"Lunch here was excellent. A lot of care and attention was put into the preparing and plating of the dishes. From the amuse bouche to the appetiser, to the main course, dessert and petit cinq (cos it was 5 items, not four) This was topped by the warm, friendly and professional wait staff Patrick and Selina who shared with us in great detail what was being served. The star of the show for me was the chocolate tart. It was the best I have ever had.

A thoroughly enjoyable experience. I hear they change their menu all the time so I look forward to all the yummy stuff Chef has planned."
An eye opening dining experience that fully win me over.,"Came here for our annivery celebration.. From the start to the end of the whole omakse course, it filled with burst of surprises in a good way succeedingly with each course served. The restaurant staff service is hospitable and the staff earnestly introduced each dishes with much vigour. The dishes curated by Chef Kenny are impeccable and the quality fresh ingredients used for each courses complemented well. The texture, flavour, and aroma are all on point. At the end of the dinner, Chef Kenny is friendly and he came out to ask for our feedbacks and imparted some of his culinary knowledge from how to choose the best ingredients and all. My partner and I have an out of world dining experience. We will be back again for more!!"
Delicious Chicken and Wonderful Service!,"“Il Pollo” was truly the dark horse of our meal, with shatteringly crispy skin and succulent meat. Our server Patrick was also especially attentive, carefully explaining the intricacies of our dinner."
A trip to Italy without actually boarding a plane~,"Do try the mushroom soup! Really rich and goes well with their freshly baked bread. The mains are very good as well! Steak was slightly charred (perfectly done in my opinion) and juicy! Both the rib eye and the tenderloin Sea bass was also very tasty.

For dessert, do try their pistachio gelato and the fragole all’aceto balsamico!!!

(Picture is of the Rib Eye!)"
Excellent Service With Good Food,"Had quite a nice lunch there today, with excellent service by Patrick and his female team member (sorry but did not get her name). They were both friendly yet professional in their dealings with customers, stopping by often to top up water or to check on the meal.

Foodwise, there were more hits than misses. The wife and I loved the burrata, which was light and fresh tasting, with its mini tomatoes, proscuitto and honey melon balls. The amuse bouche was also delightful.

I loved the vongole, which was robust but not heavy in taste. The pasta was al dente and the clams super fresh. The wife had the risotto with foie gras ($10 supplement), and was delighted with the first few spoonfuls. However, she said she found it a little jelak or heavy going at the end of the dish. I tried a few spoonfuls and I liked it, though the crispy foie gras was a tad ununsual.

My dessert of pistachio ice cream was a generous portion, and it was not too sweet, which was great. The biscuit crumble also gave a nice touch of texture. The missus did not fully enjoy the tiramisu ($6 supplement) with the amaretto as she felt it was super creamy and heavy and needed a touch more texture.

The surroundings were a little dated, especially as we needed to come up from the carpark through the mall next door."
Great weekday lunch with a view,"Had a lunch “date” here with the teenage offspring and thoroughly enjoyed ourselves. The lunch set was very good value. We were served a small morsel of Parma ham and truffle cream as an amuse bouche accompanied with a generous bread basket that had 2 sticks of Grissini as a nod to the restaurant’s name. As a perfect first bite it certainly tickled our mouth for what was to come. Buratta with tricolor tomatoes looked and tasted of Italian summers. The star dish was Chef Kenny’s risotto with foie gras. Perfect al dente rice obviously cooked with the best stock and the unctuous balance of cheesy goodness stunned us into silence as we shoveled mouthfuls in. The meal was completed with a scoop of gelato served beautifully in a martini glass and a cup of good solid coffee. Service was friendly- the teenage offspring asked for something other than coffee or tea and was obliged with a glass of fresh sugar cane with lemon. It pleased him very much indeed. Mum, this is like fine dining, he cried! Did I mention the starched white table cloths, heavy fancy cutlery and river view? During this challenging time, it brought us an afternoon of happiness."
Sunday Lunch Elegance,"Been years since we've been back to this iconic Italian venue.

Surprisingly, it was very good. All antipastas were very good. Mains were good, except 2. Dessert were fine.

Table service was excellent!"
Birthday Dinner,"Had a wonderful time at Grissini, customer service was superb and food was great - was served by Patrick"
What a Happy Birthday🦐🍾,"Chef Kenny is the best.
Marvellous dishes, perfectly curated wine pairing - and exceptional service.
We were very well taken care of!
Our daughter was even offered a vacuum sealed scarf, as she forgot her cardigan at home.
Thank you so much for making my husband's birthday very special. ♥️"
Best meal of the month,"Excellent food, presentation, wine pairing and service. Guests and myself enjoyed ourselves totally. Good value for money!"
