topic,review
Lunch set meal,"Visited the Vivo branch following positive feedback on the chain. We ordered two set burger meals, can within 5min the burgers had dry bread, the meat was dry and tastless with no juice. Never expected such standards.

When speaking with staff on payment, fell on deaf ears"
Delicious Burgers in a lovely setting,The settings is so pretty that it has become our regular joint. The Vegetraian burgers is a big bonus Love the taste & size offerred. Beers are very good too
Just dont go,"This has so much potential, and when you go in, you know why it is sad, and not at all well patronised. Everything is done at third hand, there is no customer service, no one actually looks like they are glad that you are there, and all the ordering, any interaction with wait staff is through your phone.
Doing the math, that means that I have to pay for the meal, AND for the IT to actually eat there.
After 25 minutes of no service and no interest, not even a drink offer, we (a party of 5) left"
German Burgers,Great German Burger restaurant with diverse combination for meat to vegan lovers. 4 choice of sauces. My favorite is Orange . And their mint flavored non alcoholic drinks.
After work gathering with colleagues,"After a hard day's work, my division head bought dinner for the team to thank us for all of our hard work put in thus far!

The ambiance is really nice and had that feeling of being in Germany!

The food was excellent and really had the taste of Oktoberfest! Portion wise is just nice.

The pricing of the food was not that expensive.

My only gripe is that the time it takes to serve the food once ordered was a bit slow. Maybe because it was dinner time as well."
Eco-friendly deco and big burgers,"On my two visits to this joint, my experience is similar. The burgers are good. I personally liked the crispy sweet potato fries and the dips. Drinking water comes for a price which makes me wonder why since the tap water is available. The grilled chicken breast burger that I ordered was chewy and lacked the texture. May be the kitchen was in a hurry-mode.Von Der Rolle (dessert) was fantastic. The ambience is done tastefully. The wooden benches can get a bit uncomfortable if you are seated long."
Worth visiting again,"Friendly staff & good service. Nice deco & the burgers were awesome! Gave us a complimentary waffle for the birthday girl; pleasantly surprised as fine dining restaurant don't even do that. Kudos to Chad, Lillian & Andre, thank u for the happy experience."
"Great food, awesome service",Had a wonderful dining experience at Vivo outlet. Great ambiance and tasty burgers. Food was served hot and service was efficient. Love the onion rings! One of the best ever! Kudos to staff members Gadha and Chad for their brilliant customer service. Both are very well trained and handled the busy restaurant well. Will be back again!
"amazing food, staff, & ambiance",Thanks to Chad who served us over & above. Delicious food and good ambiance. A must-visit resto when you are in Singapore!
Good burgers,"We've been to the outlet before, but this time we ordered takeaway. It was a bit disappointing, especially after eating Impossible burgers in recent time. But still ok with a good variety of vegan burgers."
Burgers & the friendly Ms Jenny not to Miss!,"We went for dinner at the Vivo City outlet and the burgers were top class. There is a wide range of options, even for vegans. If you ever visit this place, look out for Jenny. She was really helpful and took her time to explain about all the options available, and even helped us order efficiently. She was also really friendly =)"
Excellent Service by Sophie & Jessa !,"We had placed a big corporate order last week. Delivery was punctual and the food was amazingly tasty! we all loved it! Special thanks to Sophie and Jessa for their wonderful service, taking in our order without a hassle! They went the extra mile to ensure the food was delivered on time! Will definitely place our order with Hans Im Gluck again! Thank you once again Sophie and Jessa!"
Excellent service and food,Thank you Ivan and the team. They are a wonderful crew who gave this place a magical experience. Food is also great !
Excellent service and food!,"We are first timers on this restaurant and i would say it was excellent value for money! Great service, quality food and good ambiance! 10/10!"
Unpleasant service restaurant Manager - Chad,"Have been a frequent patron of this establishment and recently had a terrible experience with a manager named Chad at the vivocity branch.

After ordering our meals and awaiting our food to arrive, I was having a few bites from a packet of opened chips and chatting with colleagues, when we were very rudely interrupted by Chad who instructed me in a very unpleasant tone not to have outside food in the premises. After telling him that we had already placed our orders and were awaiting our food to arrive, and I was snacking due to hunger, he was still extremely rude and adamant about the policy.

He also interrupted our conversations a few times to instruct another colleague to put on a mask ""properly"".

As I could not tolerate his rudeness further and asked for his name to make a complaint, Chad also provided his name unwillingly and had to be pressed twice for it, finally revealing that he was the ""manager"" and challenged the table to submit a feedback.

Whenever he walked past our table thereafter, he was continually giving dirty looks at us.

This is the first time I've encountered such unprofessional behaviour from a management level staff from an establishment. The junior service staff in black however, were very much more pleasant and service oriented.

It's very hard to recommend this place after such a terrible experience."
Bad service,"I brought my son for dinner. Waited in the queue for sometime. When reached our turn the waitress serving at the front who appeared quite rude told us there is only counter seat. As my son was really eager to have the burger so I agreed. After walked in I was told it is a outdoor seat. They didn’t apologise for their mistake yet argued I heard wrongly. Even my son heard what waitress said was clearly counter seat few times.

Real disappointment with the waitresses not only the one serving at the front and the the other waitress as well!!!!

Will not visit this place anymore!"
Bad,We have been there to eat as people suggested to us. Service was horrible staff not attentive and takes log time to take order. Food it is ok but not worth it for the price for sure. I think is to expensive for what you get.
