topic,review
Good old school Chinese food for highly reasonable prices - just beware of the limited parking..,"This is a very old restaurant but my first visit - I don’t stay in the East so I hardly pass by this place. In fact in the past few times I drove by I didn’t even realise it was a restaurant haha. Obviously, the interior decor is old school.

Not only is it old, it is large! There is a massive outdoor area (I think enough to hold a typical wedding banquet) and a smaller indoor air conditioned part within the villa. The kitchen, which you have to walk by to get to the toilet, is also large.

Today we ate the Chinese new year set menu, but my friends told me their ala carte dishes are fantastic. So my review may be biased as it is based on my observation of the special menu.

Firstly, the dishes come very quickly. Considering the crazy crowd, this speed is pretty impressive. But it could also be because the menus are special so the cooks are just focussing on some dishes the whole evening. (Their business was so good they had three seatings for dinner over the new year).

Secondly, I would grade the quality of food at 7/10 - soup used a very traditional chicken base that is found in the older Chinese restaurants such as Red Star and Manhill; roast chicken was classically Cantonese style; the sauce in the chilli style crayfish was suggestive of a cross between long beach and jumbo chilli sauce; three-floor beancurd was generous and soft enough. We were served unsweetened chrysanthemum tea as default “tea” - which I thought was somewhat strange.

Thirdly, service was surprisingly quite good! Many waitresses were of middle-aged and above but they were steady and helpful. The cashier asked if we had received our (complimentary - what a little surprise!) dessert and then promptly instructed a waiter to serve.

Fourthly, note that parking space is very limited. They provide valet service.

Finally, I must say I was pleasantly surprised by the price - very reasonable considering the number of dishes, the festival set, good service and yet they don’t charge service charge!!

I’ll review again after I try their ala carte food and obtain greater clarity. Further more right now I’m a little confused over their genre - Cantonese, Teochew, zi char, Malaysian, etc."
Do not recommend,"Worst place ever. Service was lousy and we waited for an hour for the first dish to be served. This is despite the fact that we were made to order and confirm the set menu way before. And then the food was suddenly served all at once. The table didn’t even have enough space and the servers just kept trying to fit more plates. We felt pressured to just have them remove the dishes that weren’t even finished just so they could serve the food.
Ridiculous."
"Wonderful seafood, baby-friendly, and helpful staff!","Loved the good quality seafood and friendly service here. Yesterday was our first ever time dining out with our baby while celebrating my wife’s birthday, and it ended up being such a pleasant experience overall. Been here several times and the dishes like chilli crab and drunken prawns are always delicious. If the parking is full the valet is always a friendly option too. Thank you especially to all the helpful staff that made our night!"
Nice seafood restaurant,"This restaurant was personally recommended by a family friend living in the East. We are from the West. We went on a Sat... that was a wrong choice. The restaurant was filled to the max capacity. Suggest you go there on a weekday.

Food generally was good. We ordered salted fish fried rice, you tiou, hot plate, cereal prawns and chilli crab. The hot plate had fresh seafood. The chilli crab was meaty (800g) and tasty with mantou. The cereal prawns was a little disappointment for us as we are not used to their style of cooking of cereal prawns.

They have indoor (air-con) and outdoor seating. Suggest you make booking at least a week in advance. We only got outdoor seating only even booking a week in advance."
A family favourite,"This is one of the family faves, and we used to bring friends from overseas here as well. The chicken is very good, and we order this all the time.

The signature hor fun is also tasty, and has wok hei. We were quite disappointed with the black crispy squid this time, as it was not crispy and my wife said the pieces were not as fresh as usual. The cereal prawns were, on the other hand, super fresh and were the best dish of the night.

Service was, as usual, quick and friendly."
Feng Sha chicken was awesome,"booked 4pm on a subday and we had the restaurant to ourselves. crowd started coming in at 445pm. order butter crab (fried-dried style.7. 5/10, but the crab was alil small-$68), qinglong vege (fragrant and nice) and feng sha chicken (juicy meat and crispy skin - green sauce was awesome 9/10). do note dining time for only 1hr15mins and was kinda chase out in a nice way but still quite upset cus we wanted to order dessert but the staff said need to wait at least half n hour. when we said we could wait (when we were at our 1hr10mins), the staff said but she needed our table alrdy. if we were alerted earlier abt the waiting time for the dessert we could have ordered earlier. but definitely worth coming back for the food. wont expect much for service but guess its cus they would be busy."
Great seafood at this heritage restaurant,"Great food at this heritage seafood restaurant. Very popular with locals and the price is very affordable. The taste were awesome and each dish was well balanced. From their frozen vegetable with sesame sauce, omelette sharks fin with lettuce, yam basket with mango, braised pork with thick soya sauce, drunken prawn and Chili crab was very good tasting. Service was acceptable. For dessert we had the yam with ginkgo nut and ice jelly. Good taste and not too sweet!"
Great food at a great price!,"Bought a black pepper crab, fried baby squid and seafood beehoon for wifey's birthday and the food was amazing! Delectable and fresh! Highly recommended!
Also bought chilli crab for my folks and they loved it!
Looks like the taste has remained the same through the ages! Highly recommended! Simply superb!"
Great Food,Very good food with a very nice old school feel. The dining experience was nice with very friendly set of staff who was happy to explain stuff on their menu.
MSG Infested Chinese Food,"Boy oh boy does the food taste good here! That's because they are using MSG by the bucket load. Wok fried broccoli never tasted so good.

I asked the waiter if MSG was used as usually I dont like the taste of broccoli.

""YES!"" The waiter beamed.

I spent the next four hours with my head in a bucket of ice cold water trying to quench my thirst.

A great restaurant for MSG addicts."
