topic,review
Dinner with collegues,"We would like to thanks to Mr Islam for his excellent service . We enjoyed the food so much! This is our 2nd visit to the restaurant. Nice ambience food and drinks we will definitely come again!!!

Not forgetting we love your pistachio 8ce cream and chocolate ice cream!!!! Awesome!!!

We would like to recommend our friends, relatives to this restaurant.

Syukran jazilan!!!!"
Smooth Hummus near Sultan Mosque,"The host was delightful, he deduced that we were vegetarian very quickly and made some suggestions. We took him up on the cold mezze + a couple of different breads.

Located on a quiet corner, with tiled tabletops. We saw the resto in the morning and made sure to stop by for dinner, absolutely worth it!"
high light of arab street,"we ordered alot of food , mezza platter with fresh bread , borek , mix shish kebab , lamb was very tender , mix mandi for 4 pax was very amazing, portion was huge , staff very attentive, they offered us kunafa on the house"
Very delicious food,"Food was awesome , staff very fast , great hospitality, mint lemon very good , great ambiance, chef was very polite and helpful"
Best turkish food in singapore,"Food was delicious , mezza platter was very tasty , staff very helpful , lemon mint was very refershing"
"very good food , great customer service","food was awesome, staff was very attentive, great customer service, lamb chop was very tender and juicy, sure we be back"
Loved it,Beautiful lunch and wonderful service. Came here as it looked good and we weren’t hounded by the guy outside! He was lovely and the food was great. The fresh squeezed juices were a great addition too.
Fantastic food large portions.,"Fantastic food large portions, efficient but laid back vibe. Friendly staff, clean restaurant and in a nice lively area."
Bestest Food,"Best food ever, came for 2 evening meals out of the 4 nights we were in SG. Friendly staff, great food and drinks. Recommend"
Not authentic and not worth going in at all.,"Not worth going in at all, no point coming for any food, and not authentic. I went to order Lahmacun.
I asked if they knew how to make it cos i did not see any Turkish chef around. The guy assured me. And what came out was a thick pita type bread with minced lamb. No taste. The cook handled the food without gloves and took my two Lahmacuns out of the oven 5,6 times to check on it. Obviously inexperienced. I felt cheated. Nothing remotely close to a Lahmacun. Before i left, i looked at it and took two bites. Sorely disappointed. i did tell the staff that what i ordered was not a Lahmacun. See the pictures for yourself."
Amazing food,Dad and I stopped in for dinner and decided to try the moussaka and lamb chops… for 2 people this was plenty. Absolutely delicious and so filling… now we need a car to pick us up to go back to the hotel
Nice food,"I had the falafel roll, it was nice but I think I prefer chicken. The hummus dips were something new. We had meat platters which were enormous and came with briyani rice"
Nice Grill Platter,"Grill platter was perfect for the family with a good mix of grilled lamb, beef, chicken and kebabs. The mezze platter had a good mix of dips. Kids liked the freshly baked pepperoni pizza. Service was great all round and liked the ambience inside."
Food was not up to standard,"The food was mediocre at best. We have tried many of the restaurants serving middle eastern food in that same area and in comparison, this was the worst food in the area.
I will never go back there again, especially when there are better options nearby."
"Great food and service, nice ambience","Very good hummus and bread, chicken tagine was nice too. Excellent service, food came quickly and staff are all very friendly, would definitely come back again."
"Most Amazing Kunefe, Baklava and Coffee By Hummus And Tandoor Islam and Riad!","Most Amazing Kunefe, Baklava and Coffee! We love the cosy beautiful atmosphere with splendid decorations and furnishings. We are very grateful and thankful to Islam and Riad for taking good care of us during our visit. They are so helpful, friendly, kind and attentive."
"Great dishes, great value","So nice to visit a restaurant highly recommended by TA which more than lives up to its billing. Lovely dishes, great value, friendly people."
"Great food, service and ambience.","We visited on a Saturday night and was ushered to the second level which was beautiful and cozy. Ordered the mixed grill platter for 2 pax - it was just the perfect mix of meat options. Everything was cooked to perfection, the service was impeccable and we will definitely visit again! Thank you for making our night a memorable one, D’mahal!"
Excellent Food & Friendly Staff,"Very tasty Egyptian food., one of the Best Restaurant in Arab Street Especially the bread which you don't feel bloated after eating . It's freshly made and fragrant when served. Chicken & Lamb meat was soft . Friendly Staff . Mint Tea was Great . Will visit again . More important pocket friendly restaurant ."
Very poor service!,"It was a gathering with a group of 8. Made reservation via quandoo and when we got there, we had to sit separately in a table of 6 and 2. We had to ask the person to rearrange for us, he was abit reluctant at first. And after a while, he decided to make the arrangement for us which is possible.

Next, I check with him what entertainer app 1-4-1 dishes are we entitled to. He told us one table only able to use one coupon. From my many years of using entertainer app, coupons are based on number of pax. Logically speaking, 8 pax is allowed to use 4 coupons, but the boss told us one table only allowed to use one coupon. WHAT?
For those intending to use entertainer app there with large groups, please do not go there!

Next, we asked for the bill 4 times and it didn’t come to us.
The restaurant is not very busy at that timing, however I’m not too sure why the bill took so long to come. There was once we asked for the bill again , the boss was too busy trying to get customer inside their restaurant, he just glance at us and ignore. After which he just continue to do his things and we got to go to the counter and ask for the bill for the 5th time. He even pass the wrong bill to the wrong table?!

Besides all the bad reviews on the service, the food in general is not too bad.

But I’ll not go back to this place again. Feels like we are not respected as customer at all."
Lunch,"Good food, very tasty and not too salty. Staff were friendly and helpful. We enjoyed the chicken mandi and some of their dips."
Very good dinner!,"We had a good time here. Ordered a few dishes for sharing. Food was good, especially the moussaka. Ambience was good."
Good eatery and good service,Had the food here for dinner with a couple of friends.the serving was food. Highly recommended for those with burpple 1 for 1
Not Bad,"We got hummus, chicken kofta and chicken tawook. The rice was great, the tawook MEAR was a lil' dry, but overall it was a good hole in the wall. Lemonade mint was great!"
Grilled chicken dishes,We ordered two main dishes - shish tawook and chicken kofta. Chicken kofta was nice and tender. Hummus came with a flat bread kind of thing. Would be nice if we can have more bread with it. Drink was nice.
Very good food! Great ambiance,"Very good food! Great ambiance and very friendly staff. Service was fast, overall an evening well spent"
Restaurant review,"We ordered the Lamb Mandi and Chicken Kofta. Portions were very generous with flavourful basmati rice served with big portion of meat, salad and salsa. Food was delicious! Will come back again!"
Restaurant review,Good was good and portions are generous. The service staff were also pleasant and engaging. Will return again.
Best lebanese food in singapore,"Best lebanese food in singapore , very good food great kebsa , and kunfa they offer us dessert on the house thanks alot"
Best dinner,Food was very delicious and staff was very awesome We had mix grill was very soft and baklava was very soft sure we come again for another visit
"Delicious food, great service , best Lebanese food","Delicious food, great service , generous portions, friendly staff and helpful, mix grill is to die for , lamb chop is the best so tender and juicy u should try lamb chop , they offered us baklava on the house Sure we back soon"
I should have taken a photo.,"How is it possible that they have so many good reviews from people who has only written one review on TA?

Husband and I were craving for some kebab/ middle eastern food and headed to Arab St area.

Staff was busy soliciting customers on the street and that’s how we ended up inside. We also had 1 for 1 via Entertainer/ Burpple.

We mentioned we were looking at having the shaved kebab sort of meat and he said he can prepare something off the menu and it costs $29.90. It ended up being seasoned chicken breast meat, nothing like what we had expected. Salad was old with wet vegetable, rice was tasteless.

The beef kebab I had did not come on a skewer but just a few cubes of meat on the plate. No charred/BBQ taste and it was so hard.

We didn’t finish our meal and had to go off to somewhere else to get a fresh new meal.

Abysmal, will not recommend."
Best lunch,Very good food Great service Mint tea very hot and delicious Hummus was very smooth Staff very friendly and helpful Great hospitality
"Best Lebanese food, best seafood combo ever","Seafood combo was very delicious is to die for , potion is very generous and so big enough for 3 persons , staff very friendly and helpful ,they offer us hummus on the house I always keep coming here"
"Awesome food , great atmosphere","Awesome food , great atmosphere , mix grill is very delicious , lavish bread was very fresh, baklava is to die for , lamb mandi was very soft and rice was very tasty"
"best mezza platter , great customer service","best mezza platter , great fattous salad , great customer service , food was amazing , kunafa is to die for u should try lamb chop was very tender and young , i always come here to try different dishes"
Best Lebanese food in Singapore,Mezza platter was amazing Bread lavish was fresh Mix grill is to die for Lamb chop was very tender Staff very friendly and helpful Owner very friendly Offered us kunafa on the house
Best lamb chop ever,"Very good food , great service , lamb chop very tender and juicy and hummus was very smooth , lavash bread is to die for Staff very friendly and helpful They offered us dessert on the house"
"Best lebanese food in Singapore, great service",Great food Great hospitality Grest food Freindly staff Freindly owner They offered us dessert on the house We keep coming Thanks
Awesome food,Yesterday we had dinner this place. Food was really delicious. Lamb kofta and chicken kofta was so juicy. And lamb shank was very soft and tender. And staff was so friendly. I recommend all of you to try food here.
"Great food, great value, great service","We booked for a Saturday night, our first date night in a long time! The good was just amazing- beautiful hummus and breads for starters and we shared a mixed grill for main course. We will be back for your great food!"
BEST FOOD ( RECOMMENDED ),I like the food so much and there Mezze plater is awesome. I would like to recommend to all please come here.
Best in the area!,Fantastic food and wonderful staff. Definitely the stand out restaurant of the Arab Street area for us - generous portion sizes and delicious taste across all dishes. And the Moroccan tea is the best we have had outside of Morocco! Go and you will not be disappointed!!
"Best food , great atmosphere","First time i am having Turkish food and I can say that it’s awesome. I tried moussaka, falafel and tabbouleh. Another Good point is this place has lots of vegetarian dishes."
Best hummus,Very good hummus and babgunah Mouska was very fresh Lemon mint was very refreshing Staff very kind Sure we come again
Best lamb chop ever,Very good food Best lamb chop Was very tender and juicy Staff very friendly and helpful Prices was reasonable Sure we come again
Great service,"Food was awesome, great service, nice atmosphere
Food 100% halal
Tabbouleh salad was fresh
Hummus was very smooth
Bread lavash was fresh
Chicken kebasa was very delicious
Staff very friendly
Owner was attentive
Must visit
They offered us mint tea and dessert kunafa on the house
Great place to chill
We will be back soon"
Best Lebanese food,"Best lamb chop very tender ,juciy ,lamb Mandi was very soft , delicious u should try kunafa is was amazing staff very polite and respectful sure I come again and again"
Cafes to visit,Enjoy with oll the fd. Nice n delicious. The most my favourite fd is 'MANDEE RICE' with well marinate spice lambshank togo with. Wont regret the taste of the fd. With frendly staff service . Come on dwn to the cafes and chill till 3am. Wont regret..
Awesome Food!,"Food were fantastic! Been goin around Arab st looking for reasonable n tasty meditarrenian food n this is the best i have eaten!Highly reconmended!
GIVE it a try!im sure u wont regret it!
Simply delicious food n the owner of the restaurant are very friendly and welcoming.
Service are excellent as well..do not need to wait long time for the food to be serve!
Definitely will be my new place to patronize in Arab st."
Overated tourist trap,"TripAdvisor told us this was in top 40 restaurant in Singapore. Living in Singapore I wonder why this is?! No idea...

The food: I am quite accustomed to middle east food and I can say food in this restaurent was below average. The Muttabal was the worse: lack of spices, no grenade as on the menu, a fizzy taste, merely an aubergine puree, with tasteless cheap arabic bread. The Mussaka was not much better. Even the fallafel were a bit funny, like spicy and possibly overcooked.

The prices: are those of a tourist trap. Being localed in one of Singapore most touristy area, these guys are obviously taking advantage of it. Needless to say the value for money is low.

The service: except for the boss, the waiting staff seemed careless, inattentive and non-chalant, making mistakes when serving dishes, being dress like they would go for a run, not giving a damn that the dish looked like nothing on the menu.

Depite this I must admit the main waiter (maybe owner) was kind enough not to charge us for the dish we found horrendous and offered us a drink. Maybe he was thinking of the review I would write."
First time trying Lebanese Food,"The restaurant has high rating On TripAdvisor, so we go and try it. The restaurant decoration isn’t that great. The food however is good. The thyme and cheese pizza is good surprisingly. Average hummus, and the lamb Madi is very good. The table is too small to hold all the food we ordered."
"Best Lebanese food ,awesome service","Food was delicious , staff very friendly and helpful , we had hummus with fresh bread , mix shawarma , and chicken shawarma all were nice lemon mint was fresh thanks"
awesome foods. fulfilling,awesome foods. fulfilling much! friendly staffs they have! can never be disappointed when u have ur meal here! returning again soon!
Best lamp,The service is good location is awesome food is yummy drinks Is fresh I recommend to anyone I will come again
"Good food, great service","On a day date with my husband. The decor makes you feel like you’re in Lebanon. Met the owner, he was so kind. Just across the way from Kampong Glam restaurant. A very lovely meal there. The mint lemonade is refreshing too!"
Very good food and service,"This is my third time here , my new favourite, staff very fast and kind we had chicken shawarma was very nice mix grill very delicious sure we come again and again for sure thanks alot for treat us like family members"
👍👍,Lamb kofta was tender and tasty with generous portions of rice which was flavourful. Great location and ambience.
Best lebanese food,Food is delicious that i cant find in any arab stall in singapore. Staff is polite. Price is reasonable. Place is cozy with nice environment. For sure wil come back with family & friends again.
"Hummus is very delicious,","Hummus is very delicious, good service,thanks for the delicious Kunafa I had,it’s really great thanks 🙏"
Business dinner,Very yummy and good service and nice location and friendly and the staff very nice so so lovely I will come again
best lamb chop ever,"food was delicious , lamb chop very tender and juicy ,staff very good , hummus was very smooth with fresh bread lavash , mint tea was very hot ,lemon mint was very refreshing ,prices was reasonable"
Best lamb shank,"Lamb shank was very soft ,rice was very tasty ,staff very good and attention ,fast service , mix grill was awesome sure we come again"
Great dinner,"I went with my friends first time, their staff are very welcoming and friendly, the food was decent and very tasty They offered us BAKLAWA, it was so tasty, we will visit again for sure, the mix grill is to die for, everyone should try.."
Awesome Mediterranean Food,Excellent service and tasty food.. Never fail to disappoint me and my family.. We keep coming back for more..
Awesome dishes on menu,"Amazing food ,service food was delicious owner of shop very friendly ans helpful if u are craving for some bbq grilled platter then this is amust try restaurant i would recommend kunafa is to die for"
"amazing food , grear hospitality","we enjoyed our dinner today at hummus and grill , we love mousska with cheese , aryes lamb , lamb kofta was very juicy , rice was fresh , staff very attentive , sure we be back again after lockdown , prices are reasonable"
high light of arab street,we had alot of food start from mezza platter grilled hallumi chesse chiken kebsa was very soft rice was delicious u have to try kunafa dessert is to die for
I miss this place finally I come back,"Long time I miss hummus and falafel , I used to eat here before and after look down I miss everything in this restaurant Food was delicious as usual Staff very fast Now I will come back every week Thanks hummus and grill"
Great dinner,"Very good hospitality , great staff very attenrive , lemon mint very fresh they offer us mint tea on the house sure we be back"
Have to return in a week,"2 trips in a week- first time i went partly because it was not crowded( given its covid time- thats a factor we have to look to) and partly because of the favourable reviews. We tried the mezze platter, lamb kofta and chicken Shawerma and washed it with lemonade mint. For the next weekend trip which happens to be her birthday we originally were planning for yantra for an Indian treat but my wife wanted to be back at the same place and try the same dishes. I m glad we did so - the only change was we replaced the shawarma with chicken kofte and falafel.

The only regret we had is because we repeated the same items we may not know if there remained some hidden gems since in my next trip also we probably will repeat these wonderful dishes. Strongly recommended if you like mediterranean dishes - if you have not tried before this will be the best place to srart.
I realised i was so full could not try kunafa - pending next time."
Best Lebanese food,"Best Lebanese food , great food and service Staff very friendly and helpful Food was delicious Mix grill was awesome Bread was fresh We will come back"
"Hummus way too salty, almost","Hummus way too salty, almost inedible. Other mezzes were good. Meat platter ok, some cuts were very dry. No credit cards accepted. That it has 150++ excellent reviews throws a mockery into reviewing in general. It’s decent, definitely nowhere close what I had in Dubai."
Very very surprised that this,"Very very surprised that this restaurant is rated 38 in Singapore at this time of writing.

Went with a party of 4 and we felt the food was overpriced and of average quality. We ended up paying $210 for the following items
- 1 hummus platter for sharing
- 2 pita bread for sharing
- 8 falafels (which were really good) for sharing
- 1 main course each ie a sharwarma (which comes with the most dismal serving of fries - 10 fries per pax!)
- 1 lemonade each

This worked out to $50 per pax and we would not return to this place... there seems to be plenty of other options in Arab street and the restaurant was practically empty on a Friday night as well."
Home delivery of yummy Turkish food,"We ordered home delivery of Turkish food owing to the lockdown and were very happy with the food quality, taste, delivery on time. The owner is very courteous and patient to help with queries and even helped to customise the meal plan and included a free desert and bread. The Chicken Pide and Mixed Grill are must try!"
Pick up,"Must visit. Everything we ordered was amazing. The hummus was so fresh, baba ganoush was yummy, falafel wrap is recommended, its value for money. Mr Mahmoud Abdelaziz is a kind gentle man. He took the order on whatsup and advised me what to order since we are vegetarians. He also added in free baklavah and moutable. Very courteous service and Overall a very great experience. Waiting for the lockdown to open so we can visit in person"
"Delivery Mixed Grill(2 people) & hummus, $40","Mixed Grill was dry and rice bit hard when delivered. They included 2 free items, but didn’t fully enjoy main course. Left feedback in conversation as well. Management was receptive and pointed out when delivery food is covered, it will continue to “simmer” from kitchen to destination, hence harder than usual.

Also noted, menu pic and what I got looked quite different. Overall 3 stars."
food delivery,we decided to order food from hummus and grill during covid 19 food was awesome and delicious as usual they give us baklwa for free and hummus as well we will keep ordering from them again
Delicious,We’ve ordered from Hummus & Grill three times since the start of circuit breaker. Love it! Delicious and good value for money. Will keep coming back.
Home delivery,"This shop was recommended to me and it was on 50% offer. Ordered Hummus lamb & hummus chicken. Both taste fine and acceptable to me. Given free bread, but the bread was a little tough to munch bcos i have sensitive gums. Not recommended for elderly. Haha."
Mediocre.,Mediocre food. Tasted not very fresh and waiters and chef appeared somewhat unkempt. Rather surprised at all the positive reviews which misled us in our choice of restaurant.
Delivery,Food is delicious at a reasonable price! Will definitely recommend this resto! Perfect for occasions as well!
