topic,review
My Brunch,I Am has been in business for a long time. I did not know it serves food until one day I passed by and saw the big menu! Everything is cooked from scratch. I had the Portobello Benedict. I was delighted to see alpha alpha on the topping. It was a scrumptious meal. The owner Jam is friendly and warm. He takes note of feedback. Best of all Brunch is available daily till 4pm! A wide section of food and beverages. I love their home made chai latte: top notch quality. Nice taste f the spices. It is served with a cinnamon stick and a piece of complimentary chocolate cookie which tasted nice. Desserts are made by the owner's mum.
"Great Hospitality, Burgers and Beef Ribs","We have a tradition that on the last night of holiday we go back to our favourite restaurant of the trip, and this time it was I Am…

On our first visit we shared the Boss Burger which was as good as any burger we’ve ever had anywhere on our travels, and the biggest, tastiest jalapeño poppers. My wife and I shared this with our 2 year old, and we were all delighted with our meal.

For our last visit we ordered the chicken burger, I had the beef ribs, and we shared some wings - which the guys were kind enough to serve with the sauce on the side so our daughter can have some - and those got hoovered up by everybody.

The beef ribs were so juicy and tender I was able to simply pull the three ribs out, and tear the meat with a fork. They recommended the garlic sauce for a bit of spice, and they were absolutely right.

The chicken burger pulled off the trick of being really crispy on the outside and succulent on the inside, and the whole thing was super tasty.

A special mention for the team there - two guys just doing great food, drinks, and hospitality. Thank you very much for looking after us so well, and we really hope I Am… helps you towards your dream of moving to Amsterdam."
Poor execution,"The fries and cheese balls were good. Pizza, fish and chips, and pizza were poorly executed. Food was bland and pizza was soggy."
Ten Thumbs Up,"First visit to I AM on 24 December 2021 for dinner with family. The location was easily located.
SOPs are still in place as we are a big family of 10. No issues in seating us separately. The staff are very friendly and polite at all times. The food were delicious and the portions were worth it. The ambience was perfect for us.

Will definitely recommend to our family and friends. We are definitely going to be the returning customers! Kuddos and well done!"
Excellent,Food was great and service was great too. I enjoy every moment especially the fish and chips and the portion is very generous and the charcoal burger too.
THUMBS UP,"Will definitely come back soon. Me and my partner truly enjoyed the food and service at the restaurant. Employee (male, cashiering duty at that point of time) ensured that everything was according to our liking and comfort. I truly appreciated that. Overall good food and good service!"
Great Ambience and Great Food,"Food is great, especially the charcoal grilled steak was smokey & awesome. Was windy n cooling Sunday morning and we have ""alfresco"" lunch on the five foot way. Impressed. Recommended Place!"
Iam cafe,A day reservation. Went easy. Arrived with table set for 4pax. This is before the newest safety measures.
I am review…,"Dine in experience was ok, food was good but serving was not hot. Price is on the higher side Overall : average high"
-,it was a great experience and it was my first time eating there too. very fast service and the workers are very friendly indeed. thank you!
"Great Food, Value For Money!",We had 1 for 1 steak which was very nicely done and very delicious! The service was tip top and it wasn't too crowded. Overall we enjoyed our time there!
Suitable for kids. Nice ambience.,. Huge food portion with affordable pricing. We enjoyed our stay there. My nephews enjoyed their food and ambience. Thank you!
I Am...what happened to your burgers man,"Felt like hamburgers at Arab st area so we went to I Am cos hadn't been there in a long while. Boy have they changed. Our burgers have gone downhill. Dry burgers man, seems like their idea of a juicy burger is to stuff it w tomatoes. Geez dropped close to $200 for 3 adults, 3 kids, and it was disappointing. Sides Jalapeno Poppers and Sriracha honey wings were awesome. Work on your burgers man what happened?"
Good food,"Couple of friends and myself had the burgers and they were of good portion size especially the patty. Except my order of the Belle's burger which were half or even a quarter the portion size of my friend's burgers which was largely disappointing. Fries were just fries, albeit the fries were left out and not fresh so that's one thing to improve on."
Way below expectations,"What a vast difference in hospitality from the last time I went(a few years back, highly raved). In a disappointing manner that is.

First off, I made a reservation a week earlier but frontline waitress claimed they were unable to retrieve my contact details and what not.
I was more than happy to reassure the staff, I pulled out the email confirmation. Another waitress came to assist, in hopes that she’d be able to enlighten me that my reservation was there. To only come back to me and said the exact same thing as per the other staff earlier on.
Again, I showed a screenshot of the confirmation status. Yet, she chose to tell me that my reservation has not been confirmed. It clearly stated confirmed (‘: After which, she snatched my phone from me to have a clearer look on the screenshot, didn’t even ask permission if she could have my phone. She still had the audacity to explain to me that all these customers seated had made a reservation prior.

SO DID I.

Now on to the waiting time for the food served, god knows how long it took. Perhaps a full house, but even asking for mayonnaise to go along with the fries, took forever.
Dessert - Rainbow cake.
Again, my friends recalled how fantastic the rainbow cake tasted back then. But what was served, a dry-looking rainbow cake. Not only it looks dry, tasted dry on the throat. Barely finished half of it.

The rating simply reflects on how terrible the customer service was. Starters and mains, pretty average, but the dessert was a letdown.

Had to really compliment on this malay teen waitress whom attended to my friends and I. Very polite, basically her customer service is tip top. Prolly the filipino waitresses should learn from her (:"
3rd lunch visit on 12 Sep 20,"We have order 2 set of main course and an hot latte.
-Meal 1 Cajun-spiced grilled chicken burger, the chicken fillet over grilled on corner and bottom part of fillet become bitter taste.
-Meal 2 Rosemary Poussin(fried half chicken) also over fried or been fried number of times and tasteless BBQ dressing. The side dish half portion of corn also tasteless without/ forgotten apply sour and butter(my opinion).
-strong milk taste hot cafe latte lack off coffee taste.
-Both main course burger and fried chicken quality & taste have been drop comparing with my previous visit"
Great burgers,"Burgers were good and service was ok. Sat upstairs, which was a cosy area for group hangout. Food portion is excellent (so much fries with the burg!!!)"
Very comfy atmosphere!,"Loved the upgrade of the cafe with air conditioning on the second level! The atmosphere was comfortable, and the food was enjoyable. The fries might get cold if you eat slowly, though, but nonetheless it's a good place to enjoy a meal on a hot day! The service was superb as well, all the staff were friendly!"
Food,the food was good and yummy. Only service was not good and food is alittle pricey place is near landmark hotel convient to find way.
Simply worth it!,1st time dine in at I am...it simply worth it!with friendly staffs tat was simply accomodating giving us a chance to try out chill out ambience on the upper deck!n the best part of all.the bdae boy loved the rib eye steak!simply delicious! thumbs up! overall loved the foods n friendly service..will come bck again nxt time for sure...thk u I Am...keep up the good service frm the heart n maintain ur delicious foods!
Brunch 21 June 2020,"Arrival at the restaurant only to realised that we were the first reservations to arrive. They were not ready to receive guests, at 11am. Eg. Air-conditioning not ready and 2nd floor dining not ready for seating. At least the staffs were welcoming and friendly. Food portions are reasonably economical. Do not gauge the portions via online menu - cos you will be surprised at the difference. The environment is WONDERFUL if you want to have a quiet and decent private conversation before the main stream of patrons start pouring in about noon."
Food Haven!!!,"The staffs are super friendly, great place for family dinner! Food is served fresh and piping hot! Menu is superb! Place and environment is great!"
Staffs and Food,"The service was great, the staff was nice and went extra mile for us to ensure we have a great dinner. The food was exceptionally amazing and the portion + price range was great!"
The drinks were a major disappointment. Skip it and go with water .. its healthier anyway!,"The food and portion was good. Service was okay. However the drinks we ordered were too sweet! My V.Mojito was basically just syrup and water, couldn't taste the lime at all. The same goes with the Cranberry GT and Nutella chocolate, (very diluted). Its too sweet, and thats about it. Very disappointed considering a glass of drink cost about $8!"
Great Steak Great Service,"Best steaks we'd had for long time. The service was excellent. When one menu item we ordered wasn't available, we upgraded meal for same price. Would thoroughly recommend I am for snack or full meal. Great location near Arab St."
Food was mediocre,Food was great overrated. Although service staff was nice but they can be slow. Have to keep reminding them abt our requests. Place can be quite noisy.
Misleading dish!!!,Went for dinner with my friends and we ordered the jalapeño poppers but you know what we got??? BELL PEPPERS!!!!!
"Fantastic Service, going beyond for their guests","We sent an email to the restaurant for a group booking, and received prompt responses and correspondences. The manager, Kyra has been very accommodating to our needs and requests. They allowed us to use the space for an hour to do our activities before we order our food. They were also very welcoming to our guests with their prompt service and smiles. Appreciate it a lot! Thank you."
Disappointed,"The food was not up to expectations however service was good. I think it is not value for the money I an paying even though it is considered affordable for a cafe opened in Haji Lane. Overall, poor experience, food is disappointing and service is good. Will not go again."
worth to try out,Can try to call the restaurant before you make the reservation as sometimes there are plenty of seats in the restaurant but didn't appears on the apps. Staffs are friendly as this restaurant required customer to order online but there was some issues on their website so they manually took my order. Recommended I am... Platters for seafood lover!
Lovely rainbow cake!,"The rainbow cake it's really nice and perfect for kids!! The café is in the heart of the Arab quarter, and I definitely recommend it!"
Delicious Cake!,Do not hesitate to try this cafe! Good coffee with delicious cake. Service is fast even with big crowd
Good food,"Food was just as i've expected, and i like the idea of ordering via scan code, booked for 7 people and we have the 2nd floor by ourselves"
Prepare to wait 40+ mins for your order,Was told it would take 15-20 mins for the burger. I waited 43 minutes and then walked off just as it came out the kitchen. I had lost my appetite by then.
Good food.,"Food was good and served fast. Only one setback, I actually requested for a bday special for when I order a cake there. But when the cake came, there was no special like a bday wish written or bday song. A bit disappointed"
Awful coffee,"We were craving for ice coffee to chill us out from the hot day.. However, it was so disappointing. The coffee just doesn't taste right. Sad.."
Bad customer service,"I would like to give my feedback on your server on the 2nd floor (a lady phillipino server) when I dined at your cafe today at Haji Lane. My reservation was for 5 covers.

When we arrived, our table was configured as 3 adults + 1 baby chair. When i told her that my reservation was for 4 adults and 1 child, (5 covers) she seemed puzzled and insisted that the seating arrangement was correct. I told her that we need 2 more chairs and no need for a baby chair as my daughter is 10 yrs old, plus I did NOT request for a baby chair at all in my chope reservation.
She gave us 2 chairs and removed the baby chair with an unhappy face and no apology was given to us.

We seated ourselves and she went back to serve other customers on the same floor.

Patiently waited but no menu was given to us while she actively seated new customers, gave them the menus and took their orders promptly. In the end, we helped ourselves to the menu and still, no initiative from her to come to our table to take our orders seeing that we already have the menu on our table.
I was pissed and decided to go to the 1st floor to submit our order as it was already 6.55pm.

When i reached the 1st floor she saw me and she intercepted by saying that she will take my order (which was already too late anyway)
Instead she got another server (a hijab lady, i didnt catch her name) to take our orders.

We were there to celebrate my mother’s birthday and it was a bad start after the way she acted towards us as the paying customers."
Excellent Service,"We visited this restaurant recently to have dinner and to celebrate our colleagues birthday. We were served by a very charming beautiful lady mamed Theresa. Ad this was our first time, she was patient with us and recommended the best choice of meals from your menu. We truly enjoyed the sumptuous meal. We would highly recommend this venue for any event. Compliments to Ms Theresa for her excellent commendable service, her lovely hospitality and her charming smile. She made sure her customers were comfortable throughout their time in I AM. This is a True Singapore way of Service Culture. GRAND SALUTE FROM YOUR HAPPY CUSTOMER. Best Regards, Ms Jasmine Kaur.♥️⚘"
Nice ambience but...,"Their signature burger didn't live up to expectations. The portion was generous though, the burger patty was SO dry and I couldn't finish it. I want to give them a second chance and may come back for another time later..."
Tasty Cake,"My girlfriend and I stopped by for a quick dessert. The BW Russian Cake was pretty good. Unfortunately it was also a bit pricy (S$10.50 for 1 slice), but we still enjoyed it."
Excellent services,My second visit there. They have never failed to deliver the best service ever and needless to mention about their yummilicious food
Amazing Amazing Amazing!,"This place is truely amazing, the atmosphere and food are out of this world. I went there with my wife yesterday and it was the best meal of the day. Have the burgers, the beef is sublime."
I am..not recommending,"Food: 7.5/10

The calamari was rubbery and wasnt fresh. The salad that came with the ribs were old and had a bad after taste.
The rest was okay, well portioned.

Staff: 7/10

There were 2 people on the floor and we can see that they were running around. We noticed that 1 staff was giving smiles left and right but for some reason could not give us one (we're giving the benefit of doubt that she was tired from the lack of man power). The other staff was kind enough to waive the calamari when he realised we didnt want to pack it because of its condition.

What I am surprised is that when we asked to help with the cake we bought outside (which we asked permission if we could have the cake there). When we asked for the cake, they just gave back the cake, still in the cake box.

I would have given a lower score if it wasnt for that 1 staff that helped us with the calamari, he was attentive to us during the dining period and apologized for the mishap."
