topic,review
low value service with an exorbitant price tag,"first and last visit. would have adjourned to a different location if it wasn’t for the parents. pre-dining reservation (for table and food) was not exactly easy as more than 1 attempt was needed before the phone call was answered. wait staff was only interested in selling the high end dishes with a super non-chalant attitude. she wasn’t interested in understanding our eating habits and preferences and continued suggesting all orders in ‘L’ size when the 8 of us at the table belonged to the ‘S’ size. She only gave, perhaps, 50% of attention on taking our orders as she couldn’t even get the items right the first time. It was almost like she had a pre-programmed menu in her head and any deviation becomes a challenge. She actually suggested for all dishes to be served all at once, when ordering was completed, which we of course rejected. When the last dish was served she asked if they can serve the noodles and dessert at the same time. Plates were cleared regardless if you’re done with the food on it or if you’re having a conversation with the person next to you. Her uniform actually had tatters that were hard to miss. She was like silently saying “i have a job to do so just get it over and done with; everything else don’t care” Other than the Peking Duck which was executed precisely, almost like a piece of art, none of the other 6 or 7 dishes impressed. One would expect the sea cucumber with minced meat @ $55/piece to have a little more bite but it was stuffed with so much meat (probably to make it look more presentable) the thin sea cucumber was lost. The eefu noodles done with the duck meat was salty, echoed by half at the table. Asparagus witn minced garlic was literally it. At $100/pax for lunch, a little more attention, customer-oriented service and a little more impressable quality food would have made for a happier spending. Neither the service nor the food was worth the $100/pax price tag. It felt like they were only interested in keeping their tables’ turnover kpi. It was our first visit to this restaurant and will be the last. We will gladly take our spending to where we will be more welcomed.
**The saving grace, actually, is the petite aunty in a black-colored uniform. She quietly serves and clear plates with genuine smiles and pleasantries and sweeps up debris without being instructed. She seemed happy to be doing what she’s doing."
Excellent food quality and,"Excellent food quality and taste. Very exquisite Chinese food with fresh ingredients. Had a room to ourselves, thanks to my VIP buddy here. Service without a doubt was one of the best, VIP treatment!"
Excellent Cantonese cuisine,Thoroughly enjoyed a muli course extravanza with friends -- Peking Duck good but not as good as the Shangri La in Colombo
"Great Duck, Authentic Chinese Food","This is restaurant is worth visiting if you are in Singapore and like Peking Duck. The duck is outstanding, and so are some of the other dishes. Service is good as well."
Good Service,Service was very good. They are known for non-veg food so it is not a place for veg people. But my friends who liked Duck enjoyed it a lot here. Liked the Service by them.
Lovely Duck,"Situated in the new Asia Square development in Downtown (there is another of the same name in Orchard Street,) the restaurant seems quite posh and formal: not a place for flip-flops I would say. The most courteous staff showed us to our table where the only complaint, and a common one in Singapore, was that the seating seemed to swallow one (despite a height of about 1.87M.,) so knees were rather too close to chin. I was taught to sit up to table and not slouch. The Peking duck (one has to have the signature dish,) was superb: crispy, non-fatty skin, the pork belly sublime. Throughout the meal the Jasmine tea was kept flowing and a good time was had by all."
2 days Singapore escape,"We’re staying at the mandarin orchard hotel and it’s just the next building to us. I made reservation through the concierge and by 11 am the concierge sent me an email to confirm reservation for 9 pax ( 3) children. Service was excellent. We have a corner round table and English speaking stuff took our order. Opkors we ordered 1 whole Peking duck, prawns in red duck sauce, hot and sour soup, krispy squid, assorted dim sum, salted fish fried rice. All are excellent. A bit pricey but it’s a real CANTONESE Restautant."
Excellent service and delicious dishes,We were thoroughly impressed by the quality of the Peking ducks as well as the other dishes we ordered.The Crispy fried chicken were super nice and the sweet and sour chicken was sublime.The service was very professional and yet friendly.We ordered too many dishes and the staffs realised this and asked if we would like to leave out the final dish.Definitely we will recommend and will revisit.
Braised Crocodile Paw,We happened to be in the area and decided to have our lunch @ the Imperial Treasure Super Peking Duck. We ordered 5 dishes and the highlight was the braised crocodile paw. The portion was pretty decent and the dish tasted good as well. Looking forward to our next makan @ Imperial Treasure.
Exellent food,"The must eat - Peking duck and pretty authentic compare to Beijing. Here to celebrate the CNY occasion , ordered claypot cooked abalone, sea cucumber and dried oyster is out of the world. Very well done! The Maine lobster , the shark fin soup are great. Enjoyed the service which is excellent. Get to waive the corkage charges for wine is a plus. Location a bit hard to find for first timer but overall experience is great!"
