topic,review
Singapore Indian restaurant,Wonderful family business with great food and friendly vibe. Must visit if you love your Indian food! Based in little India
Good service,We went to the restaurant around 830PM and were greeted by Mr Sonu at the entrance. Big thanks to him for giving us a good table. We loved the food and the service from the restaurant as well. The mutton vindaloo is a highly recommended dish! We tried their carrot halwa as well.. tasted good
Good food,"Really good food. Had the Tika paneer and chicken biryani, both were nice and had a good level of heat/spice. And they have San Miguel beer too!"
Restro,Very tasty food .. very good ambiance.. overall everything is super good .. worth going ..we ordered non veg n veg both .. chat everything is so yum … go and check it out
Tasty. Friendly. A must whilst in Little India.,"Despite being incredibly busy (on 1st night of Deepavali & we hadn’t made a reservation) the host & waiting staff were super friendly, helpful & accommodated us.
Our food was tasty & excellent quality.
Would highly recommend."
Great food. Great service. Friendly staff.,"I had the vegetarian platter, a mix of 3 starters which was excellent, hubby had lamb pepper masala which was also very good. Paratha was great and we were brought a snack to start which was delicious. Friendly and helpful staff. Would highly recommend."
What an absolute gem.,We found this gold mine on Race Course Road in little India. The food was to die for with a balance of spice and taste. I asked the chef for a chicken tikka jalfrezi and what was served surpassed my expectations. I am experienced in Indian food and this was by far one of the best dishes I have tried. 10 out of 10 . You must try the jalfrezi.
Best Butter Chicken,Tried a few dishes and it was amazing. If you’re in the area you must visit this place. You won’t regret it. The lady boss is super as well.
Birthday Lunch,Celebrated my 30th birthday here! All the staff was so accommodating and Tes was amazing. She made sure everything was fully organized and the meals arrived on time. We all had a great time! highly recommended.
Perfect birthday dinner,"The food was perfect and the service was excellent! Loved the appetisers, Kashmiri lamb rack, Chicken Lazeez Handi curry and the vegetarian and meat platters. The drinks were also good and reasonable. A fantastic meal with great service all at fantastic value… Anuj was really great with his recommendation of food and also alcohol to go with the food ❤️ Thank u for a lovely birthday feast!"
Highly recommended!,"The food was good, prices were affordable, ambience was nice and cosy and the staff were friendly and helpful! Loved it!"
No frills but great food,Basic restaurant with no frills look but delicious food. Loved the chicken tikka kebab and the burnt garlic raiter. After a long walk around Little India it was a great place to stop. Too sad no dining in presently.
Great Food @Indian Express Rasapura,Chef Mahipal and Dinesh have magic in their hands who cook delicious indian delicacies.. loved it and would like to visit again.
Amazing food !!,Chef Dinesh and Mahi Pal make out of this world food !! Absolutely amazing . Had butter chicken in the MBS good court and finger licking good
Indian Express @MBS..,"Thank you Dinesh and Mahi for the excellent service! Tried their chicken biryani, butter chicken, garlic bread everything tastes so good."
V. Good food at indian express (Raspura MBS),Chef Dinesh and chef Mahipal make awesome and tasty Indian dishes esp. set B and Set D. Do visit their stall at MBS.
Great Food,Really nice food and great customer service from chef Dinesu and Mahi. Highly recommend this place. My favourite I’m Singapore.
Great Indian Cuisines,"Really nice food, mutton briyani was very flavourful! Excellent service from Mr Raju (very polite and service with a smile)!"
Our lunch,"This is my second time to go this indian express restaurant
I realy love it and the food is realy good me and my friends enjoying our lunch ..and the staff there are friendly..hope see u again guys"
Mr raju,Most favourite at Singapore...5 star for service and food...best for chilled with friends....workers all friendly
Horrible ambience and Low quality food,Very Low quality food and extremely noisy place. We ordered for noodles and they served Maggie to us.
5 star service Mr Raju,Food is very nice .c/ 65 awesome all the side dishes was awsome . restaurant nice looking and liquor all choice have Lovey place
Very good nasi branyni,"Thanks you to Adju and for his excellent service !

awesome and Adju is the best! Service and food is super! The masala tea, butter chicken and nasi brayani it is my third time visiting this place"
Had a wonderful dinner in Indian Express last Monday.,"Great Restaurant and wonderful service, Manager Raju was very customer oriented and take care of my needs"
Mr raju manager.very good boy,Food is awasome service***** 5 by raju.very nice restaurant.this restaurant looking awesome and service specialy Mr raju
Mr.Raju,His(raju)customer service is good I'm here every sunday.good on choice for me according to my taste e always choice food with health since 3 mths I m coming here b
Really awesome authentic north indian cuisine,"Was introduced to this place by a very good friend of mine, we had a great time dining here. We had the garlic nan which was really well done and very fragrant and crispy, pairing so well with the palak paneer, chicken masala, and the kadai khada. the masala tea also went very well together with the food, with just the right balance of aromatic chai taste. Best of all, i had it with great company :)"
Service and F&B,The drinks and foods was awesome. Staff is very friendly. Especially Raju. We enjoyed our moments here and make it as monthly meeting events.
Raju’s superb friendly and fantastic service,"We had a lovely dinner with a great friendly service by the staff’s and really had a wonderful time spend at the place
I would love to come here again. ;):)"
NICE EXPERIENCE - HOA HUYNH - VIETNAMESE,"It’s the first time I have been here, the food is very nice. I like the spicy way they made. Thank you."
Raju and Manoj,Great service! So friendly and prompt! Definitely recommend this place! Yummy food. Love the dip that goes with the pappadum. Will come again.
Devi,"This is the best pani puri. Staff here very friendly, expecially staff name Raju. Sure will come again."
Good food,Nice food served by chef Dinesh at MBS outlet.delicious and quality indian non veg set meal.must try dinner with family
Rasapura,Great service by chef Dinesh and chef Mahipal they made me feel special. There food was great. Best Indian in Singapore.
The best Indian Food Stall in Singapore,"I usually come here once or twice per week for dinner in the MBS foodcourt and I have to say it is my favorite indian restaurant in whole Singapore. 1. The food quality is amazing. The chicken comes right out of the tandoor and is super juicy and perfectly seasoned. The naan is always freshly made to order and comes and has the perfect balance between being chewy and crunchy. 2. The service is super fast and Chef Dinesh and Mahipal are very nice. 3. The prices are very reasonable considering the place.

All in all, I cannot recommend this place enough. You‘ll get very good food here."
Indian express at Marina Bay Sands,We have been to this place with my family . Excellent food at reasonable price in Place like MBS . Warm service by mahipal and tasty yummy food made by Chef Dinesh .. good job
Lunch@MBS,"I would like to extend my thank you to Chef Dinesh and Mahipal for amazing service and humble recommendation. The kadi Pakoda and Tandoori chicken was so delicious. We were family of 5 looking for vegetarian and non vegetarian food just nice we encountered Indian express at MBS. We were so amaze to receive extra mile service by Chef Dinesh and Mahipal.
Once again thank you so much for wonderful service."
Mr Raju,"He is amazing staff of Indian express, I love to have dinner at indian express because of his service and manner"
Indian Express @MBS,The food in Indian Express @MBS is a must try it’s so delicious and freshly cooked. Love the Tandoori set. Thank you so much to the staff chef Dinesh and Mahi for being friendly. They are so helpful to suggest which food i should try.
Dinner @MBS,Thank you Dinesh and Mahi for the great service! Tried their chicken biryani which was good!!! Cheers
Amazing lunch time.,Thank you very much Raju. We had an amazing afternoon lunch time. I strongly recommend Indian Express restaurant.
Thanks Chef Dinesh N Team,Had a dinner last night n food was awesome. Specially chef special Chicken Malai Tikka. Must Try once.
Great Indian food and excellent,Great Indian food and excellent service. Must try Indian food. We love going to this restaurant. Chef Dinesh and staff are always friendly.
@Dinesh Chef @ Rasapuram Review Customer satisfied,"Customer oriented
Friendly
And delighted with the warm welcome and attitude towards customer.Appreciate the service and taste provided.
Suggest to visit this place whoever loves Indian food in Singapore."
MBS food court Indian Express,Chef Dinesh makes the most excellent butter naan and the chicken tika I’ve ever tasted. Affordable and great tasting food!
Amazing food & excellent service by Raju!!,Really tasty and authentic north indian food. Also best hospitality and good service by Raju!! He always makes our outing memorable.
Review,"5 star,Food was very taste and Raju services also Very nice excellent,north Indian taste utlimate,everyone can try once this"
Delicious food!,"Just walked in and a great decision. Excellent food. Little spicy though, which could be reduced to taste. Fresh and crisp roti unlike other restaurants with the chewy ones. Staff is pleasant too, although they need to be more alert to following social distancing properly. Same owner as Song of india, the best indian restaurant in SG, so the quality shows, at affordable prices."
Awesome Ambemce & Tasty Food North Indian Aunthetic,Dinesh CHEF ....inside Restaurant was attend our table & provided Best Recomended Food awesome service mainly Good sense of humor I suggest Try Food here you know the meaning of Food ...Everyone like it for sure Enjoy... Bouna Appetti ..
Amazing Indian food for reasonable prices,"The food is so nice, 5 start quality, really outstanding, delicious, maybe even the best Indian food from Singapore. As a vegetarian a bunch of nice choices, from the traditional to my favourite 'subsz miloni'. The veg biryani is incredible also, full of veg and flavour. You can order online via Grabfood or go to Racecourse Road. Anyhow you won't be disappointed. Highly recommended."
Very nice and awasome food and services,"Me and my wife visited Little India and found this restaurant. My wife wish to eat Chinese, kid want to eat parata and I was looking for some snakes only.

We found every thing under one roof with best services by Dinesh and Joshi.

Rellly appriciated for this."
