topic,review
"Great Service, Tasty Food","We had a great time. Special thanks to Doreen for all the arrangements & for the flexibility to suit our plans. She is so warm & welcoming. Also thanks to Yudi, Mawong, Vanisa & Shah for making our lunch a wonderful one.

We will surely come back!"
"Outstanding food, really friendly staff","Amazing food with an array of authentic Indonesian flavours. We visited while on holiday in Singapore and the staff were so friendly and accommodating, and we were made to feel very welcome. The pricing is very reasonable and affordable, especially considering the standard of what they produce.

On the day we visited it so happened a high ranking foreign government delegation was eating there, which once again probably demonstrates how Indochili punch way above their weight in terms of quality of food and service!

All food is halal."
Great Food Great Service,"Everything we ordered was delicious: gado gado, sotong, oxtail soup, beef rendang, tahu telor, chendol, and avocado drink. Doreen was very helpful and friendly. We will be back."
Nice place and food,"Very delicious 😋, will go again . Very delicious 😋, will go again . Very delicious 😋, will go again ."
"Yummlicious food, efficient and reliable customer services","I chanced upon this Halal restaurant when scouting for bento sets for my corporate lunch event. Menu is good w lots of varieties including vegetarian option, Ron, the Manager even customized the bento set specially for my event after knowing the person's preferences (very flexible and customer-orientated where most caterers don't allow changes to their Bento sets). Most importantly, food arrived ON TIME, NEATLY PACKED and their lime juices are real juices with lots of lime slices. Highly recommended indeed. Thank you Ron & team!"
Great food and service,"The menu great variety of foods; staff were very friendly and attentive. Food was fresh and reasonably priced. We didn't really like having to order via the QR code, but it was actually very easy."
Good food and Good service,"Just had a family dinner to celebrate my wife’s birthday. It was my first time dining and the service was remarkable. The service was great. Mr Ron who served us was friendly and patient to explain the different dishes. Even the staff who made the drinks was friendly . She even helped us to serve the plates for the birthday cakes. Food was tasty , meat was tender. I recommend Soup Betawi and Satae Sapi. Thank you Indochilli !"
Selection of excellent dishes,"Welcoming, excellent fresh food and drinks.

We arrived just in time for last orders at 9pm. Quickly ordered a selection of dishes for 5 of us.
The food arrived quickly and were very good. All the dishes were fresh and tasty.
Particularly liked the satay, and ikan bilis kacang (camarelised peanuts and dry fish - amazing).

Would also recommend the scarlet ginger tea and passion fruit cream sodas ."
Decent Indonesian Food,"I had a dinner appointment with an oversea muslim business associate & my colleague recommended to try out this restaurant.
We 3 pax came here for a week day dinner. We ordered
: ayam bumbu rujak (chicken)
: gado gado ulek
: kangkung balado
: perkedel (potato fritter)
: signature ayam panggang (chicken)
: tauhu telur
: nasi kuning.

2 chicken dishes were well marinated, cooked to perfection (close to) & flavourful. My guests love the sambal to go with ayam panggang.
Fried kang kung with sambal was delicious.

However the good points stop here !!

Their signature dish - tauhu telur (tofu egg) is a popular indonesian dish . Its contains of beancurd crisppy fried in egg butter, drizzled with sweet source.
It was rather disappointing ordinary dish and i dont understand all the overhyped!!

The perkedel was quite oily, mashy.

Gado Gado (mixed vegetable, tofu, egg, cracker & drizzled with peanut dressing) - it was rather mushy & the ingredients were stuck together. It was rather an unpleasant dish.

Overall it was a decent indonesian food.

My dining experience did not match to the high google rating ! Had we ordered the wrong dishes?
Do note the restaurant does not serve free water & bottle water is SGD1.50 each

Will i be back ? Hmmm, probably not

Regards:
ML LEONG
Singapore"
Best Bento,"1st time trying out IndoChili as it was rated as one of the best Bento in Singapore.

I am so glad that the choice made was a good one. Not only does the food looks appetizing, it really taste amazingly delicious! Good feedback on the food! And the delivery was very prompt too. This will not be our last bento order for sure."
5/5,Super friendly and accommodating service by Doreen & Team. Food is of exceptional quality! Must try their Fish Set. Oh and the food prepared and served fast than we expected.
Enak!,I always come here whenever I miss Indonesian food. Very tasty and good service. They also have delivery service via deliveroo so it is so much helpful.
Prompt and efficient delivery of bento sets,"Ordered 22 bento sets to be delivered to 22 different locations for a virtual event that I'm facilitating, and the restaurant was both accomodating and prompt with handling my order and arranging for the timely delivery, will order from them again if opportunity arises, well done!"
"Food excellent, service excellent",I visited indochil at Tanjong Pagar I enjoyed the food and the service. I was impressed with Doreen who only service staff handle the customer by herself. She deserved to be award best service staff and thank you Doreen for your outstanding service
Service and food taste has dropped,We ordered veg soup and it only came with soup and jackfruit. No other veg until we asked of. And the Chinese lady who served us was very hostile. Not the same type of service or food taste as what I had tasted pre covid. I also experienced abdomen pain and gastric reflexes the next day. Not worth visiting such a place.
