topic,review
Average Experience,$21.5 （105元）一碗的拉面贵不贵？》贵！ 不理不睬的服务好不好？》不好！吵吵闹闹的环境舒服不舒服？〉不！但是拿东京的小拉面馆来比可以算这间还好咯……比上不足比下有余。 Priced at S$21.50 per bowl of Ramen is considered expensive? > Yes! Inattentive service staff rate as good service? > Not! Noisy environment is nice? > Never! However if you compared to Tokyo’s small Ramen stalls it’s considered not too bad.
Ippudo at MBS,"Very delicious food and very attentive service staff. They have extended their menu with new appetizers and we tried different ones and all were very delicious. Ramen is so delicious and its broth is so tasteful, I can’t recommend more"
Salty soup,"Went to new outlet at 112 Katong, very popular and long queues week before this. Enjoyed their quality ramen at the first opening in Orchard Road years ago when we queued 1 hour! At 11.30 am there was no queue yet. Service was very friendly and helpful. The young lady even asked if we needed explanation of the choices We settled for the very basic tonkatsu ramen, medium strands. The two pieces of chasu were nicely done but disappointingly the soup was too salty. When we informed our server he said there's a choice of salt level but this hadn't been told to us at the outset.
We paid about $17 each bowl with the additional charges, not too bad if the soup had been less salty."
Lovely Ramen,"We had heard about this restaurant and decided to check it out. We didn’t make any reservations and did a walk in. Lucky for us we found a nice table, keeping in mind the social distancing regulations. We ordered a few items - mostly Ramen, which is what this restaurant is Famous for. I ordered an eel bento which had rice instead of noodles - a bit surprising. The normal gyozas were delicious. I liked the fact that they were not too thick but were nice and thin. The soups that we ordered were also delicious. The crispy corn was excellent - a very unique dish. The ambience is nice and the staff is quite friendly and attentive - especially our server Henry was really very professional, courteous and polite. We will definitely be back here when it is safe."
Authentically Japan!,"I am back to review Ippudo after so many years, i m pleased to say that they maintained their usual standard, Glad that it is not that salty too ....the decor and setting is impeccable! Love its non-noisy environment. It never fail to ""bring me back to Japan"" to again just that their pricing may not be that cheap (also feel like trying their Ippudo bun but seemed costly)..."
Newly opened Raffles City Branch,"Despite having ramen for dinner in Tampines the previous evening, my wife insisted we pop in for lunch here when she saw the recently opened Ippudo eatery.

We had the $15.90 lunch promotion, which offers a ramen, a drink and a side. The gyoza and kaarage chicken were very fresh and tasty, while the ramen was springy and the broth was good."
Star vista outlet,Piping hot bowl of ramen- good comfort food during cold rainy days.. soup is tasty and noodles quantity is enough. I chose the noodles texture to be done “ hard” . I like it. Average of sgd20 For each bowl. Rather expensive
They also offer vegetarian options.,"Ippudo at Mandarin Gallery is an excellent place with outstanding service. From the moment you enter, the waiters are very alert and do their best to see that you are satisfied. The food is delicious and of good quality; they also offer vegetarian options."
first meal out after lockdown lifted,"this was the place where we had our first meal out after the lockdown was lifted in June 2020; was walking through Ion to Takashimaya and finally to Mandarin Gallery and all the F&B establishments were pretty much packed with queues... staff at Ippudo were professional in observing the regulations, but still were friendly and welcoming. the ramen was a welcome change to the homecooked instant ramen, or takeaway ramen we have had during this past 2-3 months of the lockdown."
Easy meal that suited the family,"we were looking for something that was accessible to a family of diverse tastes. This place worked.

It wasn't a standout for anything but it was clean and the service was efficient and the food while not outstanding was above average.

In similar circumstances I would go again."
Not bad ramen,"The ramen is ok, not too good or too bad. But you can get free upsize of ramen if you are a big water, that's why always long queue."
Ippudo bun and gyoza taste,Ippudo bun and gyoza taste super! Plus the pork noodle. Been one of my favorites place to visit when I come to Singapore. Price is worth the quality served!
"30 min wait for ramen, which had to be eaten in 10 mins","After waiting for quite some time for our food, it was challenging to get staff's attention. When we finally did, staff took long to get back to us. Only when we mentioned that we are rushing to catch a musical and that we want to cancel our order that the waitress said ""Ok, I will serve 2 bowls first and u all can share."" (There were 4 of us and that didn't make any sense) When we got served our last bowl of ramen the waiter said ""We didn't miss your order out, just that the order slip fell on the floor"" That to me was missing our order out. We had slurp down the meal so quickly that I don't remember tasting much, just burning my tongue. Anyway just an unfortunate situation during a time sensitive occasion. But perhaps, not choose Ippudo if you're on a tight schedule."
Exceptional service,"We are very impressed with Bell who took very good care of us, especially my mum, right from the beginning when we arrived at the restaurant and when we left the restaurant.

As my mum is on a wheelchair, we were ushered to seats nearby, rather than standing in line waiting for an available table. A very attentive employee. We observed that Bell was a good worker, moving swiftly across the dining area to clear tables as well as to serve hot and piping hot ramen to customers.

Bell also made the right recommendations. Chilli crab ramen was aromatic. Shiromaru ramen, served with soft noodle as per Bell’s recommendation as my mum has difficulty swallowing, was creamy and delicious.

We had a pleasant and enjoyable lunch!"
Good as expected,"Went with friends during lunch and the ramen was served pretty quickly! Service staff were very nice too and were prompt with their service.

We all ordered the akamaru and found that the spicy kick isn’t as what we expected, so we spiced it up with chili power provided at each table. Nice!"
Tasty as always!!,"One of the best ramen in singapore!! I’ve been a frequent customer at ippudo mandarin gallery for a couple years. I have always gone for the pork spicy ramen and the salmon roll!! Nice atmosphere, great service and the price is reasonable."
fantastic ramen!,first time in ippudo. at the tanjong pagar branch. good food.. very tasty ramen. broth is excellent. not too thick n heavy. generous amount of sides and good value for money. will be back for sure!
Good Ramen,"Great value for money, the ramen is good too, as it is part of the chain. Friendly staff. Highly recommend coming here if you're craving ramen."
Good ramen,I don’t like to eat ramen in Singapore because I don’t like the taste of the pork broth. However. Ippudo’s ramen broth is really good 👍🏼 Limited variety but good ramen. A bit to the expensive side though.
