topic,review
Poor quality at high price,"Quality of food getting from bad to worse and especially today which was bad enough for us to make this our last with them - steam dungeon crab was not fresh, dimsum shrunk in size and tasted like they were prepared and left there for quite some time (skin hard and chewy). Bolo buns were so different in size with one like a mini version. Chrysanthemum tea was quite tasteless. Service was fine as they changed the crab to mud crab which was not the standard like before but we couldn’t be bothered to ask for another change."
Yummy expensive seafood,"Friends told us to try Jumbo seafood so we went to the one in Ion Orchard. Had to take a queue number and we waited quite long for our table almost 2 hours. We went shopping and came back and yet had to wait for quite a long time. We were so hungry but the wait was quite worth it.

The waitress who couldn’t speak proper English tried selling the lobster to us but we were there for the chilli crabs. She kept telling us to order two crabs but we told her we are going to order other dishes. There was just two of us having dinner! We also ordered a soon hock marble goby fish and two other dishes.

It was too much and we were soooooo full. Imagine the waitress kept pestering us to order another crab as she said one wasn’t enough! We wouldn’t have been able to finish it. The dungeness crab was quite big. They ran out of mud crabs.

The food was good, the chilli crabs were great, but the cost wasn’t. It was expensive. We ordered a chilli crab, soon hock fish, kang kung belacan, and a Malay noodle and tea and the cost was SGD 290. Might be affordable for Singaporeans or foreigners from countries with stronger foreign exchange rates, but when you’re from Malaysia you can get it cheaper at home.

The restaurant deco was nice."
Seafood Dinner,Best chilli crab in my opinion! Request for female crab in advance to get the crab roe! It is super amazing! Alaskan king crab can be cook in 2 different ways! Went for the steamed and chilli crab style! Order mantou/deep fried buns to dip in the chili crab sauce! It is amazing and delicious! Seafood were really fresh and dishes were well cooked! Remember to ask for bamboo clam if available as they are sold out most of the time. The best bamboo clam you can ever get! Not frozen kind! Well taken care by service manager Lee Jia Lee with her professionalism and top notch hospitality skills! Thank you for the wonderful experience Jumbo Ion
MUST TRY WHILE IN SINGAPORE!,A group of friends and I recently went to Jumbo Seafood for lunch and we were not disappointed! We specifically came here for the chili crab after multiple recommendations for this restaurant. We were all pleasantly surprised by the amazing service and the quality of the food. We all found the crab to be delicious and were left extremely satisfied. I would highly recommend this restaurant specifically for your chili crab experience!
Very Good!,"Delicious food especially the chili crab and good services, i will taste again when i go to Singapore next time."
Rushed and Pressured into ordering,"Came here for a lunch. The waitress was really pushy and tried to get us to order the most expensive Alaskan Crab. Went for the mud crab instead. To be honest have had better as the sauce was slightly bland.
Then someone came into the restaurant and tried to sell us bags of crisps going from table to table. Wtf?

Very expensive and not worth it. Sorry"
Had seafood without getting hands messy!,Hard to get reservations as it’s really popular. Good service staff good food. Good place to bring visitors. Chilli crab meat in the sauce and deshelled prawns is a real winner
Worse experienced ever,"In short, waited over one hour for crab. It’s unbelievable. Food was ok however the time was unacceptable. Everyone else around you were eating except your table. After multiple times of chaser, our crab finally came."
Pleasant birthday lunch,"Celebrated my mum's birthday here with my family and we were seated near the window overlooking Shaw Tower. Opted for 1.2kg chili crab (mud crab) to be shared with 3 pax. Crab was fresh and the sauce was delicious. Also ordered salted egg prawn, siew mai & salted egg custard bun which were good but not memorable."
Standard of food and services reduced,"Jumbo/Ion was our family regular visit for birthday occasion. 06 Jan’23 was a shock to me. The crabs & cereal prawn cooking standard was very poor and seem not fresh. Services was poor & unfriendly. Seem a lot of old staff had resigned.
All unfamiliar faces. Tgis could be our last visit to this branch."
