topic,review
Nothing good here,"The restaurant is on the main street. That's the only thing positive about it.
The food - Disappointing. It lacked the flavors or the taste. We ordered a wide range of north indian cuisine and none was upto mark. The other restaurants that we tried on the same street were far better, you wouldnt feel you are eating outside India.
Service - This was the only place in singapore where people were far away from being polite and friendly.
It was as if they were doing a favour by giving us what we paid for !!

There are many many other restaurants on the same street who give far better food and service on this street. You can safely avoid this place."
Amazing naan and butter chicken…,"…but lacking elsewhere: the paneer makhani did not taste like it had been properly prepared as it just tasted of tomato basically, which was the case with the cauliflowers side dish too. The chicken tikka was another high point but that made the dry, bland fish tikka all the more disappointing. There were also a fair few flies around and the ordering system was very odd because the menu was not visible from where customers were expected to order from."
Good,I go with my frdz. Food is good but not india taste. But i food js very cheap compare to other indian shop. Hopefully nxt time food is nic
My review of jaggi,"Butter chicken was great. Kari pakoda, dal makhani and karahi paneer were also nice. It was over priced as the food quantity is quite less. You end up ordering more and thus the bill ends up on a higher side."
Good food and a local's go-to.,"This place was recommended to us by our Indian Grab driver. We asked him for a good place to eat near our hotel and this was where he told us to go.

The restaurant was in a place full of Indian restaurants, but we noticed that this is the most busy in the street. Locals (SG Indians) were going in and out of the place consistently the whole time we were there.

We were briefed by our Grab driver that we have to line up to choose our food, pay at the counter, and get a seat.

The was a line at the order area the whole time we were there. The table turnover was really fast.

The food was good, we loved the Palak -- we wanted to get Palak Paneer but they were out of cheese. The butter chicken was very good! Their samosa was packed and flavorful. The biryani was good too, The spices in all their dishes were not too overpowering or spicy, which is great for me, since I cannot handle anything too spicy. We also noticed that people were ordering A LOT of naan.

Overall, a very nice experience."
good buffet,some nice food and beer at Jaggis ... clean place and very close to MRT ... worth a visit for north indian food
"Comfort food! Authentic Punjabi cuisine, Breads made Fresh and HOT off the oven!","This is my new go-to place for when i'm homesick! It's got the holy trinity: 1. Great food, 2. Made Fresh (At least the breads are) and 3. CHEAP! I've been coming here or ordering takeout almost daily since i found this gem!

Been in Singapore for a half decade and regularly dine out at more expensive places like Khansama Tandoori down the street from Jaggis and though the food in the fancier places is 'good', it comes at a cost. Eating out/takeout everyday gets pretty expensive pretty fast.

I held out for a long time checking this place out seeing how cheap everything was priced and thinking to myself ""No way! They're probably skimping on something"". Boy was i wrong! The food here is just like ""Dhaba food"" back in India and the breads are made fresh to order with a GENEROUS splash of butter! The food is laid out buffet style at the counter and you walk up, call your order , pay and pick up.

If you're traveling solo, i'd recommend a couple of 'aloo kulchas', a few of the curries on display (Good choices are the chicken tikka masala or the paneer equivalent, you can choose a smaller serving if you want to try a few out or get a larger one, they have two sizes), a plate of pulao / white rice, a gulab jamoon , a samosa and a cup of masala tea. -> All this, under S$20!"
Dont waste money @ Jaggi,"This place is complete waste of money. Kopitiam indian counters food taste better then jaggi’s food. Ordered 6 dishes and all tasted blunt. Seems they are making fool of people by charging bit less and serving low grade food.
My sincere advice pls dont visit this place rather visit others which charge bit more but worth the money."
Very popular great food in canteen like buffet,"This place is very popular and once you've tried you'll understand. Although in buffet style, the food is really nice. Jaggi's offers great veg and non-veg food in a quite large set-up, also family-friendly. PS The samosas are the best in Singapore, so is the masala chai."
"Best for their Kadhi, Rumali and GJ","Best for their Kadhi, Rumali Roti , Chicken Tikkas and Gulab Jamuns . For snacks Samosas are outstanding . Paneer dishes and Black Dal simply average and need a overhaul"
