topic,review
As always GREAT FOOD!,"We had a great time for my husband´s birthday, is his favorite restaurant. Food was amazing. We are so sad is closing. All staff was very nice as well."
The fall from grace of this once amazing restaurant,"Every time we visit Singapore, we have been coming to this Restaurant for many years since it first opened, and it is quite noticeable that the restaurants overall atmosphere is now very poor and we were rushed through our meal. Some of the original waitresses were still very sweet and attentive, but the later shift of waiters were not very good. The food was okay, but not as aromatic as it was when we last visited the place. It is a shame that this restaurant has been allowed to be run down. We had many fond memories of its past glory and it is sad to see it as it is now. Hope things will improve, if not it will be lost forever."
Lovely setting - pity it will be closed after 25 Dec 2022 !,Was there before Covid - loved the setup and the food. Hearing that they are closing permanently - had to make a trip once more. Daughter loved the place with the high ceiling - food was not too bad either.
Where has the Special Jim Thompson Spirit Home?,"We expected a fine Asian dining in an outstanding traditionnel Location but were highly disappointed.
We were placed in the middle of a crowdy, noisy Main dining room. Service was not client friendly, tried to speed us up, was not interested about our concerns. Food was acceptable however not fine or spicy in this typically JT‘s tradition.
Not to recommend any more"
Fabulous as usual,"We always love returning to Jim Thompson, it's one of our favourite restaurants in Singapore. The one negative comment I have is that we really miss the pre-Covid Sunday brunch buffet. We are hoping this returns soon."
Very disappointing dinner!,First time here and we chose this place based on good reviews but to our big disappointment the dishes tasted bland and below standard. Very over priced considering the poor quality ingredients used in the cooking. The only dish that was eatable was the beef tenderloin curry with a few beef cubes buried in a bowl of potato chunks.
delicious food and great service,We had an amazing dinner as usual. Lots of choices and all of them superb. Location and atmosphere top! Highly recommended
Excellent Thai cuisine in Singapore,"A fine dining authentic Thai restaurant in Singapore. We went there for lunch and were surprised when they offered us a complete vegetarian menu also for us.
We went for a set menu and were very happy with it. Each dish was very well made and loved having it. The Green Thai curry is not to be missed. Even the dessert Sticky rice with mango is a delicacy.
The service is impeccable would like to name Michelle who was very good."
Expensive Thai Food,"Lovely decor and good food, but really expensive for Thai food. Small serves and $7 for still water which in Singapore is always a rort!"
Excellent Restaurant,"We had lunched at the Minden Road, Singapore Restaurant.

The Ambience and Atmosphere are quaintly picturesque and attractive. We would single out the layout and decor of the garden and outdoors, including the veranda and entranceway, as particularly striking.

The food is superbly prepared and presented. All the dishes we had ordered were extraordinarily delicious. The quantities served are adequate.

The staff received us graciously and served us efficiently. The service is exceptionally delightful and the staff are personable, polite and particularly pleasant. The charming and cheerful demeanour and willingly helpful courteousness of all the staff are engaging.

Such excellence indicates noteworthy morale and all concerned from the top managers to the lowliest, least paid staff are deserving of appreciation. Please commend them as may be deemed appropriate.

(Jim Thompson Thai Restaurant and Wine Bar, Singapore are deserving of the attention of the Michelin assessors.)

We have had a memorable lunch.
——
Lt Col Nandan Nilakanta,
04-03, 100 Holland Road,
Singapore — 278543
..
Mob: +65-8039 8172
Whatsapp& Signal: +91-93810 27106
== =="
