topic,review
"Nice food, great service, excellent view","Had lunch with a friend.
You get to choose the starter, the main and the dessert.
Food is nice and looks very pretty.
Lunch options are not as much as dinner.
Reasonable pricing.

Ended off with a small piece of birthday cake and the staff sang birthday song.

Wonderful!"
Exquisite vegetarian food experience,It was such a surprise to find a fine dining restaurant that was a 100% meatless! Food was beautifully presented on a variety of eclectic crockery styles. It tasted very good too and the customer service was outstanding. As a vegetarian I was thrilled with all the options on the menu… my meat eating husband joined me and also enjoyed the food. Lovely view from the roof top too!
Good Value Lunch Set,"I never enjoy meatless or Vegan meal. Came here as gf is a Vegan and I read good reviews of this place. Indeed I was impressed! Set lunch is only 35+ per pax and comes with a glass of beverage! We have 1 Prosecco each (Taste ok not great a bit too warm). Food presentation was good and Mushroom steak was very good. Of course I'm still hungry after the meal. Total damaged is SGD 89. I thought was a steal considering how expensive dining out is these days. Ambience was great as we sat by the glass panel great views and place is still air condition.
Wine by the glass selection is poor. Pls improve :)"
Average Food. NOT fine dining,"I would describe the food at Joie as average. The only course which really amazed me was the chefs selection to start, it was really tasty and the flavours worked well together (probably the saving grace of this meal). My main course (the truffle risotto) was poorly done. The rice was over-cooked and tasted like rice pudding. They served it with a potato croquette which would have been nice on its own but definitely did not accompany the risotto well. They also added some sort of coleslaw on top which ruined the taste of the delicate truffle. Eating this reminded me you should never eat Italian food outside of Italy! The rest of the courses were average for the price you pay. I also found that the courses came out way too quickly - the whole meal was finished in 50 minutes. The staff did not ask us once if we enjoyed the meal or the courses which I found quite rude. They did not introduce 4 of the courses which you would expect when having the tasting menu. I think Joie has a lot of potential but needs a lot of work to make it more special. There needs to be more thought put into the flavours of their dishes."
Excellent service and vegetarian cuisine,Never thought vegetarian food could be so elegantly delicious! A vegetarian menu degustation that delights the palate. And service was excellent!!
Our family time to savour meatless cuisine,"This restaurant isn't suitable for those in a hurry. Food here is meant to be enjoyed together with those in your company (i.e. those accompanying you). Hence they take their time to serve you your next item only after you've completed the preceding one. To me, it's like Japanese European fusion meatless dining."
"Nice idea, delicious pictures, awful food","After reading very positive reviews expectations were high. Now that the dinner is over, I'm confused.

The concept of the restaurant is good and menu items feel imaginative. Service was polite but hurried. Wine list looks decent in Singapore terms but in practice most of the wines were not available. When it comes to the most important part, execution fails big time and the food ranges from ok to unedible.

Chefs selection of assorted platter included small watery mushroom, nice wasabi cracker and dessert-like raspberry bite on a soggy cracker. Charcoal coated tempura platter was fancy looking but not really light as tempura should be but quite greasy instead. Mascarpone and watermelon takaki with chips was the tastiest part of the meal but lacked finesse.

Luke warm and watery Japanese kunbu broth with tofu did not really have much taste and the slight taste it had was unpleasant.

The main of truffle risotto was nothing short of a bad joke. In reality the portion was overcooked unpleasant tasting porridge topped with a deep fried vegetable patty and a piece of a soggy mushroom. Everything else than a truffle slice on top of it all was plain bad and left awful aftertaste.

I was hoping the dessert to save the experience but unfortunately it did not. Coconut and blueberry cake top layer was decent but the bottom part was left alone after one bite."
100% Vegan Meal,We were 2 couples looking for a change in menu. At most restaurants the menu will contain some meats and/or seafood in their courses. At Joie the whole menu is only vegetarian (vegan). Each dish was well prepared and presented. It tasted good albeit some dishes had different textures and taste. We enjoyed the differences and the meal was accompanied with wine and sake. The service was friendly and good. The server was entertaining as well. The pricing for a 7 course meal is acceptable. At the end of the meal we the males were 80% full while the ladies were full!
Review of Joie by Dozo,Had a great dinning experience at Joie. Staff in charge Alex wong was very humorous and entertaining. Food is very good. Recommend people to come and try this !
Great ambience and good food !,We visited Joie yesterday and had a great time. The 7 course dinner was amazing and the service was fantastic! Would definitely go there again.
Best fine dining Vegeterian/Vegan Restro!,"All of the variants were amazing and tasty. The afternoon course set is just perfect in portion and loaded with different variants. Each and every recipe by Joie is instagram worthy as well as tastes unique. I would like to take an opportunity to recommend this place to all as a visit here will leave you with a great memorable experience. However, the price is also really reasonable. Just avoid taking the vegan cake as dessert, look for another variant.

Value for money : 4.5/5
Ambience: 4.5/5
Food - Taste and Quality : 4.8/5
Food - Presentation : 4.9/5"
Incredible experience,What an incredible gastronomical experience. Wonderfully plated food. Beautiful venue and wonderful service. I highly recommend!
Business lunch. comfortable setting,Business lunch. comfortable sitting. Food presentation was fabulous. Tasteful and definitely palate friendly.
A real find,"Beautiful presentation of dishes , including the starter drink , painstaking and excellent service and a scenic location on the rooftop floor of Orchard Gateway make this restaurant a real treat. Only cavaet is that getting to the restaurant may not be so straightforward: you have to go to the 11 th floor and then go up one more floor from there.

There are al fresco tables but very few: 2 or 3."
"Inventive food, but dated decor and ambience","This is my second time trying Joie’s 7 course vegan dinner, and as much as I really want to love this place, I don’t think the ambiance aligns with the “high end” cuisine they are going for.

Overall their dinner is good value for the quality of food you get. The presentation of each dish is nice, and the enthusiastic waiters attentive. I also love their efforts to bring high end vegan/vegetarian food to the SG restaurant scene.

Having said that, the restaurant ambiance and decor is a bit of a let down if they want to be seen as “high end” dining. The restaurant is in big need for a renovation, quite tacky. They could probably charge a lot more for their 7 course menu if they modernize the place and make it less cold.

I went for a birthday. They sat us in a shared side room which looked like an office meeting room. It all felt a little like an airport lounge, from the cardboard lady at the entrance, the purple neon lights, the (very) bright lighting, lack of table cloths and retro glass walls. Unfortunately the place doesn’t feel quite right for a special celebration despite the great food. I do hope they improve the ambiance as this place could easily be amazing."
Worth a try!,Went for lunch for the 6 course meal and would say it is definitely worth the $40 per person. Everything we ordered was delicious and beautifully presented. My favourite item was the truffle soup. Special shoutout to the servers for their warmth and exceptional service.
Food and service is on point!,Delicious food! For $70 you get a 7 course dinner with fantastic service and a full belly at the end ... pretty great value! Oh and SIT OUSIDE at dinner time! It’s windy and beautiful! The food is really good. I wouldn’t go as far as saying “fine dinning” cause I think some of the dishes are over complicated/structured. The food is delicious though and I highly recommend . Wine menu is lacking but they have delicious teas!
Overrated,"Fairly overrated. I like the concept of a fine dine vegetarian restaurant, esp if it is multi-course. But the food here left one wanting and the service was inattentive. Give this one a miss."
5 stars experience,"Amazing presentation of the food, absolutely delicious. My table was served by Alex, very attentive, making sure we were well taken care of. The joyous graduation celebration has been elevated."
Amazing experience,"The food was pretty delicious and aesthetically very appealing. The best part was service; waiters were most pleasant, took great care in detailing out ever dish, taking pictures, celebrating my husband's birthday. Overall, very satisfying experience."
Lunch,1st time visit a vegetarian restuarant so expecting the dishes will be boring but turn out out of my expectation! The foods and service was great! Worth to go.
Affordable and amazing dining experience,"Was searching for an Omakase restaurant but found this instead, the staff takes time to introduce each item along with how it's supposed to be eaten. Really friend and helpful too, especially the two staff who served us, one of him is named Alex."
Excellent Vegetarian Fine Dining at its highest level.,Great presentation of good. Taste absolutely divine and awesome service. Such a delight to experience Vegetarian Dining at its highest level.
Birthday celebration for my mum 86yrs old,"Highly recommend this restaurant if want something out of box, creativity and reasonable quality food.

Surprise the portion is just nice, filling . Good restaurant , ambience , food offer and accessible by Mrt and friendly for wheelchair , take Mrt “Turn Left from Mrt Somerset exit gantry) , hit Orchard gateway lift B1 , take another lift from shop Under Armour and there lift hit straight to Level 12 rooftop .

Washroom for handicapped is accessible and near to restaurant too.

Go during weekday lunchtime 12noon , price reasonable and service good .

When restaurant heard of mum aged 86 birthday, prepare another 2 wellwishes serving and for us. Really touched and appreciate much their kindness....

Thanks Lord God for blessing us for the trip and the meal ."
