topic,review
Bday celeb!,"We had a good time at Kai Garden as the pace of the food served was great, nice atmosphere, good service and of course really good food! Would recommend!!"
The Dim sum is to die for and Must eat the colourful dumplings,Food was yummy and value for money. Service was attentive and I enjoyed every meal I have had. This is my favorite Chinese restaurant in town.
Kai Garden remains one of my favourite restaurants,"It was mainly a dim sum lunch for the family. The dim sum dishes were all very good. We also ordered the signature crispy peking duck that maintains its usual excellent standard. The only mild disappointment was the ee-fu noodle that I ordered as an add-on from the peking duck - there was a burnt smell and taste to it. This is a first time - probably because the restaurant was very busy.

The staff were all attentive enough and service was brisk. Although I was only informed a day before that I had to vacate my table within an hour or so, I was able to be seated earlier that the reserved time and we could finish our meal comfortably enough before the time."
Check price of highly recommended Turbot before ordering,"Celebrated my sister's 60th birthday with my other two other sibmibfs.. I personally like the food at Kai Garden and broght them there. We ordered birthday buns, signature peking duck, sweet and sour pork on the rocks, century egg jelly, veg, egg vermicelli, bamboo clams, red ruby dessert. What shocked us was the highly recommended turbot fish which the staff did not state the price clearly. Price quoted was in grammage but actual fish is 1kg when served. The fish cost us $200!. My birthday sis had an allergy with rashes on her face and neck as soon as we reached the car. Kinda disappointing as I highly recommended this restaurant. Do check the actual seafood price before ordering."
"Quality Food, Quality Environment",I was with my friends & family on 19/07/22 Tuesday for Dim sum.Good embience & Quality Food with Good customers service. Tried the other branch at Takashimaya but Marina Square is so much better in overall. Will definitely return & recommend to friends & relative. Thanks
"Tasty food, quick service",9 of us had Tim sum lunch here today. We also ordered a Beijing duck. The food here is tasty and prices are reasonable. They have few different sauces for the Beijing duck. Total bill was about $500 for the 9 of us.
Poor service! Not recommended! Dine in at your risk!,"My friends and I have dined in from 11.30am to 2.30pm on 23 May 2022. The five of us were utterly shocked by our experience at Kai.

Firstly, we ordered Peking duck, and after eating the skin, I told the service crew to chop the balanced duck and remove the bone for us. It took 1.5hr for our duck to be served to us and the bone was not even removed(photo attached) Since we are rushing for next appointment, we left half the duck not eaten! We could have enjoyed the duck completely if it was served earlier! Was it so difficult to chop the duck? Or was it simply overlooked by your staffs?

Secondly, before our duck and vermicelli(last 2 dishes) were served, the service crew has cleared away all our cutlery. This shows that poor management or staff lack of knowledge at Kai.

Thirdly, I already requested for complimentary longevity buns since 13 May and I received a call back that all will be arranged at no cost. However, Mr Philip Tang(name-card as attached) has approached me very rudely and said loudly that I did not inform him properly so he actually key into the system that it was chargeable. Isn’t that his internal issue that he failed to check properly before charging me. Yes, in the end he did waive off the charges on longevity buns. He even said loudly ‘I already give you FREE!’ I felt that this gesture is very inappropriate and it is embarrassing to me!"
Great food great place,"Great place to dine your family alongside a great service team, food is fantastic! Easy to access! Great food accompanied with great view."
Good food and excellent service,Location a bit secluded. Concierge polite and efficient. Manager explained each dish patiently. Loved the ducks tongue and fish porridge
Great quality dimsum,"We enjoyed the dimsum here. Quality of food, presentation and cleanliness is great. My family especially enjoyed the pan fried siew may, the roast meat items and the polo bun."
Remarkable service,Has been a frequent regular to this place. Authentic canto cuisine. Remarkable service by this manager BoBo and assistant Justin
Good service & food taste superb,Very good customer service and friendly staff. Good recommendation of signature dishes. The food taste are Cantonese style taste and very good. Food presentation also nice. Staff name BoBo very polite and good service.
