topic,review
"Lots of variety, great stuffs",Great vegan options. I personally love the pani puri there. Good ambiance. Great taste. Lots of variety. Very recommended.
Love to go,"With my family, I visited this restaurant. Newly renovated branch on Belilios Road looks gorgeous, with nice architecture. Our recommendation is to try Chole Bhature and Dahi Puri. Dahi puri is very satisfying when you are hungry. I try to eat at least once a week."
Good Indian vegetarian food,"I had my dinner in this restaurant, it is next to ma kaali amman temple. The food in the restaurant is very nice. Good options in north indian and street food. I has ordered for veg biryani, paneer korma and sev puri. Good food."
Absolutely brilliant!,"We had the signature Bambaiya Dahl Puri which was not our favourite, yet still very good.

TheTikka Chaat was amazing - sweet, yet savory and an explosion of flavours. Highly recommend.

The Cheesy Masala Pav, a spicy blend of tomato onion gravy stuffed inside a butter laden pav (bun) blew my head off! I love a spicy curry, but this one left me for dead. However, stupidly I kept going back for more.

My carnivore father thoroughly enjoyed every bite of authentic Indian food. If it wasn't our last night in Singapore we would definitely be back."
Service not great,"I have been coming here since it has opened amd can see the service is grtting wordt even with staff

I Stood for 15mins to be sested, the place was empty, I then approavched 2 different people and thry said wait there as they were so busy with 3 tables being full. I thrn sae a couple came through the side entrance and just went to a table and sat down and the staff started serving them. I then I decided to go and sit down myself.

There was short guy with glasses, he just ignored me, he wasnt even wearing uniform,.was wearing a CK T shirt.

Even when u want to order or ask for the bill, they just ignore you. I even thought about just leaving as no one was bothered about taking my payment, then someone acknowledged me after 20 mins of waiting.

I always looked foward coming here, but now I dont think I will bother"
Pathetic standards,"I visited this restaurant on 24 July dinner .Was seated and waited about 25 minutes for some one to attend to me .I ordered Lemon corriander soup .The soup was served in a very sub standard way with no service plate & the soup cup was not even bothered to be cleaned even ,The bhel puri was to hot to handle .I did point this to the Manager over there .Standards are abysmally low .The restuarant does not care about all these I guess they have customers /tourist visiting them once .The AC grilles are full if fungus & water drips every where .It is very substandard & could be a victim of futrue food poisoining issues .be aware"
Good Food and service,Good food and always managed to meet our dietary requirements. Very good friendly service from Nalini from Singapore.
Bad hygiene and service,"Came back after 3 years. The hygiene and service levels have drastically reduced. The chutney had a white layer over it which looked fungal and the other jar had food stuck to it.
The cold coffee was served in a mug which had milk stuck to its bottom. The staff did not even bother to clean the outside of the jar before serving.
Food was average."
Need serious hygiene check up,"The food was average, the prices are a little bit high for this type of food and type of restaurant. The lady who cleaned the table has also handled food ( without washing her hands or using a sanitizer ) which is disgusting. They need counseling in food handling and table manners."
Staff discriminates. Go elsewhere if you aren't Indian or a local.,Absolutely disgusting service and treatment by staff. Their blatant racism persevered over professionalism. The female server refused to take our tables order and the male server skipped over a few members of our group while taking orders. They should be ashamed.
Horrible Experience,"Horrible experience with rude staff that ultimately led to me not receiving my order. On Diwali, I ordered using Grab Pick up for my entire family including my 2 year old daughter and elderly in laws. The order was accepted and shown to be in the kitchen with the order showing to be ready for 1.10pm. We arrived a few minutes early and waited for the order to be shown as ready to be collected on the app. At 1.10pm, it did, so we proceeded to the counter to be greeted by a rude and curt lady asking what we wanted. My wife showed the order number on the app and she responded that the order was not even accepted by them. My wife explained that it showed as order is in kitchen and then order is ready but they pretty much ignored us saying that they are too busy! I contacted Grab to see what the issue was, and when they attempted to reach out to Kailash Parbat, they did not answer the phone. The recourse? Order is cancelled and a S$3 refund was offered by Grab. That's not even as much as my transport cost me and does not resolve the issue of where I am supposed to get the food from. Kailash Parbat staff? They continued to ignore us and their phones!

I understand that it is Diwali and potentially the busiest day of their year, but simple customer service and being prepared would go a long way! Acknowledgingly, with the current COVID safety measures, orders from Grab and similar food delivery apps are going to be the norm, so ensuring that the phones are manned is paramount. I would have at least expected the restaurant to suggest that they could look at the order and prepare it then due to a mistake by their service provider. And Grab should be ashamed of themselves for such an insulting appeasement offer after acknowledging the time, effort and money spent on going to the restaurant and waiting just to leave with nothing.

For Kailash Parbat - as was obvious, they have no care for their customers and blame Grab systems but don't take any accountability when a customer has come to pick up an order, rather ignore them.
For Grab - blame Kailash Parbat for not answering their phone, and then blame them again for device potentially being faulty but don't take any accountability.
For the customer (me) - having pre-paid S$120 for a meal, wasting my time to get it, leaving hungry people at home on a religious day for me, to be passed all the blame by Kailash Parbat and Grab, and running around at 2.15pm trying to find somewhere to eat.

Thank you Kailash Parbat and Grab for showing that money matters more than customer service!"
