topic,review
A wonderful dine to remember!,"It was a wonderful day to receive a warm welcome from restaurant staff Mary and Jack. The restaurant was clean and spacious. It’s nice having my food because it was so relaxing. Staff are friendly especially Mary who did an extra mile service I really appreciate the omelette she made for me it was tasty with a lot of cheese as per my request it’s perfect, even she help me how to make noodles. I enjoyed the food a lot. Also Thank you Mary for the map you made for my short tour around famous tourist spots here in Singapore it’s very useful. The restaurant and this Hotel is highly recommended. Surely I’ll stay again. Keep it up guys! Job well done!"
Lunch buffet,"Dish selection very limited and small amount although its top up when finished.
Steam chicken is dry. Chicken rice is placed on a bamboo steamer but not heated so its cold. Laksa soup lukewarm. Hardly any dishes is nice.
Dessert variety limited and unappetizing.
Lunch price $40++
Definitely not worth if paying full price.
Even though we got a 1 for 1 deal its in our opinion not value for money.
Will never go again."
Katong kitchen is the best,"Been here many times. Food is great, ambience is nice, excellent service especially from Kenneth who make us feel welcome every time we come & we feel so at home. Thank you , Kenneth"
Best durian pengat,"Great selection of food, reasonably priced. We keep coming back as it is one of our favourite buffet places. Love the durian pengat especially!"
Good food n nice ambience,"We are a group of 7 friends having buffet lunch here. Food was very good, service was excellent but price was a bit steep."
Delicious peranakan food and kuehs,"Their katong laksa is delicious, their ayam buah keluah hits all the right spot with the rich taste and the generous servings of buah keluah. Their durian pengat and durian salat are to die for. The restaurant is cosy and all the staff are friendly and attentive. in particular, Anthony was very welcoming and delivered impeccable service."
Great Buffet & Friendly Staff,First day in Singapore and Joon at Katong Kitchen made us very welcome and introduced us to many local dishes which was part of an amazing Sunday buffet. Will definitely be eating here again.
ROM night,"Arranged a group of 24 paxs for our ROM dinner. Great experience, restaurant helped us set up a beautiful table for our solmization session. We love it! The whole dinner experience was great too. Great food, great service. Highly recommended."
Good for small gathering,Peranakan style.. Nice embiance... Some DIY stations... Foods taste average.. Their Sambal stingray is yummy
Food Service Excellent!!!,"We are happy to meet Mary at Katong Kitchen and commended for her excellent service and assistance during our week stayed at Village Hotel Katong. The food was tasty and we had good appetite every time we hit on the table. She also offer local cuisne for us to ty, she knows very well how to handle customer service and care... a five star rating for you Mary and hope to see you again in our future travel..."
Birthday celebration,"Was there on 11 Feb noon with my wife to celebrate her birthday. Had a great time there. Wonderful selection of food. We love the durian puree. Very attentive staff with excellent service, especially Amy. Was nice of restaurant to present a surprise - a slice of BD cake."
The best !!!!!,The food was amazing. I would like to commend Mary for assisting us specially for helping with the surprise for my brother. Ambiance is perfect.
Enjoying occasion,"Through out the buffet your staff efficiently and courteous to help my family.
Thank you to all staff concerned"
Birthday celebration,"Came to celebrate my mom's birthday with family. There was an array of salad bar,hot foods, mains, fresh seafood and a noodle station. Food was delicious. Taste great. Dessert station has a good array of cakes,puddings and cendol station. We requested for a birthday cake however as my mom was allergic to the flavour, they were kind enough to get another flavoured cake for her. Kudos to the team,Amy, Jack and Anthony for the cake presentation. Also thanks to the crew for promptly clearing the plates from the tables. Great service, great food and variety. Suits the price too. Shout out to the Durian pengat, creme brule and laksa! Thanks for a memorable evening."
Enjoyable lunch,"Well, took some time to find it as the restaurant is hidden inside the Marine Parade Village Hotel on the 4th. Floor. Lucky we did. There was a buffet but we decided to go for a-la-card. The food was very good and so was the service. When paying time came the staff recommended to use MasterCard which came with a 15% discount. We will definitely go there again when in the area."
