topic,review
"Amazing food especially the shesh tawook , keba, tabola and om Ali , best Lebanon’s restaurant in Singapore 👍🏻","Amazing food especially the shesh tawook , keba, tabola and om Ali , best Lebanon’s restaurant in Singapore 👍🏻"
Awesome,"Little on the pricey side but great food, good cocktails and friendly service. Would definitely come back!"
"Friendly ambience, good food","Went for a business lunch and was plesantly surprised by the food quality. The staff knows the food items well and was quite attentive. The ambience is quite friendly too, vibrant for a nice business lunch."
Great food around party people,"The hummus and babaganoush platter is must have, the lamb shank shakes off its meat as tenderly as it can be, the spiced rice is amazing. Sangria is so good but harmless to a baby. The sstaff are sweethearts. Right in the heart of the bustling street around China Sq, so loud music and chatter is expected. Spent SGD 90 per pax. Will be back for more!"
"Again & Again, the best Middle Eastern Restaurant in Singapore","Glad to start the new year with a nice dinner and friends gathering at Kazbar. Food is the best Arabian Food in Singapore, cold/ hot Mazze, kebabs, fattoush, and not to forget the friendly staff and nice atmosphere :-)"
Thank you for nice surprise,"Nice ambient, good food and amazing staff, we were celebrating birthday and restaurant came with really nice surprise for us! thank you for making our experience special"
Mighty Delicious Mediterranean Food & Great Service,"We received a recommendation to try the food here. We made a lunch reservation beforehand. Less than 1min from our arrival we were shown to our reserved table. The restaurant was crowded with the lunchtime crowd. As this was our 1st time here, we didn't really know what to order. We were served by Mr Thiaga who was very knowledgeable with his suggestions. We had a starter of 'Cold Mezzeh Platter' consisting of an array of delicious homemade dips with pita bread followed by a 'Mixed Grill Platter' of lamb chops, shish taouk, shish kebab, lamb & chicken koftas. Finally for dessert we had 'Muhalabiya' it is rose water and pistachio bread pudding to cleanse our palate."
Dining experience good checkin not so good,We reached the restaurant at 10 mins past and at exactly 15 mins past when it was our turn in the queue the person told us that we are late.. wasnt a great welcome. Their food is good although a bit overpriced. Service is fantastic.
Dinner at Kazbar,"Have been for dinner with family many times. So took the clients for Corporate Dinner. There was another big group having an event. Nobody was bothered to attend or entertain us, Even the food served was not up to mark. Left as very bad experience with me and will think twice before going again."
Great service,"I think that to be a great restaurant, it cannot soley rely on the food, but also the customer service and atomsphere. The food was really tasty, the grilled meat were tender, the ambience was so so, but the customer service was excellent. We had a waiter named Thiaga (the name badge flashed by too fast), who was funny, entertaining and attentive. He made us laugh and talked about football and gave recommendations to food choices. We would come back again, if he was serving us."
Awesome food,Amazing food though the service could have been better. While ordering you do not get the feeling of being wanted in the restaurant.
Authentic Middle Eastern Food,"The only authentic middle eastern food in Singapore, hits the spot every single time ! Highly recommended!"
Amazing Middle Eastern Food,I am Lebanese myself and in my opinion this is the best lebanese food you can get in Singapore. Just authentic and delicious. Geat service too! Thanks you
Dinner on a friday,"I haven’t been back to Kabra for a few years and had dinner last friday. Food was amazing and portions were generous, probably makes the best lamb chops. We have the mix grill, feta salad and the mint and cucumber yoghurt and dessert. Not only was the food good the service was equally amazing. Definitely going back again. Post Covid i would say this was best food and service combination"
"good food, great service","had the set lunch, which had big portions and very tasty. But the service was excellent. We got a 'cave' which was nice and private."
Birthday celebration,"Managed to get the booking done though it was last minute! It was a wonderful experience celebrating my daughter’s birthday at Kazbar. The food was amazing & the suggestions given by Mr.Thaygu were so apt for the group size. He was too good helping us suggest the best food.
Most memorable thing the team did was to play a birthday song. It was the best birthday celebration at Kazbar."
A popular place,"Hello, although a popular place as it was super crowded on a Thursday evening, it felt like I was in a fish market. The place was brimming with office goers chilling after work. I didn't expect this kind of noisiness and crowd on a Thurs evening. The food was good and staff was co-operative. Not my type of place for a quiet dinner date with my hubby."
"Good Food, OK Service","Food was good, however the service wasn’t up to the level. The attendant took lot of time to confirm the order."
