topic,review
Authentic Indian,Very good meal in the hustle and bustle of Little India. Travelling solo and stopped by for a quick meal. Curry was very good and the indoor-outdoor feel was ideal for the weather in Singapore in December. Staff were very friendly and easy for deal with. Would definitely visit again. Next time with friends so that I can try more options on the menu.
Always consistent,Best Indian food in Singapore for my opinion. We are living in Singapore for more than a decade and this is the only Indian food that satisfy our cravings.
Great service. Very friendly staff.,"We picked this restaurant because it was very close to our hotel. It was a good choice. Excellent food, generous portions, just right amount of spice for me. Will eat here again next time I'm in Singapore."
One of the better North Indian food place,"One of the better place to have North Indian food and moderately priced Food is too oily though, good for large group, and serves alcohol as well"
Disappointing with staff,"Was recommended by friend as this restaurant seems had good review.
But then very disappointed after we paid a visit.
Food was just okay, not too nice nor bad.
What disappointed us is that their staff is lack of courtesy.
They didn't even respond to ""thank you"" after payment is make."
"Order mix up, non veg dish sent 🙄","Kids wanted to order north indian veg for lunch and then placed the order on the food panda app online. to our shock, instead of the vegetarian dish, they sent us a non vegetarian dish. extremely disappointed and shocked/ surprised on the same. restaurants handle all sorts if order all the time, but such mistakes are not expected. I don't think I will ever order or visit this place."
Take away order not fullfilled,"Our whole family ordered their food around 6pm, waited for 2+hours in hunger saw no trace of our delivery. Tried to contact the restaurant but no avail after a few calls. The restaurant told our order was not taken in, our food panda app showed delivery on the way. This is the second time our delivery was delayed. It was so disappointed."
Could have been much better,"Portions of meat were a good size. Samosa well made . But butter chicken had a smoky flavour as if spices had been overcooked and both curries had not been heated through so they were lukewarm, tasting as if 'gravy had been added to the meat' rather than cooked together. Service was good , but the curries made the visit less than satisfactory"
Excellent food with outstanding service,The food was good as always. I always go there for the grilled items and the chaat. The service staff are friendly and accommodating.
Disappointing.,"Saw this highlighted in the top 10 on several reviews so I thought we'd give it a try.
Very disappointed with the quality of the food.
The starters looked nothing like the menu photos e.g. the chaat was just a few crispy bits in a sea of yoghurt.
The lamb masala was so hot it was impossible to finish (I've been eating Indian food for 40 years so I know when something is spiced correctly and when it's ridiculously lathered with chilli so you can't even taste the meat).
If give this place a miss."
Superb indian Punjabi taste,Very nice and delicious food Superb quantity and value equals to quality I visit many restaurants in Little India but all are too waste of time and money Khansama is best for North Indian Tandoori cuisine
Over priced bad food,"Having Tandoori in your name you'd expect its their strong point.

Sadly not.

Dry chicken lacking flavour.

Butter chicken was over priced small portion which was overly sweet and chicken also dry.

Garlic nann was worst bread I've seen and 0 garlic.

Really poor.

$55 inc boiled rice, terrible."
Worst Experience and Feeling Cheated for Extremely poor service,"I have a negative feedback. On last Wedensday (Feb. 9) I went to your restaurant at Science Park with my colleagues. We occupied a table and order our food. By the time food arrived we found many cockroaches around our table. We changed the table, food arrived and while we are taking our food we found cockroaches again on chairs and below our table. We left the food. I called staff and manager and show them the situation. We were feeling degusting by this and left our food. To my surprise the staff charged us for such horrible experience. Then I paid but I am feeling cheated and disappointed.

Given rating of one as that is the minimum possible as an option."
"Decent service, nice ambience, ok food","The punjabi curries are amazing.. their chaats are not so great.. so when u go there, order all the punjabi curries! very good. But dont waste time on the chaats.."
very poor service,"the beer was ok.. the food was mediocre.. the service was poor.. We went there to have a good time on a friday evening. But, it soon turned into one of the worst .."
The Best,"The best Indian Restaurant I've ever been to. Service is always great and the setting is nice, sat outside in the hustle and bustle of Little India. Even something bland like a Butter Chicken is super delicious, still to not find anything to compare."
Spice Up,"This is our to-go place for deliciously spicy Indian fare. The chicken tandoori is tender & moist. Best of all, it’s skinless too.
The soft Paneer tikka is best eaten with the refreshing mint sauce.
Likewise, the butter chicken is an orgasmically succulent fillets bathed in thick fragrant curry.
The mixed vegetables curry is a tad too spicy so clear the heat with mango lassi.
Servings are decent, prices are a bit steep but still good value for the quality."
Best Indian Restaurant in Little India,"Traditional Indian food and consistently good quality and value. When visiting we always look to sit indoor and upstairs at it feels more like a restaurant and I prefer the air condiytioning when eating, however, for the authentic feel, downstairs and on the street may suit you better. Don't miss the Chicken 65 which is spicy and amazing, so much so we had two portions during our last visit. A little dissapointed by the lamb vindaloo as not as spoicy as I had hoped but will give it a try again on the next visit. Definitely a go to place in Singapore for an excellent Indian meal at good prices."
Long waiting time,We waited for more than an hour for our food. Food was good other than the mutton curry being too salty.
One of the better North Indian food place,"One of the better place to have North Indian food and moderately priced Food is too oily though, good for large group"
Takeaway,Ordered takeaway dinner for the family which was confirmed by email and over 2hrs later still no delivery. To make matters worse the restaurant hasn't answered the phone and I've called 30 times. Disgraceful customer service. Surely if the food is delayed a simple call or message would have been reasonable from a business that cared about the customer. Why support a local business during these difficult times when they clearly hold the satisfaction of a customer's all in such contempt.
Crap Delivery and Disloyal Management,"Terrible delivery service. They are only looking for your money and there seems to have been a change in manager/person who picks up the phone on calling their number. About a week ago, when I asked for chicken dum biryani, I got nice, saucy curry inside my biryani. However, when I ordered today, not only was the biryani cold, but it had DRY CHICKEN, as if boiled without seasonings (yuck). Adding insult to injury, the person on the phone told my family to add an extra item for $50 minimum charge with free delivery whereas last week the person was kind enough to do free shipping on $48. Truly horrible delivery service with terrible, dry biryanis and terrible management. Please considering going back to your old, not-so-stingy ways so the restaurant can be a success. Posting this everywhere so everyone knows about your crappy service (my day is ruined and my disappointment is immeasurable)."
FOOD GOOD BUT PRICEY,"The restaurant is large, two stories high and the menu is quite extensive. The Tandoori Chicken and Chicken Tikka were very good but portions were small. The naan we as excellent but the portions small. Overall the food was very good but the restaurant is very touristy with high prices."
Great Indian Dishes,"Ate at Khansama Tandoori Restaurant at 166 Serangoon Rd at junction of Norris Rd. We shared Aloo Tikki, mixed veggie Pakora (6 pcs), garlic & butter Naan and Mutton Kebab. Several sauces and yogurt were provided with the dishes. Several different spices and flavors tickled the taste buds. Very interesting dishes and very tasty. Washed it all down with two large Heineken beers."
Amazing food!,"When I want to eat Indian food there are very few places that come to mind. Khansama is one of those places. The food is amazing, there is honestly nothing that can be faulted when it comes to the food. The service is also very good. The staff is incredibly attentive. The only thing that I would like to see a change in would be the furniture that they have...it is aesthetically fitting the theme of the restaurant, but it feels like it may just break apart! It feels dangerous and the furniture is incredibly heavy too. So it’s really difficult to push back the chair to get up and when you do manage to do that then there is the added fear that it will just break. I would definitely recommend this restaurant to anyone I know. But I will most probably take away the food."
