topic,review
Superb food at value-for money prices,"Despite living nearby, and despite its lofty reputation amongst the locals, this was my first visit to this 75-year old restautant. We visited as a group of friends during a recent public holiday for breakfast. We got to the restaurant, housed in a modest two-strorey building, in time to be amongst its first diners of the day. That early in the morning, the restaurant was filled with frankinsence-scented smoke which was part of the staff's daily prayer ritual.

The restaurant's menu was fairly comprehensive although some items were not available until 11 am when the lunch service proper starts. Nevertheless, there were still plenty of both northern and southern Indian dishes to choose from. As a group, we had a variety of dosa (flat crepe), idli (steamed rice cakes) and uttapam (a thicker form of dosa) combinations for our respective mains, with a few vadas to share, all washed down with several cups of hot masala tea each. Portions of mains were reasonably large enough to make breakfast a filling and satisfying one. Best of all, prices were very reasonable and affordable."
Best kept secret,Amazing value for money and authentic taste. Sambar was to die for and the food was amazing quality. It’s a shame that the kind of food served here is still so niche and not more commonly available in larger establishments. I wish the world could get a taste of this type of food and really get to appreciate its wholesomeness and taste.
Iconic restaurant with great food,"This restaurant is one of the iconic Indian restaurants in Singapore, so we visited this place for brunch. As usual, there was a queue for table, but we got a table within 10 mins wait. We order the traditional dishes, masala dosa, puri and aloo sabji and idli, at the end some tea and coffee. Tasted authentic south indian and divine, lived up to the reputation. Will def visit again, if we are visiting singapore."
Excellent,Fantastic dosa for breakfast. Good friendly service. Very good vegetarian options. Clean and spacious settings. Excellent value.
Great vegi rice meals and Dosa.,"As an expat in Singapore and a lover of Indian cuisine this is our go two restaurant for our Sunday lunch.
We head here about twice a month.
I recommend the paneer dosa, biryani rice plate and the paneer butter marsala.
Ask for a table upstairs, it's quicker to get in."
Crazy rules,"Good food quality, however staff were not too friendly, sometimes rude. When we order curd rice, they did not have it as a dine-in option but allowed only take away. However, when we say we can buy the take away from their own restaurant and have in the restaurant, they rudely refused. Strange rules - why force a take-away for an item that we want to have at the restaurant. Crazy !!"
Best Dosai,"My son and I stumbled upon Komala Vilas when we were walking around Little India. We saw a queue mid morning and immediately thought that it has to be good and decided to join the queue. When we got to the front of the line we went through the menu displayed on the stand. Since, it would be brunch for us, we decided against the banana leaf rice and settled for the dosai.

Had the normal masala dosai and the mysore masala dosai. Both were so tasty. The best dosai we ever had. These were washed down with the standard tea and the masala tea we ordered. Surprisingly, it was also very filling and cost us only SGD14.60. Should we ever visit Singapore again, I would like to try their banana leaf meal."
Value for money,"If you are visiting Singapore and love authentic south Indian food, Komala Vilas is the place to go. Did I mention its really economical.
We stayed near the hotel and had breakfast everyday and 1 dinner from this place. Dosas, Poori and Idiappam are really awesome and they provide 3 types of chutneys with dosas along with Sambar. We had a wholesome breakfast for 3 people under SGD 20."
Still great after all these years,"First came to this restaurant in 1989 as a fresh faced backpacker and again in 96 with my young family.

I’m pleased to say that apart from the obvious changes to the decor, the food and service are still the best.

I recall that upstairs it had stainless steel tables and a sink in the corner to wash your hands but it’s been modernised since but not too much to lose it’s character.
I have been twice in two days as the first visit reminded me of how good the food really was!

First time around Biryani and marsala tea, 2nd visit Masala Dhosa and tea again. Excellent quality and the staff attentive as always. You could get cheaper but why compromise? a Dhosa meal was 11 Sing dollars.

I would recommend this restaurant without hesitation as it’s been doing something right since 1947!! The queue outside should tell you all you need to know.
If your looking for authentic Indian vegetarian food this place is for you

I just hope I don't have to wait another 26 years before sampling the food again!!"
Well known name,"I was amazed at the long lines outside KV every morning for the morning cuppa and breakfast , however inside was a normal udipi type restaurant , the layout of which was not so impressive .. really dont understand why the long lines as the food is at par with other restaurants ... the owners can do a makeover of the same to improve or do they want to let it remain the way it is ???????"
