topic,review
"As Always, Amazing","I've already wrote a review on Google a few months back. Today is my third time dining at Kucina with my partner. As always, food and service rendered were exceptional. But what stood out to me the most was how welcoming and down to earth the service staff were.

My partner had wanted to surprise me for our second anniversary but was quiet about it. When we wanted to leave the restaurant as it was near to the end of their operating hours, at about 9:50pm, my partner had somehow communicated to one of the service staff with regards to the Dolce Di Giorno (which was our favourite dessert) and to my surprise, it came with a Happy Anniversary lettering on the platter!

As it was almost 10pm, I did not expect for the service staff to be so accommodating and in fact, he even offered for us to stay behind to enjoy the dessert!

Thank you so much to everyone - from the front of house to the back of house team for this lovely dining experience. I am beyond grateful for this.

Lot of love,
Zarhidah"
So blah,"Went there for lunch. Service from the start was blah. No smile, no warm greeting ... first blah. Wait staff were not attentive to the tables and customers while they were 'busy' doing their work. I tried to be friendly when the order was taken but the reciprocation was blah ... second blah. Then I asked, 'what is good on the menu?' and the response was 'everything is good.' So blah. Eventually, I ordered the lamb shank which turned out good al beit a little small.

I would not go back there again just because it was ... so blah."
Pleasantly surprised with the service and quality,"Visited the restaurant twice, one of the best Italian food we have had in the recent past. Staff were courteous- special mention to Julius who went beyond the call of duty and displayed the dessert near our table when the kids had a hard time selecting one from them. Please keep up the great work!!!"
Terrible Customer Service and Charging Policy,"Dreadful customer service. Can only guess the staff have received absolutely no training. Was asked if we wanted water when we arrived which I then asked if it was tap water. The waiter said yes but didn’t tell me it had to be paid for. When it arrived I asked if we have to pay for the water since it arrived in a bottle. The waiter said yes to which I replied okay then we’ll eat elsewhere. The waiter then barked at us to put out masks back on! Really??! Is that the sort of customer service that encourages customers to return?
We were about to spend over $100 on food and drinks! How short sighted this policy is of making customers pay for tap water. In the very few restaurants I have been to around the world I will never pay for tap water. Actually that only usually happens in Singapore. I have no problem on paying for bottled water if I’m in a country where the tap water isn’t safe, but not in SG where. So in the end the money grabbing restaurant with poor customer service missed out on a nice piece of business. The Italian just around the corner did not have such a policy and the staff were very customer oriented."
Second to none experience,"I had an awesome dining experience at the restaurant recently. The booking system was seemless and I've received a confirmation call from the restaurant just a few minutes after reserving a table. The meals were wonderful and tasty. The restaurant manager, Ms Priya, was very knowledgable and patience in addressing our queries and her recommendations on the dishes were spot on. I have been coming to this restaurant a few times and the experiences were all great so far. Will definitely come here again. Thanks a million Kucina!!"
Great meal n service,"Decided to have lunch here due to recommendations by friends. Had fried fried seafood ( fritto misto) and side of bread for starters. Very Lightly battered seafood while bread tasted fresh.

Mains were cioppino, linguine alle cozze, pizza caponata.
Cioppino was tastiest of the three. Recommended. Good as a solo or shared dish. Every table should order this crowd pleaser. Authentic Italian taste. The pasta was good. Good amount of mussels but the dish lacked that” kick “. Wish it had more garlic. The caponata pizza was good but tasted better when dipped in the cioppino . Chose this pizza as I like pine nuts and ricotta cheese.. like, almost pesto but with a twist.

The frontliners especially the lady with the jacket, Priya, was excellent. Simply put, professional. Came across as genuine and sincere. Took care of minor shortcomings quickly. E.g, We were not given an extra bowl for shells in our seafood dishes so she replaced our small plates in a timely manner.

Overall - Had a great time and would dine here again.
5 stars."
Dessert is AMAZING!,"I have to say that I am impress by the quality and level of service at Kucina (Halal Italian peeps!!).
Tuck away in the corner of KINEX Mall it was worth the trip.
Every food served to our table was licked down to the very last drop. The array of dessert offered was mesmerizing. I had the salted caramel and tiramisu which clearly blows my mind. Subtle to the palate of once tongue.
Feeling greedy, I ordered the Olive Oil Chocolate Cake to take home and share with the fam, it didnt last long before it was over. That clearly says it all!
Thanks to the manager in-charge Priya, amazing knowledge and she brings back the level of service that I have missed in this industry.
Thanks to the Pastry Chef, tucked in a little corner of his owe, I did not manage to find out your name, but you will be hearing from a wholesome of peeps including myself for more of your awesome dessert."
Kucina Kucinta!,"I would like to share with everyone how much My Family and I love this restaurant.
By far, the best Halal certified Italian restaurant!

We always have the Fritto Misto for starters, their Chicken fingers are scrumptious! All their Pasta are good and our favourite are, Tartufo (Tagliatelle), Formaggi (Gnocchi) and Squid Ink Risotto. Savour each mouthful! I love the hearty flavours of the Truffle, rich and creamy.
I love desserts but I just prefer something not too sweet. I love their Panna cotta, Cannoli and Affogatto.

Warm lightings with cosy ambience and good-natured Team!"
homely hearty Italian with excellent service,"The service stood out first at this casual-looking joint, then the playfully written menu. It was a joy to browse and be introduced to the various dishes, some of which we'd barely seen around locally. As a pasta lover but far from a connoisseur, I especially appreciated the wide range of pasta types available, complete with recommendations of what might go best with each dish.

We shared the Pescatora with Squid Ink Chitarra, La Barca Funghi e Tartufo, Arancini Siciliani (not pictured) and tiramisu (also not pictured). As a big fan of squid ink pasta, I thoroughly enjoyed the umami taste of the sea that many other local renditions lack. My boyfriend enjoyed the la barca (boat-shaped pizza) more with its creaminess that I found slightly heavy, but we agreed that the bread was a welcome fluffy and doughy accompaniment. The crispy arancini, a rare dish locally, was rich in tomato and herb flavour - I'm glad I was able to introduce this to my boyfriend. Finally, as a coffee lover, the tiramisu was a decadent, fluffy and aromatic end to my meal.

My only gripe: for the premium price, the seafood in the pasta and the tiramisu serving could be more generous. We'll both be back to try more on the menu though!"
I'd be dancing with joy about how good the food was if I wasn't in public,"Quite possibly the best Italian Food I’ve had in a while. It was my first time in KINEX and of all the nearby restaurants and foodstalls packed into the basement floor, nothing else smelled quite as good or delivered on its obligation to provide quality food as this shop.

My partner and I had the Pescatora with squid ink chitarra and La Barca Funghi E Tartufo for mains. And dayum, did it leave an impression. The pasta sauce was so smooth and well incorporated with the pasta. And the pizza, the sauce to bread ratio was perfect, it was crispy outside while soft and fluffy inside.

While the dessert and appetizer offerings did not leave as strong of an impression as the mains, they were definitely solid contenders. The Arancini Siciliani was certainly a unique dish rarely seen elsewhere in Singapore. And the Tiramisu was a textbook example of a well-made dessert. Defo a place to return to once things go back to normal."
