topic,review
Average,"everything is quite average except the Fois Gras, but probably worthing trying their lunch set with lower value"
Very good service👍👍👍,Very good service for all staff especially a Indian guy👍👍👍 he is very cheerful & well service 👍👍👍
Daughter loves it!,"My 7 years old daughter insisted to give them a rate of 5 star. She loves the restaurant so much! The ambience, the food, the service are all excellent!"
Authentic and delicious French food,"Loved the decor, ambience & music played throughout dinner. Service was excellent by all that served and interacted with us. The staff were very knowledgeable and gave wonderful recommendations for dinner.

The food was some of the best I’ve had! The escargots & foie gras are must-try appetisers. The lamb rack & duck confit are traditionally French and tasted wonderful. Please do try the crepe Suzette which is cooked in front of you and served warm and topped with ice cream and just a wonderful gastronomic experience.

They have a large wine selection and the Bordeux red wine that was recommended was delicious!

I do forsee myself being a regular guest here. Thank you for the wonderful experience :)"
Food cleanliness issue?,"I visited the restaurant last Friday to celebrate my colleague's birthday. 3 of us were there for the occasion.

The wine we ordered was good and the food presentation was beautiful.

However, 2 of us were hit by severe food-poisoning reaction after lunch - my colleague suffered nausea and vomited multiple times while I am experienced stomach cramps and ongoing diarrhea for 3 days and the symptoms are still continuing.
We suspect our reaction could have been the result of the salad we shared, that our 3rd colleague didn't eat.

It is such a shame that it will remain a memorable experience in a way we hadn't planned for."
A Lunch That Had Lots of Promise,"We had lunch on 25 April 2022.

The female server wasn’t very friendly at first, but she warmed up over time (!).

Loved the ambience, especially the pictures hanging on the wall.

Food was, on the whole, good. But I prefer my steak served with a sauce (a must even when cooking at home), so it was disappointingly dry despite a nice grilled exterior. The homemade pate and baked bone marrow were yummy, as were the fries and cheese platter. The crème brûlée was way too much - a smaller serving would have been more elegant and palatable.

The restroom at the back of the restaurant had an alarmingly faulty door which could cause diners to get locked in almost automatically. Hopefully it has been fixed by now, or you could end up banging on the door in futility, what with the busy staff and booming music in the restaurant."
French gastronomic experience in Singapore,"Very nice & pretty restaurant with excellent food. The steak (La cote de bouef), escargot, onion soup were delicious. Love the blue cheese & bell pepper sauce. We also ordered the halibut which was creamy & tender. The Syrah went well with the steak but overall price is a bit on the high side, be prepared to spend more than $100 per person for a good meal with 1 glass of wine. The desserts were heavenly. The creme brûlée came with a light touch of lavender aroma, the tarte au chocolat was rich, smooth & very chocolaty which eas not too sweet to my liking. One tip is to come on Wednesday to enjoy the free flow escargot at $20+ per person. Service was good & staff were friendly. Won’t mind coming back !!"
"Delicious food, warm service right in CBD","My husband and I visited the restaurant for lunch.
We shared the French onion soup, seafood stew and crepe suzette.
Each dish was delicious and done just right. Infact this was one of the best seafood stews we have had in a long time - delicately flavorful and the seafood done perfectly.
Shout out for the lovely service too.
Will definitely visit again."
Top-notch,"My friend and I had set lunch. It was a STEAL for the price.
Food quality excellent and portion generous. Service beyond expectations.
Great ambience. Special shout out to the staffs and Sri who took good care of us.
Thou the Restaurant was closing at 230pm, they did not rush us, they allowed us to take our time to enjoy our meal and coffee.
Kudos"
Awesome Dinner,It was an awesome Dinner with good food and wine. The ambient was good. The service was good. Will go again
What kind of service is this?,"Food was actually quite nice, but we waited almost 40 mins for our mains, had to follow up to realise that they just started cooking...was told the mains would be ready in 6 mins but it took them 11 mins.
And then it took them 20 mins to serve dessert which was part of the course and guess what the dessert was...tada creme bule which should already have been prepared...
The restaurant is not even understaffed. The bad service and long waiting time literally wiped out all the good food. Wouldn't come back again."
Sparkle in the old and familiar,"So this is comfort food with old classics, and seldom disappoints

This time, however, I discovered a sparkle of a starter - “lightly torched oysters from Hyogo, chilled leek and potato, crispy tuile”

Fat, juicy, fresh Japanese oysters paired well with the creamy sauce, and delicious squid-ink tuile perfectly balanced texture and also increased the salinity and smell of the sea"
Lovely evening at L’Angelus,"Thank you to the wonderful service and warm hospitality by Yang and Jean Charles. It was a lovely birthday evening on the terrace, we really enjoyed it, and all the best to you guys!"
Great food and service,Good selection of French dishes on the menu and the food tastes very authentic and delicious. The service is very attentive even though it was busy during a Friday lunchtime.
Cosy french eatery in town with excellent french fare,"Set menu $68 per pax served sufficient delicious food. I liked the varied selection, and I’d return to sample the others which I didn’t try today.

Escargot was $18 per pax and free flow today (Wednesdays only). They came in cute little pots and a powerful sauce and a baby bread crust on top.

I loved the rich french onion soup. Duck confit was almost perfect; a bit too salty today.

I loved the dessert too: chocolate fondant. Marvellous combination of ingredients.

Service was very attentive. Tables may be uncomfortably close to each other, though. Great backdrops for photos."
One of few good French restos in SG,"Authentic menu, good quality ingredients, delicious. The fowl is very good. Service is excellent. For anyone looking for good French food, this is one of the very few good ones in Singapore."
