topic,review
First time experience at Lavo,Staff were very friendly and prompt. The ambience was superb with the restaurant’s view overlooking the central district of Singapore. I was really happy to bring my mother for the first time and having to dine at the top of Marina Bay Sands. The sets that they offer are really generous. Thank you so much!
Wonderful lunch at LAVO,"Thanks to a staff at LAVO, Sarah, who was helpful to get us an idyllic table in the restaurant which we get to celebrate one of our foreign guest’s birthday."
16th birthday lunch,"Our family had a sweet 16th birthday celebration for our daughter at Lavo, Food was good and service by Lalo was attentive, prompt and relaxed

Our favourites were Garlic bread, Asparagus and Artichoke Salad, Silk Handkerchief’s, Chicken Parmigiana and Fillet Minon

We brought a birthday cake which unfortunately was not allowed inside Lavo. I wished they had informed me or put it on the website

Lalo then surprised our daughter with a sliced cake, candle and happy birthday wordings - a sweet ending to our family lunch"
Anniversary date.,Everything was great. We really appreciate Ms. Aleli for her great service. Will surely come back. Highly recommended. 💯🙏🏻
Perfect view for me 🥰,I had nice birthday celebration in Lavo great food it was excellent views 🥰😍 but im disappointed for the cake 😅 too small ✌️
Wonderful,Beautiful view and nice ambience. Richard and Shiva was very friendly and helpful. It’s a wonderful evening despite a small mishap at the beginning. Kudos to the team for handling it so well. We will be back for sure.
Anniversary,"Great food, views and service by Shiva! Happy with the amazing experience. The pasta was amazing! 🎊"
Very good. Service exceptional,"Very good. Lots of good food. Not stuffy. Chiva our table server was excellent, made the experience 10/10. The place was better than expected"
Lovely LAVO,Excellent service by a beautiful usher and followed by a very warm and friendly staff by the name Shiva. The ambience and gorgeous view is surely a must to experience at MBS.
Stunning view,"We went to Lavo to have a dessert after our diner somewhere else. The service and was great, the staff is very friendly and they are quick servers! We ordered the 21 layer cake, it was really big (21 layers of chocolate) but it was delicious! Outside you have a great view over Marina Bay!
Next time i'm in Singapore I would definitely come back to Lavo to try diner!"
Birthday,Nice Italian Restaurant for birthday and gathering . this rooftop restaurant with Superb view of Garden by the Bay
Dinner,"Excellent services , and ambience is fascinating great view of cause @Level 56 . Only set back was the toilet 🤭"
"Best view, great cocktails","Best view, great cocktails. My new #1 at MBS. Make sure you book if you want a table but walking around is also okay. Suitable in all weather"
It’s just ok apart from the view,"It’s ok….. more about the experience then the food
Service was good, great backdrop…. The food ….. well starts we’re good …. Main poor, not Italian over seasoned and spiced … had a bone and waitress said AAAH OK which isn’t the response
Would we go again …. NO
The shard and many many other restaurants are better than this
The street food we had was even better
But it’s what it is"
Excellent food and staff,The staff were attentive and polite. The food and drinks were exceptional and well priced compared to many places in Singapore. The view from outside was amazing.
Best service and food. Instagrammable view as well.,"Had the best Anniversary lunch with husband today. We are served by Paula who is so exeptional, she has been so patient with all our requests and she delivers! All this she had done with a smile. Food is fastastic, served hot and so yummy. View is breath taking, make sure you go out the restaurant for some photos overlooking."
LAVO ITALIAN RESTAURANT AND ROOFTOP BAR,"Best place to chill with friends and family. Superb location and the view is to die for. Staffs are friendly and attentive. Food quality and choices are great too. It is definitely a must visit place if you are looking for top notched service, best view and great food."
Great experience,"Great food, amazing view, Mina our waitres was very friendly, the first dish of eggplant Lasagna was amazing, the Antricot was amazing"
Great food and service,"Food was great, not much variety though. It was a little bit too loud inside the restaurant for a dinner. Select outside if possible. Great view. Would visit again!"
Love this place.,We spent time at the bar on our arrival and loved it. A great start to our vacation over the holidays. The staff behind the bar are very welcoming and efficient. Another night we had dinner with the help of the bar tender and his manager (black guy -sorry forgot names) both very helpful. Dinner was amazing - we can see why it is always busy. The service is impecible!!
Lavo and Lalo were awesome,"My wife and I came to Lavo on the recommendation of a Singaporean colleague. Both the meal and experience of the amazing view were awesome. I had the signature one pound meatball, It was very tasty.
In particular, our experience was made extra special due to the service of Lalo, our waiter, who was extremely attentive and made our night here unforgettable."
A top spot,"Great atmosphere, great service, delicious food and wine, and of course top view. Only had limited time to spend there but the staff accommodated that with no problems."
Great place,"The restaurant was fantastic, great food and great service provided by shiva. I would definitely recommend it."
Best views,"Not easy to get a seat, but if you do, this is a very nice spot for rooftop pix. Day and night are both great for photos. Food-wise, this a a very nice Italian restaurant to dine in. Staff are all friendly and helpful."
Just ok!,"Party of 3 adults, we were seated outside - we live here, had high expectations, and were underwhelmed. If you go, please note that you are paying for the view and for the privilege to say that you went to the 57th floor of Marina Bay Sands. We were celebrating a graduation, which we had noted on the reservation.

Drinks and 4 apps came out to $400 (drinks: $25 each, and very weak...we weren't looking to get hammered, of course, but they were weak nonetheless. Food $35+ a plate, delicious but not much served). Service was slow, we had a hard time getting a server to order additional items. During payment, the server told my daughter ""congratulations on your graduation...I was supposed to have written 'congratulations' on the bill because that's what we do but I forgot."" A 'congrats' after a $400 meal? Again, maybe our expectations were higher. Would I go again? No. For that price, get a room at the hotel, enjoy the views from the pool, then go to a hawker center nearby for food. :)"
