topic,review
Wonderful diner,Excellent as usual ! We enjoyed mozzarella cheese and beef and pasta. Everything so good as usual. Also caramari squid was good thanks for using fresh squid.
A Reliable Neighbourhood Joint,"We have been customers of La Braceria since its earlier days at Greenleaf precinct. 3 of us shared eggplant parmigiana, spaghetti frutti di mare, quattro stagioni pizza and grilled chicken. All dishes were satisfying. The spaghetti portion was huge with 3 big prawns and generous amounts of clams plus squid & scallop. Love the thin crust pizza and the blasted bubbly side rims. The grilled chick was succulent and not dried out at the breast. Also shared the tiramisu and lemoncello cake. Both were well balanced and best, not overly sweet. Totally enjoyed the food and company! Staff were polite and efficient.

You can count on La Braceria to provide a wonderful meal and evening!"
Not recommended for any special occasion,"First time, came for a special evening celebration with family. I mentioned in the booking through Chope that it was a special occasion, there was no acknowledgement throughout the evening. Couldn't always get the waiters attention and the service was par.

From the start, the experience was not great. We requested for more bread which did not come because the lady had completely forgotten. The buratta we ordered was on the drier side and not so melty. Their vongole was mediocre. We ordered two desserts the cheesecake and panna cotta, those were nothing special at all, the flavour of the two were very similar like it was made of the same thing just shaped and named differently.
Their t-bone steak though was quite nice, the only thing enjoyed."
Family Dinner,Great quiet location with friendly service and good Italian food. The pasta and pizza were fantastic! Will go back again
Food is 4 star,Service is great as always I had the fish I was not impressed the pizza is a 4 out 5. They do corkage and that’s 25.00 which is good. Outdoor seating and inside. We had to go inside last night as it was very difficult for Nannie’s to control the children. Try it it’s worth a try
"Fire wood pizza abit doughy in the mid. Food is fine, price n environment is fine. But not good enough to come back for",The pasta we ordered was under seasoned. The cold plate was good other than that the pizza toppings were nice that’s all.
Hidden Gem,"The Best Italian food in SG, seriously. Chess cake is a must. Pizza, Pasta are superb, atmosphere is great. You should book before dine in."
Service,I made a reservation for lunch here over the weekend. Upon my arrival I was approached by a rude and impolite waiter. He did not offer the menu or even a glass of water. Shortly after a family arrived and they were served their bread basket and water immediately. I had to ask for the menu and a glass of water. To be honest one of the worst services I've ever experienced. Food was mediocre.
Triumphant!,"My wife and I visited La Braceria for lunch today and had an exceptional dining experience. This charming little restaurant had, hands-down, one of the most authentic Neapolitan-style pizzas available in Singapore. The pizza crust was a perfect amount of chewy with an almost melt-in-your-mouth quality, immediately transporting us to Naples. The service was impeccable too and the Pizzaiolo Alfonso was kind enough to let us watch the pizza-making in action. All-in-all, if you want a truly authentic Neapolitan Pizza I can't recommend this hidden gem of a restaurant enough."
Food average,"Their menu was well worn, and we had a good range of items to select from. The service was good but food was average. The Calzone lacked oomph! Their lamb rack had very little meat and was quite miserable. Their prosciutto ham with burrata cheese & tomatoes was dull and not exciting. Linguine with mushrooms and beef lacked character, and lasagne was moist but not memorable. Their alfresco seating area was spacious for those who enjoy being outdoors."
