topic,review
Lovely dinner at La Brasserie,"I had a birthday celebration with a friend at La Brasserie on the evening of November 3. As always, I had a wonderful evening and my friend and I had such a good time that it was probably one of the best birthday celebrations we had at a beautiful restaurant with an welcoming and charming ambience!

The service staff were very attentive and friendly especially Jessica who made us felt very welcomed and gave us an amazing experience that night.

I will definitely love to come back again and again and when I think about celebrations, La Brasserie will always be on the top of my list and it never disappoints. From the ambience to the food and service, everything is outstanding! ❤️

La Brasserie is no doubt my favourite French restaurant in Singapore! Love the ambience so much and the service is always excellent! Highly recommend!l and I will definitely be a lifetime customer!"
Amazing Hospitality,"Attended a wine dinner here at La Brasserie and was served by Alan and his team. Ambience and food were great, but I would like to emphasise on the great service and attention to detail from Alan, he ensured that the whole dinner was executed smoothly - the wines were paired well with the food (one of the best duck confit ever), we did not have to wait long between each course, and Alan always made sure our glasses were filled. The team was really friendly and attentive too - not just me, but other reviews have said it too! Great place to have a special meal :)"
Great dinner,"The food was excellent, waiter however is not easy to call. Also entering the front desk was quite chaotic. The ambiance was really cozy!"
Birthday Dinner,"Restaurant ambience is elegant and fancy. Food is served promptly.

The service staff are friendly and attentive! Staff make great recommendations on the food! Lobster roll, duck confit and chocolate dome are delicious! Presentation of the chocolate dome is amazing too!

In addition, another staff Mr Mag - He is helpful and made us feel welcomed. He truly cares about our experience there - checking on us and ask if we need anything else. He also offered us a complimentary cake after knowing it’s my birthday. He made the dining experience more personal!

Overall, a super pleasant experience! Highly recommended!"
A Classic Bistro in the heart of Singapore,"Fullerton Bay Hotel, La Brasserie!

A Bistro Lunch!

Classical Fare which mostly worked out! Steak Tartar decent! Onion soup great taste but Gratinated only with croutons!

Beef cheeks perfect, the Duck Leg Confit dry , sad actually! Hamburger excellent! I always ask for: NO TRUFFLE FRIES, never understood the obsession with locals on Truffle oil, personally I find the artificial flavours nauseating, but I guess each their own!

Red wine absolutely yummy! For a young wine it’s super drinkable! Highly recommended!

Love coming to this place the view alone onto Marina Bay Sands from the terrace is simple great!

#cuisineandwineasia #CWA2022 #magazine #singapore #asia #foodandbeverage #food #gourmet #cuisine #foodagram #foodaddic #restaurant #chefs"
Remarkable Experience,"made a reservation for our anniversary at this restaurant, first time here with my partner but we were both overwhelmed by their great service!

food was excellent, especially their beef cheeks, both of us love it alot.

great place with nice ambience for any occasion i would say :)"
Dinner at La Brasserie,"Service is superb. I had a starter wine Moscato which is really refreshing and I really enjoyed the dessert chocolate dome which is nicely presented. The waiters and waitress served us welll, giving good introduction of thr food. I had a wonderful night with my husband celebrating my birthday. Highly recommended for couples."
Food and service were fantastic!,"Went there for birthday celebrations. Ordered beef, onion soup, duck, lobster roll, chocolate dessert. We enjoyed our evening tremendously. Special shout out to JJ for being so attentive and pleasant. Will definitely visit again!"
Business Lunch,Service could be better. Great ambience. Food is above average. Overall a good lunch i must say. Will definitely come back again. Next round will be dinner!
Best breakfast food,Love having breakfast here because the food is so good. We usually do a room service breakfast but we take exception to La Brasserie.
Great food but service not fully up to expectations,"Food was great. But somehow the service was lacking. This was our 2nd time at La Brasserie and the first round was amazing, but this time we were disappointed.

Firstly they left out our booking on chope, so we did not have a window seat/quiet table as requested. They actually had more than enough window seats throughout the night.

It took us a long time to order and get attention of the staff (was not looking at our table even if walking past and we were waving furiously). The foreign couple who came just after us got immediate attention and menu explanations.

Then, a waiter asked if we wanted more bread, and went to get it but it never came in the end, seems they forgot.

Then they asked if we were sharing the food - we said yes, however they still gave us the wrong knives and assumed 1 main separately. It also took 3 tries for them to refill our sparkling water.

Finally when calling for the bill, they forgot again and we were waiting so long for the bill. We had to ask for the bill again.

Not sure what was the reason for this level of service - our bill for 2 pax was over $300 and we were a hotel guest, but seems some basic level of service was lacking. Ended up quite disappointed compared to the first round."
Amazing dinner,Celebrated my friend’s birthday there. It was just the two of us and we enjoyed every dish we ordered. Beef tartare was excellent. We were able to share the soup as well! We loved our visit there! Friendly staff prepared a cake for my friend as well! thank you!
Loved It,"Pretty darn good French food. I would love to see a few more items on the menu, but the beef cheeks was outstanding. Pair that up with a nice red, and you have yourself a delectable meal."
Almost empty and still tried to enforce a dress code!,"Almost empty and still tried to enforce a dress code!

I have been to brunches all over Singapore and always worn shorts, even at the poshest restaurants, because it's brunch! It's not a formal dinner, it's a relaxing brunch.

As I also wasn't told about the dress code when booking I turned up in shorts, (I do live in a tropical island!) and despite my guest already being seated was made to discuss the dress code with the receptionsist for a good 5 minutes.

I was on the point of leaving as I live in Sentosa I could hardly just pop home and change when she relented and gave me a man's skirt. She was going to make me wear it and I said no, so she then said that I could put it over my legs and pretend that I was!

What a farce.

I wondered even more what the fuss was about when I entered the restaurant to see that it was mostly empty.

So who exactly is going to be offended?

Also I notitced that there were women there with, yes you've guessed it, shorts and skirts on!

Huh?

So it's ok for women to wear shorts and skirts but not men?

Makes no sense.

So I was getting funny looks from the staff all afternoon.

The brunch itself was fine, nice enough food and champagne with gins.

But why the hassle at the start when there was virtually no one there?"
Family dining - Wedding Anniversary,"Food, ambiance, service… all good. Excellent service, unique dishes, quantity was just enough. Price range was just nice."
Compliments of the season for Chloe,Throughly enjoy our time here in La Brasserie. The service was splendid and meticulous. We would like specially mention Chloe for her excellent service throughout. Food was scrumptious too. Thank you.
Great Food & Wine Selection,"Decided to go to La Brasserie with a French friend. The ambience is very nice, you are greeted with a warm welcome. The food was incredible and having just returned from Portugal we decided to pair our dish with their Portuguese wines! The 2 bottles we had were just amazing and paired wonderfully with their Tenderloin Steak!"
Terrible,"The pasta was undercooked and the duck confit which was supposed to be their best seller was extremely dry. Prices werent not cheap too so the food was really unacceptable. We did inform the service staff about the food standards and they said they would talk to the chef, but nothing was done after."
Very recommended,"Hi there, I would like to compliment your staff Abdellah from La Brasserie from your hotel. Very very good service Good employee Good language Good smile Perfect Mr NG TECK SON SARAH ONG"
Chinese Food so so,We ordered Chicken Rice and Bak Ku Teh. Both rice was very hard like no enough water. The pork ribs were very hard also. Overall the Chinese food is worse than Hawkers food and charge and high price. Really pay for the atmosphere.
Disappointed,"We recently visited the Fullerton Bay Hotel for High Tea, whilst the food was nice, the server “Daniel” was absolutely terrible, his attitude and mannerisms need’s questioning (throwing items on table, rude, lack of service, etc) it seems Daniel needs to be trained in service, particularly disappointing for the price your paying for the experience"
