topic,review
Too noisy environment. Pasta so-so.,"There are 2 floors for seating. Highly recommended to make reservation as it is also very crowded on weekday evening.

Ordered pasta and feels its too hard. Homemade pasta has al-dente texture.

Soup of the day is cream of potato. Indeed creamy with slight hint of bacon taste.

There is complimentary plain water and bread with balsamic vinegar. Not chargeable.

Appetizer, we ordered some buffalo mozzarella cheese wrapped with parma ham. Its coated with balsamic vinegar too. So its quite salty for this small dish.

Overall, food tasted so-so. Have not tried pizza though.

Indoor environment can be too noisy when there are bigger groups who talked louder. Both 1st and 2nd floor has few seats that are outdoor. Recommended to sit outside if you cannot stand enclosed noisy environment."
We enjoyed our lunch,"We had a good time at La Nonna. We've requested a quiet corner. To our pleasant surprise, even though the restaurant is not big, they really arranged a quieter corner for us. The service staff are friendly and polite."
La Nonna,"Food was good as usual, portions were generous and service was friendly. Will visit again. Environment was abit noisy because the restaurant was full on a Thursday afternoon."
Foods are great always but staffs are like a robot (albeit efficient),"Been there a few times.

The foods are great as always but staffs are like a robot (albeit they do it efficiently) .They only do as they are told. They don't proactively explain the promotions and the signature dishes. They don't even offer to make any recommendation on wine and the menus. No small talk to make customer feel welcome.

The attitude is like a fast food chain: ""order, eat, get out and next customers please""."
La Nonna,"La Nonna Holland Village was a good experience, despite it’s faults. We were seated on the second floor. We ordered one Vegeteriana pizza, two Fettuccine pastas, one Nonna salad, one serve of Italian sausages, a beer, red wine and gelato and sorbets for dessert. The waiters were warm, but a tad too confident in themselves and treated us like we didn’t know anything at all. Alas, our mains were served nearly one hour after we arrived. Despite this, all the food was delicious, and everything was eaten and drank. The pizza included capsicum, tomatoes, artichokes, anchovies and cheese and these all went together perfectly. The pastas were yummy, the salad and sausages were nice and the drinks were lovely. Will come again."
Great dinner,"Portion sizes were generous and all the dishes ordered were exceptionally tasty. Pesto chicken pasta, egg pizza and tiramisu ordered. All were really good."
Good Food. Rude Waiter,Food was excellent. We loved it. The tall waiter at the door was very rude with regards checking. Treated us like idiots. We have done this for 2 years. It was only a matter of looking for the scanning QR.
Great Italian meal,"We had the Pizza La Nonna topped with a generous amount of truffle, Ravioli Della Nonna (lobster ravioli) and calamari. There were complimentary warm bread with olive oil and balsamic vinegar too. Everything tasted great. My favourite was the pizza."
I've eaten here regularly for the past 14 months. AWESOME pizza and lunch special.,"This Italian restaurant is so authentic and tasty! Their pizzas are wood-fired and as I eat Whole Food Plant Based Nutrition, I LOVE their Vegetariana pizza. LOTS of different veggies, awesome sauce and tastes like there is cheese on it but there is no cheese. My mentor I host there orders either pizza or a pasta dish and he loves their cheese and meat pizzas. My bride prefers their pasta and it makes for a great 'date'. The lunch special for Monday through Friday is 1 for 1. Great food! Great VALUE!"
Average home pizza and pasta,"Pappardelle with oxtail ragout was good. Thin crust pizza was soft and average. Main course - the fat around lamb chops was not trimmed and not much meat. Medium well was requested but it came overcooked with cold mashed potato and gravy, and inedible mushrooms. In short pasta seems worthwhile and thats about it"
