topic,review
Good Dinner,"The food continues to maintain with excellent quality, eg. Mushroom soup, Maine Lobster Linguine, Japanese Seabream & the Souffle. We had the dinner as celebration for my son's birthday."
Awesome food with good food,"We went there for my hubby birthday dinner which was recommended by my friend. Food is awesome, Service is excellent. Both of us enjoyed the wagyu beef (500g) pairing with their fruity house wine. That is tasty and perfect match"
"Great food, recommend!","Although restaurant has been around for years, this is our first visit for friend’s birthday celebration.

Attentive service but was disappointing that restaurant did not offer/ go extra mile by offering something complimentary despite my reminder to waitress that it’s for a birthday celebration. The only “service” was putting a candle on one of the desserts we ordered.

The tables we were seated were looking a little tired (some spots on table top scraped) , no table cloth covering the worn top. Table cloth shouldnt be out of place given the restaurant’s decor and ambience. That said, we weren’t able to tell the brand identity of La Strada.. The senior service staff was suited, suggesting more formal setting( definitely not a cafe) but we saw male diners in bermudas at dinner service.

Overall the taste and food quality is great, pleasant ambiance so I’d still recommend."
Great quality of Italian cuisine,"Have been to La Strada before and it did not disappoint. The quality of food is great, with sufficient portions with no food waste. Love the beef carpaccio, lobster linguine and the tiramisu. Will come again, but then the restaurant is rather pricey for regular meals."
Disappointing food,"Part of Les Amis group and you will expect much better quality of food. The Carbarona is pretty standard and not worth the price. Some of the hawker stalls selling at a fraction of the price is way much better. The lobster pasta is also disappointing and pretty tasteless. Sad to say that for that price, a lot of proper Italian restaurants prepare their own fresh pasta and you have those pastas you can get from the supermarket. Tiramisu is pretty standard and nothing to shout about. Totally not worth the price."
Average food. Don’t expect anything special because of the Les Amis affiliation,Disappointed with the vongole as two of the clams were off. The fish was nothing extraordinary. Tiramisu was good. Had to top up $4 for latte instead of coffee for the set lunch
Skip this,Had business lunch here twice and both times were equally unsatisfactory- the 3 course set is nearly 70 in total and always leave hungry. Desserts are not appealing and the salad/fish is passable at their prices. Will not come back
Magnificent,"Everything is nicely done. Not too much and not to little. Just nice and to the point. Especially the wagyu steak, one of the best in my life."
La Strada on Chu Er,"Service at Les Amis group is usually top-notched. No exceptions for La Strada. Food was tasty and nicely plated. They changed out utensils and plates for every course. Nice, cozy meal for a chill day. Will visit again!"
Expensive with little,"Went there for dinner at 8pm after a movie. Atmosphere was dead, restaurant wasn't busy, service was not great and food was ""OK"" and expensive for what you got"
