topic,review
Good food and service,Food was tasty and although portions can be more generous. Service was very attentive and plates were cleared and replaced regularly
Excellent Food & Service,Enjoyed the food and excellent service. Nice atmosphere. Will definitely come back again.Food was delicious.
Poor,The food used to be really good but the quality and taste is no longer the same sadly. The flavour of the gaspacho with burrata was not balanced. The pulpos was very chewy. It used to be lovely and was my favourite dish.
Too noisy,We had lunch there Dc 29. Many tables occupied. It was too noisy. You should soundproof the ceiling or use some things to absorb sound.
Thursday Afternoon,Service was excellent. We got the set lunch menu which was a 3 course menu. You get nice chunks of mushroom in their mushroom soup. Octopus leg is fresh. Overall appetizers wow. Mains & dessert good.
Great Ambiance but food can be better,"Nice setting, great ambiance but both the chorizo y pollo and Paella Negara de marisco can be better. Their warm tapas was delicious tho - Huevos Estrellados.., Chipirones Fritos.., & churros. Churros was amazing"
One of the best restaurants in Singapore period,"Ordered 4 tapas and 2 small paellas and every dish was splendid. Some dishes had really amazing value-for-money, particularly the lamb ribs, the crispy baby squid, and of course the paella: all delicious. Staff is always friendly, atmosphere is nice, perfect for pretty much literally any occasion you want to have a celebration that isn't overly extravagant. Good location too. Definitely a restaurant I will come back to."
Nice ambience and great food,The clams are marvelous as well as the crystal bread. Indeed it was a good dinner for Xmas dinner. I heard about this restaurant so I went to experience it myself. I must say that I am not disappointed at all.
"Decent food overall, beef steak is lovely","For starters we had the croquetas and beef cepachio. For mains We shared the seafood paella, chicken paella and beef steak. The standout was the beef steak."
Good tapas,"We had the Cheese croquettes, prawn Gambas, Venus clams, baby squid, suckling pig, squid ink paella. We also had a bottle of Pinot Noir wine. Food was excellent except that we found the suckling pig quite fatty under the crisp skin. Cost came to $314 for 4 pax."
"Good food, casual atmosphere",Good quality is good. Tapas serving size is generous and enough for 2-3 pax sharing so do take note if you intend to try a lot of variety. Good wine selection.
Always Enjoyed Great Spanish Food here,"Late dinner for 2, so we shared starters - charcoal grilled lamb rib and pan-fried duck liver with caramelized green apple onion chutney. Also shared one main dish - squid ink seafood paella regular size. Total cost plus a bottle of wine is S$217"
Good experience,"We had the set meal and the appetisers and desserts were delicious. However my main course of lamb was slightly fatty and chewy. My companion had the ocean trout and he enjoyed it. The service was excellent and so was the atmosphere. Overall, enjoyable experience."
lack of initiative to introducing the dishes.,"My partner and I were 1st time here as recommended by a closed friend. We both do not know the name of dishes but just show the picture taken by friends. However, the crew just order for us based on the pictures that i shown to him and without any introduction more about the dishes or the name of it.
The waygu that was tough and with tendons. Fried squid was good. But Dont think will visit again."
Good food,"Ordered a few dishes to share with my partner. The scallops were fresh, seafood stew tasted great and squid ink paella were tasty too. But tasted a portion of it which was salty. Dropped a note to the restaurant that it was my partner’s birthday but they did not prepare any cake :( was quite disappointed and staff were not friendly. Only one thanked us before we left while the manager was busy closing tabs."
