topic,review
"Strong drinks, great views","Went to Lantern as part of the Club Experience with our staycay at Fullerton Bay Hotel (the staycay itself wasn’t that great).

The drinks were strong, we had Singapore Sling, Classic Mojito and Negroni.

Service was really great, shout-out to Fairuz who was very attentive and friendly."
"Expensive drinks, great views and loud music","This rooftop bar is located next to the Fullerton Bay Hotel.

I prebooked this venue for drinks and Im glad I did as it was fully booked when I arrived.

Whilst drinks are expensive and the music too loud the view was fantastic.; Views across the water towards Marina Bay Sands.

Drinks must be ordered via the QR code and on the second order drinks didnt arrive so I had to follow this up.

For the views alone a great place to visit."
"Great view but service, drinks, food and music terrible",Service terrible. Food expensive and terrible Music super loud and horrible taste Nothing great in drinks Do not go there you will be disappointed
View & staff kindness,Meal was very poor but Atmosphere was excellent. Plate meal what I was ordered was too salt to eat for us
Cocktail on the rooftop !,Definitely a place to stop just for the view and the music ! Enjoyed cocktail from the rooftop ! We went there with my wife just to chill and nuit a nice evening with a perfect cool weather !
Well made drinks,"We came here around 9 pm on a weeknight with no reservation and were lucky to get a table for drinks. The drinks were very expensive but in line with prices of drinks at other nice restaurants/bars. We thought that the drinks were creative and well made. Our waiter (MK??) was friendly, attentive and helpful. The views were outstanding. And the breeze was lovely!!!"
Great views,"We went for drinks, that are rather expensive. But - what the hekk, having traveled around the globe to come her, we gladly accepted. Really liked the views, despite that fact this is not very elevated."
Girls' Night Out,"We had gone there as a group to celebrate some birthdays. The ambience was nice. Awesome view of the MBS. Food was up to the mark too but unfortunately the waiters were not. My friend was told to help herself to the water when clearly there was service charges included in the bill. The other waiter who served the food was clumsy and had poor concept of space. After being informed that the food was for the person seated at the other end of the table, he still haphazardly left the food on the other end. There was lack of finesse and poor training that didn't quite match up to the place. I would expect better service standards when I'm visiting a hotel."
Wedding anniversary celebration,Wonderful memories for me and my husband and surprise from Alvin was unexpected! Thank you Daniel for the amazing and best hospitality. 👍👍👍👍
Go for the view only,"Visited as guests of the hotel.

On the positive side the setting and view are great and the service was excellent - v friendly and professional.

On the downside the cocktails were not very good, music was terrible and v loud and the food was appalling - we sent back the lobster roll the waitress agreed to remove it from the bill.

If you go I would stick to a beer and just pop by to take a picture - otherwise many better places to try."
Visit early,"Due to the pandemic they are open till 10:30pm, make sure you make it before 10 pm for the last order. Drinks are decent and view is absolutely breathtaking especially if your looking for that Singapore Insta picture with view of marina bay. Menu looked good. Will definitely be back for dinner"
Best before-dinner drink!,"The perfect spot for a before-dinner drink. Definitely will set up your mood, from the time you arrive, a warm welcome from beautiful staff. And great choices of drinks, which is a bit it’s a bit more expensive than the usual price of a cocktail. But you will get what you paid for - drinking a lovely cocktail with the view of the iconic MBS plus superb service."
Experience,"Lantern 🏮 Bar is one of my favorite Rooftop Bar restaurants, with friendly Staffs, good service, great place to chill out overlooking such a fascinating view of the Marina Bay Sands"
Top the notch,I always love lantern. From the view to the cocktails to food. We were seated in the front sofa thus we get the best seat.
"perfect view, but even better service!","Perfect view. Great drinks, and great food (both for the snacks and mains).

While most other reviews talk about the food, drinks and view, I will be talking about the service.

I was intending to propose, and was looking hard for Singapore bars / restaurants with the BEST views. While bars with breathtaking views are not too difficult to find in Singapore, which would be the perfect one?

I sent emails and called several of these bars / restaurants. From my interactions with the managers, the bar that stood out heads over shoulders all others was Lantern.

From making the reservation, to planning, to offering suggestions on the best spots / times and ideas, Germa from Lantern was extremely helpful.

While I did wish to try the food at some of the other restaurants I considered, Lantern’s and Germa’s outstanding service really swayed my decision to choose Lantern as my proposal spot.

The food, drinks and the view were superb. These items, however, can only take you so far. Personally, ""service"" at F&B outlets have never been high up on my agenda. However, the service from Germa and the team elevated my entire gastronomic experience into a night I will not forget.

I will definitely be back."
Marvellous view,Bird eyes and romantic view of the Marina Bay area . Good place to chill in the evening. They are only opened at 5pm to 1030pm. Lobster Taco was great. However choices could have been more. Menu was not extensive enough. But overall a great place to spend the evening at.
Great chill-out place with an awesome ambience & view,We went for a drink after dinner and were given a table with a great view thanks to Ms. Germa. There is a good selection of drinks & some food choices. Our group of 5 has enjoyed the nice cosy atmosphere throughout.
One of the al fresco with best view of the marina bay,"Service is the best. Accommodate special occasion with a little surprise. The view of the Marina Bay is breathtaking. No rush, just enjoy the sunset and watch the marina light up."
Disappointing food,"Third visit ,ordered lobster roll and beef sliders,food was served cold and the truffle fries has no truffle taste. Ordered a bottle of wine served with plastic cups totally spoil the taste and experience. The wine tasted so bad."
No senses of customer recognition,"I was quite disappointed. When we arrived we asked for front row seating and we’re told that it’s only for people who buy the current promotion package
Later in the evening the seats were given to random People and there was no package served there. We btw. consumed at lot more at the evening more than a package was worth but were treated with second class row seating.
All front rows were empty when we came! Apparently when they realised that the packages won’t sell they gave the seats to anybody just not to us.
The couple next to us nibbled the whole evening from one glass of wine and could sit there but we with a bill of few hundred dollars couldn’t"
Never fails to impress,"Every time I come here I love it! The views and ambiance are stunning, the food good, and the staff excellent."
What a horrible service!,"We decided to pay a last visit to the “Lantern “ yesterday before leaving Singapore with a friend. We wanted to treat ourselves and opted for an expensive Rose Champagne. After being asked to taste the champagne, we both agreed with my friend that something was wrong with the bottle as there was no bubble at all after being poured. We asked for the bottle to be changed and to our surprise, the sommelier refused and showed an arrogance that I have rarely seen in hotels at that level. After arguing for few minutes and threatening to leave, he finally accepted to change to another bottle but ultimately poured the new champagne with the rest of the Rose! So much for being a certified sommelier as he claimed! Food wise, we ordered cheese and charcuterie platter as well as dips and lobster rolls. The bread, nuts and crackers were all soft and did not seem very fresh. Maybe the rainy weather did not help but still, you expect a bit more for the price. The overall experience was really underwhelming and I honestly hope not to be served again by this terrible sommelier."
An anniversary— ruined,"I won’t ever forget this night, for the wrong reasons. I had come here to celebrate a special anniversary with a loved one and it has become one of the worst occasions to date. We were served by Jaga, a man who somehow seemed to be adamant to make it a bad experience for us.

Complete unprofessionalism in serving us. He cut me off mid sentence when speaking, was rude and unclear when serving us, and was completely unprofessional when serving- telling us details about lanterns contact with American Express (details that we did not need to know at all, let alone on our anniversary).

Rest of staff was fine, food was so so (overpriced), view was very beautiful. I guess you pay for the view when you come here- nothing more.

I feel sorry to have spent such a special day and had such a bad experience. They changed the food item and gave us a cake slice on the house, but I’m sure we all know- once a night it ruined nothing can really be done to redeem it."
Not let us in,"Me and my friend book a table as she wanted to celeb her birthday,worse happen the lady receptionist dont let us in as she said we cannot dine in because we are not live at the same house as government policy, we know you can dine in regardless you live or not live together in one house as long just 2 person in the table as we speak of course i bring a friend with me and also my friend brought 1 person with her also so we can dine in separately at the same time. This lady ( short black hair we assumed shes asian a filipino) we can tell because of her accent) receptionist insisted that we cannot dine even we booked already. After 30mins walking to find that restaurant and we just rejected if they have that kind of policy it should put in the booking site so people not be disappointed ."
Birthday dinner,Went to Lantern to celebrate friends birthday and the waiter Loges was really nice and made out of his way to take a nice photo of us and made it into a nice card. Amazing service! Totally recommend to have any celebration here!
You've got to be there,"Really loved the whole atmosphere . This is hands down the best rooftop bar to me, the swimming pool is just cherry on top. The service was also superb, especially from the Filipino asst manager (I think). She was very happy to help us take great pictures for our wedding anniversary and was quick on her feet and fast. The cocktails were also very special, i tried the Chilli drink, but unique lol, props to the bartender. We had the best view in the restaurant facing the MBS. Food is great too, cheers to the whole restaurant team"
Disappointing wasted trip,"Disappointing service and a wasted trip- made reservations for 2 tables and called up beforehand to understand safe distancing measures.

Upon reaching, they denied entry to 1 of our reservations simply because we knew each other, even though we agreed to be seated far apart and abide by safe distancing measures.

What bugs me most is that they should've informed us over the call we made earlier to avoid this wasted trip. In addition, the manager in charge failed to explain the logic behind this strict policy.

Decided not to eat there since they were so unaccomodating. Surprised they were willing to turn away good business."
Dinner at Lantern Fullerton Bay Hotel,Tried food not eaten as an every meal basis. Pleasant experience with great ambience and rooftop city skyline scenery
