topic,review
Say “Cheese” with Gusto and Joy!,"Unlike most diners, I actually went to Latteria's Mediterranean sister restaurant Thirty9 first before coming to here. On my way to Thirty9 and enjoying the feel of walking down the rarely found cobblestone pavement, I took a look at Latteria al fresco dining area, I love the idyllic European vibe of the place, and I made a goal to come here before Chinese New Year. And I did, right on CNY eve and got a nice surprise here

Since at a Mozzarella Bar, I know I got to order some wet cheese balls, which are this place's speciality–can hardly get them elsewhere in Singapore. I opt for Burratina Affumicata, which is Smoked Burrata with Porcini Mushrooms and Basil Pesto.

I want to try this since I have never eaten burratina or burrata in its entirety before. This is mozzarella cheese wrapping around a creamy filling of curb and fresh cream. I love this at first bite because it is so creamy and buttery with an iota of milky, grassy flavour plus stretchy texture from the mozzarella. The smoked surface of the burratina adds an extra dimension to the taste. The creaminess of the cheese goes excellently well with the strong flavours of tangy tomatoes, earthy taste of mushrooms and the pungent basil pesto. A dish full of zest and flavours.

For pasta, I get Linguine al Granchio since I like its ingredients of Crab Meat and Mascarpone. This is fresh Tomato Sauce added too for the zest in taste. Rich in taste due to the mascarpone, this is pure comfort food. I actually prefer linguine over spaghetti since the flat surface of the linguine yield a smoother feel when eating it. Personal preference, of course. The restaurant is pretty generous with the shredded crab meat. And besides the shredded meat, I can actually find morsels of sweet briny crab meat, which is a delight to savour.

Despite being pretty full–due to the generous portions of food, I still make some space in my tummy for Latteria’s Cheesecake. This is an awesome combination of Buffalo Ricotta Cheese for creaminess and light nutty flavour, Lemon for zest, Strawberry Compote for tangy taste, Basil-Coulis for extra kick and Strawberry Sorbetto for floral notes in frozen form. Just right in the sweetness and sourness of taste profile, I enjoy this dessert so much.

This is the surprise I'm talking about. I'm so glad that I visit this restaurant before CNY to get this special message. This nice little gesture is so thoughtful.

The al fresco area is perfect for lounging around and enjoying the lush greenery lining the perimeter. Majority of the patrons actually opt for al fresco dining.

The interior of the restaurant is classy and cozy. Great for romantic dates and family gatherings.

I like both the al fresco area and the interior dining area. Both have distinctive styles to make for a very conducive place to enjoy good food. Service is great too, especially the lady staff, who is very friendly and takes the effort to advise me on the portions of the food, which is a huge concern for solo diners like me.

I really like the food here, and it is great place to hang out at to just enjoy good things in life.

Thoughts: Cool place to enjoy Italian fare and specialty of mozzarella"
Will definitely start coming regularly,Hadn't been here for a whole but will start coming more regularly again. Location and ambience is excellent. All of the staff very attentive and friendly. We had lamb shanks and beef cheek.for our mains - both extremely tender and seasoned nicely. Decent wine list - not the cheapest but great value for money. (We had a delightful 2018 Chianti c$120). Recommended
Good Italian food in Singapore,Great food and good service. We had the antipasto plate to share and pastas for mains. At lunchtime they have a fixed price set menu is great value for money. Highly recommended.
Latteria Mozzarella Bar,"The past reviews did not lie! Latteria Mozzarella Bar is a hidden gem, with welcoming staff who seem as if they actually enjoy working here, food that we loved so much that we wanted second’s, and an enjoyable atmosphere. We will be returning soon!"
Fantastic Experience,"The dinner at Latteria Mozzarella Bar was better than I had imagined it to be. The seating I had requested for was perfect. A nice corner table with an excellent view. The menu is super nice and the service is excellent. Loved the flavours and their set dinner for 4 pax was perfect. We also ordered a really nice bottle of red which was paired beautifully with the elaborate dinner. The appetizer was delicious and so was the mains and the desserts. We will surely be back here again soon, I hope."
"Beautiful space, average food, poor service","The restaurant’s outdoor space is lovely and it was great for a balmy January evening in Singapore. We had high expectations but the burrata salad was pretty average with the burratta being rather tough. The eggplant parmigiana was tasteless. For the mains the gnocchi sauce was great but the gnocchi itself nothing spectacular.
The waiting staff never popped in to check nor asked us if we wanted a refill of our drinks or water. We paid about SGD200 for the meal for two. Don’t think we’ll be coming back."
Nice Lunch But Place Can Be Noisy,"Back here for lunch after over a year. It was enjoyable and service was warm as usual. The burrata stack was cold and tasty.

I liked my duck ragu pasta, which was full of flavor. The pasta could have been cooked for a few minutes more, as it was on too al dente. The boneless chicken leg was excellent, and was well balanced.

Dessert was okay, and white chocolate panna cotta had a touch of tartness with the berries and passion fruit.

The only negative aspect is how noisy the place can be, even at 3/4 full., so much so that we could hardly hear our waiter, or he us. We could practically listen to conversations going on at the other end of the room, with the way patrons were talking so loudly."
Superb and good value meal - faultless execution!,"Chose this venue as part of Restaurant Week 2021. Every item was beautifully executed and delicious.

Very good value for money - an extra nice touch that coffee and tea was part of the set meal.

Although the place was full, service was efficient and well-timed.

Well deserving of all the other excellent ratings to-date!"
My fav spot in Singapore,"It's hard to find a restaurant like Latteria that consistently gets it right in terms of fantastic food within a cosy setting but above all, hearty customer service where you always feel welcomed and appreciated. I have now tried Latteria's set brunch offering, dinner menu as well as takeaway options and was impressed every single time. Would highly recommend spoiling your tastebuds and go enjoy the Italian hospitality offered by Giusi, Peter and their lovely team."
Italy in Singapore,We've been several times to their beautiful restaurant but now it's lock down. So we ordered delivery brunch and it was amazing. Thank you for the unforgettable italian experience.
