topic,review
Lovely view and great good,"Enjoyed the meal - their steak was perfectly medium raw. Salmon and pasta were good too. So were the sides of asparagus and sautéed mushrooms.

We were seated indoors as we were told the outdoors seats require booking as advance as 6 months. We did pop out to check out the skyline during sunset which was lovely.

As they had another reservation after us, we were shifted to the lounge area for desserts which was comfy. Can be a bit noisy was next to the lounge.

Desserts were great too - we had the chocolate tart, passion fruit pavlova, tiramisu. Thoughtful staff also prepared a complimentary slice of birthday cake for my friend."
Nice experience and great view,Very nice spot for a great view on marina bay. Great locally brewed beers. Good food and very friendly service. A nice experience !
Stunning views and experience,"Was a great recommendation from a friend of mine to dine here during my visit with Singapore and bring along some friends.

The beer options are a definitely highlight from their tasting paddles to myriad of lager and IPA options.

I did enjoy my Steak for dinner but was absolute highlight was the sunset over Marina Bay and light show as well.

I would highly recommend a visit for sunset and definitely set outside."
Spectacular view & Good service,"Great view and good food, Nice environment and friendly staff especially Mhal, lastly price acceptable too."
Overall good experience,"Nice view and decently delicious food. We were warmly welcomed by Alissa and Charan. They were both polite and eager to assist.

However we were assisted by another staff member who had no smile and looked like she was rushing to close her section (checked her watch when we were ordering dessert).

Other than that, it was a good experience."
Great Experience,"Was here for lunch with two young kids. The food was great as always - the roast chicken was nicely done (part of the lunch menu) and the kids meals were done very well and generously portioned.

We were served by Mhel, who did a great job and gave the kids a nice treat and some memories to keep for a great Christmas season meal here."
Excellent Food and Service,"The food was excellent! I had ordered the Free-range NZ Maimoa Lamb Rack while the rest of my family ordered the Westholme Wagyu Rump. We also had side orders of Truffle & Paesan Fries, Brussel Sprouts, and Asparagus. Everything was excellent. The meat was all so tender, moist and very flavorful! We were served by Mhel and Vivian and their service was top-notch! And although we were too full to order dessert, we were treated to a small brownie for the Holidays!

We highly recommend this restaurant!"
Great view,"Had dinner at this restaurant, and we were treated with a nice night view of Singapore. Good food, nice ambience."
"Decent beers, GREAT views. Pricey food.","The views here are nothing short of sublime. The beers are pretty good without being great, and whilst on the pricey side were reasonable considering everything.

The little bit of food I had was nice, but again - quite pricey.

Staff were great though, very friendly and accommodating."
First Timer,"Place was packed for a Tuesday night. We were a table of 7, and seated promptly. It was my first but many ties for the rest of my family. First thing that hits you are the views, very nice especially during sunset. Service was A1, our server took the time to explain all the types of foods and beers on the menu. The wife had the Asparagus and Octopus (one long and huge octopus tentacle with some sweet sauce, nice. The seabass with risotto for her main, which was ok. I had the lobster bisque which was a tad cold, and the beef tartar which was a bit salty. The tri-bit steak was done to my liking and was very yummy. We all shared some tomatoes and kingfish was was nice. Overall what was the best for me was the service, very attentive and always with a smile,"
"Views 5, food...","We arrived and were seated promptly. The table hadn't been wiped down properly. The view was amazing. We ordered quickly and the service was fast. However, our vegetables were cold. It took 2 members of staff three visits to our table to arrange warm vegetables which arrived on a skillet. Why they couldn't be par-boiled then put into a pan with butter and the ale, to order, is a mystery. The meat was INCREDIBLE. We'd come back for a different meal, but not an impressive Sunday Roast sadly."
Great for the view,"We went back to enjoy the view and give it a second chance.

Service was way better this time. Still very Singaporian (if you do not raise your hand, no one will come to you to check if what you need), but this time we had the chance to get very respectful and genuinely nice waitresses.

We tried a couple of impressively good cocktails (the ones not mixed with beer).

The food was the disappointment. Clearly overpriced due to the view, but nothing special about it.

We’ll go back for the cocktails."
A good first experience!,"It was our first experience at LeVel33 and it was a good one! While I am not a beer person, enjoyed their freshly brewed craft beer - 33.1 Blond Lagar.

For food, we went for the seafood platter which was quite enjoyable though I think they could have given us 2x fresh oyster each as one was just too little for the price paid per pax.

This was followed by the local sea bass which was good and fresh and we also had the pork chop which was while good, was more on the fatty side.

We finished with the beer ice cream which was quite unique (first time having such).

Service was good and boy, the view of the Marina Bay was simply superb!"
Lucky find by Dr Google,"I found this place when I googled‘restaurants in Singapore with a view’.
I never would have known it was there otherwise. Visiting from Australia it was lovely sitting on the terrace looking at the fabulous scenery of Singapore. We chose the chefs selection menu at $148 per head for 6 courses. It was all delicious and beautifully served. This is the highest indoor brewery in the world so has plenty of beer options but a fabulous wine list too. We had a lovely evening and will visit again next time we’re in Singapore."
Amazing views,The restaurant atmosphere was amazing and provided panoramic views of marina bay including marina bay sands. The food platter seafood was impressive (even for a non seafood lover). Lamb dish was delicious and it was great to be able to sample the different beers brewed on site
A great place to chill with a view,"Went there for dinner with friends and reserved the 5.30pm seating. We took the Dining Room as Terrace was full but nonetheless ambience was great. With 5-5.30 seating, you get to see both the day & night views, the night view was especially stunning. Quick note, Terrace seatings are all high chairs. Food wise, it was impressive too. Love their calamari which came as part of a platter - one of the best. Dessert was great and even the fish was well-infused. A pity there was limited time, we would love to stay longer."
Homeless polar bear,"Positives are the views and the welcome from the staff when you first arrive. The negatives, firstly they say that they brew 5 beers on the premises, when we arrived only 3 available as they had run out of the others. Ordered something else only then to find out that all they were doing was changing the barrel. Finally got a stout which after all the wait was quite bland and disappointing. Partner had a Singapore sling, more expensive than the Marina bay sands but also a lot more ice, to be honest the amount of ice in the drink probably made a polar bear homeless!"
Superb View!!,"We had a Friday 12 noon reservation but we’re a tad late due to signage- LeVel 33 is in Tower 1 (not 3 where the sign is). In keeping with the Micro Brewery the decor is Industrial Minimalist- the Terrace all glass and steel with high tables. We wished we had brought hats & sunglasses as the glare was strong but we tolerated it and sat right on the edge of the terrace taking in the amazing view. Even though we may have been more comfortable, we felt the inside lacked ambience.
Garry our server was very helpful and professional and we enjoyed the Craft Beers & Rockford wines.
We took the 2 course Set Lunch- the Lobster Rolls excellent along with Parmesan Truffle Fries and Charred Asparagus topped with Dukkah followed by Beer Icecream and the delicious White Chocolate & Matcha Mousse.
At S$226 reasonable for “the experience”."
"Good to be there once, not often!",Nice view but crowded! I made reservation 5 weeks ago and couldn’t get a table outside! Inside is a quite simple ambience. Food is really good but expensive!
"Lovely meal with a outside terrace view , Shared with people that hadnt booked !!!!!!!!!!!","Booked a table outside one evening. Food was fantastic as was the view. Wine was great and the variety of beers was just as good

Only issue we had after booking a table was it seemed bit of a free for all to stand and walk around the outside terrace. It didn't feel at all private or special to us who had booked weeks in advance

Anyone was able to enter terrace and stand right by our table and talk very loudly and move around as they felt like it.......Shame really



Message to management - If people take time to specifically book the Terrace , you should only allow those bookings to actually enter the terrace other wise whats the point in booking it ??????????"
Dinner with an Awesome view,Booked dinner on the Terrace……for this there is a minimum spend….but we’ll worth it for spectacular views. Food and beer choice excellent and service good but does get busy later in the evening Excellent photo opportunities
Genuine and memorable service - outstanding teamwork,"Jayson was the star of the evening. We really feel so special and thank you very much for making my overseas guests so special. We were seated at a table facing the inner garden but after I’ve shared with him that my guests have travelled to Singapore as the first destination after two years, he changed us to a window table when it became available. After that, we were allowed an outdoor table with a gorgeous view of the Marina Bay to finish our desserts.

A huge thanks to Jayson, Zul and the team for such a memorable evening."
No Proper Signage to show the entrance of the level 33 Restaurant,It is timely for level 33 to put proper signage for the customers to locate the lift to the restaurant. All the existing signage are placed in the wrong location and cannot be seen from the main glass door entrance
Spectacular view,"We booked a table for 4, for dinner. We were pleased we got a table by the window with a lovely view. The service was excellent! Attentive, friendly staff. The food was good, but i found a few fish scales on the fish. We were allocated 2hrs for dinner but we were happy we got extended another half hour, as there was already another booking. We wanted to stay longer and requested to move to the outside terrace, but was told there was no space available. Thankfully another staff member got us a table at the terrace. The dining area we were in was still not occupied when we moved to the terrace .
The view was spectacular! Overall, it was a lovely experience and we had a great evening. If only there was no time constraints, we would have enjoyed our experience even more."
"Excellent food and view, and of course, services!","Very great service from Mhal! It’s my first time here, will definitely revisit again! Thanks Mhal!!!"
Great service - mediocre food,"This is truly a wonderful place with a nice vibe to it, and possibly the best views in Singapore from the outside terrace.
We had dinner inside and reserved seating outside for post dinner drinks. What a great way to spend an evening! This option is only available to dinner guests at their dining room (not at the social dining room).
The food was mediocre at best, serving cuts of meat that was tough to chew and fish that was dry.
BUT - the service was excellent and we really loved the staff at this wonderful find.
And the views just made our stay :)"
Poor service,Got turned away at 10:15 because the reception said they were full and were only accepting reservations. Except you can’t make reservations after 9:30 And the bar and restaurant area was empty
Excellent view and superb service.,"This place is just as it has been marketed.
The highest brewery with a majestic view of the Singapore skyline. Though they have a put a minimum cover charge to sit outside which seems slightly higher
The vegetarian options are very less but the service is impeccable. Especially I would like to mention Keith who went out of the way to get some veg options made from the chef.
Overall a very pleasant experience."
Best view,"I booked this restaurant after reading several reviews to celebrate our 25th wedding anniversary after arriving from Australia. Without doubt the view is superb, I booked a table on the terrace and the weather was absolutely perfect. We ate at the later sitting which allowed us to watch the light and sound show on the water from above as well as the Supertree Grove show. The food was very good, not a huge amount and as a vegetarian myself my choice was extremely limited. I had seen a menu with alot more choices online before I left but this must have been for another area of the restaurant as we did not have nearly the choice I was expecting. That said, what we did have was very good, hubby had the seafood plate and said it was the freshest and best he'd had. The price was quite steep, there was a $150 minimum for terrace dining and we doubled that each having entrees, mains and desserts and a drink. Not complaining at all, it was a once in a lifetime experience and celebrating 25 years so thoroughly enjoyed our evening here. Service was outstanding, the young lady who showed us to our seats was very attentive and friendly."
Lovely view and perfect food,We had 6 meal course and it is all delicious!!!! Plus free flow of drinks for 2 hours!!!! Mhel is really friendly and accommodating!🤗
Quality food with a great view,This is an amazing place with a stunning view of Marina Bay. Enjoy the biers on the terrace and tasty the high quality food in the inside room. Staff professional.
Big Let down!,Most overpriced and overhyped restaurant in Singapore … average food .. undeniable great views but not worth it frankly !
Amazing view. Great food,Came for the view and weren’t disappointed. Treated ourselves to the lobster and it was delicious and cooked perfectly. Treated to free glasses of champagne at the end. Book for sunset and you’ll be amazed as Singapore lights up around you.
"Amazing views, friendly service, tasty brews and food.","Had a wonderful evening here. Amazing nighttime views of the city whilst sampling a paddle of lively beers. We shared the NZ lamb ribs with the tasty creamy mash, roasted brussel sprouts and silky mushroom ragu. Also had the asparagus but was a bit over spiced for our liking. Overall a great venue and spectacular place to visit."
Best Rooftop View for Tourists Like Us,"SG was the first travel we had as a family right after the pandemic. It had to be commemorated with a great photo and the best one we had was from the outdoor dining terrace of LeVel 33. They got the best view of the iconic Marina Bay Sands! So very SG.

Our table had a SGD 75++ minimum consumable per person and a time limit between 5:30pm - 8:00pm for dinner sunset viewing. I was actually glad that I thought of even reserving because this was the week that SG was about to open on full mode and everywhere that day was just full. So, if you're going to SG, you better reserve!

We were 5 at the table and we were able to consume the food with ease because it was good!! The drinks even better. The ambience was also superb. It's chill and at the same time upbeat. It's a great place to have great and memorable conversations with your family and friends. The service is also top-notch. We were accommodated with our every half-hour request to take a photo of the view."
Nice but can be better,The ambiance was amazing and the staff were super friendly and nice. Unfortunately we ordered the wagyu steak and was quite tough.. was expecting really soft and buttery but had a tough time chewing thru the steak. Will defo come back for other dishes!
Best view in town with great food and atmosphere,"We booked a 5:30pm sitting on the terrace to be able to watch the sunset and it did not disappoint. Service was excellent and so were the food and drinks. In fact, this place left such a good impression on us that we ended up there for lunch two days later since we couldn't get in to anywhere at MBS. A different experience - it was scorching hot but the sun eventually moved and we enjoyed some cold drinks and the seafood platter with a stunning view.

The steak tartare here is delicious. We came here with our 2 kids both times and the kids were treated with respect. Sometimes venues assume kids are a nuisance but ours are well behaved and ate all our steak tartare..."
Visit on 9th May 2022,"I booked with reservation on a Monday for an early dinner with my 2 children to celebrate my birthday actually. It was my first time there. The atmosphere was nice but we feel awkward. Awkward because people are there in groups drinking. I feel that the reservation team could have at least mentioned in the email or suggest that it will be more suitable for me to book a Sun lunch for family meals. The waitress could have done more to recommend suitable dishes for us. I ordered a social dinning set recommended for 2 to 3 pax and a side. The portion was so small that I didn't eat at all, my children finished everything! She could have recommended that I ordered a normal set for myself and 2 sets of children's meal. Not only that, I needed a glass of warm water to take my medication, the restaurant did not serve and that I had to order a big jug of soda water. I will not go with my children again for sure. If the visit was with my friends, I believe I will enjoy."
Mother's Day lunch,"Best food, great service, fabulous staff and great view. Highly recommended. Special touch added to service and unexpected extras to the set menu as it was mother's day."
Stunning views and good food,The views from the Restaurant is stunning. This place is always packed and is good to book in advance. The food and drinks are good. The lobster roll was great. Desserts are a so-so. Staff were professional and friendly.
Family Dinner,The view is amazing. The staff were very nice and the food was great. I had a great night out and would recommend this place to my friends
First TIme,Food : very good Beverage : Standard Place : Awesome Service : good but there's one waitres (woman) didn't polite serving us Price : Standard
Nice view!,Great view. Average food. Mediocre service. Will go back mainly for the view and convenient location. Restaurant gets loud as it has no sound proofing.
Excellent vegetarian menu,"Very nice food & atmosphere. Love the vegan food goes with non alcoholic beer,superb experience. The waiter & waitresses are super nice & polite. I really love the view , the food & people . The food are beyond my expectations and would definitely book the place again in the near future."
A bit disappointed…,"First it’s extremely cold inside, even my hubby complained and he’s seldom cold.
The portions are half of what they used to be, but the price isn’t ! I’m talking about the cold meat board. Very disappointed compared to 3 years ago.
There’s not a great choice of dishes either. You go there for the beer and the view! I recommend to be outside !
Service was fine
They were very nice and even proposed for us to have desert outside coz it had rained and the terrace was empty !
I love the view!
Please get back the good paté, saucisson, mustards and french pickles! And better portions!"
Excellent service and Fantastic food,Was my first time dining with Level33 and was served by Mhel. The service she provided was spot on! I was actually celebrating my bdae with my partner and she surprised us with a complimentary bdae brownie cake. It's was amazing! Will definitely be back!
Excellent Sunday lunch!,"We enjoyed the excellent Sunday lunch. Great service, lovely roast and the service was exceptional. We look forward to returning soon! Kevin and Richard"
