topic,review
Best service ever!,"Was served by Monsieur Mark on 27 Jan, service was perfect and immaculate! Would definitely recommend!"
Best steak,"Service is always immaculate, non intrusive and elegant. The food is always good and on point and consistent. One of the best place for steak in singapore"
Christmas menu had really nice cocktails,"Service and ambience were excellent. Christmas menu had nice cocktails. Food that would be recommended are - onion soup, wagyu & molten lava cake. Service by Ee Chin was also attentive and excellent!"
Would Recommend!!,The service was very good and the food was excellent! Perfectly grilled salmon and tender prime rib. Also got a really delicious Lava cake for my father’s birthday. Yum :)
Don’t waste your time,"Went there with friends, small place with no customers which is fine but then when ordering manager still can give remarks about ordering too little. Does it matter if I eat 1 set share or order 10 sets for 1. Still dare say so loud and even service staff at the back can gossip infront of their customers."
Average,"Overrated, fries was greasy and over salted. Salad is below average.
Steak was ok, not the best, condiments that came with it is terrible.

Overall, taste is average and not worth the price, better to go for dry-aged, grass fed or waygu steak.
Place is small, tables are very near one another, its hard to have privacy and enjoy your meal."
The Best Couscous Experience in Singapore,"Glad the place is still around as the area changed so much after Covid. The place is on the Weekend Friday/Saturday a place to treat yourself with a nice Couscous, generous dish to share among friends"
Meh,"I think I would have given it a higher rating if the menu was clearer and if there was more guidance given as to the sort of meat each item was. I was hoping for more hanger steak type of cut but I got a really fatty ribeye. The bread was the best part of the meal for me, fries were surprisingly feast even though they didn’t look the part, salad was fine given it’s ‘part of the meal’. We had two steaks and one glass of wine and it was 160$. Wouldn’t come back unless we ran out of other options."
Great Steaks,"Cannot rave enough about this place, best valued streak restaurant in Singapore. These guys knock it out the park, the food is fantastic and based on the very basic French style steak and chip restaurants you would see in France. I have been here 9 times now and never had a complaint. Try the sauces with the steaks personally i like the black pepper one but all are good.

The restaurant itself is in a great location in a busy area of Singapore but still remains quite and charming.

If you have the pleasure of having Zet look after you your experience will be doubled as he really goes out his way to make you feel special under the management of Rubin."
Great french restaurant,"Foods are great, good ambience, great services! Very recommended!! Thank you very much, we had a good time!!!"
Best French Restaurant,"First of all, all the staff were very kind and welcoming as you walk in. Though we didn’t reserve a table on a busy day Patrick was kind enough to give us a table. Outstanding service and he even gave us the entire 2nd floor to enjoy! You have got to try the onion soup! It will bring a warm smile..house fries are very crunchy and hot and the cream spinach just added extra flavour to the scrumptious meat. Thank you so much!
Hidden gem in Ann Siang road!!"
Great food and place,Ambience is good for dates and with friends. Mark and the staff are friendly and provide great service. The foods are nice and generous.
Wonderful service and great good,"Service was impeccable. Great food and great wines. Ambience is good for dates, business meals or with friends. Would recommend a visit."
Good food and service,"Food was great and prices were okay. Staffs are friendly and made the experience great. Had a great dinner, the portion is sufficient for big eaters"
Good food and good portions!,Couscous was nice with decent portions of meat. Tenderloin was also nicely done. Overall satisfied with our lunch. Not the first time here and won’t be the last!
Nice ambience with good food,This is our second visit here! Serves delicious French onion soup and good steak. Nice ambience too.
Nice food and ambience,Love the bread and all the dishes we ordered! Ambience and music is nice and really make my day. Thank you
Excellent food! Kudos,"Been hearing so much on their steaks and Finally! I am Here. Steak was excellent, poulet was interesting, taste was nothing I had before.. will order again for my next visit… Service was excellent, staffs were professional, friendly."
Great experience at Les Bouchons,"Impeccable service, cosy atmosphere and decent food! French onion soup was great! Escargot needs a little more taste and some pieces were fishy. The steak was great on its own but the herb butter gave it a strange aftertaste. Maybe Bordier butter can give it a better taste."
Dinner for 5,Came for dinner with 4 other friends. Wait was a little long but well worth the it. Steak was excellent and good value. Service was excellent. Zet was very helpful and friendly. Wines were also excellent.
Awesome service!,The service was top notch! We were well-taken care of by Mark and Elyssa all night and well-fed. Worth a trip!
Surprise birthday celebrate,"Good atmosphere, great food, very accomodative, friendly waiters and waitresses, we were late, but the waiter was helpful in extending our dining time and helping us with the surprise cake!"
Great spot on club street,"Nice French Restaurant on club street. Great food and wine, staff is very friendly. Indoor seating is air conditioned and nice setting for any business dinner"
New location at Rochester,Great service and amazing food at Rochester. Had steak tartare and Entrecote beef. Melt in your mouth. Dog friendly is also a plus.
Dinner at Les Bouchons Ann Siang,"Firstly, the service of the staff was excellent, special mention to Zet and Alyssa, who provided immaculate service. The food was great. Had the french onion soup for the first time, it was amazing."
Family dinner,Amazing food. I really enjoyed the stake and free-flow homemade chips here😁. The staff were really friendly. I would rate the restaurant 5 stars.
Exellent value lunch,Good quality steak frites! Super friendly straff ( Gaya and Mark) will take care of all your needs..
Honest review!,"Great food, great service! Definitely 5/5! The embience is great with friendly staff. The food comes in generous portion n prefectly cooked!"
Monday Lunch,"Had a weekday lunch at Ann Siang outlet. Was greeted by Zet Liong with high energy and he recommended the menu to us patiently. We love the French onion soup, the ribeye and foie gras. The chocolate moouse is a must to end off the awesome meal. Love the service and dining experience here! Highly recommended to visit this place!"
Never again,"Was recommended the prime rib that was to be a signature dish and tender. Ordered medium rare. The dish that came was very tough, undercooked (50% raw in middle), sinewy, had no crust and had bit of what felt like 'tendons'. It was a terrible cut of meat!! Potato was over fried, salad tasteless but he bone marrow was good. The meal was not worth the $350 paid and I can do much better steak myself at home. Sorry, it will be my 1 and only time patronising."
Fantastic Service & Amazing Food,"My colleague and I visited on 15 Nov, and had an extremely pleasant experience. The service was impeccable - attentive and always smiling. The food recommendations were honest and solid - I loved the fries and creme brulee. We enjoyed ourselves so much that we lost track of time - the service team didn't even let us know that they were closed at 10pm and we unwittingly stayed until 10:45pm. Even then, it was all smiles from the staff. Thank you so much!"
Well above average!,"Excellent service, excellent food. The three-course meal was very enjoyable; french onion soup was hearty and authentic, and steaks were cooked perfectly (we had one ribeye and one sirloin). Dessert (one creme brulee and one creme caramel) was HUGE, but had to be finished up because it was so good."
