topic,review
Christmas Meal with the Family...,"We booked the Christmas set dinner and we were delighted we did - 4 of us ate, 2 chose the duck whilst the others chose wagyu steak and the lamb! Portions were very generous, but more importantly it was cooked to perfection and the overall 3 courses served were excellent.
What differentiates more than the food is the setting and the service, the team are very attentive, always willing to give advice and interact - special shout out to Dora who looked after us brilliantly a good way to start the festive celebrations!"
Never disappointed by Les Bouchons,"Never once I was disappointed with their food here. The serving portion, quality and value are all top notch. The garlicky escargot serves well with the bread. The black angus ribeye is a hefty 300g served with salad and fried to perfection French fries."
So much better then the one at Ann Siang,"Firstly I would like to say I’m really impressed by the manager Helen - she was very attentive and hospitable to all the guests & I even noticed that she personally made sure the chairs were aligned and tucked in properly after people left (haven’t seen this outside of Japan ). The staff were really friendly and efficient as well!

I was not particularly fond of Les Bouchons after a rather mediocre experience at their Ann Siang outlet (service was really bad), but our experience tonight at the Robertson Quay one has really changed my mind!

Also, our steaks were cooked perfectly despite them being so busy"
Fantastic Dining Experience - Steak was Superb,"The service by Zet was top notch! Brilliant and it made the entire meal so enjoyable, welcoming and cosy The beef steak was superb and really loved every bite of it Oooh the free flow of fries was decadent Will definitely go back again and again"
-,I would just like to highlight the excellent service by the restaurant manager Zet ! Thanks for accommodating my family and adding that extra human touch that may not exist in many restaurants… we appreciate !
Still one of the best ...,Got to say that I have been going here for many years and it still performs great! The steaks were cooked perfectly and tasted good as well - we had both sauces! Their pate is still one of the best and the wine was reasonablely priced as well. All in all - still one of the best!
"possibly bad Saturday service, but a clear miss","Saturday 8pm booking post COVID. they were obviously with brisk business.
now. menu is very specialized on grilled meat (I cannot comment on the Saturday Couscous).
the restaurant by itself is OK; the terrace is kind of OKish, nothing special but frankly this goes with the location. i do not think they claim to be stylish restaurant.
In the situation, we got the snails. snail is a bit more tricky that it may be (i am French, and i love snail): here the animals were overcooked mushy and the garlic butter was strange. and it took 30mn to come.
another 30mn after removing the snails came the steak and the duck. I had ordered my cooking rare: rare it certainly was, trending raw which is luckily not really a problem with me - and the duck meat was good. but it was just so damn cold, so much so that the butter on it was not melting. my friend's tenderloin was also cold... considering the fries were hot, i guess comes from the meat being cooked and hitting a bottleneck on the fries. But we got two wasted dishes 1h30 after ordering.
wine list is OK, a bit expensive. the 2006 Chateauneuf was very good for me but the bottle was maderized. it was interesting to see my friend proofing the wine, not looking super excited, and the waiter just pouring saying ""I am sure it is perfect"". i had a good wine because i like the maderized taste which is not normally appreciated by wine connoisseurs. my friend was not enthralled."
Not bad. Steak a bit over cooked.,"Food and service were good. Steak was a bit overcooked despite ordering on the rare side. Nice onion soup, salad, and fries."
Nice place,"Service was good and attentive, food was nice and the prices were reasonable. Will visit again thank you"
Brunch,This gem of place is located in Robertson Key and close to Solomon porch- my church. The food is delicious and friendly service - recommending you visiting this spot
Good steak and ambience,"Nice ambience, good steak and friendly staff ! Would definitely come again! (Oh and free flow fries)"
Lovely chill lunch place!,"Service was friendly, polite and attentive. The food was great and excellent value for money if you get the set lunch! Will be back."
Great steaks great value!!!,Lovely little French steak place at Robertson Quay. Alfresco dining with attentive service. Go for the small Ribeye and Entrecôte and you won’t go wrong….did I forget to mention the free flow of french fries & salad?
