topic,review
Outstanding bar,"Came for a quick drink - stayed for few hours. Not a big fan of cocktails myself but Lime's ones are totally worth to try, such as the Darth Vader. Good selection of spirits. Nice atmosphere with the good music. And, of course, the wonderful service provided by the team, especially Suren, Ryan and Alice.
Definitely will be back in future for a drink... Or two."
Not worth,"Bought the Christmas Eve Lunch Buffet spread and it was indeed pricey. Despite it being pricey, the food spread was very poor. There was the hype of how good Lime Restaurant's food was but the quality of some dishes were just not up to standards. There was no cold dish - lobster at all with an average of spending of $150/pax.

The only thing that can make up the price was the service rendered. All the staff were friendly and attentive, and were really helpful. But really disappointed with such a small buffet spread of mediocre quality."
2nd visit was not as good as the first,"After a lovely experience at Lime in a few months ago (if I didn't recall wrongly we were super impressed by their staff Denzel), we decided to revisit for my birthday.
2 days before the reservation, a whatsapp message was sent to me to confirm the booking, and I shared my excitement about revisiting for my birthday. I didn't ask for anything, but Lime offered to put in a slice of birthday cake for me (not expecting it, but feel happy for such a kind gesture)
Fast forward 2 days later, when we arrived, we were given a table in a rather central location of the restaurant, and would have preferred 1 at the side, we tried to ask, but server was hesitant, so we erased the idea. Unfortunately the table beside us spoke loudly without pauses for the next 1.5hrs, but we understand that the restaurant can't do much about that too, so no fault was placed on them,
I enjoyed the durian pengat most, followed by the fresh chilled prawns, while my husband loved the laksa and pandan chiffon cake more.
No sign of the cake that was mentioned in their message was served though, and I didn't think I should be asking for it since it was meant as a goodwill gesture by Lime. Would have been better if they made an effort to remember, or they should not have even mentioned it while confirming the booking. Definitely not hard up for the cake, but we just didn't like the feeling of someone saying they will do something but it's not fulfilled.
There was a 15% discount by Citi when we paid at the reception counter, which was nice.
Food - Good
Service - Could be better"
Outstanding Hospitality,"The moment I stepfoot into the ParkRoyal Pickering, I was greeted and welcomed by Natasha and Murli at the entrance, which elevated my experience as I was excited to indulge in the Christmas-festive buffet food.

To add on, Ryan, Thu zar and Jay Rex served both me and my partner with great hospitality as we feast on the wide range of food available.

Thank you so much for your hospitality and service, kudos to you guys!"
Friends gathering,"Food was good, and the seafood especially the oysters were very fresh. Our waiter, Chang, was very helpful, efficient, and was very attentive and accommodating. The restaurant had great Christmas decor too."
Average,They should have informed on the page itself that there is additional top-up for festive lunch or even when customers just arrive at the place. Could have said something. And not halfway through the lunch you ask your customer to pay up.
Surprising Visit WOWed by James!,"It's a random visit to come to Lime for a catch up over some drinks. I was pleasantly surprised by James's service! He's friendly, a great conversation maker, and a very experienced mixologist who is able to give superb recommendations. We totally love interacting with him. He's meticulous and checks on the comfort & satisfaction.

Tried 'Darth Vader in Tight Jeans' & 'Punch by Bruce Lee'. Fantastic recommendation!

Will I return again? Definitely.
Will I recommend? Yes..please do.

Thank you Janes for adding an additional sweet touch to our lovely night."
What an awesome service- James at Lime,"James is such a dear! Polite, professional and so grounded. He knows his drinks excellently well and great recommendation. I enjoyed my wine recommended by James. And of course Punch by Bruce Lee. Thank you James for your excellent service! Well done!"
Chillin Birthday Night,"My friends and I celebrated my birthday at the Lime and it was amazing! I love the interior design it was different from the others high ceiling with the eco friendly style ambience. The food was decent its just had limited choices. They have these pass around dishes and its kinda unique from the other regular buffet restaurant. We loved their fresh seafood especially the oysters it was fresh and juicy! In addition, there lobster laksa was fantastic and you should try it!
The staff are very attentive and accomodating they even made an extra mile to have a free lucky draw! That was amazing! ☺️
Its worth the visit and a memorable night for us!
Thank you"
Special dish by Chef Shashi of Lime Restaurant,"We are delighted by the thoughtfulness of Chef Shashi from LIme restaurant. It was my birthday and was craving for something comforting. We described the noodle dish to Chef Shashi. He say he would try to whip it up for us. To our surprise, the noodle dish hits all the right spot! Never have we been so touched by this kind gesture to create a noodle dish just for us. We are not VVIPs but were treated like special guests! We later found out he ran over to the nearby supermarket to purchase the special noodles just for our dish. This service is what makes us return to Lime ... Lime bar bartender James is always exceptional, as well as Belgium, Suren and the whole gang.. Always very smiley and welcoming. This place marks a sweet ending to my birthday and will always hold a special spot for us! Thank U to the Lime gang! You are simply the best!!"
