topic,review
Delicious food and attentive service,"Went with extended family of 22pax to celebrate my mother’s birthday. Everyone enjoyed the food, pizza is really good, the thin crust type that I love. The pastas were on point too as was the steak. The bread basket is more like thin crust pita and it’s very good too. Appreciate the prompt service despite us being there on day 3 of CNY. They have two cakes available - both of which provide the perfect ending to a great meal. We ordered the 1 kg chocolate cake as a birthday cake. Everyone left with a full belly and good mood!"
Authentic Wood-fired Pizzas,Amazing Italian food inspired by the tastes of the famous Almafi Coast and beautiful decor facing the river. Our party of 4 shared the baked eggplant and the deep fried Italian baby squid and prawns. We then shared 2 large pizzas - Meatlovers & Prosciuto plus 1 linguine with fresh crabmeat We had no capacity for desserts.
Wonderful meal and excellent service,"Had a great meal here for our anniversary, was recommended burrata+Parma ham along with other dishes, all excellent. Was served by Shen, who was excellent in making us feel comfortable and made the occasion feel special"
Excellent service,"My friends and I really enjoyed our dinner here tonight. Egg plant & pizza was fantastic.
We also want to highlight the best staff award for the night, Peggie. I casually mentioned we came here for a birthday celebration and she surprised our birthday girl with a cake after our meal!
Service provided by the other staffs are also excellent! Will definitely come here again!"
Great food and efficient service staff,This is our 2nd visit to the restaurant and glad the quality of the food remains excellent - the service staff were very efficient and they thoughtfully brought a slice of cake with a candle for my husband’s birthday. Thank you for wonderful meal.
Best Italian I’ve tasted in a long time!,Dined with my partner and baby. Staff were nice enough (the man behind the bar was lovely) and the food was incredible! We dined at another Italian place further down the Quay the night before and it was more expensive than Limoncello and terrible!! Wish we had come to Limoncello earlier - absolutely delightful experience! Their draught beer on tap is pretty good too! Recommend the Spinach and Ricotta Ravioli!
Awesome Food & Ambience,Awesome ambience and food. Attentive waiting and great chef. Had a wonderful dinner with Family. Everyone loves it.
nice meal,"This is a very nice restaurant with attentive service. Very nice veal- a really good meal with good atmosphere near the riverfront, Robertson's Quary"
Great pizza and great service,I had made a reservation for 7pm on 3rd October. I had mentioned in the reservation that it was my wife’s birthday. She was surprised with a slice of cake after our meal. Great service and superb pizza. Limoncello signature pizza was outstanding and we will visit again. I would like to mention the Italian gentleman that served our table was extremely polite and attentive please inform the restaurant of this compliment.
Simplicity at is Best!,True Italian restaurant can be recognised by 2 ingredients: good food and friendly service. Lemoncillo have both. Outstanding al dente pomodoro pasta at perfection. Good balance of sweet and acidity. Friendly and welcoming service as you will find in a topical Italian restaurant on the Amalfi coast. I will be back
A great dissapointment,"A total rip off.

Appalling service and presentation by uninterested staff.

Iced water on arrival, No ice. The water was warm and at 8pm it was 29degrees C! Asked for iced water, they brought a glass of ice.

1st starter, Insalata Rucola. $12
Should be fresh rocket, shaved Parmesan , cherry tomatoes and balsamic dressing. I got enough rocket for 5 people, 5 cherry tomatoes, 4 shavings of Parmesan with no balsamic dressing. It was all soaked in olive oil.
2nd starter. Caprese. $19
Sliced fresh buffalo mozzarella and tomatoes in olive oil and basil. Mozzarella sliced and dumped on the plate with a pile of cherry tomatoes, (not sliced beef tomatoes as is normal), and no basil

Main course of Lasagne. $24 Home made Mamas recipe (using prime beef). What we got was seven empty layers of pasta with one bottom layer of minced beef. Not even hot, it was barely warm!

On top of the appalling service they wanted to add on a 10% service charge which I refused to pay. This was supposed to be a good quality restaurant, we got better service and food at the local food halls.

Save yourselves som money, DON’T GO THERE!"
Great experience,"Food was great, especially enjoyed the limoncello antipasti and steak! Outdoor vines were very chilled and not hot. Service was also prompt and friendly!"
Kudos to the service crew and delicious food,"Kudos to the service crew esp the young Chinese girl whom we chatted and unstd she’s working part time and studying, she’s really a good host and a true gem to the service industry ☺️
and delicious food as usual. Thank u for the lovely birthday cake for my friend too."
"Terrible, horrible place!","Terrible place!! It allows Google and other platform to list them as pet-friendly restaurant but it's actually not! I made a reservation on Monday for the Thursday evening dinner. and I added a note very clearly to inform them that I would bring my puppy. However, no one ever reach out to me saying the place cannot take pet until I was there! horrible service! Of course my puppy and I was rejected. I asked them why no one told me before I came here? there was a note. guess what they said? ""Oh maybe we never read"".. hello?! is that my fault that you never read my note??! The restaurant sent me sms to apologise and to explain that they cannot take the pet cuz they don't have the license. Why should I care? The problem here is that you don't have a pet license but you allow the web to list you as the pet friendly store! secondly, you never read your reservation note! Aside from that, they even argued that ""we called you in the afternoon but you didn't answer the call"". Excuse!? If that's about the cancellation of my appointment, does it hurt you to drop a msg??! if you wanna say you don't send customer msg, then why do you SMS me afterwards?! Not to mention, they call me in the afternoon just 3 hours before my dinner booking!? even if I got the call, so do you expect that I manage to get a booking at other pet-friendly place just within 3 hours?! What a disaster restaurant! cannot do their job properly and still wanna blame the fault on others! this type of place should not exist in Singapore!"
Every time a good choice,"The food is always very good at Limoncello! I love it because it is authentic Italien food! I often go to Italy and think that I can compare it! Lovely Pizzas and Pasta, but also the meat is fine! I love the antipasti pamigiana there!"
Outstanding food and service,"Thankyou for an outstanding dinner. The service and care of the staff and manager was above and beyond. The food was exceptional, especially the profiteroles."
Lovely family dinner,This is the second time that I’ve been to the restaurant the food never fails you and their service is always excellent.
Great Food. Great Place,Our first time at Limoncello. We love the location and the food. The lady who waited on us was great with her recommendations.
Had an enjoyable time!,Had an amazing time at Limoncello for a birthday celebration! Delicious food and lovely ambience! ❤️
Yum Italian Food,We picked Limoncello as a last minute option and were really impressed with the food. Loved all of the items we ordered and it was super value for $. Thank you for the super dining experience
"Good authentic food, poor service","Borderline rude staff who had no issues expressing their displeasure at normal customer requests. Other service staff looked as though they were unhappy - definitely affected our dining mood. Food was good- pizza, home made ravioli and pasta was good. May give this place a miss next time solely on poor service experience."
I book at chope from 630. They send email the day before and ask me to finish my meal by 730pm.,I book at chope from 630. They send email the day before and ask me to finish my meal by 730pm. Called me on a friday afternoon n ask me if 730 i can finshed my meal..is friday where to look for alternatives...getting more crappy
Value for Money,"This place has become one of our regulars now, since we love the food and even more, what we find missing in many places these days is good wines at reasonable prices .Recommend the Burrata cheese and Veal Millanese."
